review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752389826,https://www.tripadvisor.com/Hotel_Review-g14129743-d300459-Reviews-ANA_InterContinental_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,ANA InterContinental Tokyo,"April 8, 2020","Maybe the best club I have ever visited. You can order from a menu even in the longue.Comfortable beds and rooms are alright sized. It is very difficult to find big rooms in Tokyo, so for that, this is a good size. Gym and pools are very good.Short walk from the subway station.Absolutely recommended.",,bowwowpilot,0,5.0
751935494,https://www.tripadvisor.com/Hotel_Review-g14129743-d300459-Reviews-ANA_InterContinental_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,ANA InterContinental Tokyo,"March 27, 2020","There’s literally nothing you could complain about with this hotel. Top class hotel. Definitely up to the intercontinental standards. Superb location for business and pleasure. Breakfast is at the intercontinental level, and there is nothing wrong with it. The food is fresh and plentiful, which is good. What’s not to like about it",Canada,"somewellingtonian</div><div class=""userLoc""><strong>Canada</strong>",5,4.0
749800562,https://www.tripadvisor.com/Hotel_Review-g14129743-d300459-Reviews-ANA_InterContinental_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,ANA InterContinental Tokyo,"March 7, 2020","the location is very good, near the subway station. Staff were all extremely accommodating, amicable and make it simple for the check in and check out process. Meals were good - generally great. We like the manners in which staff are so responsive and learned in their service to us.","St. Catharines, Canada","thegymlad</div><div class=""userLoc""><strong>St. Catharines, Canada</strong>",34,5.0
749764207,https://www.tripadvisor.com/Hotel_Review-g14129743-d300459-Reviews-ANA_InterContinental_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,ANA InterContinental Tokyo,"March 7, 2020","The hotel is perfect . Helpful staff , service is fast and check in is seamless . It’s one if my favorite hotels traveling. The Restaurant in the lower lobby is fantastic breakfast, lunch or dinner you will not leave hungry or unhappy . Plenty of places to walk to and is centrally located . You will not be disappointed . ","Miami, Florida","Pbishark</div><div class=""userLoc""><strong>Miami, Florida</strong>",4,5.0
747588224,https://www.tripadvisor.com/Hotel_Review-g14129743-d300459-Reviews-ANA_InterContinental_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,ANA InterContinental Tokyo,"February 25, 2020","The ANA InterContinental in the Akasaka [bordering Roppongi] area is in a terrific, central location, very close to the US Embassy. Its location makes this a good choice for those on business. It has its own subway entrance -- Tameike -- on the Ginza-sen subway line, for fast access to all subways.The hotel is located in the Ark Hills complex of Akasaka/Roppongi, and that includes the beautiful Suntory Hall concert hall; and restaurants on two floors in the neighboring Ark Mori building. The level of service at the hotel is five-star elegant. This is professional hotel management at its highest level. As a result, the hotel is also a popular choice for Japanese weddings: it's a remarkable insight into the culture to watch a young couple in full western wedding attire descend the lighted stairway to the main lobby, to be greeted by family and friends tossing lotus flowers in their path! Dining (and drinking) in the hotel are VERY pricey....drinks in the cocktail bar on the 38th floor (which provides a view of Mt Fuji far in the distance on clear days) averaged over 2,500 [over $20 bucks USD] a pop. The buffet breakfast price was over 3,500 yen a person [over $30 bucks]. But not to worry: there are marvelous French pastry shops nearby -- one in the hotel's lobby or on the plaza of Suntory Hall.We loved the service, the cleanliness and the convenience of this hotel, which maintains super-high standards. A memorable and absolutely enjoyable stay in Tokyo!","Omaha, Nebraska","AndyinOmaha</div><div class=""userLoc""><strong>Omaha, Nebraska</strong>",2,5.0
747200084,https://www.tripadvisor.com/Hotel_Review-g14129743-d300459-Reviews-ANA_InterContinental_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,ANA InterContinental Tokyo,"February 23, 2020","Stayed on the 35th floor with access to the lounge. The room was great - quiet, comfortable bed, etc. We requested extra pillows and they were delivered within a few minutes. The star of the show was the staff in the lounge. The quality of service was top shelf and the food was delicious. Highly recommended.","Seattle, Washington","ExpatSteve05</div><div class=""userLoc""><strong>Seattle, Washington</strong>",16,5.0
746668198,https://www.tripadvisor.com/Hotel_Review-g14129743-d300459-Reviews-ANA_InterContinental_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,ANA InterContinental Tokyo,"February 22, 2020","My husband and I stayed here two nights and really enjoyed our stay. The hotel is very beautiful, the rooms are a bit small but good for two people. The concierge staff Kan and Ai really made our trip with their helpful tips and restaurant recommendations. They really went above and beyond!","Dallas, Texas","curryh2014</div><div class=""userLoc""><strong>Dallas, Texas</strong>",4,4.0
745984687,https://www.tripadvisor.com/Hotel_Review-g14129743-d300459-Reviews-ANA_InterContinental_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,ANA InterContinental Tokyo,"February 18, 2020","Our last stop on a long, exhausting trip around Japan. Lovely from the moment we were greeted in the lobby. Beautiful view of the Tokyo Tower! Concierge agreed with our choice for early sushi for dinner so we could return to the 36th floor for sunset. We arrived at the Mixx Bar and had amazing drinks and conversation with Koichi Koyama, who was very attentive and an excellent mixologist!","Kings Park, New York","mmayrick</div><div class=""userLoc""><strong>Kings Park, New York</strong>",1,5.0
745779885,https://www.tripadvisor.com/Hotel_Review-g14129743-d300459-Reviews-ANA_InterContinental_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,ANA InterContinental Tokyo,"February 17, 2020","The rooms are basic at best, and out dated but clean. Poor view considering they are not full. Zero seating in front lobby except 4 seat behind escalators.( lobby bar area is usually closed off for some reason. Room service and buffet offer room temperature food. Poor service in lobby bar, I had to flag down server twice. We booked here because of Intercontinental’s reputation but this location is just not it at the moment.","Toronto, Canada","ladybalsam</div><div class=""userLoc""><strong>Toronto, Canada</strong>",17,3.0
744604628,https://www.tripadvisor.com/Hotel_Review-g14129743-d300459-Reviews-ANA_InterContinental_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,ANA InterContinental Tokyo,"February 12, 2020","It’s so active and full of costumers. at first reception wise needs to do better when they tell you your room will be ready beyond the check in time although they provide you with a temporary and you reserve a suites, so the start was frustrating and I only booked for 2 nights.Good as it’s maintaining the IHG standard, and the underground station is just next to it.But the area is slightly far from the major shopping areas.They need to do better for there furniture and TV channels.","Kuwait City, Kuwait","adnan a</div><div class=""userLoc""><strong>Kuwait City, Kuwait</strong>",5,4.0
