review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752315835,https://www.tripadvisor.com/Hotel_Review-g1066456-d13130379-Reviews-APA_Hotel_Resort_Nishishinjuku_Gochome_eki_Tower-Shibuya_Tokyo_Tokyo_Prefecture_Kant-or0.html?filterLang=en,APA Hotel & Resort Nishishinjuku Gochome-eki Tower,"April 6, 2020","The hotel was fine. The room and bathroom was really small (as you would expect in Japan).Good Points - Hotel was close to subway / Swimming pool & lounge on the 11th floor, although small, was good for an hour on relatively warm afternoons / Bar was an Irish pub with the meals very good / McDonalds about a five minute walk. / Fairly quiet.Bad Points - Thought I'd bought breakfast but on first morning, realised I hadn't / Check in at 3pm was a bit negative (I'd flown almost 14 hours and got to the hotel at 12pm the following morning). Went to lunch but still really negative.","Birmingham, United Kingdom","stephenmW988SE</div><div class=""userLoc""><strong>Birmingham, United Kingdom</strong>",11,4.0
679830769,https://www.tripadvisor.com/Hotel_Review-g1066456-d13130379-Reviews-APA_Hotel_Resort_Nishishinjuku_Gochome_eki_Tower-Shibuya_Tokyo_Tokyo_Prefecture_Kant-or0.html?filterLang=en,APA Hotel & Resort Nishishinjuku Gochome-eki Tower,"June 7, 2019",Yes this was a great find. Great price for Tokoyo for new modern hotel. Just 20 mins walk west of the main Shinjuku train station or just 2 stops on the Odieo line E27 to E29 . Use the stop numbers is the best way !We popped up at the A2 exit at Nishishinjukku and bang there was the hotel . 1 minute walk.The was small but very practical and all the necessary room facilities. No problem for the two of us. Very comfortable and quiet. Very clean.The Irish pub downstairs offers a fantastic full breakfast . The best value breakfast I can remember in a long time. Definitely a nightlight and worth eating your full before a big day of touring. 10/10. Just 1500 yen for all you can eat . Quality!,"Bangkok, Thailand","Q3860LCkeithc</div><div class=""userLoc""><strong>Bangkok, Thailand</strong>",23,5.0
744633675,https://www.tripadvisor.com/Hotel_Review-g1066456-d13130379-Reviews-APA_Hotel_Resort_Nishishinjuku_Gochome_eki_Tower-Shibuya_Tokyo_Tokyo_Prefecture_Kant-or0.html?filterLang=en,APA Hotel & Resort Nishishinjuku Gochome-eki Tower,"February 12, 2020","Location - 1 stop away from shinjuku. Less busy part of town.Restaurants- quite a few choices on the same street including access to family mart and Lawson across the hotelRooms - Basic but small rooms. Good for 1 person. Seems to be the standard in Japan. Pillows were odd, like cardboard stuck together, good thing I had a travel pillow!Bathrooms- Very clean!Check-in - automated and easy Over-all: will definitely stay again!","Coquitlam, Canada","JTFamily_Coq</div><div class=""userLoc""><strong>Coquitlam, Canada</strong>",0,3.0
743903109,https://www.tripadvisor.com/Hotel_Review-g1066456-d13130379-Reviews-APA_Hotel_Resort_Nishishinjuku_Gochome_eki_Tower-Shibuya_Tokyo_Tokyo_Prefecture_Kant-or0.html?filterLang=en,APA Hotel & Resort Nishishinjuku Gochome-eki Tower,"February 9, 2020","A very busy hotel with 18 floors and only 4 lifts and no stairs. Around checkout time we waited 6 times for the lift and every time the door opened it was packed to the brim full of people. With the coronavirus a serious threat forcing that amount of strangers in a lift together for a 10am check out time is irresponsible. The same thing happened the night before it was the exact same thing waiting 10-15 mins for the lift. Ridiculous. Rooms were tiny as was the bathroom. On the plus side the TV was big and there was a nice view from the window. The male staff members were very nice, polite and accommodating.","Doughiska, Ireland","2593</div><div class=""userLoc""><strong>Doughiska, Ireland</strong>",8,2.0
742011459,https://www.tripadvisor.com/Hotel_Review-g1066456-d13130379-Reviews-APA_Hotel_Resort_Nishishinjuku_Gochome_eki_Tower-Shibuya_Tokyo_Tokyo_Prefecture_Kant-or0.html?filterLang=en,APA Hotel & Resort Nishishinjuku Gochome-eki Tower,"January 29, 2020","A well know chain hotel in Japan. Room were very minuscule, but, clean. Disappointed part was the room AC was centralised. The hotel expects guests to open the window and sleep. Facilities such as the pool was also closed during winter. Is included in my room tariff yet I couldn’t use. The vicinity was great with few convenience stores and some other eateries located. 24hrs Macdonald’s is also very close by. It’s accessible by foot to Shinjuku Station whereby all the shopping district is situated. ","Singapore, Singapore","Silent-Storms</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",1,3.0
741788912,https://www.tripadvisor.com/Hotel_Review-g1066456-d13130379-Reviews-APA_Hotel_Resort_Nishishinjuku_Gochome_eki_Tower-Shibuya_Tokyo_Tokyo_Prefecture_Kant-or5.html?filterLang=en,APA Hotel & Resort Nishishinjuku Gochome-eki Tower,"January 28, 2020","We stayed for several days and had a great experience with this hotel. The staff was very accommodating with holding our luggage on arrival and departure. The rooms were very clean and cleaned every day. Water pressure is excellent and hot. Room was quiet--I never heard any noise from other guests. The bed is very comfortable.However, the room is very very small. It was a challenge to move around with the luggage on the first day, but you get into a routine that works.You will not get any AC during the winter. If the room is hot, then we just turned off the HVAC with the unit on the bed and opened the window till the room cooled down. After that, it was great.",Montgomery,"shoncb</div><div class=""userLoc""><strong>Montgomery</strong>",1,4.0
741427928,https://www.tripadvisor.com/Hotel_Review-g1066456-d13130379-Reviews-APA_Hotel_Resort_Nishishinjuku_Gochome_eki_Tower-Shibuya_Tokyo_Tokyo_Prefecture_Kant-or5.html?filterLang=en,APA Hotel & Resort Nishishinjuku Gochome-eki Tower,"January 26, 2020","Well I have stayed at a lot of hotels around the world but this hotel room was the smallest by far but I believe it was to Japanese standards, The room was well equiped and very clean and modern but super small. Passing each other in the room was very friendly!! The other thing we found strange were the pillows which were firm but only about 5cm or 2 inches deep which made for a restless night, The other strange feature was that there is heating only and no Cooling AC although the room has a strange box which acts as a fan, If the room is hot then you open the window. Staff were helpful but could not speak English so all communication was done with the aid of a PC If you are looking for just a place to stay well this is fine but if you require some room to move then this is not for you","Adelaide Hills, Australia","Dennis S</div><div class=""userLoc""><strong>Adelaide Hills, Australia</strong>",15,4.0
740834062,https://www.tripadvisor.com/Hotel_Review-g1066456-d13130379-Reviews-APA_Hotel_Resort_Nishishinjuku_Gochome_eki_Tower-Shibuya_Tokyo_Tokyo_Prefecture_Kant-or5.html?filterLang=en,APA Hotel & Resort Nishishinjuku Gochome-eki Tower,"January 23, 2020","I arrived at 7am on an overnight flight from Hong kong hoping they could check me in asap. They told me at 12, so I left for breakfast and for a walk in the area because the lobby doesn't even have a socket where you can charge your phone or computer. Not even a trush can. At 12 they told me if I wanted an ""early check in"" ( what??? early check in???, is 12pm!!! ) I had to pay 3000Y, about 26€. I told that girl the front desk guy in the morning didn't mention they will charge me, just that my room would be ready at 12pm. That girl, Ms. Hongo, treated me like a piece of xxx: she just say PAY. Not even an explanation or anything, I told her I wanted to talk to the manager because of her behaviour, no maners to treat a customer, she said the manager wasm't available. I told her to leave a message to the manager because I wanted to talk to him about her. The manager never contacted me. I left the bext day paying, no chance to complain and neither Ms. Hongo or her manager care at all. I will never go back to that Hotel chain in my life!",,Oscar R,3,1.0
737627581,https://www.tripadvisor.com/Hotel_Review-g1066456-d13130379-Reviews-APA_Hotel_Resort_Nishishinjuku_Gochome_eki_Tower-Shibuya_Tokyo_Tokyo_Prefecture_Kant-or5.html?filterLang=en,APA Hotel & Resort Nishishinjuku Gochome-eki Tower,"January 7, 2020","Let me begin by saying I'm not one of those travelers who expects huge ""American style"" accommodations in other countries. I read the other reviews and expected the rooms to be small, but nothing could prepare me for what I got! This was nothing less than bait-and-switch since the photos on their site are NOTHING like the actual rooms.First of all, the hotel is filled with millennials and thanks to the paper-thin walls, you have the pleasure of hearing them yell in the hallways and come into their rooms, slamming doors, drunk at all hours thanks to the ""pub"" on the first floor. This made me feel like I was staying in a youth hostel or frat house. When I first got into my room, I realized nothing was plugged in (an effort to save on the cost of electricity). This was my first clue that when it comes to saving a penny, this hotel will do it! After plugging in my temperature control, I turned up the thermostat to warm the freezing cold room but little happened. I went to the desk and asked if my heater was broken. I was then told that all of the rooms in the hotel are kept at the same temperature controlled at the front desk! You can not change the temperature of your own room! It's cold during the day (the bathroom has no heat at all and a direct vent to the outside which makes it downright freezing) and it's HOT at night. I actually slept with the window open in January in order to sleep - however, then you get to put up with the street noise. Also, everything you've turned on, including your air purifying system will turn off as soon as you remove your key and leave your room, so each time you enter the room, you have to turn everything on again.The room itself is tiny and the bathroom is minuscule! There are no dressers or drawers of any kind - and the ""closet"" consists of two pegs hanging on the wall with four broken hangers on them. There is an ""ice engine"" only on the 2nd floor, but no ice bucket in the room. The bed was so old it literally slanted on one side so badly I had to sleep against the wall to prevent falling out during the night and the pillows are 2 inches thick and hard as rocks. They offer ""English breakfast"" for 15,000 yen IF you pay in advance - if you don't it's more expensive. Their idea of English breakfast is a hot dog bar and chicken nuggets. They also offer scrambled eggs the consistency of thin soup.Perhaps the worst part of the experience was the ""housekeeping"". There were short, black hairs on my pillow when I checked in. I shook off the pillow and used the other one assuming they would be changed in the morning. The following day I noticed that none of the bedding was changed. That night I purposely left a small lipstick stain on one of the pillows to see if it would get changed the next day. The next day after housekeeping finished my room, I looked at the pillow. They actually turned the pillowcase inside out and reused it! The final insult came when I asked the front desk to call a taxi for the following morning and was told they had already used up their quota of taxi calls and refused to call one! Four days later on the final morning, I asked again for the desk to call a cab and was told there would be a 5000 yen charge to make the call. I ended up hailing a cab from the street.The bottom line is this hotel is a reasonable price for Tokyo, but you get bargain basement treatment, service, accommodations and you'll get nickeled and dimed at every turn. Truly the worst hotel I have ever stayed in anywhere.","Phoenix, Arizona","Von P</div><div class=""userLoc""><strong>Phoenix, Arizona</strong>",32,1.0
733335266,https://www.tripadvisor.com/Hotel_Review-g1066456-d13130379-Reviews-APA_Hotel_Resort_Nishishinjuku_Gochome_eki_Tower-Shibuya_Tokyo_Tokyo_Prefecture_Kant-or5.html?filterLang=en,APA Hotel & Resort Nishishinjuku Gochome-eki Tower,"December 17, 2019","My partner, family and friends (6 in total) stayed here on our last night in Tokyo. It wasnt as central in Shinju-ku as our previous stay, but I enjoyed being away from the city center. SPA:* I did not use the spa, but I do want to mention that these are gender separated and have rules posted near the entrance. * One of the rules is to not have any tattoos. The spa/bath is meant to be nude, so there is really no hiding. Please do not be disrespectful of Japanese culture and the rules to this hotel. Location: * Right across the street from the subway* 7/11 across the street* Cute coffee shop half a block down* Fair amount of diverse restaurants within a five block radiusHotel: * Elegant entrance* Tablet based checkin/out (Very easy to use and offers multiple languages) and supported by staff * Complimentary bottled sweet coffee for check-in* Strict check-in time (hard to check in earlier) * English speaking staff ** Room ** Very small, but that is by design. The room fit one full size bed (fitting from wall to wall) and a mounted TV. ** Rooms were small enough that the service was unable to clean one of our rooms due to 3 weeks of travel luggage (no compliant here, just giving you an idea of room size)** Bathroom is small. If you are over 6ft, my guess is your knees would touch the bathroom door when you sit on the toilet** Shower has good (hot) water pressureAmenities: * Bathroom amenities were great! Down to a comb, hair ties, toothbrush and toothpaste, shower cap etc* 24/hr Coin Operated laundry on the second floor (decently priced)* Pub downstairs with an English Breakfast (didnt visit)* Room TV has a custom home screen to help navigate. You can change to various languages. Movie selection is eh and didnt find much on-air channels. * Room TV also gives an idea of the wait time/occupancy capacity of the Baths (Spa) and allows you to extend your checkout (per hour)",,itshelladom,5,4.0
