review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753040443,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"April 30, 2020","Hi have stayed a few time now at the Apa Hotel, The staff every time seem so welcoming on arrival, Rooms I have always had cheap rooms but a large bed, TV, Internet, Tea and Coffee, Full Bath Room, The only bit is i have Fly luggage so the case is sometimes in the way, but not an issue as its a room, tidy, comfy and in a great location, quiet area but 5 mins walk up the road and you in a busy night time location, Breakfast is traditional buffet, Japanese and a little western choices, tea, coffee, juice etc.Restaurant was good had a meal and was not expensive and tasty Hotel for all Types Solo, Business, Couple and Family","Cheshire, United Kingdom","Scott J</div><div class=""userLoc""><strong>Cheshire, United Kingdom</strong>",10,5.0
684110485,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"June 24, 2019","I stayed here for one night after arriving at Haneda from US. I loved there big onsen bath located at B1. After a long flight, it helped me to feel alive again. The room was small but clears and convenient to use. Bed was comfortable. I did not hear much noise either. For the price I paid (6000 yen per night) I have No complains. There are so many restaurants, bars and convenience stores near by.","Avon, Indiana","Lonnie-Sally</div><div class=""userLoc""><strong>Avon, Indiana</strong>",15,5.0
750554733,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"March 12, 2020",The location was close to a small station and easily walkable to the main Shinjuku station. Plenty of food and shopping in short walking distance too. The onsen was a bonus. The tubs were pretty small but I was there at an offpeak period so there weren't many people. The room was tiny as the standard by Tokyo standards but I had room enough to move around and have my suitcase open. I got breakfast with the room and it was adequate but not much of a selection and I would've been better served just buying breakfast outside.,"Melbourne, Australia","Bobcrankypants</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",32,4.0
749435193,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"March 5, 2020","We did not like our stay at this APA Hotel at all. Because of an outside temperature of 11 degrees airco was switched off. However rooms are very small/tiny and we were with 2 people taking showers, moving around etc. Consequently the room got hotter and hotter to the point in the morning it was very, very unpleasant. In the morning the sun was shining on the windows and outside temperature was above 14 degrees. One can imagine how hot it got in there. When checking out the frontdesk staff was incredibly lackluster and NOT interested in dealing with the issue or giving a professional response. It was a staff attitude which you rarely experience in Japan. Oe can only assume it might be the result of inadequate personnel management by hotel management. ","Haarlem, The Netherlands","richardswart78</div><div class=""userLoc""><strong>Haarlem, The Netherlands</strong>",0,1.0
748630311,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"March 1, 2020","We did 3 nights here, the place was clean, comfortable and easy (but VERY small - not an issue for us but some people may not like it). Staff very friendly at checkin/out and in the breakfast. Fresh eggs and omelettes are great! Excellent location, have everything you need in walking distance. For a small room the bathroom was quite good aswell.","Sydney, Australia","stravel7</div><div class=""userLoc""><strong>Sydney, Australia</strong>",6,4.0
747458410,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"February 24, 2020",great value and comfortable to travel along tokyo walk by 10 mins to JR. Bedroom is clean and nice facility in room.Quiet and feel free at night.reception at lobby is good communication excellent work.Will come again next time.,"Bangkok, Thailand","chaiwatpIRF</div><div class=""userLoc""><strong>Bangkok, Thailand</strong>",0,5.0
746623657,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"February 21, 2020","To get there, from the Shinjuku Station use the South Exit, turn left and walk for about 10 minutes, then turn left at the start of the Shinjuku Gyoen National Garden entrance and then turn right. It takes about 10-15 minutes walk from the Shinjuku station. Hotel is one block over from the Shinjuku Gyoen National Garden (closed on Mondays).Overall the hotel is quite new, small lobby and is generally quite clean. Has an Onsen which I did not use (didn't want to frighten the locals).They only provide water after the first cleaning so the room will be empty whan you arrive. The rooms are very small and clean.The shower does not allow you to adjust the flow of water so it is set at very strong and will often flood the floor if you done set the screen properly.Quite good value being in Tokyo and would stay again.","Perth, Australia","Stephen6945</div><div class=""userLoc""><strong>Perth, Australia</strong>",16,5.0
745975729,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"February 18, 2020","Great value hotel for single travelers. The hotel is kind of a 15-20 mins walk from JR shinjuku station but I only need to use JR station on the days of arrival and departure. Otherwise the hotel is conveniently located close to Shinjuku gyoenmae and Shinjuku Sanchome station. Another benefit of this hotel is it’s very quiet at night, unlike other inexpensive hotels near kabukicho where you can encounter LOTS of pimps on your way back to the hotel every night. I did take others’ recommendation to book a double bed and the room size is ok enough for me to open up my one 24 in luggage. Overall a nice hotel and the hot tub access is the icing on the cake. Would definitely come back again.","Clifton Park, New York","peterhuangny</div><div class=""userLoc""><strong>Clifton Park, New York</strong>",1,4.0
745059789,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"February 14, 2020","While room is small, is okay for one person, I have no complains. The facilities and location are nice. Good bed, good shower and toilet. Quick service. Excellent location just right next to everything, and less than 10 mins walk to central shinjuku station. Pillows are thin as a towel. The internet was not working on a weekend (hotel was full). After warming up the room the A/C won't switch to cooling, so you basically need to open your door to cool your room otherwise it will be too hot. With this warning you'll be fine.","Tampere, Finland","juusor2020</div><div class=""userLoc""><strong>Tampere, Finland</strong>",21,4.0
744164372,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"February 10, 2020","Great staff, love the onsen, rooms are a little small but its central tokyo what do you expect . smoking rooms are a bonus. i really like the freshness burger next door best fast food ever. stayed here twice","Canberra, Australia","Pilgor</div><div class=""userLoc""><strong>Canberra, Australia</strong>",0,3.0
741850588,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"January 28, 2020","I spent 10 nights here. I have stayed at other properties within the APA chain, and they are all very similar. This hotel is a 10 minute walk from Shinjuku station (Take the East exit, and walk straight east along Shinjuku-Chome Street), or a 2-minute walk from (M10) Shinjuku-Gyonmae Station (use Entrance 1 or 3). Family Mart and 7-11 and pharmacy are steps away. There's also a small grocery store next to 7-11 where you can buy fruit, as well as lots of restaurants within a short walking distance.Rooms are small, but has almost everything you need. There is a free onsen in the basement (from 6am to 12am). Many of the floors are smoke-free.They provide a yukata robe (changed daily) and slippers. Small bar fridge, kettle, hairdryer and all toiletries except body lotion, are provided. However, there is no room for any unpacking and storage of clothes. The TV only has one English Channel - BBC. While the bed itself is comfortable, the flat, Japanese pillows are not very comfortable. There is good, strong Internet. Coffee and Green Tea provided daily, as well as bottled water whenever your room is cleaned.","Toronto, Canada","Therichpeasant</div><div class=""userLoc""><strong>Toronto, Canada</strong>",121,4.0
739949396,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"January 18, 2020","Staff very friendly and SPOKE ENGLISH!Great location, 1 minute walk to a metro station, not very well connected but from that line you can connect easily to other lines. Also walking distance from Shinjuku shops, bar and restaurants area. The room is very small but very clean and nice. Bed very confortable. There is a spa which is free and very good (a nude jacuzzi, separate men and women, a strange experience though).","Jerusalem, Israel","OrlyH_13</div><div class=""userLoc""><strong>Jerusalem, Israel</strong>",147,4.0
739429076,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"January 16, 2020","Be ready for tiny rooms - luggage opening and moving around are tough! Bathroom is Japanese modular unit-also tiny! The room is a bit stuffy too. As a solo, it would be better. Given that we arrived before NYE, we paid a lot for the small space. :(Pro is the location-its 5-10 min walk to all the stations in Shinjuku. There is a great gyoza place right across for late night grub. Staff is friendly and helpful with tons of info. Would not stay again. ","Luzon, Philippines","nishi381</div><div class=""userLoc""><strong>Luzon, Philippines</strong>",44,3.0
738003402,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"January 9, 2020","Located not far from JR Shinjuku station and situated on a rather quiet street. Check i in and check were a breeze. Rooms were tiny as expected since this is Tokyo, but they were well maintained and very clean. There was a system announcement in the morning in Japanese and it took several minutes for staff to address this over the PA system in English to assure guests that it was a false fire alarm. I think that could've been handled better.","Singapore, Singapore","dys</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",63,4.0
736700897,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"January 3, 2020",It was very closed to the center and convenience for subway and metro line.The room very small no space enough for 2 bags but staff at the reception can speak English well The room was very clean and shiseido amenity goods i love shampoo and body bath and paper bird on bed when we arrived If I go to Tokyo alone again will stay here because its safe and easy for transportation,Thailand,"JinnyAea</div><div class=""userLoc""><strong>Thailand</strong>",1,4.0
736248112,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"January 2, 2020","We were two people for 5 nights. The rooms are so small. There was just enough room to squeeze one bag at foot of bed. The rooms are very clean, the bed itself is comfortable. We had to ask the front desk for North American style pillows, as the ones provided in the rooms are more like flat head mats. (They do have big fluffy pillows available but they were hesitant to give them to us, which we found a bit frustrating.). The tub is tiny but the water pressure is good. There are coin laundry machines in the basement - 500 yen for a wash (it includes soap) and 100 yen for 30 minutes for dryer (we found we needed at least one hour for clothes to dry, just throw in 200 yen at once). Gyoemmae is sorta at the edge of Shinjuku, so it’s a bit quieter. There are lots of restaurants nearby, and it’s walkable ie 10 minutes to central Shinjuku. This hotel is right next to a metro stop.","Toronto, Canada","Esspoe</div><div class=""userLoc""><strong>Toronto, Canada</strong>",22,3.0
735713014,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"December 30, 2019","The room is really very small, no space to leave the bags on the floor, bed also very small for 2 persons,The mattress was very good, the pillow unusual for us but ok, everything was clean, no lobby, not even a chair to sit and wait at the entrance (should be easy to do),At the good side is, there are some washing machines with dryers, a microwave, and a vending machine.","Vienna, Austria","502hannesb</div><div class=""userLoc""><strong>Vienna, Austria</strong>",4,3.0
732892180,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"December 15, 2019","We stayed for one night, Two adults with two back packs and Two hand luggage bags, it was very small and cramped but fine for one night and very good value for money.The rooms are extremely clean.The pillows are not great and extremely thin.The shower sprays everywhere and floods the bathroom.No coffee, but they do give you loads of very thoughtful lovely extras. they provide tissues, razors, hairband, cotton buds, toothbrush set, shower cap.slippers and Japanese style bathrobe to use as well as having a hairdryer, a kettle and shampoo, conditioner and bodywash.very good value for money and very clean in a good location for transport to Narita and shops, restaurants and sight seeing.check-in staff are extremely kind and sweet and welcoming, also speak very good english.15 minute walk with heavy luggage to main shinjuku station to catch Narita express to the airport.would reccommend for good value for money, covenience Nd good location and a clean cosy room for the night.","Belfast, United Kingdom","kelly19182016</div><div class=""userLoc""><strong>Belfast, United Kingdom</strong>",27,4.0
732135802,https://www.tripadvisor.com/Hotel_Review-g1066457-d6857433-Reviews-APA_Hotel_Shinjuku_Gyoemmae-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,APA Hotel Shinjuku Gyoemmae,"December 11, 2019","This was our first stay at an APA hotel, and based on our experience, we'd gladly stay again (with some caveats). Located just 150 meters from the main entrance of the Shinjuku Gyoenmae station, and immediately across the street from the Shinjuku Gyoen park, the hotel is cozy, staff are efficient and friendly, and the bonus is having an onsite public bath AND coin laundry on the same floor (which we used since we were traveling with kids). The rooms are typical of Tokyo hotels: Tiny, but extremely clean and efficiently organised. We also enjoyed the breakfast spread (be careful, we had a bit of a misunderstanding with the breakfast vouchers) and the street is filled with local eateries and at least 3 convenience stores. The neighborhood isn't as seedy as some say, compared to Kabukicho, and it's pretty calm at night yet a short walk takes you to the heart of the Shinjuku madness. There's much to like, so much in fact we're considering to stay again in an APA property the next time we're in Tokyo.","Petaling Jaya, Malaysia","Ash Y</div><div class=""userLoc""><strong>Petaling Jaya, Malaysia</strong>",5,4.0
