review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752860464,https://www.tripadvisor.com/Hotel_Review-g14133667-d8557280-Reviews-APA_Hotel_Shinjuku_Kabukicho_Tower-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,APA Hotel Shinjuku Kabukicho Tower,"April 23, 2020","Stayed here for 2 nights, even though the room size is small, it’s common in Tokyo which I am not complaining about. Value for money and great location. Convenience store right opposite the hotel. If you are a guy looking for prostitutes and hookers, don’t miss out on this hotel as there are usually a few standing near the hotel entrance for you to choose from. Highly recommend it!","Sydney, Australia","iluv69</div><div class=""userLoc""><strong>Sydney, Australia</strong>",238,5.0
683165846,https://www.tripadvisor.com/Hotel_Review-g14133667-d8557280-Reviews-APA_Hotel_Shinjuku_Kabukicho_Tower-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,APA Hotel Shinjuku Kabukicho Tower,"June 21, 2019",Nice hotel. Easy to find and near to shinjuku station. Only thing that let it down was the prostitutes which hung around near the door every night. If the hotel moved them on then it would have made it a lot nicer to stay there,"Royton, United Kingdom","Cazwaite</div><div class=""userLoc""><strong>Royton, United Kingdom</strong>",12,5.0
748250454,https://www.tripadvisor.com/Hotel_Review-g14133667-d8557280-Reviews-APA_Hotel_Shinjuku_Kabukicho_Tower-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,APA Hotel Shinjuku Kabukicho Tower,"February 28, 2020","Room is small usually in Japan.But the design of the desk is too big.We booked the double bed room.With 2 full size luggage, no space to walk.But location is good. At the head of Godzilla Street. Will not book here again.","Singapore, Singapore","sevenpapa</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",3,1.0
743514770,https://www.tripadvisor.com/Hotel_Review-g14133667-d8557280-Reviews-APA_Hotel_Shinjuku_Kabukicho_Tower-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,APA Hotel Shinjuku Kabukicho Tower,"February 7, 2020","We have previously stayed in other hotels from the APA group so we knew what to expect. This particular branch is in the heart of Shinjuku nightlife and you are right next to shops, restaurants, bars etc. It is however about 10-15 walk from main Shinjuku station so be warned if you have got heavy bags with you and wanna walk it.The rooms are small like other japanese hotels. But they are clean with all that you need.There is Japanese public bath located on site if you are interested in the experience. Its less intimidating for the first timer.","Guildford, United Kingdom","Avkwong</div><div class=""userLoc""><strong>Guildford, United Kingdom</strong>",32,4.0
743441866,https://www.tripadvisor.com/Hotel_Review-g14133667-d8557280-Reviews-APA_Hotel_Shinjuku_Kabukicho_Tower-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,APA Hotel Shinjuku Kabukicho Tower,"February 6, 2020","There are many APA in Tokyo saw 6-8 just walking around our area in Shinjuku,This hotel appears to be new, rooms small like most business hotel in Japan, bed and pillow were soft and flat but suprisingly comfortable, staff speak good English, located in the middle of red light district but no problem, easy 15 mins walk from JR Shinjuku station, we bought round trip NEX ticket for 4200 Yen, one way is over 3000, no need to transfer - direct to Shinjuku and walk North to hotel.",,L8096WRsamuelc,19,5.0
740545440,https://www.tripadvisor.com/Hotel_Review-g14133667-d8557280-Reviews-APA_Hotel_Shinjuku_Kabukicho_Tower-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,APA Hotel Shinjuku Kabukicho Tower,"January 21, 2020","Try to contact the hotel after the booking ..but the phone number is not working and the email do not get any reply. It is hard to contact without email. And call everytime , the phone say the phone number is not correct","Hong Kong, China","jonesitaly</div><div class=""userLoc""><strong>Hong Kong, China</strong>",0,3.0
739974643,https://www.tripadvisor.com/Hotel_Review-g14133667-d8557280-Reviews-APA_Hotel_Shinjuku_Kabukicho_Tower-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,APA Hotel Shinjuku Kabukicho Tower,"January 19, 2020","This place is very good and it's location can't be beat for the nightlife in Shinjuku. Rooms are tiny but reasonably comfortable. Decent shower and bed. Breakfast is excellent and has a decent variety of items on offer. If you have tattoos you can't use the spa facilities, so I didn't as I have quite a few. It is close to everything including the Shinjuku station. Pillows are kind of lame but you can request a real pillow. I would do that as you check in as they have a limited amount of them.","Breckenridge, Colorado","SiriusSkier23</div><div class=""userLoc""><strong>Breckenridge, Colorado</strong>",197,4.0
737710620,https://www.tripadvisor.com/Hotel_Review-g14133667-d8557280-Reviews-APA_Hotel_Shinjuku_Kabukicho_Tower-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,APA Hotel Shinjuku Kabukicho Tower,"January 7, 2020","Great location, 10 minutes walk from Shinjuku station, a key station if you need multiple travel such as Shinkansen beside Tokyo wide movement. Plenty of eats around, from ramen to Sushi to Yakitori and Sukiyaki. It has great izakayas or Japanese pub for the salarymen and great to chill after a long day of business. It is otherwise also a seedy location after 11 pm where the area is also is a known red light district. Around APA you can prostitutes standing around from midnight.About this hotel, I have stayed here multiple times as I am in Tokyo every 2 months or so for business. My work takes me to Nakano, Shibuya and sometimes Ueno. Usually I would also make a trip to Osaka by Shinkansen. Hence Shinjuku is at the heart of all my travels, extremely convenient. Though there are other choices such as Prince etc another reason I love this hotel, is because I smoke, and they offer smoking rooms. As I understand, many travellers hated this hotel for the same reason, as even if they request for non smoking room, they can smell the tobacco. Another of my love of this hotel is they have a rooftop onsen free to guests. Nothing like a hot dip after a long day of business to sooth the nerves. Only complain is the onsen is very small, and usually full of rowdy tourists. Also be warned, the rooms here are very very small, you dont even have space for a large luggage. As I am here for work and not shopping, I didnt mind the size. Some other travellers complained the staff are rude. I would say probably some of the lobby counter staffs. Most room cleaning staffs are very nice. Some counter experience aren't so great. But since I am familiar with the hotel and their amenities, I didn't care much what the staffs say as I am aware the check in process is automated. Passport and form filling is a necessary procedure for hotels, even though I am here every 2 months staying at the same hotel, I fill in my name and particulars every time, even though I was pre-booked. That's procedure for you, no exceptions.Lastly, this may sound weird, but that's how unflexible the counter staff can be. Came in on a red eye flight, arrive 9 am, the room is not ready, ok I understand, deposit luggage and goes out to work and come back to the room in the afternoon is fine. Though if you ask for a toilet use so you can freshen up, they will direct you back to the public toilets back where you came from near Shinjuku station. Though level 2 they have a restaurant, Common Room, with multiple toilet facilities. BUT their point is, you are not a guest YET. So no. You can't use the toilet. So yea, be prepared. Freshen up at Odakyu or Lumine at Shinjuku station ahead. At APA, when you haven't get your room, you arent their guest.",,StefanS2173,1,4.0
736680694,https://www.tripadvisor.com/Hotel_Review-g14133667-d8557280-Reviews-APA_Hotel_Shinjuku_Kabukicho_Tower-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,APA Hotel Shinjuku Kabukicho Tower,"January 3, 2020","The booking for the hotel was a complex process as staff and client need to enter allDocuments in a e-desk and neither of us could manage that easily...I must say , the exit process is much easier.Anyway, once you get into the rooms , it looks small but very sparkling clean ,Modern and comfortable.A usual room is the size of 2 double beds, hahah, but it s fine for a few days.There is a cleaner laundromat 8 mn from the hotel , asMy son mentioned !!!The best part of Apa hotel is that it is in the heart of shinjuku night life , and still not noisy!!! ","Emirate of Abu Dhabi, United Arab Emirates","625marinette</div><div class=""userLoc""><strong>Emirate of Abu Dhabi, United Arab Emirates</strong>",72,4.0
735536673,https://www.tripadvisor.com/Hotel_Review-g14133667-d8557280-Reviews-APA_Hotel_Shinjuku_Kabukicho_Tower-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,APA Hotel Shinjuku Kabukicho Tower,"December 30, 2019","The tower and its location are quite funky, in the middle of all the action and close to the station. How the lobby looks 70s chic despite the whole building being much younger is a mistery to me but that might be down to taste.However the rooms are very, very small, even for Japan. The hallway is super cold as if the tower was open at the top, so the cold immediately creeps in if you don't crank up the AC, temperature control can be tricky. The pillows and the bed were uncomfortable AF. I'd say it's a good place to stay if you're a solo traveller, otherwise it's not great.I didn't mind the knocking sounds at night, the area is known for lots of people having 'late night visitors' but I didnt have a great sleep either.","Hong Kong, China","Florian L</div><div class=""userLoc""><strong>Hong Kong, China</strong>",9,3.0
733782594,https://www.tripadvisor.com/Hotel_Review-g14133667-d8557280-Reviews-APA_Hotel_Shinjuku_Kabukicho_Tower-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,APA Hotel Shinjuku Kabukicho Tower,"December 20, 2019","Stayed for 4 nights at APA Hotel Shinjuku Kabukicho Tower. It must have been my 7th stay at this hotel. It is affordable yet the standard is good! I choose this hotel whenever I visit Tokyo as it is conveniently located near Shinjuku Station (East Exit) and there are a lot of shops and eateries nearby. Although Kabukicho is supposed to be the ‘red light district’, it didn’t bother me much. Most of the touts didn’t really disturb me when I passed by at night. The hotel is basic yet clean and comfortable. The room is small (as expected of Japanese hotels) but the bed is comfortable (although the pillow is too thin!). The sento (indoor bath) at the top floor is a great place to relax after a long day out. The staff are courteous and provide great service (as with most service staff in Japan). No problems communicating as the staff are able to speak English well. Will definitely choose to stay here again when I’m back in Tokyo! ","Singapore, Singapore","rr0sales</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",32,4.0
733334253,https://www.tripadvisor.com/Hotel_Review-g14133667-d8557280-Reviews-APA_Hotel_Shinjuku_Kabukicho_Tower-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,APA Hotel Shinjuku Kabukicho Tower,"December 17, 2019","We stayed here one night just to be near the airport for our flight the next day. When I wasLooking at check-in info the night before I noticed our booking was down as a smoking room, which neither me nor my partner smoke so would never have selected this. We booked through booking.com and I would have noticed this if it was explicitly listed during booking, so unfortunate, but not the hotels fault. I asked at check-in whether they had any non-smoking rooms but they said they were all full, again, not their fault, just be weary during booking! The room did smell of smoke but we opened the window as far as it would go (which wasn’t far unfortunately as it was one of those high-rise windows that only open a crack). The room did have a air purifier though which we put on. Once you got used to it it wasn’t too bad, and when we left I was smelling our clothes and bags and no smell seemed to stick. The room was however very very hot, and I tried the air conditioning but to no avail.I am sure if I went to reception they would have helped but I was only there such a short time I just let it slide. Very nice hotel though, very pleasant staff, would return, just make sure it’s a non-smoking room! ","Newcastle upon Tyne, United Kingdom","AmateurAdventure</div><div class=""userLoc""><strong>Newcastle upon Tyne, United Kingdom</strong>",22,4.0
729016534,https://www.tripadvisor.com/Hotel_Review-g14133667-d8557280-Reviews-APA_Hotel_Shinjuku_Kabukicho_Tower-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,APA Hotel Shinjuku Kabukicho Tower,"November 26, 2019","First of all the room is fine if you’re one person, using it to only sleep and you don’t mind listening to other people have sex or not being able to control the air conditioning. If you are more than one person, if you can’t sleep while listening to constant banging on the walls from local prostitutes, if you like to have enough room to actually open your suitcase and unpack it, and if you like to be able to controlThe temperature of the room DO NOT BOOK. I am very ill and have a fever and I could not get the aircon to work. I was toldto open the door as the hotel aircon would only be blowing hot today. Absolutely awful stay would not recommend to my worst enemy.","London, United Kingdom","Shanahan93</div><div class=""userLoc""><strong>London, United Kingdom</strong>",1,1.0
728911329,https://www.tripadvisor.com/Hotel_Review-g14133667-d8557280-Reviews-APA_Hotel_Shinjuku_Kabukicho_Tower-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,APA Hotel Shinjuku Kabukicho Tower,"November 25, 2019","Stayed here in January and this seems to be my ""go to"" place to stay in the city. Clean, modern, convenient and excellent staff. Prices can vary depending on demand, so bets to book as far in advance as you can. Rooftop onsen is fantastic.","Sydney, Australia","brysc01</div><div class=""userLoc""><strong>Sydney, Australia</strong>",130,4.0
