review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752329491,https://www.tripadvisor.com/Hotel_Review-g60982-d87017-Reviews-Airport_Honolulu_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Airport Honolulu Hotel,"April 6, 2020","The hotel is nice and clean, even during the COVID19. I like the handicap room, which is close to the ice machine, laundry, and vending machine. Before the covid19 hit, the hotel was well maintain, my room was always clean. Staff are friendly. I especially want to shout out to ROFEL for all her fantastic friendliness and always keeping my room clean even during the current pandemic COVID19. She have a passion for her work, she remember my schedule, which she use to keep my room clean with all the right social distancing applied. Many Many thanks for your kindness. You are ESSENTIAL!",,hihoTony,0,5.0
688725497,https://www.tripadvisor.com/Hotel_Review-g60982-d87017-Reviews-Airport_Honolulu_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Airport Honolulu Hotel,"July 11, 2019",Very Nice airport hotel for a transit or a stay in Honolulu. Warm welcome. Devoted welcoming bellstaff as soon as shuttle doors opened. Efficient nice helpful staff at front desk. Cup of coffee or tea offered at checkout. Clean comfortable rooms. Good wifi. Effective air conditionning. Coffee or tea in room. Fridge. Iron. Restaurant and shops for souvenirs or essentiels. I highly recommend this airport hotel for leisure or business.,,Christophe B,6,5.0
751890692,https://www.tripadvisor.com/Hotel_Review-g60982-d87017-Reviews-Airport_Honolulu_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Airport Honolulu Hotel,"March 27, 2020",The hotel was great. Clean room and is dated a little bit very clean. Bed was comfortable and had a microwave and freezer if you were staying longer. We stayed for only one night before a flight home. The free bus transfer took us at 5 am to the airport and he was lovely. We had a good experience. ,"Mudgee, Australia","jodiep769</div><div class=""userLoc""><strong>Mudgee, Australia</strong>",0,5.0
750927062,https://www.tripadvisor.com/Hotel_Review-g60982-d87017-Reviews-Airport_Honolulu_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Airport Honolulu Hotel,"March 14, 2020","Great place to stay! The hotel is in a safe area, within 5-10 minutes from JBPHH, NEX, and the airport. The hotel staff were so friendly and helpful as well as the maid staff! HUGE shoutout to the maid staff and especially Ms. Nieda for her warm welcome, service and assistance. She truly embodies the “E komo mai” and Aloha spirit.Thank you very much for making our families stay memorable!",,par671GUAM,0,5.0
750263150,https://www.tripadvisor.com/Hotel_Review-g60982-d87017-Reviews-Airport_Honolulu_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Airport Honolulu Hotel,"March 10, 2020","We just needed an overnight place to sleep. The place needs an upgrade in the worst way. It was humid inside the hotel, the decor looks like it hasn't been updated in eons and we couldn't wait to get out of there. Pity because it's right at the airport, they offer pickup and delivery to/from the terminal and the room was clean.","Laguna Beach, California","HappyTraveler92651</div><div class=""userLoc""><strong>Laguna Beach, California</strong>",4,2.0
749934172,https://www.tripadvisor.com/Hotel_Review-g60982-d87017-Reviews-Airport_Honolulu_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Airport Honolulu Hotel,"March 8, 2020","Stayed here for one night as I arrived late and had a early afternoon flight out. Shuttle is very handy and location is great. Close to airport, fast food and bus stop. USS Arizona Memorial only 10min away by city bus. Gift shop open late for snacks and drinks.","Boise, Idaho","alaskansurfer</div><div class=""userLoc""><strong>Boise, Idaho</strong>",34,5.0
748937532,https://www.tripadvisor.com/Hotel_Review-g60982-d87017-Reviews-Airport_Honolulu_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Airport Honolulu Hotel,"March 3, 2020","I had a good time staying, (13days) everyone was nice and helpful. Gigi our housekeeper went the extra mile to help, she is diligent and trustworthy.But the hotel Wifi service was crappy and unreliable. They need to improve their bandwidth to the top floors.",,Travel84960,0,5.0
748648744,https://www.tripadvisor.com/Hotel_Review-g60982-d87017-Reviews-Airport_Honolulu_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Airport Honolulu Hotel,"March 1, 2020",We have been staying here for about 3 weeks (military move) now and are very content here. We’ve had to do a lot of running around with car shopping and house hunting so the location has been great for that. The hotel is centrally located on the island and literally right next to the airport. The room we have is comfy enough for the four of us and Teresita has been great about keeping our room clean and always making sure we have everything we need. We’ve dined at the restaurant pretty much every night. They have a variety of foods which are all good and the staff there are all so friendly. I would definitely recommend this hotel and would stay here again.,"San Francisco, California","eritravelin</div><div class=""userLoc""><strong>San Francisco, California</strong>",0,4.0
748149400,https://www.tripadvisor.com/Hotel_Review-g60982-d87017-Reviews-Airport_Honolulu_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Airport Honolulu Hotel,"February 28, 2020","Restaurant only serves dinner (bummer, I'm a breakfast eater); night front desk clerk a bit cranky, but day clerks are all very lively and welcoming; housekeeping is their best department - thank you, Mila, Marriane, and Elie for always keeping our room clean and free of negativity (lol). Been here for three weeks now, and will be here another 3-4 weeks. My family and I could stay at any top notch hotel in Honolulu on my insurance dime, yet we're here and very much content..this place ain't so bad//","Honolulu, Hawaii","craulo1027</div><div class=""userLoc""><strong>Honolulu, Hawaii</strong>",4,4.0
747665000,https://www.tripadvisor.com/Hotel_Review-g60982-d87017-Reviews-Airport_Honolulu_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Airport Honolulu Hotel,"February 25, 2020","I was very surprised when I checked in to the hotel.......it was very easy to get a FREE ride to the hotel ....the phone was at the baggage pickup 8 made a call and they were there in about 15 min.........fast polite check-in.....and very helpful finding places to eat near the hotel.......the room was quiet and clean lots of space and even a pool........there was a strip mall just 2 blocks from the hotel with a wide selection of places to eat.......even a Dunken Doughnuts ......free newspapers every morning and hot cocoa , coffee or tea......great microwave and mini fridge ......the only sad thing was that if you wanted to watch movies it was an extra $30.......local stations were Free","Pahoa, Hawaii","norman m</div><div class=""userLoc""><strong>Pahoa, Hawaii</strong>",79,4.0
