review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753478029,https://www.tripadvisor.com/Hotel_Review-g1066443-d307319-Reviews-Akasaka_Excel_Hotel_Tokyu-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Akasaka Excel Hotel Tokyu,"May 12, 2020",My son and I stayed here for one night during the Rugby World Cup. The previous night we were at the Hilton Odaiba. We had dinner with friends at the Ninja Restaurant next door to the Akasaka Excel so decided to stay here. It is your typical Japanese hotel. We arrived an hour before check-in but couldn't go to our room (normal in Japan). We came back and had to queue for some time as there was only one staff member on the desk. This was not your usual Japanese service.The room was small but fine. The beds were very comfortable and there were some nice shower amenities. The window was only single glaze but there was very little traffic outside at night so noise wasn't a problem. We got some breakfast at the 7-11 in the basement of the hotel.This hotel was fine for a night.,"Brisbane, Australia","mjref</div><div class=""userLoc""><strong>Brisbane, Australia</strong>",43,3.0
753331429,https://www.tripadvisor.com/Hotel_Review-g1066443-d307319-Reviews-Akasaka_Excel_Hotel_Tokyu-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Akasaka Excel Hotel Tokyu,"May 7, 2020","This comfortable hotel is conveniently located in downtownTokyo, which makes it easily accessible for tourists who want to be in the center of everything. This hotel looks rather like every other hotel (there's not a lot of ""unique traits""), but it's still nicely designed and the staff are pleasant and helpful. The rooms have sufficient space for the standard tourist's needs, and the shower in particular was fantastic (not a universal thing for hotels). We had a Nespresso machine in our room.","Manchester, Connecticut","dustythoughts</div><div class=""userLoc""><strong>Manchester, Connecticut</strong>",258,4.0
747712886,https://www.tripadvisor.com/Hotel_Review-g1066443-d307319-Reviews-Akasaka_Excel_Hotel_Tokyu-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Akasaka Excel Hotel Tokyu,"February 26, 2020",Whilst there wasn’t much soul to this hotel & the reception staff seemed a little robotic... the location is good (sits on top of the GINZA line). We could run in the park behind the hotel and to The Imperial Palace. One downside (As with many hotels in winter) was the room heater (fixed thermostat) But... fortunately we could open the window for some cooler “Air-conditioning”. ,"Singapore, Singapore","SapereAude2065</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",8,4.0
742793366,https://www.tripadvisor.com/Hotel_Review-g1066443-d307319-Reviews-Akasaka_Excel_Hotel_Tokyu-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Akasaka Excel Hotel Tokyu,"February 3, 2020","I’ve travelled to Tokyo many times and lived here. In February 2020 we stayed with kids in 20s and grandma. Couldn’t have picked a better location- the hotel is on top of a station with a bunch of subway lines so few train changes required & a only a couple of stops to everything. No long underground treks to get to the platform so easy for grandma. In-room Nespresso machines & a box of weetbix from home meant we could pace ourselves in the morning. Good sized rooms, great service, great showers. Great restaurants across the road & in hotel. ",,Ambassador507636,3,5.0
727173936,https://www.tripadvisor.com/Hotel_Review-g1066443-d307319-Reviews-Akasaka_Excel_Hotel_Tokyu-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Akasaka Excel Hotel Tokyu,"November 17, 2019","Location:This is the hotel from where nothing is very far. Train station is less than 5 minutes walk. Roopongi, Shinzuku, Ginza, Shibya all can be reached in 20 Minutes or so. You get a direct bus to hotel to/from Airport and that's the easiest way to reach hotel.Room:I used 19 sq m room and that was enough for a single person. The room like most hotels in Tokyo was small but sufficient. Breakfast:The Breakfast buffet has lots of options even for vegetarians.Service:The staff is very helpful and you don't face nay challenge even if you don't speak Japanese language.","New Delhi, India","Umang2008</div><div class=""userLoc""><strong>New Delhi, India</strong>",41,5.0
724164933,https://www.tripadvisor.com/Hotel_Review-g1066443-d307319-Reviews-Akasaka_Excel_Hotel_Tokyu-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Akasaka Excel Hotel Tokyu,"November 5, 2019",Small but functional rooms but no choice of pillows which were uncomfortable. Decent but expensive Japanese restaurant but poor range of food and limited fresh fruit at breakfast buffet. Helpful and friendly employees,"Lisbon, Portugal","Peter B</div><div class=""userLoc""><strong>Lisbon, Portugal</strong>",9,3.0
720994847,https://www.tripadvisor.com/Hotel_Review-g1066443-d307319-Reviews-Akasaka_Excel_Hotel_Tokyu-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Akasaka Excel Hotel Tokyu,"October 24, 2019","Great location, just across the road from the underground station. Plenty of restaurants and shops nearby. Good nightlife around the hotel just in a walking distance. The rooms aren’t massive but a decent size for Tokyo. The shower room was massive with everything you need. Highly recommended!","London, United Kingdom","312tamirt</div><div class=""userLoc""><strong>London, United Kingdom</strong>",21,5.0
720526728,https://www.tripadvisor.com/Hotel_Review-g1066443-d307319-Reviews-Akasaka_Excel_Hotel_Tokyu-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Akasaka Excel Hotel Tokyu,"October 22, 2019","I chose this hotel for its central location, and I couldn't have been happier with it. It was close to five Metro lines (Akasaka-mitsuke & Nagatacho stations) which made getting around the city via train very easy. The hotel also had a 7-11 in its lobby, which was very convenient for getting water and snacks (more on this later).The check-in process was very smooth when I arrived at around 7pm. My room was on the larger side for Japanese rooms, with a good sized desk, clean, and located on the quiet side of the building facing some green space surrounding a few government buildings. The room included all the amenities you could need, including a small fridge, electric kettle, single cup coffee maker, hair dryer, and pants press. The bathroom also contained many single-use convenience items like toothbrushes/toothpaste, cotton swabs, hair comb, razor, etc. The glass-enclosed shower was large and contained a multi-function shower (overhead shower, body spray, or hand-held wand) with excellent water pressure. The wifi was a little finicky, where I'd have to force my iPad to ""forget"" the network so I could log in again to get it to work, but that was usually limited to once a day, and it was speedy the rest of the time.I would like to give extra praise to the hotel staff. When Typhoon Hagibis hit, everyone in the hotel was very helpful in answering questions. They communicated when they weren't able to have room service or have housekeeping come around (though you could always call the front desk for extra towels or other items). And the 7-11 in the lobby was perfect for grabbing food and water in case anything happened. In the end, the hotel never lost power, and the food I grabbed at 7-11 saved me as most everything nearby shut down by 1pm on Saturday and didn't open for 24 hours. I would definitely stay at this hotel again, though hopefully next time without a typhoon!","Cambridge, Massachusetts","kalanz02</div><div class=""userLoc""><strong>Cambridge, Massachusetts</strong>",14,4.0
718586587,https://www.tripadvisor.com/Hotel_Review-g1066443-d307319-Reviews-Akasaka_Excel_Hotel_Tokyu-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Akasaka Excel Hotel Tokyu,"October 15, 2019","We traveled as a family of 6 for the World Cup in Japan. This was our second port of call in Japan having traveled up from Osaka. We had 2 rooms booked but decided a third would be needed. We asked for a price for the third room and were given it. We decided to look on other booking sites before deciding. We found a room in the hotel on Booking.com for a much lower price than we had just been offered by the hotel. We asked if they would match the Booking.com offer and they said NO.....No movement on price at all. So, we found ourselves in the position of my wife checking in to our 2 previously booked rooms will I sat down at reception and booked another room on my phone. We weren't looking for it to be cheaper than Booking.com and realistically if the hotel had have made a reasonable offer we would have taken the room directly from them but nope...The guy seemed to be senior and the other staff seemed a bit taken aback by his decision but there you go. To the hotel so....Lobby is on the 3rd floor, plenty of bars and restaurants in and around the building. A very good 7/11 on ground floor.Fine big rooms, good views, very comfortable. Staff very friendly and helpful except for our friend on reception. Metro station is one minute away. Plenty to see and do. Overall a very pleasant stay in a very nice property.","Dublin, Ireland","ljh777</div><div class=""userLoc""><strong>Dublin, Ireland</strong>",41,4.0
718078747,https://www.tripadvisor.com/Hotel_Review-g1066443-d307319-Reviews-Akasaka_Excel_Hotel_Tokyu-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Akasaka Excel Hotel Tokyu,"October 13, 2019","Ok hotel!We were a group of travelers. We stayed three nights. It was comfortable and satisfactory. The stuff was nice and attentive. The breakfast was excellent, in verity and taste.The room was tiny in terms of size and height. The decor in the room and in the public areas was absolutely outdated and need renovation. Overall, a reasonable place to stay Tokyo.","Tel Aviv, Israel","JosephArch100</div><div class=""userLoc""><strong>Tel Aviv, Israel</strong>",6,3.0
