review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753523324,https://www.tripadvisor.com/Hotel_Review-g60982-d86957-Reviews-Ala_Moana_Honolulu_by_Mantra-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ala Moana Honolulu by Mantra,"May 14, 2020","the rooms are dirty and not maintained. The Common areas & Meeting space is under renovation and they will be lovely when done but the rooms are sub-par. pricey for what you get. be sure to ask about all the extra fees they tack on to published room rate. Staff is not always friendly. Alleged ocean view is a long way away thru the other buildings and not worth additional charge. Kona rooms are the worst. Noisy, small, sometimes smelly, poorly maintained. Feels like a Motel 6. the only thing missing is the sani strip on the toilet. it is conveniently located near Ala Moana Shopping center. I used to stay there for business because it was so convenient but after the last visit, it is time to move on.",Hawaii,"J3776TVkathyc</div><div class=""userLoc""><strong>Hawaii</strong>",0,2.0
752517962,https://www.tripadvisor.com/Hotel_Review-g60982-d86957-Reviews-Ala_Moana_Honolulu_by_Mantra-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ala Moana Honolulu by Mantra,"April 11, 2020","The rooms are very small, with only a double bed. Rooms were dirty, and couldn’t even fit an open suitcase on the floor. The pool is terrible, don’t be fooled by the photos on the website, it looks bigger and nicer online. We asked if we could pay for an upgraded room because the one we were given was horrible, and we had just got engaged, however they wouldn’t let us change rooms. Long walk to Waikiki, with nil access to free shuttles. For the same price/ cheaper you can stay at Ohana East on wakikki, which is in a better location, bigger and nicer rooms and beds and includes free shuttles to Ala Moana.If you are a young couple or family (especially from Australia) please do not stay here.","Anaheim, California","Shaylee6</div><div class=""userLoc""><strong>Anaheim, California</strong>",0,1.0
752440239,https://www.tripadvisor.com/Hotel_Review-g60982-d86957-Reviews-Ala_Moana_Honolulu_by_Mantra-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ala Moana Honolulu by Mantra,"April 9, 2020","I and my husband simply enjoyed staying at this hotel. It is next to the Ala Moana Shopping mall which made it very convenience for us to get out of the hotel. Also, the hotel is next to Waikiki, literally right across the bridge. The staff at the Ala Moana were very helpful. There's even a scuba diving shop, a car rental, starbucks, and convenience store inside of the hotel. I an my husband did some scuba diving with ODA Scuba Store there. I think the scuba store really adds a nice touch to the hotel's image. We are looking forward to coming back again next year and staying at the Ala Moana Hotel. I highly recommend this hotel.","Honolulu, Hawaii","ChinaGirlBlue</div><div class=""userLoc""><strong>Honolulu, Hawaii</strong>",0,5.0
751728216,https://www.tripadvisor.com/Hotel_Review-g60982-d86957-Reviews-Ala_Moana_Honolulu_by_Mantra-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ala Moana Honolulu by Mantra,"March 24, 2020",We cannot thank the team enough for an amazing stay! The reception team are fantastic. The team were able to get us a room after a long early flight from las vegas. Its a true pleasure to have stayed! 5 star service on check in. Our room was amazing and the view breathtaking Thank you again! ,"Sydney, Australia","crystale832020</div><div class=""userLoc""><strong>Sydney, Australia</strong>",0,5.0
751635906,https://www.tripadvisor.com/Hotel_Review-g60982-d86957-Reviews-Ala_Moana_Honolulu_by_Mantra-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ala Moana Honolulu by Mantra,"March 22, 2020",The entire staff was very welcoming! In spite of all the renovations in progress our stay was undisturbed and very convenient as normal. We would not hesitate to return as usual every year. We would recommend your hotel to everyone.,"Waimanalo, Hawaii","cathcartthomas</div><div class=""userLoc""><strong>Waimanalo, Hawaii</strong>",0,5.0
751581445,https://www.tripadvisor.com/Hotel_Review-g60982-d86957-Reviews-Ala_Moana_Honolulu_by_Mantra-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ala Moana Honolulu by Mantra,"March 21, 2020","I stayed in here many times in the past when it was under different management and now I am shocked beyond shocked that such a rotten to the core poorly managed hotel could even continue operating. When I got here they told me for the first time ever that my room was subcontracted so I could not ask for amenities. They gave me a 24 hours service number. Fine, but the service number is not 24 hours. It is closed and if you contact them they take 72 hours to respond. I need a blanket right now. This room has no blanket and because of the pandemic all the stores nearby are closed and I can't even go out and buy one. Another thing is that the so-called concierge told me the beach ACROSS THE STREET was closed only to cars but not individuals. How could he not know what the main attraction of the hotel was? I went there and of course it was closed to individuals. The security kicked me out right away. Why did this hotel concierge not know such a basic thing?  I just checked in so who knows what other weird things I will encounter.","Oslo, Norway","MATTIE109</div><div class=""userLoc""><strong>Oslo, Norway</strong>",6,1.0
751452821,https://www.tripadvisor.com/Hotel_Review-g60982-d86957-Reviews-Ala_Moana_Honolulu_by_Mantra-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ala Moana Honolulu by Mantra,"March 19, 2020","We stayed the last 2 nights at this hotel during our 10 night stay in Hawaii.The hotel was chosen due to its close proximitely to Ala Moana Center for last minute shopping. From the second floor its a short walk across the car park and into the mall. You will find a supermarket Foodland Farms as well as many bars restaurants and mostly high end retail stores. This is the largest open air mall in the world.A 15 minute walk away is Wards Villiage where we had a fantastic Vietnamese Fusion meal at Piggy Smalls.We chose a room with a partial ocean view which was located on the 21st floor of the newer Waikiki Tower. There is a small balcony with a table and two chairs.Bed, pillows and room was comfortable. I thought that the tea and coffee supplies were light on and could have been more generous.Room was modern and clean.Bathroom is small but quite functional.There is some pool maintenance and lobby renovations occuring which didn't impact us at all. I heard no noise and didnt plan on using the pool. We were advised by email in advance of this maintenance work.On the top floor of this building is the excellent restaurant Prime Steak and Seafood with excellent views of the area including the ocean. Do get up there for happy hour where food and drinks are discounted from 4:30pm. It gets very busy so do up early.Overall a very good experience.","Melbourne, Australia","tommomelbourne</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",3352,4.0
750331557,https://www.tripadvisor.com/Hotel_Review-g60982-d86957-Reviews-Ala_Moana_Honolulu_by_Mantra-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ala Moana Honolulu by Mantra,"March 10, 2020","Staff was very pleasant, room was clean and neat. Minor inconveniences due to remodeling construction in the lobby, but well planned to minimize inconveniences. I wish they would offer Hawaiian Miles like before.",,makule1957,0,4.0
750266953,https://www.tripadvisor.com/Hotel_Review-g60982-d86957-Reviews-Ala_Moana_Honolulu_by_Mantra-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ala Moana Honolulu by Mantra,"March 10, 2020","My wife and I stayed at the hotel on our last trip to Honolulu. It was a nice hotel with a decent location and price. The rooms were a bit dated, but clean. I would recommend this hotel to anyone interested in a quality hotel at a fair price.","Austin, Texas","Traveler78738</div><div class=""userLoc""><strong>Austin, Texas</strong>",12,4.0
750172754,https://www.tripadvisor.com/Hotel_Review-g60982-d86957-Reviews-Ala_Moana_Honolulu_by_Mantra-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ala Moana Honolulu by Mantra,"March 9, 2020",Hotel is in a great location near Walmart an awesome mall and the beach and Marina... But the hotel was under construction no pool access had to get towels from the lobby. Giving it a 3 because I'm not sure what it really looks like everything was behind a board.. rooms are kinda small but some has a great view,"Dallas, Texas","karim f</div><div class=""userLoc""><strong>Dallas, Texas</strong>",8,3.0
