review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753356501,https://www.tripadvisor.com/Hotel_Review-g60763-d14149780-Reviews-Aliz_Hotel_Times_Square-New_York_City_New_York-or0.html?filterLang=en,Aliz Hotel Times Square,"May 8, 2020","After several negative iterations with Priceline and the hotel on the refund of my booking that had to be canceled due to international travel ban, the Hotel management agreed to a full refund. Thank you!","Vienna, Austria","diegomasera1</div><div class=""userLoc""><strong>Vienna, Austria</strong>",0,4.0
750838949,https://www.tripadvisor.com/Hotel_Review-g60763-d14149780-Reviews-Aliz_Hotel_Times_Square-New_York_City_New_York-or0.html?filterLang=en,Aliz Hotel Times Square,"March 14, 2020","Rooms aren’t spacious, but the service and quality is second to none. Restaurant is fantastic, and the staff was wonderful during a lot of uncertain times. The virus changed our plans, but the staff took wonderful care of us.","Orlando, Florida","ekenne258279</div><div class=""userLoc""><strong>Orlando, Florida</strong>",1,5.0
750249581,https://www.tripadvisor.com/Hotel_Review-g60763-d14149780-Reviews-Aliz_Hotel_Times_Square-New_York_City_New_York-or0.html?filterLang=en,Aliz Hotel Times Square,"March 10, 2020","Can't say enough about our stay and the staff. They were so professional, courteous, warm and friendly. The room was beautiful and very clean and had everything needed. The location was great. The restaurant downstairs, Farm to Burger, had great food, great staff, a nice atmosphere and was convenient and well priced. The rooftop bar, Irving on the Hudson, was beautiful with a great view and the drinks, food and staff were amazing. ",,GJVio,0,5.0
749473216,https://www.tripadvisor.com/Hotel_Review-g60763-d14149780-Reviews-Aliz_Hotel_Times_Square-New_York_City_New_York-or0.html?filterLang=en,Aliz Hotel Times Square,"March 6, 2020","Up charged to check in prior to 4:00 check in although room is ready . I’m a frequent business traveler and have never experienced this in my previous stay with the Aliz Left checked luggage unattended in middle of lobby . When asking the same Desk clerk is that where checked luggage is stored he replied unapologetically, “No, we have a secured area we put it in .:/","Raleigh, North Carolina","will892</div><div class=""userLoc""><strong>Raleigh, North Carolina</strong>",0,3.0
749078613,https://www.tripadvisor.com/Hotel_Review-g60763-d14149780-Reviews-Aliz_Hotel_Times_Square-New_York_City_New_York-or0.html?filterLang=en,Aliz Hotel Times Square,"March 4, 2020","It is in a great central location, but the street was actually relatively quiet. Attractive looking décor. Spotlessly clean throughout the whole hotel. Peaceful in the room, 18th floor no view. Comfortable beds. Nice complimentary coffee/tea machine. Yes, the room was small, but adequate and well equipped. The shower was good. Great views from top of hotel and probably from many rooms.Some staff were indifferent, some were very friendly, no different to all walks of life. The restaurant was a little lacking, it was very quiet, therefore lacking atmosphere and the staff were maybe not very well trained, constantly looking to see if we had finished eating, waiting to clear! The décor was interesting, it was a little expensive for what was available, but the food was tasty. Take a left out of the hotel and near the end of the street was a coffee shop selling goods much cheaper than Costa etc. No complaints at all, we would stay at this hotel again.",United Kingdom,"Tachikara</div><div class=""userLoc""><strong>United Kingdom</strong>",67,4.0
748652575,https://www.tripadvisor.com/Hotel_Review-g60763-d14149780-Reviews-Aliz_Hotel_Times_Square-New_York_City_New_York-or5.html?filterLang=en,Aliz Hotel Times Square,"March 2, 2020","If you want to stay near times square this is your hotel. Nice hotel, with nice rooms at the best location. Rooms are small but well equipped. Very comfortable but soft beds. Well equipped bathroom with good water power.The daily cleaning of the room is not the best. ","Andorra la Vella, Andorra","xus_boya</div><div class=""userLoc""><strong>Andorra la Vella, Andorra</strong>",1,4.0
747360034,https://www.tripadvisor.com/Hotel_Review-g60763-d14149780-Reviews-Aliz_Hotel_Times_Square-New_York_City_New_York-or5.html?filterLang=en,Aliz Hotel Times Square,"February 24, 2020","I booked a deluxe king room. The room is nice but quite smallbut it's OK as we are in Manhattan. Well located hotel. Noce bathroom but with shower only. 36th floor, beautiful view. 3 fairly fast elevators.Several problems:1. There was an air leak around the bedroom door which produces a hissing sound that can be heard very well. The second night, this hissing woke me up and kept me awake for part of the night. 2. Surprise, they charge $30 per day for coffee in the room, 2 bottles of 330ml of water per day, access to the Business Center (included elsewhere when available), to the Cycling studio (included where available), 3 tokens 20% discount at the restaurant and 10% on certain items on sale. Most people do not use these services. It ends up to $15 a bottle of water a day. Almost theft...3. Saturday evening, party on the 40th floor. From my room I hear the percussion of the music and the people screaming. Luckyly, the music stoppes short after 11:00 PM4. That Saturday evening, for the party, an elevator was reserved. Long delays for other customers who only have 2 elevators left.5. I Don't know what fabric is used for the top sheet of the bed but it was FULL of static electricity! Each time I was touching it I was having an electricity chock. I had to remove it from the bed.6. With my reservation, I received a coupon for a special gift (not knowing what it was). I showed it at the registration desk and they said they will took care of that. Don't know what it was.No way I'll go back to this hotel.","Mirabel, Canada","Yves L</div><div class=""userLoc""><strong>Mirabel, Canada</strong>",60,2.0
746497365,https://www.tripadvisor.com/Hotel_Review-g60763-d14149780-Reviews-Aliz_Hotel_Times_Square-New_York_City_New_York-or5.html?filterLang=en,Aliz Hotel Times Square,"February 21, 2020",The staff were all very accommodating Edwin and Zak would always make sure things were ok or if anything they could do to help with our stay. We arrived and they were right there helping with luggage. The front desk always answered all questions or printed out recommended restaurants.As expected rooms were small but very clean and organized for putting luggage in. Close to Times Square and Madison Square Garden. The 40 the floor lounge was great to meet up and have cocktails with our friends and the view was amazing.,"Hampton, Virginia","nedgood2016</div><div class=""userLoc""><strong>Hampton, Virginia</strong>",1,5.0
746315790,https://www.tripadvisor.com/Hotel_Review-g60763-d14149780-Reviews-Aliz_Hotel_Times_Square-New_York_City_New_York-or5.html?filterLang=en,Aliz Hotel Times Square,"February 20, 2020",This hotel would be great if you only have one or two people in a room. We had 4 and it was horrible. The hotel is nice but not well laid out or family friendly. The bar in the lobby is tiny as is the exercise room. ,"Atlanta, Georgia","Adill0422</div><div class=""userLoc""><strong>Atlanta, Georgia</strong>",0,3.0
746103562,https://www.tripadvisor.com/Hotel_Review-g60763-d14149780-Reviews-Aliz_Hotel_Times_Square-New_York_City_New_York-or5.html?filterLang=en,Aliz Hotel Times Square,"February 19, 2020",Took my mom to NYC for a girls trip. She loves to be in the thick of things so I searched for the perfect location. This was IT! It's super close to all the theaters and Times Square. It is right across the street from the Port Authority/bus terminal but we did not feel unsafe. Hotel was clean and service as great. The FarmtoBurger restaurant was fabulous. Best waffle I've EVER had. And the rooftop bar was simply exquisite. We will stay here again. ,"Lexington, Kentucky","lht1106</div><div class=""userLoc""><strong>Lexington, Kentucky</strong>",0,5.0
