review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
749389994,https://www.tripadvisor.com/Hotel_Review-g14129477-d7371377-Reviews-Aman_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Aman Tokyo,"March 5, 2020",Consistent service with my past Aman hotel experiences. Loved the amazing city views from our room and the convenient location. The hotel is beautifully designed inside and out. Can’t wait to come back again to try the sushi restaurant and go for another dip in the pool.,"Sunnyvale, California","evo247</div><div class=""userLoc""><strong>Sunnyvale, California</strong>",4,5.0
749264661,https://www.tripadvisor.com/Hotel_Review-g14129477-d7371377-Reviews-Aman_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Aman Tokyo,"March 5, 2020","Stayed for 3 days and everything at Aman is perfect. The hotel is exquisite. The staff are amazing, top notch service. The architecture really is incredible. I must say beautiful in all aspects. Wish we could stay longer. ","Vancouver, Canada","smoothescape</div><div class=""userLoc""><strong>Vancouver, Canada</strong>",6,5.0
746956250,https://www.tripadvisor.com/Hotel_Review-g14129477-d7371377-Reviews-Aman_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Aman Tokyo,"February 23, 2020","Although I live in Tokyo but I decided to take a break to stay in a hotel for the weekend because I haven't swum in the pool for months so I picked AMAN because I wanted to try their pool for a long time.I love the hotel lobby area. The high ceiling design is just so beautiful. Checking-in on a Sunday afternoon, the hotel looks like full of people in the lobby lounge having strawberries sweets. It was kind of loud and felt the hotel has become very commercial like other hotels in Japan trying to bring customers in with special promotion. When they first opened, the restaurant and lounge were more quite and relax.Anyhow I checked into my deluxe room. It was very spacious, much nicer than I expected. Very modern style Japanese which I liked. Long lounge chair, king size bed and a big bath tub. Then I went straight to the pool and swam for an hour. The pool was nice as expected. But they didn't have any magazines to read which was disappointed to be in the day bed. The pool was empty which was good for me. I also tried their o-furo (big Japanese bath area) also quite nice.At night, I didn't want to sleep yet so I went down to the bar and this is where the biggest disappointment came in. Although the afternoon crowd was gone, the bar was quite but the bartender wasn't friendly at all. I order a glass of wine, i guess he got pissed off that I didn't like the taste of it and asked for another one. When he was making a cocktail, I said to him that it looks good, he just returned with a bitter smile. A normal person will say what he is making or tried to talk to a customer when she si alone. Then I heard him using language to his colleague that it was not something a customers should hear. Anyhow, i took my wine and left because I didn't feel I was welcomed there. Hotel Amenities: No brand name items but the smell of the products were good.They should put an espresso machine or tea set in the room. Overall: Hotel ★★★★Design ★★★★★Service ★★★Cleanliness ★★★★★Location ★★★★","Tokyo, Japan","hotel_critic_sansan</div><div class=""userLoc""><strong>Tokyo, Japan</strong>",53,4.0
745398599,https://www.tripadvisor.com/Hotel_Review-g14129477-d7371377-Reviews-Aman_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Aman Tokyo,"February 16, 2020",An outstanding stay in a beautiful Aman in downtown Tokyo. Absolutely fabulous from check-in to check-out and the service was superb: the usual out- of- this-world Aman standards. The view from the suite with two rooms was pretty stellar and the interior decoration personified classic and modern Japan to perfection . I could stay here forever! Very very classy and with that profound Japanese aesthetic of understated elegance at play everywhere in the decor. Totally fell in love with the place. Arguably the best hotel room/suite in Tokyo and very close by the Imperial Palace. A stay here is a once- in- a lifetime experience not to be missed.,"Singapore, Singapore","karenmarieds</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",5,5.0
743365715,https://www.tripadvisor.com/Hotel_Review-g14129477-d7371377-Reviews-Aman_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Aman Tokyo,"February 6, 2020","Stayed here for 2 nights (second time after 3 years). Service is top notch. Not cheap but you get what you pay for - big luxurious room, full facilities, top notch service, excellent staff, and more. Location is not the best for me (I would have preferred it closer to Tokyo station) but it is convenient enough for a 5 star rating. ","Singapore, Singapore","snowtalk</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",38,5.0
741430870,https://www.tripadvisor.com/Hotel_Review-g14129477-d7371377-Reviews-Aman_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Aman Tokyo,"January 26, 2020","We stayed at Aman Tokyo in Dec 2018 for a couple nights. I love the hotel’s architecture. The lobby’s high ceiling is really gorgeous and and the room is very well designed and spacious. They provide an apple for your hot bath in the room which is very unique. Breakfast was pretty good. We tried the massage and it was expensive but just ok. The only complaint I had was the unfriendly receptionist when we check in and out. I can tell they treat people differently especially if you are not Japanese which is unacceptable for hotel that charge for more than USD 1,000/night. ","Vancouver, Canada","WWIJAYA</div><div class=""userLoc""><strong>Vancouver, Canada</strong>",20,4.0
737848499,https://www.tripadvisor.com/Hotel_Review-g14129477-d7371377-Reviews-Aman_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Aman Tokyo,"January 8, 2020","I have stayed at several urban five-star hotels (Park Hyatt New York, Four Seasons New York, Miami and Denver, Mandarin Oriental New York, St. Regis D.C., as far as I can recall) and Aman Tokyo is by far the best. The room is huge and beautifully furnished. The service is better than most Four Seasons (although I do love the staff at the New York downtown FS). The gym and the pool are sizable and offer unrivaled views. The only thing that was kind of just 'ok' is the breakfast.","Seattle, Washington","V3558XA</div><div class=""userLoc""><strong>Seattle, Washington</strong>",1,5.0
736116193,https://www.tripadvisor.com/Hotel_Review-g14129477-d7371377-Reviews-Aman_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Aman Tokyo,"January 1, 2020","Tokyo definitely is one of the most interesting city in the world ! There’s a plenty of hotels but Aman far away is the best one ! Exclusive and high quality service, amenities and staff. It’s pretty well located (close by Ginza and parks). Amazing experience and for sure intend to get back ! ","Foz do Iguacu, PR","Lufecabral</div><div class=""userLoc""><strong>Foz do Iguacu, PR</strong>",4,5.0
728626521,https://www.tripadvisor.com/Hotel_Review-g14129477-d7371377-Reviews-Aman_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Aman Tokyo,"November 24, 2019","The most impressive Amans are probably not in urban centers, so we were apprehensive. It turned out to be a best in class experience. The architecture and interior design are spectacular, the exercise facility and pool on the 34th floor are impressive and the breakfasts were top notch. Customer service is as good as it gets.The panoramic windows in the rooms and bathroom afford great views of Tokyo and one night we were fortunate to see fireworks at a distance.Overall it is well worth the four digit rates.","Houston, Texas","sanicotx</div><div class=""userLoc""><strong>Houston, Texas</strong>",5,5.0
725326909,https://www.tripadvisor.com/Hotel_Review-g14129477-d7371377-Reviews-Aman_Tokyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Aman Tokyo,"November 9, 2019","Beautiful in all aspects, restaurant, great view from bar, lobby, shop, reception. We had great lunch, bento box and tempura. Beautiful presentation. Live music in lobby. Great location to unwind. Enjoyed the perfect hospitality.","Amsterdam, The Netherlands","Juliette5555</div><div class=""userLoc""><strong>Amsterdam, The Netherlands</strong>",13,5.0
