review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752735993,https://www.tripadvisor.com/Hotel_Review-g60982-d114027-Reviews-Ambassador_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ambassador Hotel Waikiki,"April 18, 2020","Location is great, near the beach and a lot of stores. Hotel isn’t very modern but it still offered great amenities. Front desk was really helpful in answering our questions and even booked us a last minute ride to the airport. Hotel staff were very polite and when we needed more towels, the staff were quick to provide for us. Definitely recommend this place if you’re looking for a great location in Waikiki. ","Auckland, New Zealand","Scar_boyy</div><div class=""userLoc""><strong>Auckland, New Zealand</strong>",1,4.0
752016132,https://www.tripadvisor.com/Hotel_Review-g60982-d114027-Reviews-Ambassador_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ambassador Hotel Waikiki,"March 29, 2020","We came in on 3-13-20 for a Friday night stay before our week rental on the North SHore. The Ambassador Hotel is the best location for anything Waikiki. Open and airy, many room choices, great amenities. It is a beach hotel, not the Ritz Carlton but they don’t advertise that they are. I read the negative reviews before I booked and I know a lot of people are hard to please. We were to come back in on the 21st for 2 more nights before flying home. The clerks at the desk knew when we checked out we were coming back so they upgraded us for the second stay and we were not disappointed. This hotel is within walking distance of anything you want to do, the wal-mart, SAMs, ABC stores, local gift shops, red lobster, outback, post office, Tony Romas, Hard Rock. And of course right across the street from Waikiki beach. I’m going back.",,Donna W,1,5.0
751599497,https://www.tripadvisor.com/Hotel_Review-g60982-d114027-Reviews-Ambassador_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ambassador Hotel Waikiki,"March 22, 2020","Hotel did not have our reservation that I made through cancelon, their customer service never return our call! Don’t use it! It ruined our vacations! Cancelon is scam! Be Aware! Stay Away! Run away from it!",,kazuejohansen,0,1.0
748580530,https://www.tripadvisor.com/Hotel_Review-g60982-d114027-Reviews-Ambassador_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ambassador Hotel Waikiki,"March 1, 2020","Picture on their website do not match up at all, dirt and rust stains in the bathroom and kitchen, no furniture on balcony, didn’t even have blankets on the bed. Our flight was canceled so we missed a night at the hotel they would not offer us a refund for the night we didn’t stay. I would not recommend this to anyone! Horrible ","Philadelphia, Pennsylvania","Rach31494</div><div class=""userLoc""><strong>Philadelphia, Pennsylvania</strong>",1,1.0
747581330,https://www.tripadvisor.com/Hotel_Review-g60982-d114027-Reviews-Ambassador_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ambassador Hotel Waikiki,"February 25, 2020","Lights flickered in the bathroom, carpet in bedroom was stained, beds were uncomfortable and tiny. The walk way was filthy and pictures on website was not the same room I booked. Will definitely not stay here again.","Kailua, Hawaii","missy9507</div><div class=""userLoc""><strong>Kailua, Hawaii</strong>",2,2.0
745482818,https://www.tripadvisor.com/Hotel_Review-g60982-d114027-Reviews-Ambassador_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ambassador Hotel Waikiki,"February 16, 2020","Great location in Waikiki, close to shopping and beach. Great old fashion hotel, room was awesome, just wish a full size fridge was in the kitchen. Will definitely stay again! If planning to stay in Waikiki, buy cheap lawn chairs and beach umbrella at wallmart, then donate when you leave, the price to rent on the beach is outrageous. If you decide to drive around the island take those chairs, great beaches to be found, where you can sit and watch the surf!The ","Spokane, Washington","adelemae63</div><div class=""userLoc""><strong>Spokane, Washington</strong>",0,4.0
744631381,https://www.tripadvisor.com/Hotel_Review-g60982-d114027-Reviews-Ambassador_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ambassador Hotel Waikiki,"February 12, 2020","アンバサダーホテルオブワイキキに初めて家族で泊まりました。ビーチ沿いではなく運河沿いなのでオーシャンビューは望めませんが利便性がとてもいいです。ホテルの前からバスも出るし、タクシーもすぐ来てくれます。部屋の設備がミニキッチン、冷蔵庫、アイロン、ドライヤー、化粧品、至れり尽くせりでした。経年感はありますが、十分なシティホテルです。チェックインは３時なので、午前中に着くとフロントに荷物をあずけます。化粧室への鍵もくれるので着替えもできました。給水気があって、すきなだけ水をくめるのもよかったです。コインランドリーもあります。両替機もついてました。家族4人でダブルベッドが２台でした。ベッドメイキングもきれいにしてくれました。A family of four stayed Ambassador Hotel of Waikiki for the first time. It was like staying at a condominium. The mini kitchen with dishes, cutlery, big refrigerator, iron, hair dryer, cosmetics. The front staff were helpful and friendly. Access to major sightseeing spots from the hotel is perfect. The checkin time is 3pm so if you arrive in the morning you need to leave your luggage at the front desk. They give you a card for the restroom if you want to change your cloths. Water server was helpful too. I enjoyed this hotel. I recommend it.","Musashino, Japan","albatrossyoko</div><div class=""userLoc""><strong>Musashino, Japan</strong>",0,5.0
743600592,https://www.tripadvisor.com/Hotel_Review-g60982-d114027-Reviews-Ambassador_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ambassador Hotel Waikiki,"February 7, 2020","The price you see is not what you pay. You will be hit with a $30 amenity fee. So be wary. Also, no kidding, construction outside starts at 3:30 am. Same time the rooster starts. Don’t expect a good night sleep.This place is a little odd. It’s tired and scarce and kind has that Scarface bathroom scene vibe.","Saint Paul, Minnesota","R3856VYcolinh</div><div class=""userLoc""><strong>Saint Paul, Minnesota</strong>",2,1.0
741828890,https://www.tripadvisor.com/Hotel_Review-g60982-d114027-Reviews-Ambassador_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ambassador Hotel Waikiki,"January 28, 2020",I live here on the island of Oahu and took a few days off from work and decided to have a staycation. What prompted me to choose the ambassador I will never know but I am glad that I did. Service and management is awesome hands down. The room I stayed in was just perfect and relaxing and I will return here again for my next staycation,"Oahu, Hawaii","Q2756RYjamess</div><div class=""userLoc""><strong>Oahu, Hawaii</strong>",2,5.0
738819819,https://www.tripadvisor.com/Hotel_Review-g60982-d114027-Reviews-Ambassador_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ambassador Hotel Waikiki,"January 12, 2020","I read a couple of reviews for Ambassador Hotel after my wife and I booked it, but before we went, and must say I am a quite annoyed by how negative people can be. The hotel may have seen better days, and could probably do with a little renovation, but in terms of value it is hard to beat. Great location, just a few minutes from the main shopping and dining area and to the beach; comfortable rooms; friendly staff; on-sight parking; free wifi; and at a lower rate than the neighboring hotels and resorts. No complaints, we very much enjoyed our stay. ",,932pederh,3,4.0
