review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
755255479,https://www.tripadvisor.com/Hotel_Review-g14129647-d6485175-Reviews-Andaz_Tokyo_Toranomon_Hills-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Andaz Tokyo Toranomon Hills,"May 19, 2020","ProsThe breakfast is great, the gym is huge and great, the hotel is interesting, the room has modern.ConsThe location is not that great and they have more western choices than Japanese choices in the breakfastOverall I highly recommend this place but the location isn't that great.","Huntington Beach, California","emergencyexit84</div><div class=""userLoc""><strong>Huntington Beach, California</strong>",0,4.0
753080263,https://www.tripadvisor.com/Hotel_Review-g14129647-d6485175-Reviews-Andaz_Tokyo_Toranomon_Hills-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Andaz Tokyo Toranomon Hills,"May 1, 2020","The hotel was amazing, definitely try out the bar and get the Guatemalan harmony if it's still there! Great service with very friendly staff! The views from the room are worth it! The elevator was very pretty and the lobby had a pianist and welcome drink waiting for us. Would recommend to anyone looking to unwind.",,AshleeMane,1,5.0
752504097,https://www.tripadvisor.com/Hotel_Review-g14129647-d6485175-Reviews-Andaz_Tokyo_Toranomon_Hills-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Andaz Tokyo Toranomon Hills,"April 11, 2020","Andaz is a hotel that gives me a home away from home feeling. The staff are very accommodating, and their English speaking level is above average. There is a concierge male staff who was very helpful and he had offered many suggestions and recommendations on restaurants. The hotel is attached to a shopping mall, but the mall is quite quiet. Location of Andaz is a bit off from most of the tourists’ access spots. Taking taxi is unavoidable. The underground station is close by and depending on where you go, some popular destinations may need to change several times. I was very content staying in the Andaz and wasn’t looking too much of going else where apart from enjoying the service and its Japanese restaurant and a roof top bar!","Karon Beach, Thailand","someplaceintime</div><div class=""userLoc""><strong>Karon Beach, Thailand</strong>",34,4.0
749656354,https://www.tripadvisor.com/Hotel_Review-g14129647-d6485175-Reviews-Andaz_Tokyo_Toranomon_Hills-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Andaz Tokyo Toranomon Hills,"March 7, 2020","Frustratingly, the only reason I started this Tripadvisor account was to poorly rate this hotel. As a Globalist member of Hyatt, I expected better from Andaz Tokyo, but sadly it was the worst experience I've ever had.My wife and I were snacking at the club lounge and decided to dine at the Tavern Bar and Grille Restaurant at the hotel, but upon requesting a seat, the hostess said she had no seats available. Did not even ask me how many people were dining. Looking at the restaurant, there appeared to be plenty of seats, so I confirmed again if there were any available seats, and she again reiterated there were none available.My wife and I went back to our room and decided to order room service. Before we ordered room service, I wanted to try to make a reservation one more time via phone. The hostess answered the phone and she said she had plenty of seats available. I then asked what changed between the 10 minutes between when I asked in person and when I asked over the phone. Given the sequence of events, I relayed my frustration to the both the restaurant assistant manager and the hotel duty manager. They were perfectly polite and apologetic, but given the terrible feeling my wife and had, we elected to leave the hotel immediately. We live in Tokyo, and this was supposed to be a date night.I'm not sure what sort of discrimination we experienced, but we know when discrimination is being directed against us.Not really angry, just really sad and disappointed we got treated that way.","Tokyo, Japan","hyonbos</div><div class=""userLoc""><strong>Tokyo, Japan</strong>",0,1.0
749623479,https://www.tripadvisor.com/Hotel_Review-g14129647-d6485175-Reviews-Andaz_Tokyo_Toranomon_Hills-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Andaz Tokyo Toranomon Hills,"March 6, 2020","Just finished a 4 night stay. Staff was 10/10, could not have asked for more. Room (Deluxe corner 5007) was an odd but VERY good design, superb privacy for shower and water closet. Great views! Food at The Sushi, Tavern, and drinks at Rooftop Bar were excellent. The building is spectacular and lots of restaurants on floors 1-3 if for some reason you tire of the hotels offerings. The surrounding area is very nice and very walkable. We loved our stay here and would recommend the property without hesitation.","Reno, Nevada","Pete H</div><div class=""userLoc""><strong>Reno, Nevada</strong>",76,5.0
747434474,https://www.tripadvisor.com/Hotel_Review-g14129647-d6485175-Reviews-Andaz_Tokyo_Toranomon_Hills-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Andaz Tokyo Toranomon Hills,"February 24, 2020","If you like to feel Tokyo from above in a luxury environment with the fusion of Japanese style mixed with western you choose the right place. Staff was fabulous, extremely helpful and efficient. The room was so comfortable. As a world traveller I really enjoyed the bed, sheets, view, spacious shower. This hotel stands out. ",,VeraHav,6,5.0
744933570,https://www.tripadvisor.com/Hotel_Review-g14129647-d6485175-Reviews-Andaz_Tokyo_Toranomon_Hills-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Andaz Tokyo Toranomon Hills,"February 13, 2020","From the moment you step through the door you there is WOW factor. The reception area is classy and personal. Rooms had every thing you could wish for a very comfortable stay whether that be business or leisure. Loved the large bath tubs and included mini bar. There is complimentary wine between 6-8pm in reception which was also a nice touch. You'll get the best views in town from your room and restaurant. We could even see Mt Fuji ! Location was fabulous, an easy walk passing through lovely area's to get to Ginza. ","Cairns, Australia","Tracey G</div><div class=""userLoc""><strong>Cairns, Australia</strong>",47,5.0
744686206,https://www.tripadvisor.com/Hotel_Review-g14129647-d6485175-Reviews-Andaz_Tokyo_Toranomon_Hills-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Andaz Tokyo Toranomon Hills,"February 12, 2020","When I arrived, the professional staffs offered the best check in service. They are confident and professional. They also tried to do their best what I requested. Also, it is located on the best position to go any tokyo place.",,JKKwon,0,5.0
744352175,https://www.tripadvisor.com/Hotel_Review-g14129647-d6485175-Reviews-Andaz_Tokyo_Toranomon_Hills-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Andaz Tokyo Toranomon Hills,"February 11, 2020","I stayed at Andaz Tokyo with my husband and my son in August 2019. It was my 2nd time to stay there. Their service is beyond the best and they were super polite but friendly with smiling. When we checked in, the room they gave us didn't have long couch which we enjoyed last time we stayed. So we requested if we can change another room. Despite this sudden request, they accommodated well and changed it to another room with long couch. The view is spectacular. We also enjoyed the pool too. Most of luxury hotels don't allow kids in their indoor pool, but this one was very child friendly and they also provided family changing room. It was so nice and super kids friendly. We would like to stay if our budget allows... Thanks!","Fort Lee, New Jersey","sachidragon</div><div class=""userLoc""><strong>Fort Lee, New Jersey</strong>",1,5.0
744085922,https://www.tripadvisor.com/Hotel_Review-g14129647-d6485175-Reviews-Andaz_Tokyo_Toranomon_Hills-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Andaz Tokyo Toranomon Hills,"February 10, 2020","Andaz Tokyo Toranomon probably the best hotel I stay in Tokyo so far, the hotel staff are all very nice and helpful. Highly recommend if fit your travel budget. The design is cool and the view from my room is perfect, no complaint and you will enjoy what you paid for.","Hong Kong, China","vickynhk</div><div class=""userLoc""><strong>Hong Kong, China</strong>",0,5.0
743855619,https://www.tripadvisor.com/Hotel_Review-g14129647-d6485175-Reviews-Andaz_Tokyo_Toranomon_Hills-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Andaz Tokyo Toranomon Hills,"February 8, 2020","Everytime I go here I have a great time. My only complaint is that it’s a bit pricey (even for a luxury hotel.... it’s expensive for what you get) and if it rains you have a very noisy sleep since it is beautiful floor to ceiling windows in the rooms. There’s a delicious complimentary happy hour for guests though :) and like i said, always a good time at their bars and restaurants! Just have your AMEX or VISA warmed up, ready to go",,yogaTRAVELhappyhr,9,4.0
743824095,https://www.tripadvisor.com/Hotel_Review-g14129647-d6485175-Reviews-Andaz_Tokyo_Toranomon_Hills-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Andaz Tokyo Toranomon Hills,"February 8, 2020","Very nice quiet area of Tokyo, what you need after a busy day around town. Amazing service as always! Many nice touch goodies and service around the hotel. If you have stayed at another Andaz before this probably be the best Andaz.",,KimJeam2,0,5.0
