review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
748947224,https://www.tripadvisor.com/Hotel_Review-g60982-d87031-Reviews-Aqua_Bamboo_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aqua Bamboo Waikiki,"March 3, 2020",Read on the home site that Aqua Bamboo were renovating so almost didn't book. They need to take that off their site because I didn't hear a sound! Wasn't feeling well the last day and had a late departure and Aqua Bamboo offered to let me check out at 6 pm for a small fee. I wanted to get some sun so I turned down their offer. About 2 hours later I came back because still not feeling well and they had already cleaned my room but STILL let me stay until my flight. Great location. Will definitely be back! A HUI Hou!,,Travel769546,1,5.0
746582462,https://www.tripadvisor.com/Hotel_Review-g60982-d87031-Reviews-Aqua_Bamboo_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aqua Bamboo Waikiki,"February 21, 2020","We booked three nights at this hotel and arrived to find a room with a bed so old that it was actually concave. The room itself is quite small with what appear to be very old and dingy decorations. I knew the bed was going to be bad, but was even more surprised to find that the walls were so thin you could hear the elevator every time it dinged on the floor as well as any time someone was speaking in the hallway or closing their door. The construction two blocks away began very early in the morning and continued until late at night adding more noise to an already impossible to sleep situation. The cherry on top were the drapes that were entirely too thin to block out the sunrise. We got about 2 hours of poor sleep and checked out in the morning. However, the hotel refused to refund us for the two nights we didn't even stay on the property. Worst hotel experience I have had in twenty years.",,101brittaj,4,1.0
746563558,https://www.tripadvisor.com/Hotel_Review-g60982-d87031-Reviews-Aqua_Bamboo_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aqua Bamboo Waikiki,"February 21, 2020","For the price this place was great. Wonderful staff, beautiful pool area and a great location. Short walk to everything. I found this hotel on-line and it turned out to be much more than I expected. I will be back for sure.",,J5754WScharliec,0,4.0
745783049,https://www.tripadvisor.com/Hotel_Review-g60982-d87031-Reviews-Aqua_Bamboo_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aqua Bamboo Waikiki,"February 17, 2020","Booked this hotel 7 months in advance rooms facing courtyard. While the courtyard is lovely and features teak furniture and red cushions, the hot tub was hugely dissapointing as was rarely hot. The staff was unable to figure out how to turn it on. Out of seven days only two days was actually hot. bar does not serve alcohol, friendly staff there though and small menu tasty. The hotel is regrettably much more ghetto than I had expected in reading reviews. I thought would be a little tarnished but not prepared for the trashed hallways and elevator. HUGE disparity in rooms, so beware. renovations not nearly done. 7 th floors up are renovated. learned the hard way that you do not want courtyard views, massive construction going on around hotel and on upper floor, courtyard side you will be exposed to loud earthmovers, not a Hawaiin view. Also we were inconvenienced by having water turned off one day, and workers coming in rooms. No coffee cups to use the coffee machine, no cream etc. the thursday reception was a joke, not poolside and the lei making was limited to two persons allowed to do at a time. VEry disappointing and NOT festive.Also the lower floor courtyard sanctuary view rooms are not refurbished and in bad repair. opt for mountain view room if possible. Disappointed in the luxury suite on 9th floor, There is orange construction webbing and green rope holding tiki hut together, trash dump site at back entrance. Embarrased that this is where I brought my family for vacay.","Sebastopol, CA","JjaJjaSebastopol_CA</div><div class=""userLoc""><strong>Sebastopol, CA</strong>",1,3.0
744914774,https://www.tripadvisor.com/Hotel_Review-g60982-d87031-Reviews-Aqua_Bamboo_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aqua Bamboo Waikiki,"February 13, 2020",Gets better every year beautiful upgrades around the Pool area and new restaurant with really good food.Staff is very friendly and helpful.I want to thank all the staff and manager Kimari for the wonderful time we had there.Also its about a three minute walk to the beach.Until next year we will be back.,Winnipeg,"Brian8</div><div class=""userLoc""><strong>Winnipeg</strong>",42,5.0
735250123,https://www.tripadvisor.com/Hotel_Review-g60982-d87031-Reviews-Aqua_Bamboo_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aqua Bamboo Waikiki,"December 28, 2019","Stayed 4 nights at Aqua Bamboo in Studio 508. Checked in on Christmas night. Thank you Lisa . Studio is very well equipped, clean, functional and comfortable but a little dated.Ate 2 breakfasts and one dinner at Ok Tiki Terrace. Excellent food and service from Mike, Chef Eddie, Sam, Amber and the team.","Apollo Bay, Australia","simonmT639RF</div><div class=""userLoc""><strong>Apollo Bay, Australia</strong>",9,4.0
732384381,https://www.tripadvisor.com/Hotel_Review-g60982-d87031-Reviews-Aqua_Bamboo_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aqua Bamboo Waikiki,"December 13, 2019","Hotel is a bit old but there were works going on when we were there that suggest renovations may be happening, not noisy at all though. Room was a nice size and clean , house keeping attended everyday. Staff were lovely always willing to help and very much assisted us with getting from A-B and booking tours. Lobby was nice and cosy. The pool was gorgeous and a lovely escape from the hustle and bustle. TV was a bit dated but came with a play station and free access to a dvd rental machine. Location was great very close to the main areas of Waikiki. Room was definitely great for the price and the face it had a kitchen was a bonus. Free wifi was also a great touch. Thank you for the great time Aqua Bamboo","Newcastle, Australia","Beckysbeenthere</div><div class=""userLoc""><strong>Newcastle, Australia</strong>",1,4.0
720794717,https://www.tripadvisor.com/Hotel_Review-g60982-d87031-Reviews-Aqua_Bamboo_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aqua Bamboo Waikiki,"October 23, 2019","I looked at the posted photos read most of the reviews and still thought I'd give this place a try. I should have realized this hotel was not up to par when, upon arriving at 11 pm, several locals were working on a car right out front. Then we enter the lobby and hear an employee asking the front desk man what the various room charges are! Huh?! This was probably once a very nice place to stay. Unfortunately, the lack of upkeep shows. The only reason I gave it two stars was because the employees were very nice. Pros: nice employees; centrally located; safe in closet; large room; lemon water in lobby; big fridge and stove in kitchen area of our room.Cons: very loud a/c; bathroom window slats couldn't close so it got very warm in there; no ""continental"" breakfast; coffee machine out of order with only black coffee being free (cream was $1.00); three other entry doors to our room with cheap push in door locks-did not feel safe and told desk clerk; flimsy sliding door locks; kitchen drain plug broken; pool tiles were slimy and I slipped twice upon entry. The entire place needs upgrading. SEE PHOTOS","Parksville, Canada","dawntop</div><div class=""userLoc""><strong>Parksville, Canada</strong>",32,2.0
719197741,https://www.tripadvisor.com/Hotel_Review-g60982-d87031-Reviews-Aqua_Bamboo_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aqua Bamboo Waikiki,"October 17, 2019","We recently stayed at the Aqua Bamboo in Waikiki from Oct 5-13, 2019 in room 807.Family of 2 adults and 2 children (ages 4 and 13). The room was a one bedroom suite with a queen bed in the bedroom and a queen pullout in the living area. Perfect sleeping arrangements for me and my family. We had a kitchen and were able to take full advantage of this during our stay. Coming from Canada, the CDN dollar doesn't fair well in the USA so this was very welcomed to save us a little $$$ and we took full advantage of this amenity.The hotel staff were extremely accommodating to any and all of our requests.The swimming pool is an incredible little oasis right in the middle of busy Waikiki! You'd never know you were in the middle of a city. We enjoyed the pool daily as there was always nice shaded areas to give the kids a break from the sun. Once the pool-side bar construction is complete, this will only add to the value of this area of the hotel.Pleasant surprise amenities:- Espresso machine in the lobby. Free cafe americano which we had every day and only $1.00 for specialty coffees like latte and $1.00 hot chocolate.- Complimentary beach chairs, float devices, body boards available to guests to take down to the beach.- Complimentary beach towel service- Movie rental machine in lobby, free of charge and included video games as there was a PlayStation in the room. This came in handy on the one and only day we had rain pretty much all day. Movies were nice to have at night when our day had wrapped up.- Washer/Dryers located on floors 4, 8 and 12 (from memory).The biggest PLUS with this hotel is the location. 1.5 blocks to the beach!! we were there in about 4 mins every day and it is so central we weren't far from whatever amenities we needed. We had rented a car for the week to explore the island but aside from that there was no need for a car. Next time we will skip that expense now that we know the hotel is so close to all we need.We would not hesitate to recommend this hotel to anyone, it suits all types of travelers.",,Cliff K,1,5.0
717753858,https://www.tripadvisor.com/Hotel_Review-g60982-d87031-Reviews-Aqua_Bamboo_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aqua Bamboo Waikiki,"October 12, 2019",Booked through Hotels.com. They moved us from our original booking to this room. It was terrible. Run down and needs lots of updating The one cup offered for us to use was dirty. Luckily we booked only one night before our cruise. I’m sure the hotel rooms are much nicer. I would book directly. The lobby and outside area are lovely and I’m sure their hotel rooms are much better than what we had. Front desk was very helpful in getting us to our cruise,"Kensington, Maryland","BLMerce</div><div class=""userLoc""><strong>Kensington, Maryland</strong>",80,2.0
