review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752517383,https://www.tripadvisor.com/Hotel_Review-g60982-d559726-Reviews-Aqua_Palms_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aqua Palms Waikiki,"April 11, 2020","lovely stylish hotel. have been coming here since 2012. The exercise room needs an update. Everything, other than that is fine. friendly staff and within walking distance to the shopping center, hilton hawaiian village and many restaurants. great stay.","New York City, New York","luckydcr</div><div class=""userLoc""><strong>New York City, New York</strong>",0,5.0
751705894,https://www.tripadvisor.com/Hotel_Review-g60982-d559726-Reviews-Aqua_Palms_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aqua Palms Waikiki,"March 23, 2020","The hotel is being remodelled, we got a good room, however the bathroom smelled like rotten eggs. The elevator was really slow, we took the stairs most of the time (10th floor). The hotel is at a very good location, near Waikiki and there are many restaurants and shops around. Staff is kind and helpful. We felt scammed with our bill because it didn't match the price stated in our booking... They charge you one extra night, but don't worry it's just 160 dollars! We were not told we had to pay to use the parking either. However, we did know we had to pay a daily ammenity fee, I still wonder what ammenities we paid for... I hope it wasn't for the use of the swimming pool which was really small and we didn't use. We had other options to stay at and if we had known all these aspects we wouldn't have chosen Aqua Palms. ",,Flora B,0,2.0
751638392,https://www.tripadvisor.com/Hotel_Review-g60982-d559726-Reviews-Aqua_Palms_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aqua Palms Waikiki,"March 22, 2020","I had a non-refundable booking with this hotel for April 2020 and unfortunately will not get to stay due to the quarantine. I just want to give them high praise for relaxing that policy to allow a cancellation with no penalty and no hassle. Considering the financial hit they are about to take, they could have adhered to their policy or simply provided a future travel credit. When I am able to visit, I will definitely book with them again. If they are this accommodating towards someone canceling, imagine how they must treat their guests.","New York City, New York","Adrienne M</div><div class=""userLoc""><strong>New York City, New York</strong>",21,5.0
751255957,https://www.tripadvisor.com/Hotel_Review-g60982-d559726-Reviews-Aqua_Palms_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aqua Palms Waikiki,"March 17, 2020","Good place to stay in Waikiki and while it is a little removed from the hustle and bustle of the beach area, it has a good location on or near important bus routes, with nearby restaurants and minutes from all the action. ","Yass, Australia","DavidBerthaL L</div><div class=""userLoc""><strong>Yass, Australia</strong>",1,3.0
750267995,https://www.tripadvisor.com/Hotel_Review-g60982-d559726-Reviews-Aqua_Palms_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aqua Palms Waikiki,"March 10, 2020","The stay was nice, the elevators were very slow. Probably my only complaint, is amount of time wasted waiting for them every day. There are 3 elevators and would think they would be quicker. The staff was very helpful and friendly.",,griffin2879,0,4.0
749574446,https://www.tripadvisor.com/Hotel_Review-g60982-d559726-Reviews-Aqua_Palms_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aqua Palms Waikiki,"March 6, 2020","We spent 7 nights there. We highly recommend Aqua Palms and will definitely return. Very reasonably priced. Everything was top notched and we were treated first class. Staff was very friendly, helpful, efficient, and accommodating, we travelled with my parents and asked for rooms close to each other and they accommodated us by putting us just down the hall from them.The location is perfect, great view from our room, about a block and 1/2 to the beach and very close to dining and shopping. Also a free shuttle to Walmart and other shopping centers. They also have a beautiful pool with a great view. Thanks for the most excellent experience!!!","Saskatoon, Canada","DougH8832</div><div class=""userLoc""><strong>Saskatoon, Canada</strong>",0,4.0
748897104,https://www.tripadvisor.com/Hotel_Review-g60982-d559726-Reviews-Aqua_Palms_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aqua Palms Waikiki,"March 3, 2020","We have stayed at Aqua Palms twice. It is clean and comfortable. The shuttle bus that runs between the various related motels makes it easy to get to Ala Moana or the Diamond Head end of Waikiki. The free admission to the Bishop Museum is a wonderful bonus.The elevators are terrible. There is no escaping that reality. If waiting for slow elevators ruins your vacation, look elsewhere and be ready to pay more.","Chicago, Illinois","kaubashine</div><div class=""userLoc""><strong>Chicago, Illinois</strong>",13,4.0
746126291,https://www.tripadvisor.com/Hotel_Review-g60982-d559726-Reviews-Aqua_Palms_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aqua Palms Waikiki,"February 19, 2020","Upon checking into the aqua palms Waikiki we were told the elevator was being used for construction for upgrades and it would be back in use within 20 minutes of our check-in we were there for three nights the elevators it was actually faster to take the stairs up and down before the elevator even got there they never put the third elevator back into service the refrigerator wasn't working properly the carpet and they was cockroaches TV was hung on the wall crooked and there resolution to our complaints was just too give us discounts on are parts of our stay at one point we called down to ask for another roll of toilet paper and after about 45 minutes I actually went down and asked them why they never brought up the toilet paper they didn't have any kind of response or was unable answer my question probably will never stay at this location againas well as they have a free DVD machine in their lobby and their solution to a Blu-ray or DVD player is a PlayStation game sitting on the counter that did not work properly the movies kept stopping if I can get them to work PlayStation games are not intended to be a Blu-ray or DVD players on a continuous basis like that especially in some kind of resort or resort hotel all in all it was not a good experience and for the price that we paid was not a very good value.Respectfully,","West Valley City, Utah","happyman0969</div><div class=""userLoc""><strong>West Valley City, Utah</strong>",1,1.0
746048086,https://www.tripadvisor.com/Hotel_Review-g60982-d559726-Reviews-Aqua_Palms_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aqua Palms Waikiki,"February 18, 2020","It’s hard to say that this hotel were not what my family and myself were expecting . I don’t like to write negative reviews when things were not that bad but at the same time I have to bring this to management attention . I stayed here for 5 nights and everyday my room was cleaned , but the day before leaving I left a note to the guest room attendant with tip asking her ( please ) to have all my linen changed cause it was stained with coffee that accidentally I spilled on my bed . At night after taking a shower I went to bed and noticed that my sheets were not changed ! I’m disappointed because I was expecting to find fresh and clean Cheets that’s what I’m paying for !! I understand that begin a maid is not an easy job but they need to be on guest shoes all the time knowing that we pay a high rate per night plus resort fee Dayli . Elevators always late ! Waiting more than 5 minutes all the time . Would I recommend this place ? I don’t know to be honest.","North Las Vegas, Nevada","yaselw</div><div class=""userLoc""><strong>North Las Vegas, Nevada</strong>",2,3.0
745938848,https://www.tripadvisor.com/Hotel_Review-g60982-d559726-Reviews-Aqua_Palms_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aqua Palms Waikiki,"February 18, 2020","Overall, not a bad place to stay when on business. The staff was friendly and very welcoming. The location is great and the rates are very inexpensive, especially for Hawaii. The rooms were clean, although they were a bit outdated. Also, if you have a room facing Ala Moana street (Like I did), be prepared to experience a lot of noise.","San Leandro, California","AlexWitt88</div><div class=""userLoc""><strong>San Leandro, California</strong>",0,4.0
