review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753403603,https://www.tripadvisor.com/Hotel_Review-g60982-d90159-Reviews-Aqua_Skyline_at_Island_Colony-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aqua Skyline at Island Colony,"May 9, 2020",We had a great visitation the Skyline Island Colony Resort! Jaime was so elequint and welcoming he makes you feel the real meaning of Aloha in Hawaii. He has been very useful during this quatrain time. ,"Oahu, Hawaii","wbcofer</div><div class=""userLoc""><strong>Oahu, Hawaii</strong>",0,5.0
688248246,https://www.tripadvisor.com/Hotel_Review-g60982-d90159-Reviews-Aqua_Skyline_at_Island_Colony-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aqua Skyline at Island Colony,"July 9, 2019","One of the best bargains in Central Waikiki!! This is the place to stay if you are looking for a comfortable place in the heart of Waikiki. It is a secure condo-hotel with nice views of Diamond Head to the east, and partial view of the shoreline. It is within walking distance of everything in Waikiki and I realized what a great location as you can easily get in and out due to its location. The International Marketplace, and Royal Hawaiian Shopping Center and dozens of eateries are within 10 minutes walk.Parking is a bit expensive with limited on-street parking. Having a rental agency attached to the hotel helps a lot if you're doing day trips - you can save the cost of parking and spend it on the vehicle. Otherwise, it's probably better to share-ride it in.My only criticism is the bathrooms are a bit small; but little inconvenience, considering everything else.",Lihue,"Samurai055</div><div class=""userLoc""><strong>Lihue</strong>",0,5.0
753181891,https://www.tripadvisor.com/Hotel_Review-g60982-d90159-Reviews-Aqua_Skyline_at_Island_Colony-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aqua Skyline at Island Colony,"May 6, 2020",Some kine of compensation for the rust in the tub and the cleanness of the room that we was in which was 3110 and if you guys can double check the room to make sure that I am not lie about the rust in tub,,ponoedrado,0,2.0
752744638,https://www.tripadvisor.com/Hotel_Review-g60982-d90159-Reviews-Aqua_Skyline_at_Island_Colony-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aqua Skyline at Island Colony,"April 18, 2020",We needed a place to stay during the pandemic so my husband could have surgery. Fortunately the Skyline was open. Thank you for being there. Everyone was pleasant and the room was what we needed for our stay. ,"Kailua-Kona, Hawaii","Kona K</div><div class=""userLoc""><strong>Kailua-Kona, Hawaii</strong>",1,3.0
751911799,https://www.tripadvisor.com/Hotel_Review-g60982-d90159-Reviews-Aqua_Skyline_at_Island_Colony-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aqua Skyline at Island Colony,"March 27, 2020","Have stayed here several times and find it a great combination location and reasonable price. Parking is available, too, which is a luxury in Waikiki. The hotel is within walking distance to the best beach area, the nicest restaurants, and other amenities. It is reasonably quiet with great laundry facilities, a gym, a sauna, and a very spacious swimming pool area. Also, many bbq units for private use. ","Ba Ria, Vietnam","eugenemt</div><div class=""userLoc""><strong>Ba Ria, Vietnam</strong>",16,5.0
751794675,https://www.tripadvisor.com/Hotel_Review-g60982-d90159-Reviews-Aqua_Skyline_at_Island_Colony-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aqua Skyline at Island Colony,"March 25, 2020","Clean room and just a few blocks from the International Market and beach. Salt water pool and jacuzzi were really nice. My complaint is the loud pool noise. The pool closes at 10:00 p.m. and people were making a lot of noise until well after midnight. I called the front desk to complain and the manager said they would take care of it but that didn't happen. Also, 1 load of laundry at their facility cost $15.00!! You had to pay $5.00 for the laundry card and put a minimum of $10.00 on it. Biggest ripoff!",,dotty_588576,0,4.0
751050482,https://www.tripadvisor.com/Hotel_Review-g60982-d90159-Reviews-Aqua_Skyline_at_Island_Colony-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aqua Skyline at Island Colony,"March 15, 2020","I just wanted to thank you very much to Jaime for giving us room upgrade upon morning arrival , on the 42nd floor with an amazing Waikiki view.It’s a great place , very good location. Good kitchenette and very big balconies. There’s is car rental which is very handy.Every Tuesday 5-6 pm they have free cocktails and nibbles on the roof with amazing view. Thank you very much on behalf of myself and my partner Albert.We will definitely come back and stay again soon.Sebastian ","Thirroul, Australia","sebaaussie73</div><div class=""userLoc""><strong>Thirroul, Australia</strong>",5,4.0
750512088,https://www.tripadvisor.com/Hotel_Review-g60982-d90159-Reviews-Aqua_Skyline_at_Island_Colony-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aqua Skyline at Island Colony,"March 11, 2020","I could say that our stay in the hotel was perfect, we had a beautiful room with a city view from the 40th floor, every sunrise and sunset were a beautiful gift. Additionally a wide and comfortable bed to rest after visiting tourist places in the city. The hotel has an excellent location in Waikiki, a few minutes walk you can find various restaurants, nearby beaches and a boulevard that borders a beautiful water channel, ideal for sports or cycling. The good service of their team was first class, especially Michael at the front desk, he always was friendly, kind person helped us with all our requirements and even advised us to see many beautiful places on the island. They always made us feel very special with their hospitality",,KrishnaB28,0,5.0
750512021,https://www.tripadvisor.com/Hotel_Review-g60982-d90159-Reviews-Aqua_Skyline_at_Island_Colony-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aqua Skyline at Island Colony,"March 11, 2020",This hotel is well located with a great view of Waikiki !!! our stay was great Thanks to Michael who kindly attended to us and gave us information about tourist things we could do! I definitely recommend it,"Oahu, Hawaii","900lazarol</div><div class=""userLoc""><strong>Oahu, Hawaii</strong>",0,5.0
747990474,https://www.tripadvisor.com/Hotel_Review-g60982-d90159-Reviews-Aqua_Skyline_at_Island_Colony-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aqua Skyline at Island Colony,"February 27, 2020","I just want to say thank you to Jaime for being so nice & so helpful on our first stay here in Waikiki. Great service & the place was beautiful & clean! & again THANK YOU JAIME, we will def be back",,gabycfuego,0,5.0
