review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753390704,https://www.tripadvisor.com/Hotel_Review-g60763-d7891458-Reviews-Arlo_SoHo-New_York_City_New_York-or0.html?filterLang=en,Arlo SoHo,"May 9, 2020","We arrived prior to check in had begun but the hotel were able to accommodate us and give us a room early so that we could freshen up and head out to watch the Super Bowl. We stayed for 5 nights and the rooms were quiet apart from a bit of external noise, housekeeping was done daily and we had no issues from that. The amenities fee was included as part of our stay and we made use of the happy hour or detox hour as they called it to have a few beers. The shop inside was useful if you fancied a snack. The hotel was a 5-10 min walk to a few different subway stops. We went to a few NBA games while we were here but didn’t feel unsafe walking back to the hotel.Check in and check out were quick and easy with no issues and we were able to store our luggage after check out as we had a later flight home. Already looking at a stay again for next year.","Ipswich, United Kingdom","Ipswich1984</div><div class=""userLoc""><strong>Ipswich, United Kingdom</strong>",8,5.0
700657753,https://www.tripadvisor.com/Hotel_Review-g60763-d7891458-Reviews-Arlo_SoHo-New_York_City_New_York-or0.html?filterLang=en,Arlo SoHo,"August 19, 2019","As soon as you enter this hotel, you are blessed with a beautiful aroma of blissfulness! The entire staff (Unfortunately I just remember Danny & Isabella’s name but everyone I encountered are included) were just fantastic!!!! Great customer service. I’m a candy lover so I was thrilled when I saw a mini Dylan’s candy bar to the left as soon as you enter. The hotel room was perfect for our stay... super cozy and perfect. Now my favorite part was the “summer of love” decor in the courtyard! It was a big flower power party that gave you major hippie vibes! It put a big smile on my face! My husband and I can’t wait to go back! ",,Yasaman R,8,5.0
753389399,https://www.tripadvisor.com/Hotel_Review-g60763-d7891458-Reviews-Arlo_SoHo-New_York_City_New_York-or0.html?filterLang=en,Arlo SoHo,"May 9, 2020","Arlo Soho is the only hotel I stay at when I visit NYC. My visits are often (prior to Covid) as my daughter and son in law live there. The staff is friendly, the decor is trendy and inviting. Harolds, the restaurant serves great food (all meals) Rates are reasonable. Love , love, love the place and wouldn't stay anywhere else. Highly recommended!",,Passport06219214595,0,5.0
753351397,https://www.tripadvisor.com/Hotel_Review-g60763-d7891458-Reviews-Arlo_SoHo-New_York_City_New_York-or0.html?filterLang=en,Arlo SoHo,"May 7, 2020",My boyfriend and I recently stayed here for 2 nights and it was great. We had a king bed city view room I was in love with how they made such a small area that useful. I only gave 4 stars because of the space it is small but great for a single person or couples ,"New York City, New York","DeraBri</div><div class=""userLoc""><strong>New York City, New York</strong>",1,4.0
753222004,https://www.tripadvisor.com/Hotel_Review-g60763-d7891458-Reviews-Arlo_SoHo-New_York_City_New_York-or0.html?filterLang=en,Arlo SoHo,"May 6, 2020",We visited in May 2019 and I think this may be the closest you can get to authentic New York City living. Shoebox sized room (city king) for a steep price when the conversion rate is factored in. Also not a fan of triple sheeting. Lots of fancy amenities in the room but sadly no kettle or tea/coffee. Luckily for the Bodega and (possibly the highlight of our stay) the lovely gentleman who had a good laugh when I returned the bottle of milk I accidentally stole after a big day of walking. Overall the stay wasn't terrible but it wasn't great. I can't say Arlo gave me any reason to want to rebook next time I visit.,"Sydney, Australia","ChloeinRoses</div><div class=""userLoc""><strong>Sydney, Australia</strong>",3,3.0
753134079,https://www.tripadvisor.com/Hotel_Review-g60763-d7891458-Reviews-Arlo_SoHo-New_York_City_New_York-or5.html?filterLang=en,Arlo SoHo,"May 4, 2020","Fun, trendy hotel. Great vibe, lobby area and location. The room was super clean - loved the bunk beds! I would love to stay there again! Also staff was super helpful and the little market was super cute to grab a coffee.","New York City, New York","shrtyR8</div><div class=""userLoc""><strong>New York City, New York</strong>",1,5.0
753101304,https://www.tripadvisor.com/Hotel_Review-g60763-d7891458-Reviews-Arlo_SoHo-New_York_City_New_York-or5.html?filterLang=en,Arlo SoHo,"May 2, 2020","Excellent location if you like being downtown as everything we wanted was within walking distance. If not, then the subway is minutes away. This hotel has a fantastic vibe.... although tourists are staying here it doesn’t feel touristy at all... it’s like staying at a trendy private club. The communal areas are beautifully styled ..mid century modern feel. Bedrooms are bijou but brilliantly designed. I stayed here with my daughter for her 21st and she adored this hotel and we both would stay here again. Staff... how could I forget.... they were all super friendly and helpful. 5 stars! ",london,"emmawiles</div><div class=""userLoc""><strong>london</strong>",8,5.0
753016044,https://www.tripadvisor.com/Hotel_Review-g60763-d7891458-Reviews-Arlo_SoHo-New_York_City_New_York-or5.html?filterLang=en,Arlo SoHo,"April 29, 2020","friendly staff considering the current covid environment. Great price, quiet, comfortable bed. Room was made up meticulously. My only complaint is the poor quality amenities. The towels were a bit threadbare.","New York City, New York","Mlleron</div><div class=""userLoc""><strong>New York City, New York</strong>",65,3.0
752829281,https://www.tripadvisor.com/Hotel_Review-g60763-d7891458-Reviews-Arlo_SoHo-New_York_City_New_York-or5.html?filterLang=en,Arlo SoHo,"April 22, 2020","Thank you Arlo team for making my stay as smooth & safe as possible. The hotel team are friendly, Rooms are Sanitized & very clean. Easy access to downtown Manhattan. For sure i will be coming back ",,Wissam7779,1,5.0
752828707,https://www.tripadvisor.com/Hotel_Review-g60763-d7891458-Reviews-Arlo_SoHo-New_York_City_New_York-or5.html?filterLang=en,Arlo SoHo,"April 22, 2020","The GM, Bassim, who’s solely the only one at the desk making sure everything runs smoothly during this virus shows what being professional looks like. Not only him but the staff running this hotel is just amazing at what they do and it shows they’re trying their hardest!",,Soraya L,1,5.0
