review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
755253464,https://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York-or0.html?filterLang=en,Arthouse Hotel New York City,"May 19, 2020","Was to stay here from 2nd May til the 8th.That’s obviously didn’t happen.... nor has the refund that was promised on more than one occasion.Firstly on the 2nd April and again on 28th April as well as that stated on their website. As yet I’ve not received a reply to my latest email ( nothing new there)but was informed on 6th May that ‘ no transactions’ are taking place. I’ve asked for clarification of this and why, after a month of promises and procrastination, this is the situation I find myself in.I have had no reply and so... as you can imagine, I’m extremely upset and disappointed over my treatment.",Brisbane,"Rosemary C</div><div class=""userLoc""><strong>Brisbane</strong>",7,1.0
743060841,https://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York-or0.html?filterLang=en,Arthouse Hotel New York City,"February 4, 2020","I really can't say enough great things about AH. The location is wonderful being on the UWS, near the Natural History Museum and Central Park (plus you're away from the insanity of Times Square), with easy access on the 2/3. The staff is always friendly and helpful, such good value for the money.","San Francisco, California","GingerScruffSF</div><div class=""userLoc""><strong>San Francisco, California</strong>",12,5.0
752394650,https://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York-or0.html?filterLang=en,Arthouse Hotel New York City,"April 8, 2020","Competitively priced (but you must account for ""urban fee"" added to room rate) and fantastic location for visiting the UWS. Room decor is metallic/wood minimalist which is nice if you don't like fustiness. One problem: no towel racks in the bathroom! Very pleasant ambience in common areas and live music on the weekends. Sorry I have less need to visit UWS these days.","Portland, OR","EllenPortland_OR</div><div class=""userLoc""><strong>Portland, OR</strong>",23,4.0
752251992,https://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York-or0.html?filterLang=en,Arthouse Hotel New York City,"April 4, 2020","We have stayed at the Arthouse Hotel on two previous visits and were looking forward to a graduation celebration stay in mid May. Our daughter's graduation was cancelled and the island of Kauai where we live has put in place a strict 14 day self quarantine for anyone, visitor or resident, flying in from anywhere. I am so impressed by the customer service I received from Maggie Zambrano, front office manager at Arthouse Hotel. After I reached out explaining our situation, she contacted me and offered me either a gift certificate or a full refund for two prepaid room reservations. This is a hotel who values their guests and trusts that good customer relations are what instill loyalty and the desire to return to this already fabulous hotel when we are next in NYC. Fabulous location close to Central Park and the subway stop and large rooms with wood floors and great views from the higher floors. We love the the rooms with outdoor decks that face the Hudson. Thank you, Arthouse Hotel! We will return someday.",hawaii,"LMB808</div><div class=""userLoc""><strong>hawaii</strong>",79,5.0
751637267,https://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York-or0.html?filterLang=en,Arthouse Hotel New York City,"March 22, 2020","We were supposed to stay at the Arthouse last week right when the Covid-19 craziness happened and had to cancel our trip at the last minute. They were amazing and super responsive, they called me back within the hour and ended up crediting the full amount of the reservation (that had been prepaid) once i could send proof of the canceled flights Because of how they handled this unprecedented issue, i will for sure stay here when we can finally take our trip. Unlike our hotel that we were supposed to stay at in Philly that was rude and unflexible.","Plano, Texas","tauchenb</div><div class=""userLoc""><strong>Plano, Texas</strong>",0,5.0
751220186,https://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York-or5.html?filterLang=en,Arthouse Hotel New York City,"March 17, 2020","Rooms and lobby were extremely comfortable and nicely laid out, the lobby especially with both conversation groupings and more private spaces. My only reservation was finding the lobby engaged in a private function one night so that it was not available to paying hotel guests.","Newton, Massachusetts","hsgolann</div><div class=""userLoc""><strong>Newton, Massachusetts</strong>",0,4.0
751022907,https://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York-or5.html?filterLang=en,Arthouse Hotel New York City,"March 15, 2020","We traveled to NYC for a family celebration. We selected this hotel because of the location. The service was great. The room was really clean and smelled like bleach which was a good thing because we were there in the midst of the coronavirus. The bed was a bit soft for our comfort. The decor was modern in the rooms, the metal cabinets for the storage bedside table kept opening.I could stay here again but only for the discounted rate.","Seneca Falls, New York","outgardening</div><div class=""userLoc""><strong>Seneca Falls, New York</strong>",24,4.0
751011413,https://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York-or5.html?filterLang=en,Arthouse Hotel New York City,"March 15, 2020","This hotel You will love. The staff is very friendly, rooms are bigger than is normal in New York and Metro only two blocks away. The lobby bar is a laid back area and the neighborhood is upscale near Natural History Museum. The bed in the room is superthick and comfortable.Highly recommended! ","Helsinki, Finland","AM756</div><div class=""userLoc""><strong>Helsinki, Finland</strong>",6,5.0
750856738,https://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York-or5.html?filterLang=en,Arthouse Hotel New York City,"March 14, 2020","I recently stayed at Arthouse (for the 4th time due to comfort, cleanliness, and location) in order to attend a teacher training at Columbia. The night before training started, we were informed that training was moving online due to COVID-19. I found a group of teachers at the hotel and informed the staff of our situation. Eduardo jumped into action and found us a spot to gather in the lobby. He graciously provided us with bottles of water, little gift boxes of chocolate, and continuous customer service throughout our 3 day stay. Having this level of service during a stressful time allowed the other teachers and I to relax and continue our learning and collaboration. Thank you Arthouse, and especially Eduardo, for your thoughtfulness during a stressful time.","Odessa, Florida","OliveTravel15</div><div class=""userLoc""><strong>Odessa, Florida</strong>",0,5.0
750471883,https://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York-or5.html?filterLang=en,Arthouse Hotel New York City,"March 11, 2020","Firstly I should say, this is an excellent hotel in a great location.But - and it's a huge ""but"" - they impose a $44 ""resort tax"" per night on departure. This is a disgraceful commercial practice designed to make the headline room rate look lower in price comparison websites. It's deception. I have seen the ""excuses"" given on other traveler reviews from the property but they don't wash. In my nice room, with a comfortable bed, the only ""extras"" I got was a Kuerig coffee machine (standard in all US hotel rooms) and two small bottles of low cost mineral water.When I challenged the charge on check out, the receptionist was downright rude. ""Didn't you check this when you signed our conditions on check in"". Well of course I didn't - who does? A page of small print after a transatlantic flight when I was dog-tired - no. And in any case, what are my options at that point? Reject it and don't get checked in.And to have it referred to as a ""resort tax"" is the final insult. Sandals and Disney run ""resorts"" - this is just a hotel, no more.Sort this out Arthouse - you're a good hotel, you can afford to raise your published prices by $40 and still win business.","Bishop Monkton, United Kingdom","MonktonPhil</div><div class=""userLoc""><strong>Bishop Monkton, United Kingdom</strong>",4,2.0
