review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751732211,https://www.tripadvisor.com/Hotel_Review-g60982-d86978-Reviews-Aston_Waikiki_Beach_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston Waikiki Beach Hotel,"March 24, 2020",For me and my family I loved the location. It is on the edge of the strip bordered by the beach in front and the zoo on one side. I did not pay extra for the ocean view but still had a fabulous view of the beach. The safe was pleasant and helpful. If you are looking for a comfortable but more barebones hotel this is a great option.,,Foot B,6,4.0
751490950,https://www.tripadvisor.com/Hotel_Review-g60982-d86978-Reviews-Aston_Waikiki_Beach_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston Waikiki Beach Hotel,"March 20, 2020","I can't say enough about Hedwyne and Jeanette!! Truly 5 star service because of these two! Hedwyne handled some issues early on flawlessly and I could not have appreciated it more! Because of Jeanette recommending the Coconut Club, it made our stay much more enjoyable! I hope these two AMAZING Team members get recognized for there OUTSTANDING customer service. Also a shout out to the hotel in general and the rest of the Team who helped make this experience as wonderful as possible! We left halfway through our trip because of Hawaii's governor shutting things down. I was DREADING asking for a refund on our prepaid trip. The hotel refunded our remaining balance no questions asked! It was FAR beyond what I expected!Thank you Aston Team and Hedwyne and Jeanette!!!",,jcastagnola83,3,5.0
750510850,https://www.tripadvisor.com/Hotel_Review-g60982-d86978-Reviews-Aston_Waikiki_Beach_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston Waikiki Beach Hotel,"March 11, 2020","This is my 2nd stay at this hotel, both times in oceanfront rooms. Gorgeous view and nice location at a decent nightly rate (but do remember to include the resort fee). Some commenters have mentioned the need for room refurbishment, but that didn’t bother me much. The furniture is okay, and room is very clean. My problem is that the street noise and live music at Tiki’s are LOUD. My room was on the 8th floor. The musician played until 11pm, which isn’t unusual for bars and restaurants... except my east coast body clock wanted to sleep at 9pm. The street noise and urban campers across the street did not quiet down when the music stopped. I was awaken to yelling and banging multiple times each night. A trade off for the view of the Waikiki beach and sunset.The staff here is wonderful, and I will probably stay here again, but next time I will definitely request a very high floor.","Atlanta, Georgia","klay1970</div><div class=""userLoc""><strong>Atlanta, Georgia</strong>",5,4.0
749982083,https://www.tripadvisor.com/Hotel_Review-g60982-d86978-Reviews-Aston_Waikiki_Beach_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston Waikiki Beach Hotel,"March 8, 2020",We stayed for 3 nights while transiting to Australia from Canada. A little warming up needed. Our first experience was the check in and the resort fee which seemed high for 3 nights (US$144). When we queried this we were told we had to pay it with no explanation how it’s calculated or why. We later found we had 4 nights at around AU$290 in our account. This was being sorted by the reception but now have 2 pending deductions in our account. Our check in was late due to our flight delay. This was about 1am and we fell asleep once in the room #1001. The next day it was windy and the balcony sliding door and room entry door made whistling noises all night. Not much sleep has the 2nd night. On the next day the wind has increased and the balcony door was shaking violently. We thought it would blow out. Reception kindly relocated us to a room #1213 in the centre of the tower. The balcony door still whistled but no violent shaking. We slept better. However around 4am there was a group of giggling girls around the pool. We were 12 floors up so glad we weren’t lower as no one was stopping their noise. Eventually they moved. The rooms are very dated and need an overhaul. Old timber built in robes and furnishings. Brown featured carpet. Also the blanket on the bed in our first room had dark brown stains. On the high side is the location opposite the beach and Waikiki walls. Also we had good views of the beach even though it was a city view room. I know this sounds like a whinge but you can see from my other reviews from around the world they’re generally positive. Not sure about staying again. ,"Sydney, Australia","560JohnM</div><div class=""userLoc""><strong>Sydney, Australia</strong>",101,3.0
749907239,https://www.tripadvisor.com/Hotel_Review-g60982-d86978-Reviews-Aston_Waikiki_Beach_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston Waikiki Beach Hotel,"March 8, 2020","We booked this after a cruise. For $7 a night we were able to upgrade to an oceanfront view rather than ocean view. No brainer! We overlooked the main beach right across the street from the hotel. The location is at the end of the waikiki main drag, so its quieter than many properties, but still within walking distance of everything. The zoo is right across the street, the aquarium is beyond that, and Diamond Head is also adjacent with a nice public park. We loved the security feature of having to scan your room card to get on one of the elevators. The pool is next to the reception area as is a restaurant. The staff brought us frozen fruit cups while we were sitting in the chairs. They also supply you with beach towels and i believe beach chairs, but we didn't use them. The bed was comfy and the room was large. We were able to pay for late checkout at 4 pm since our room was going to be empty. We had a late flight and the hotel has a place to store luggage if you dont have a car and want to hang around town for a while. Valet parking is mandatory if you have a car. Our car was available whenever we wanted it by calling the valet desk. The only thing we can say negative was the lines at check-in and checkout. They need to get more staff during those times, or upgrade their systems to work faster. We got tired of waiting to check out after 10 minutes and dropped our key in a box. They did email us a receipt after i sent them a request. We would definitely stay here again!",,R1440WEdenniss,6,5.0
748950455,https://www.tripadvisor.com/Hotel_Review-g60982-d86978-Reviews-Aston_Waikiki_Beach_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston Waikiki Beach Hotel,"March 3, 2020","This is an old hotel with an excellent location. The rooms are small, but you do not go there to spend most of your time in your room. Pool area is shaded till late afternoon, but the beach is right across the street go there! They have beach chairs you can take and all the sunscreen you need. Tiki Bar and Grill is pool side and has great food . They have their own convenience store, but ABC stores (they were open when ever i went there) are outside the door and other food vendors. Trolley stop on the street. Staff are very helpful but be cautious of the concierge they work for a time share company.",,soldhaver,2,4.0
748924876,https://www.tripadvisor.com/Hotel_Review-g60982-d86978-Reviews-Aston_Waikiki_Beach_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston Waikiki Beach Hotel,"March 3, 2020",Highly recommend this hotel for a multiple of reason. 1. The staff are truly amazing2. Pickup point is right outside the hotel for multiple tours3. Walking distance to Zoo and Aquarium4. Beach views just a step out of the hotel,,447tarae,2,5.0
748801144,https://www.tripadvisor.com/Hotel_Review-g60982-d86978-Reviews-Aston_Waikiki_Beach_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston Waikiki Beach Hotel,"March 2, 2020","Positives- Location location location. Nice & pleasant staff. Decent sized rooms. Clean pool Negatives: Rooms/ decor has not seemed to be updated since the late 1980s so don’t go expecting ultra updated & modern settings. Our closed balcony door created a loud whistling every time the wind blew. But decent price, amazing location & the good breakfast helped us overlook the faults of this hotel.","Chicago, Illinois","amandabT3021MP</div><div class=""userLoc""><strong>Chicago, Illinois</strong>",3,4.0
747961755,https://www.tripadvisor.com/Hotel_Review-g60982-d86978-Reviews-Aston_Waikiki_Beach_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston Waikiki Beach Hotel,"February 27, 2020","Room was small for two people but accommodating, had a nice balcony and view of the ocean. Could use updating. Hotel staff was great. Pool was nice. Hotel had much to offer guests, ie: pool towels, cameras etc...",,Shlzz1,2,4.0
747406441,https://www.tripadvisor.com/Hotel_Review-g60982-d86978-Reviews-Aston_Waikiki_Beach_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston Waikiki Beach Hotel,"February 24, 2020",we stayed five nights at the aston and it was so worth it. the staff was so kind and gave us different ideas of what to explore and what to do. the food is amazing -> I‘m still dreaming of the Poke Ball,"Chur, Switzerland","sbless2018</div><div class=""userLoc""><strong>Chur, Switzerland</strong>",1,5.0
