review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751749339,https://www.tripadvisor.com/Hotel_Review-g60982-d225459-Reviews-Aston_Waikiki_Beach_Tower-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston Waikiki Beach Tower,"March 24, 2020","This hotel has everything needed. We are from Australia and we loved our stay. Room was simple clean and we choose the partial ocean view room it was a great view. And pool was great. Free filtered water whenever you want and great location. Shops on the same street, park across the road and beach across the road. Tour buses stop out front. Sounds to good to be true. Staff were lovely. Can’t say this about many hotels but this was a great stay for us. Our room view. ","Mudgee, Australia","jodiep769</div><div class=""userLoc""><strong>Mudgee, Australia</strong>",0,5.0
751636101,https://www.tripadvisor.com/Hotel_Review-g60982-d225459-Reviews-Aston_Waikiki_Beach_Tower-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston Waikiki Beach Tower,"March 22, 2020","This is an amazing property, very clean, spacious and with many amenities for guests who desire a one stop easy relaxing venue and the views are spectacular as is the proximity to Waikiki beach and other activities. ","La Verne, California","DaveMacNFam</div><div class=""userLoc""><strong>La Verne, California</strong>",0,5.0
751366711,https://www.tripadvisor.com/Hotel_Review-g60982-d225459-Reviews-Aston_Waikiki_Beach_Tower-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston Waikiki Beach Tower,"March 18, 2020","We have stayed at the Beach Tower about 25 times in the last 19 years. Looking forward to our 20th anniversary. It's not inexpensive, but it's a great value. 140 ocean facing suites (my estimate) in a 40 story building with 4 elevators, steps from the beach, makes for a great boutique, condo experience. The staff is the best.","Calgary, Canada","johnnyeh2017</div><div class=""userLoc""><strong>Calgary, Canada</strong>",2,5.0
751274649,https://www.tripadvisor.com/Hotel_Review-g60982-d225459-Reviews-Aston_Waikiki_Beach_Tower-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston Waikiki Beach Tower,"March 17, 2020",Clean and big rooms within a short walking distance to the beach. Great outdoor pool.Hospitable staff who always have a kind word and a good advice on places to eat and shows to see.Highly recommended.,,972ariky,0,5.0
748721521,https://www.tripadvisor.com/Hotel_Review-g60982-d225459-Reviews-Aston_Waikiki_Beach_Tower-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston Waikiki Beach Tower,"March 2, 2020",I rarely write online reviews but it would be unfair for me to not do so in this case. I have stayed at many similarly priced hotels in other cities and never experienced this level of customer support. The staff (front lobby and valet) treated us like family and anticipated every need. They noticed when I ran out of laundry detergent so gave me extra packets for the following day! We loved the personal touch of water bottles and sunscreen along with beach towels that can be checked out for day trips. The suites are large with well stocked kitchens and the housekeeping is flawless. They have set the bar for all future trips!,"Clinton Township, Michigan","MTUGRAD01</div><div class=""userLoc""><strong>Clinton Township, Michigan</strong>",0,5.0
747655496,https://www.tripadvisor.com/Hotel_Review-g60982-d225459-Reviews-Aston_Waikiki_Beach_Tower-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston Waikiki Beach Tower,"February 25, 2020",Stayed here for 3 nights over the weekend with family including children. The staff is awesome. Everyone we encountered were so nice and welcoming. The amenities are perfect for families. The kitchen has full size appliances which is really nice. Highly recommend. ,,Tukimon,0,5.0
747545791,https://www.tripadvisor.com/Hotel_Review-g60982-d225459-Reviews-Aston_Waikiki_Beach_Tower-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston Waikiki Beach Tower,"February 25, 2020","Fantastic views and friendly, professional staff.It is the best hotel for family trips where you can eat delicious meals and enjoy a nice view.The facilities are a little old, but clean and tidy. The location is so good that I am very satisfied.","Seoul, South Korea","정민 임</div><div class=""userLoc""><strong>Seoul, South Korea</strong>",0,5.0
744220245,https://www.tripadvisor.com/Hotel_Review-g60982-d225459-Reviews-Aston_Waikiki_Beach_Tower-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston Waikiki Beach Tower,"February 10, 2020","We were not sure about going to Waikiki. The Aston Waikiki Beach Tower completely changed our feelings and we want to go back! Check-in was amazing, with a staff member personally escorting us to our condo and explaining how everything worked. On the way up, she casually mentioned that she saw we were having a special celebration so, if it was okay with us, she had upgraded our accommodation. Was it ever! We stayed on the 38th floor. The condo was large, beautiful, great amenities and had the most amazing view. We did have a couple of questions concerning the internet and tv. Maintenance came up immediately. (There was nothing wrong, we were just not sure how to work some things.) It was also very quiet. We heard no noise from other condos or from the beach. The A/C worked great.","Seattle, Washington","westsear</div><div class=""userLoc""><strong>Seattle, Washington</strong>",12,5.0
742756904,https://www.tripadvisor.com/Hotel_Review-g60982-d225459-Reviews-Aston_Waikiki_Beach_Tower-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston Waikiki Beach Tower,"February 3, 2020","We had a Most amazing stay at thisProperty , from the start to the finish the staff were excellent and exceeded my expectations.The room 2304 was awesome , everything you couldWant and the views mesmerising Loved it and will be back as soon as we can","Yallingup, Australia","Mercfire</div><div class=""userLoc""><strong>Yallingup, Australia</strong>",1,5.0
742673800,https://www.tripadvisor.com/Hotel_Review-g60982-d225459-Reviews-Aston_Waikiki_Beach_Tower-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston Waikiki Beach Tower,"February 2, 2020",Had a wonderful time and experience at this hotel. We had a beautiful view of the beach from our suite. Staff was very nice and helpful. One of the best places we have stayed at. Location was perfect which was across the street from Waikiki beach. Every time we were at the pool the staff would give out otter pops and fruit snacks. You could even bbq at the pool if you wanted to. Only complaint would be that it’s a little noisy at night but that can’t be helped since it’s off of the strip. ,"Incheon, South Korea","jeaners21</div><div class=""userLoc""><strong>Incheon, South Korea</strong>",0,5.0
