review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751328097,https://www.tripadvisor.com/Hotel_Review-g60982-d86984-Reviews-Aston_Waikiki_Circle_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston Waikiki Circle Hotel,"March 18, 2020","There's no place like the OCEANFRONT rooms (1404 & 1305) of this awesome hotel! The panoramic view of the Kuhio and Waikiki beaches combined is a picture so perfect! This is the main reason why we kept on coming back to this hotel. It's like a home away from home. Thanks to all the staffs, you all made our vacation complete. Keep up the good work God bless you all. Aloha!",Perranporth,"324marilynn</div><div class=""userLoc""><strong>Perranporth</strong>",4,4.0
751117504,https://www.tripadvisor.com/Hotel_Review-g60982-d86984-Reviews-Aston_Waikiki_Circle_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston Waikiki Circle Hotel,"March 16, 2020",nice place to stay very well located and easy to get to. parking was a lil iffy if not onsite but not that bad. rooms were nice and clean. balcony had very nice view of beach and nice place to stay. I would stay here again.,Ripon,"staceykrueger</div><div class=""userLoc""><strong>Ripon</strong>",0,4.0
749618605,https://www.tripadvisor.com/Hotel_Review-g60982-d86984-Reviews-Aston_Waikiki_Circle_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston Waikiki Circle Hotel,"March 6, 2020","This is a basic, no frills budget hotel. I usually stay at the larger resorts when in HNL, but since this was a short 3 night trip we decided to stay here to save some money. I probably wouldn’t stay here again because it lacked amenities, but overall it was a nice stay for the price. What I liked: - Great location (right across the street from the Duke’s statue).- Staff was very friendly and accommodating when we asked for a late checkout. - Beds were comfortable- Balcony with ocean front view was amazing!- Concierge service (although they didn’t help very much)What I didn’t like:- Bathroom and shower were REALLY small! - lots of outside noise - garbage trucks, leaf blowers in the morning (sliding glass door is old and not double paned). We were in the 5th floor- No real lobby area","San Francisco, California","tiffany000</div><div class=""userLoc""><strong>San Francisco, California</strong>",61,3.0
748509833,https://www.tripadvisor.com/Hotel_Review-g60982-d86984-Reviews-Aston_Waikiki_Circle_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston Waikiki Circle Hotel,"March 1, 2020","We booked an ocean view room for three nights - we had a great view, and our room was quieter than the room we stayed in last time (which was close to the service elevator) but it is still noisy, from the traffic outside to the air conditioner in the room (which did affect my sleep, even with ear plugs). Rooms are small but that is okay. Very clean, especially considering all the sand that must get tracked in to every room, very friendly staff, great location. For some reason, there is always a huge line up at Eggs 'n Things, so even though being a guest at the hotel entitles you to a 10% discount, we just never took advantage of it because we didn't want to spend all that time in line.Beds were very comfortable, shower was small but adequate. It was nice to have a newspaper every morning. The location is phenomenal - right across the street from the beach! I would stay here again, I think it is the best value in Waikiki.","Edmonton, Canada","tinav3_travels</div><div class=""userLoc""><strong>Edmonton, Canada</strong>",144,4.0
748198451,https://www.tripadvisor.com/Hotel_Review-g60982-d86984-Reviews-Aston_Waikiki_Circle_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston Waikiki Circle Hotel,"February 28, 2020","Stayed at this accommodation for 3 nights, regretted that I didnt stay longer. Very basic but very clean rooms. The staff are excellent and pleasant...ALL OF THEM, special mention to Shawn at reception who is very helpful and great to deal with. We stayed at 1205 which had a fantastic view of Waikiki. We arrived early (8am) and Shawn did his very best to get us a room so we can rest - we were in our room by 9am!The bed was clean and comfy, and though room was outdated, it was very clean and had everything you need. Bathroom was small, but expected given the size of the bldg.The also offer a free shuttle and their driver, Earl, was wonderful!Would definitely stay here again!","Sydney, NSW","Big_n_Beautiful</div><div class=""userLoc""><strong>Sydney, NSW</strong>",9,5.0
745566984,https://www.tripadvisor.com/Hotel_Review-g60982-d86984-Reviews-Aston_Waikiki_Circle_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston Waikiki Circle Hotel,"February 16, 2020","The most impressive thing about this hotel is how friendly the staff were. They'd say hello in a happy and friendly way every time we saw them in the hallways.Otherwise, this hotel isn't particularly impressive. The beds were comfortable, but the rooms small. Our room (partial ocean) overlooked a parking lot and a very nice looking hot tub and pool of the place next store. This is across from the beach, in a super loud and busy area. We could hear street noises even with the doors closed. The elevators are open to the outside but require a key to use. It was the lower cost and convenient option for what we were in town for -- a friend's wedding.","Washington, District of Columbia, United States","letsgoseestuff</div><div class=""userLoc""><strong>Washington, District of Columbia, United States</strong>",15,3.0
743236240,https://www.tripadvisor.com/Hotel_Review-g60982-d86984-Reviews-Aston_Waikiki_Circle_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston Waikiki Circle Hotel,"February 5, 2020","I am originally from Hawaii, so when I do come ""home"" I usually stay at Ashton Waikiki Beach. However, I got a descent package deal by staying at Ashton Waikiki Circle.The hotel is small and one of the older ones in Waikiki, which it definitely shows in the hall ways, etc. The rooms are small and the bathroom even smaller. It's good enough for up to two adults, but anything more you will be bumping hips. Every room has a refrigerator but no microwave. There are no iron or ironing boards in the room. You can request one and they will bring it to your room.The plus side, every room has a beach view. Even a partial view is nice, as seen in my pic.Yes, the rooms are small, but the location is great! Waikiki beach is directly across the street, Mcdonalds is next door, famous eggs and things is downstairs. So many shopping and eating options all within walking distance.On a side note, if you plan on renting a car, the hotel only has 22 parking spaces available which is on a first come first serve basis. They assign you a remote that lets you in their garage. If you are lucky to get one of the 22 remotes, then you hold it during your whole stay, which means you have a parking stop your whole visit.Parking is $29 a day which they charge you upon check out.However, if you are not lucky enough to claim one of those 22 spots on your visit, they told me that they have an overflow parking lot 3 blocks away, and the price each day is $10 less.The hotel also charges a resort fee each night. I think it is $25 a night. This fee is ridiculous. The hotel has no exercise room, no pool, no free breakfast,no laundry service, no valet, etc.They will talk it up, that the resort fee includes wi fi, towels to use for the beach, and free dvd movie rentals.Oh, it can be very noisy. I stayed at the top floor (level 14 which is the highest)and the noise level can be high from the street noise. Cars, emergency vehicles, people talking, yelling.There are other bigger hotels as your neighbors, so depending on what side you are on hotel, you can literally yell out to them or see in their rooms. Visa versa.The hotel really doesnt have a lobby either.You kind of walk up to a person behind glass windows to check in/out.Overall it is not bad. Can't beat the location and convenience of everything.Yes, rooms are small, but you're in Hawaii...you should only be in your room to sleep. Enjoy Hawaii!","Woodbridge, Virginia","Ade R</div><div class=""userLoc""><strong>Woodbridge, Virginia</strong>",11,4.0
742854547,https://www.tripadvisor.com/Hotel_Review-g60982-d86984-Reviews-Aston_Waikiki_Circle_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston Waikiki Circle Hotel,"February 3, 2020",This was my fortieth stay at the Waikiki Circle Hotel. The property is directly across the street from the ocean. You can experience the surf directly breaking on the sandy beach or relax in a part of the beach protected from the surf. The hotel is a colorful facility with friendly and helpful staff. Rooms can have an ocean front view or a city view depending on where in the circular structure you are located. The hotel is within easy walking distance of restaurants of all types of cuisines and attractions such as the zoo and aquarium. Definitely a walking friendly environment. Highly recommended.,"Saratoga Springs, New York","Fred B</div><div class=""userLoc""><strong>Saratoga Springs, New York</strong>",76,5.0
741928603,https://www.tripadvisor.com/Hotel_Review-g60982-d86984-Reviews-Aston_Waikiki_Circle_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston Waikiki Circle Hotel,"January 29, 2020",This hotel was a little run down and the rooms were pretty small. But it was an excellent location and the staff was nice. It is across the street from a swimming beach. It is definitely not a luxury hotel.,"Portland, Oregon","Olytravelers</div><div class=""userLoc""><strong>Portland, Oregon</strong>",4,4.0
737895162,https://www.tripadvisor.com/Hotel_Review-g60982-d86984-Reviews-Aston_Waikiki_Circle_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston Waikiki Circle Hotel,"January 8, 2020","Over 20 years we have been visiting Hawai’i and try to stay at The Circle for part of our holiday. All about position position right on the beach , easy walking distance to all main parts of town. Friendly staff, clean , safe, affordable, we love the little circle on the beach .","Melbourne, Australia","amandar692</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",2,5.0
