review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751225353,https://www.tripadvisor.com/Hotel_Review-g60982-d114010-Reviews-Aston_at_the_Executive_Centre_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston at the Executive Centre Hotel,"March 17, 2020","If you are working in the downtown area it is greatly located. The lobby area is nice along with nice views from the upper floors. There is also a good number of shopping and eating options in the area, and even within a very easy walk to McD's and Walmart. Parking is available but is a bit of a pain to access as you have to change elevators to access floors 3-9 which is the parking areas. It is also can get quite costly at about $20 a day.Now the bad, the Apt we stayed in was decently clean, had a decent bed, but the rest of the furniture and accommodations were cheap. Even the kitchen utensils, silverware, and cookware were pathetic. Since I have now found out these are condo units and owned by individuals, I guess it makes sense that some are better than others. This room wasn't terrible but it could definitely use some upgrades.This is downtown, so after about 6 pm all the business people are gone and all that is left is the homeless and they are EVERYWHERE. Not the fault of the hotel but Oahu has a serious homeless problem and it shows, in this area, at night.","Huntsville, Alabama","Speedracer61</div><div class=""userLoc""><strong>Huntsville, Alabama</strong>",120,3.0
750045648,https://www.tripadvisor.com/Hotel_Review-g60982-d114010-Reviews-Aston_at_the_Executive_Centre_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston at the Executive Centre Hotel,"March 9, 2020","I checked in on Friday 6 March around 2pm. My room wasn't ready but front desk found 3608 available so I assigned this one. When I walked in it smelled like cigarettes had been smoked in it but more importantly, I was amazed at the size of this room. I was greeted with a fully kitted out kitchen (except an oven) that could fit three people easily. After this was a huge lounge, great carpet, leather lounge suite, decent size HD 40"" or more TV with cable, and seating for at least five people. Probably more given the space it commanded. A slide door separates it from the master bedroom (that's how I would describe it), including another TV screen, office desk and this room was also huge. It also has a washer and dryer and ample wardrobe space. I think the ensuite needs an upgrade especially the bathtub, the tv in the master room doesn't work, and the internet too. I called front desk and spoke with Niz. We both tried trouble shooting looking at the equipment but that wasn't the problem. Niz called the internet provider and they couldn't find what the problem was. I couldn't log in to internet and I had two university guest lectures to give in: 12-3pm and 6-8pm. It wasn't until 1am in the morning when Niz rescued me and put me in 3805 so I can get an internet connection. Wow! This room was awesome. It was certainly an upgrade. It was immaculate and a step up from 3608. Niz has been at the Aston for a decade or more and an able supervisor. She went all out to make sure my stay was comfortable so I would like to commend Niz.",,mosesf2015,5,4.0
746132612,https://www.tripadvisor.com/Hotel_Review-g60982-d114010-Reviews-Aston_at_the_Executive_Centre_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston at the Executive Centre Hotel,"February 19, 2020","Very very dissapointed with the hotel, it is not as advertised! The room smelled and the furniture was outdated and old. Turns out it is a Time-share room which I was not informed of at any stage, thus the lived in smell!! We were moved the following day to another room,better view but still SMELLED! Bed(s) were old and uncormfortable. All in all, a very poor start to our vacation. The restaurnat in the lobby doesnt even belong to the hotel either. Overall, not as advertised, expensive for what is on offer, and no contact with management either during or subsequent to the fiasco. The front staff were very nice and tied to help in a situation that obvioulsy they have no control over.",,I3109UAjoem,0,1.0
745067804,https://www.tripadvisor.com/Hotel_Review-g60982-d114010-Reviews-Aston_at_the_Executive_Centre_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston at the Executive Centre Hotel,"February 14, 2020",We need to stay in Chinatown for business. This was a very good option as it was centrally located and the price was right and we knew people who had stayed here and the reviews were pretty good. Edit appears to be a bunch of condos or such that are rented out nightly as hotel rooms. So I think that the furnishings might be a little different. The rooms are outside and in some respects but our room on the 31st floor facing east toward the mountains was very very spacious with a mini kitchen dining table and chairs and a desk and a large fridge The bathroom was adequate and the bedroom side was quite large. My only complaint about the bedroom side was no chair or sofa or any place to sit. Service was very good and the best thing about the place is the pool the pool is a little oasis in the concrete jungle on the 11th floor and just perfect,"Green Cove Springs, Florida","DBKuper</div><div class=""userLoc""><strong>Green Cove Springs, Florida</strong>",65,4.0
737861481,https://www.tripadvisor.com/Hotel_Review-g60982-d114010-Reviews-Aston_at_the_Executive_Centre_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Aston at the Executive Centre Hotel,"January 8, 2020","First of all, this hotel use to be dorm rooms that were then converted to a hotel. Narrow hallways, low ceilings, smelled, no quality to the rooms. The location was not good. The Waikiki Beach area is amazing, great shopping, restaurants, night life, landscape, etc. Stay anywhere near Waikiki Beach.",,davidgQ339XP,2,2.0
733558321,https://www.tripadvisor.com/Hotel_Review-g60982-d114010-Reviews-Aston_at_the_Executive_Centre_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston at the Executive Centre Hotel,"December 19, 2019","We selected the Aston for the night after our Pride of America cruise based on convenience to airport and Pearl Harbor (15-20 minute drive), and the lap lanes in the pool. Obviously oriented toward business travelers, there was little activity on Saturday night. Our suite was on 31st floor with nice view of the mountains. Separate bedroom with TV had glass walls and sliding glass door to living room (possible safety hazard). Living room had no couch or TV. But did have dining table and full kitchen. The parking garage was tight, with 10 levels. We were charged $25.00 for the night - reasonable compared to Waikiki hotels. The ambiance around the pool (open air on 11th floor of connecting building) was excellent with 3 palm trees and other plantings, and rock mini-wall as outside shower. The quality of everything was very high, and we were glad to have chosen it rather than something less well maintained but slightly closer to the airport.","The Villages, Florida","VillageGypsy</div><div class=""userLoc""><strong>The Villages, Florida</strong>",101,4.0
730902667,https://www.tripadvisor.com/Hotel_Review-g60982-d114010-Reviews-Aston_at_the_Executive_Centre_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston at the Executive Centre Hotel,"December 5, 2019","The apartment was as advertised. I am very pleased with the amenities, the cleanliness and the views. Centrally located and within a walking distance to Ala Moana or Waikiki. Friendly and helpful staff. I strongly recommend it!","Honolulu, Hawaii","S2778BVmikep</div><div class=""userLoc""><strong>Honolulu, Hawaii</strong>",0,5.0
728471346,https://www.tripadvisor.com/Hotel_Review-g60982-d114010-Reviews-Aston_at_the_Executive_Centre_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston at the Executive Centre Hotel,"November 23, 2019","Our stay was driven by a need to go to Queen's hospital and for that purpose this location is excellent. Staff at the front desk were very friendly and helpful. The room was very clean, the bed excellent and the layout with a separate bedroom was also very nice. Some peeling paint on the bathroom cabinets and the kitchen could have been a little bit better stocked - - but it was workable for what we needed.Location, location, location- - if this location is what you need or want then this is the place to stay.","Spokane, Washington","Dryside</div><div class=""userLoc""><strong>Spokane, Washington</strong>",13,4.0
726469461,https://www.tripadvisor.com/Hotel_Review-g60982-d114010-Reviews-Aston_at_the_Executive_Centre_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston at the Executive Centre Hotel,"November 14, 2019","we chose this hotel because it was close to the Kulikani hospital and my wife was released at 05.00 am from emergency therapy. When she checked out 7 hours later the hotel wanted to charge 2 days. On the room there was no drinking water and also otherwise no service was attainable early in the morning (shower didn't work) . All this to 220$ per night. In emergencies like this never check into this hotel, rather into a hotel in Waikiki.",,RobertoFeusi,0,1.0
721103321,https://www.tripadvisor.com/Hotel_Review-g60982-d114010-Reviews-Aston_at_the_Executive_Centre_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Aston at the Executive Centre Hotel,"October 24, 2019","the Ashton is a great option as a pre-cruise hotel,,Close to port terminal. Nice suites with great views and full kitchenettes. Elevators are small and don't open on the street level with out assistance of the lobby. Dining options outside those at Alamo Tower marketplace are limited. Walmart , Ross and Long drugs are within walking distance","Hillsboro, Oregon","Mark T</div><div class=""userLoc""><strong>Hillsboro, Oregon</strong>",143,4.0
