review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
748510896,https://www.tripadvisor.com/Hotel_Review-g60763-d217627-Reviews-Belnord_Hotel-New_York_City_New_York-or0.html?filterLang=en,Belnord Hotel,"March 1, 2020","This hotel is great in terms of location and I do think that New York has so many things to do and see that it isn't necessary to be in your room that much. That being said, there is no insulation between the rooms. As an example, I could hear the person in the next room flicking through their TV at 1am. Also, any movement in the corridor is very loud, such as the cleaning staff at 8am the next day. If you can sleep through anything/are ok with earplugs then maybe you will be ok. The bedroom isn't large and the bathroom is tiny but it will be fine if you're by yourself. Personally, I would advise spending an extra $25 for a better hotel. ",,Adventure767527,3,2.0
744838421,https://www.tripadvisor.com/Hotel_Review-g60763-d217627-Reviews-Belnord_Hotel-New_York_City_New_York-or0.html?filterLang=en,Belnord Hotel,"February 13, 2020","this is a nice little hotel very close to the subway. the downtown 1 train will have you in times square in no time at all. the hotel is clean. rooms are small which is normal but adequate. beds are really comfy and lots of extra bedding and pillows. the big problem is the shower. the shower itself is brilliant, hot and powerful. however the shower curtain is rubbish so when you have a shower the floor is covered in water.staff were friendly and check in very quick and easy. brilliant location and good value. however you cannot get any food in the hotel but lots of good restaurants around the area. will stay here again.","County Meath, Ireland","rayf38</div><div class=""userLoc""><strong>County Meath, Ireland</strong>",90,4.0
741991923,https://www.tripadvisor.com/Hotel_Review-g60763-d217627-Reviews-Belnord_Hotel-New_York_City_New_York-or0.html?filterLang=en,Belnord Hotel,"January 29, 2020","Got bedbugs from there. The extermination took months, and my entire home taken apart and put back together.: $1000 The desk clerk said nothing upon notification and never heard back from the management. Do not be fooled by the recent renovation and the great locale. Stay somewhere else","Philadelphia, Pennsylvania","DavidR4259</div><div class=""userLoc""><strong>Philadelphia, Pennsylvania</strong>",1,1.0
740679552,https://www.tripadvisor.com/Hotel_Review-g60763-d217627-Reviews-Belnord_Hotel-New_York_City_New_York-or0.html?filterLang=en,Belnord Hotel,"January 22, 2020","Excellent location and excellent service. The room is very comfy and very clean, also nicely decorated and very spacious. Staff is very gracious and helpful. One of the most convenient and reasonably-priced hotels in NY, also very close to the subway on one of the most beautiful districts of NY. Will definitely choose to stay here again and would recommend it to everyone for a pleasant and relaxing stay, while in the city.",,efstathiak2020,0,5.0
740070841,https://www.tripadvisor.com/Hotel_Review-g60763-d217627-Reviews-Belnord_Hotel-New_York_City_New_York-or0.html?filterLang=en,Belnord Hotel,"January 19, 2020","booked a room here last minute on a saturday night. what an adorable little room. it was spotless and served our purpose of somewhere to comfortably sleep. would definitely recommend! the only thing is i wish they offered some sort of breakfast, like muffins or bagels or something along those lines.",,kaylamZ8807IA,0,4.0
735099189,https://www.tripadvisor.com/Hotel_Review-g60763-d217627-Reviews-Belnord_Hotel-New_York_City_New_York-or5.html?filterLang=en,Belnord Hotel,"December 28, 2019","I needed a placed to stay on the Upper West Side for one night. The location was perfect. I had the option to stay with friends but preferred the privacy that a hotel would offer. It was clean, room 410 was renovated with new linens and a large screen tv. Like other reviews mention, the room is the size of a shoe box. I got a Queen bed which took up 90% of the floor space. Fine for one person, but I wouldn't stay here as a couple. They leave space under the beds for your suitcase. There was a tiny bathroom and closet. The whole room was smaller than my baby nursery at home.I think of it like a single dorm room in college, or a spiffy Youth Hostel, with no place for a desk or any furniture besides a bed. The bed was fine, it is clean and comfortable. Something to note of is that there is a staircase at the entrance. I had to drag my luggage up that and struggled a bit. The front desk reception were courteous. A friend had left a gift basket which was waiting for me upon arrival. I am happy I chose this hotel, and if I needed to be on the Upper West Side again I would certainly choose the Belnord.","White Plains, New York","390gailr</div><div class=""userLoc""><strong>White Plains, New York</strong>",6,4.0
733742718,https://www.tripadvisor.com/Hotel_Review-g60763-d217627-Reviews-Belnord_Hotel-New_York_City_New_York-or5.html?filterLang=en,Belnord Hotel,"December 20, 2019","If you don't feel claustrophobic in small places, then surely you can choose this place if you aren't spending a lot of bucks but don't want to compromise on the NYC experience. This hotel is located at a walking distance from the Central park, MET, and a lot of prominent places. The location was the reason we chose this hotel although the rooms are super crampy - you can't twirl in it, I am serious. But if you plan to select a hotel only for sleeping and want to roam around the city all day long, then it's a good place for you, also some amazing restaurants at a walking distance.P.S. tripadvisor isn't allowing me to select the travel date beyond Jan 2019, I actually stayed here for 4 days in May 2016.","Bengaluru, India","priyamvadatbajpai</div><div class=""userLoc""><strong>Bengaluru, India</strong>",12,4.0
732627846,https://www.tripadvisor.com/Hotel_Review-g60763-d217627-Reviews-Belnord_Hotel-New_York_City_New_York-or5.html?filterLang=en,Belnord Hotel,"December 14, 2019","If you want the New York tourist experience, this is not it. This is located in a neighborhood, walk to local eateries, and markets and stay in a small space. It is steps from the subway, uptown and basic. The check in staff are hospitable, not overly friendly, yet efficient. The walls are fairly thin so you hear conversations in the hallways pretty clearly and bags rolling down the wooden floors. I stayed alone for a night, two people might find it a bit tight, I enjoyed my stay here. ","Arlington, Texas","Ausecl</div><div class=""userLoc""><strong>Arlington, Texas</strong>",23,4.0
732467649,https://www.tripadvisor.com/Hotel_Review-g60763-d217627-Reviews-Belnord_Hotel-New_York_City_New_York-or5.html?filterLang=en,Belnord Hotel,"December 13, 2019","Very nice clean hotel, well situated for getting about, would come again. Very comfortable bed, rooms small did not matter has we were only in it to sleep spent all our time exploring NYC. Brilliant time. Recommended xx",,4170xx,0,5.0
732445082,https://www.tripadvisor.com/Hotel_Review-g60763-d217627-Reviews-Belnord_Hotel-New_York_City_New_York-or5.html?filterLang=en,Belnord Hotel,"December 13, 2019","A return visit after a couple of years. This small hotel continues to be an ideal spot for tourists. The front-desk crew are always cheerful and extremely helpful. The rooms, although smallish, are clean, warm with good hot water supply. Kitchen-room has good breakfast coffee.Tea and hot water at other times. The location is perfect for downtown on the metro line 1 (fast) and slower bus 104, both almost on the doorsteps. For the ‘museum mile’, the crosstown 86 bus is only a few steps away.Plenty of food stores and restaurants/take-aways are very close. Telephone use is free; can print boarding-passes",london,"peter29alex</div><div class=""userLoc""><strong>london</strong>",53,4.0
