review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753496658,https://www.tripadvisor.com/Hotel_Review-g60763-d3973287-Reviews-Best_Western_Premier_Herald_Square-New_York_City_New_York-or0.html?filterLang=en,Best Western Premier Herald Square,"May 13, 2020",It was clean and the staff was nice. The bed was comfortable. The location was perfect--I could walk to my business meetings each day--no cabs and no Ubers! I walked to Central Park and Times Square. Lots of good food within walking distance,"Lexington, Kentucky","Cynthia M</div><div class=""userLoc""><strong>Lexington, Kentucky</strong>",16,4.0
744865786,https://www.tripadvisor.com/Hotel_Review-g60763-d3973287-Reviews-Best_Western_Premier_Herald_Square-New_York_City_New_York-or0.html?filterLang=en,Best Western Premier Herald Square,"February 13, 2020","Don't expect the largest rooms, but do expect clean ones coupled with outstanding service. Every morning, a full breakfast is served, and free tea and fresh coffee are available in the lobby. We didn't drink in the lounge/bar of the hotel, but we talked to others who found the atmosphere friendly and inviting. Our most pleasant experiences involved the staff: housekeeping supplied us with items we forgot or needed more of; the breakfast crew served up a pleasant good morning, and the front desk accomodated us when we forgot to check-out (because you Will sleep well) and arranged for another room at reasonable rates when we extended our stay. Thanks to all of you! Finally, if you like to city walk, this hotel is in the center of Manhattan. You are close to subway and buses (use Moovit to navigate your route). And get out and walk! The greatest way to see the city. Central park is about 3.5 miles with stops at the Met and other museums, and Greenwich is about the same with a slight detour through Times Square.","Pasadena, California","Dan M</div><div class=""userLoc""><strong>Pasadena, California</strong>",4,5.0
751866729,https://www.tripadvisor.com/Hotel_Review-g60763-d3973287-Reviews-Best_Western_Premier_Herald_Square-New_York_City_New_York-or0.html?filterLang=en,Best Western Premier Herald Square,"March 26, 2020","Excellent and Accomodaing. From check in to check out. I opted to stay another night and they even honored the lower price from a booking website. I've never had that happen. I will stay here again. Clean rooms. Actually, immaculate rooms. ","New York City, New York","redkisd</div><div class=""userLoc""><strong>New York City, New York</strong>",3,5.0
751211795,https://www.tripadvisor.com/Hotel_Review-g60763-d3973287-Reviews-Best_Western_Premier_Herald_Square-New_York_City_New_York-or0.html?filterLang=en,Best Western Premier Herald Square,"March 17, 2020","I was skeptical as to whether or not this hotel would be fresh and clean because of the great value for the location. I was more than pleasantly surprised that it exceeded my expectations! Even my picky adult-daughter was happy! And the location was perfect for all the sights we wanted to see in NYC.My only caveat is that you could hear the clunking of the elevator in our room, which was unpleasant at night, but not terrible.","San Diego, California","k0hlenberg</div><div class=""userLoc""><strong>San Diego, California</strong>",0,5.0
750445009,https://www.tripadvisor.com/Hotel_Review-g60763-d3973287-Reviews-Best_Western_Premier_Herald_Square-New_York_City_New_York-or0.html?filterLang=en,Best Western Premier Herald Square,"March 11, 2020","I used to live in the city and come back often. My friend and I had come for a theatre trip and we flew in on the red eye. We got in about 8am and Alam and his team got us an early check in, which was so fantastic! Yes, the rooms are small, but if you are expecting a large room you better be ready to pay a large price! For the cost, these rooms are fantastic. We were on the second floor, but you couldn't really hear the street. My friend and I travel together often and she struggles to sleep in hotels, but not here! We slept well every night. Our needs were met. I only went down to breakfast once, but it was lovely. The rooms were cleaned well, and the location was in perfect walking distance of the theatre district, Morgan Library, Bryant Park, and Herald Square. Subway around the corner. Really a wonderful place. My husband and I are going back to the city in April and our room is already booked. ",,drmarenswensen,0,5.0
750439786,https://www.tripadvisor.com/Hotel_Review-g60763-d3973287-Reviews-Best_Western_Premier_Herald_Square-New_York_City_New_York-or5.html?filterLang=en,Best Western Premier Herald Square,"March 11, 2020","First off it’s super easy to navigate too walking from Penn Station. Second it’s location is smack dab in the middle of everything. Look if you want a view go book at a hotel double in price. I used to do that, then I realized I spend 90% of my time outside of the room. So I really look for location, amenities, price, and most of cleanliness. This place had all of it. On top of it being a clean room top to bottom, they checked me in at 12:30pm. I’ve stayed at a ton of hotels in my life, I’ve never been able to check in that early. The staff was completely gracious and amazing, and even printed my concert ticket for me too. All I can say is I had three rooms I booked and cancelled up until I chose this place and I’m extremely glad I did. I saved money and stayed in a clean hotel in one of the best locations in nyc. Stay here and explore outside the room, ps there’s a Taco Bell cantina around the corner from it too, so awesome! Cheers!",,Scooterknowsbest,0,5.0
750261051,https://www.tripadvisor.com/Hotel_Review-g60763-d3973287-Reviews-Best_Western_Premier_Herald_Square-New_York_City_New_York-or5.html?filterLang=en,Best Western Premier Herald Square,"March 10, 2020","Though it has a very unpretentious entryway, once inside, this hotel has very nice rooms, pleasant staff, an excellent breakfast room and a great location--I walked there with my luggage from Penn Station. Plus it's close to Macy's, all the subways, the Empire State Building, and everything I needed to be near for my stay. Definitely, a keeper!","Rochester, United States","Robert S</div><div class=""userLoc""><strong>Rochester, United States</strong>",0,5.0
750127094,https://www.tripadvisor.com/Hotel_Review-g60763-d3973287-Reviews-Best_Western_Premier_Herald_Square-New_York_City_New_York-or5.html?filterLang=en,Best Western Premier Herald Square,"March 9, 2020","I have just spent 9 nights at BW Premier and I have mixed feelings about it.Upon checking in, I had problems with my credit card (which worked everywhere else in the world, China included) , so I tried to pay with maestro and they do not accept it, so I asked to withhold my cash payment until I solved the issue about it the following day. The following day I was told my cash was in the bank already and could not do anything. They were able to charge me a night, and I explicitly asked to be fully charged before arriving, so I think they only wanted the cash. I was given no receipt, so I asked about it in order to get back my 200usd deposit before leaving... I must say all staff was very inexperienced, I have never had such a bad experience in the world, not even when no one spoke English.The room was large, comfortable enough, TV kept buffering though and it was very cold at night because of the poorly insulated windows.Location is good, price was 1150 usd for 9 nights which is kind of a good deal for NY, but if I knew I would have encountered these issues I would have booked at a fancier hotel.Overall this is an option if you cannot afford more (especially for being on 36th street) , but don't expect luxury of any kind. ","Lugano, Switzerland","TheSwissNomad</div><div class=""userLoc""><strong>Lugano, Switzerland</strong>",347,3.0
749949282,https://www.tripadvisor.com/Hotel_Review-g60763-d3973287-Reviews-Best_Western_Premier_Herald_Square-New_York_City_New_York-or5.html?filterLang=en,Best Western Premier Herald Square,"March 8, 2020","My husband and I stayed here last week. We couldn't have asked for a better stay. I did so much research before choosing this location and was very happy with my choice. The staff was excellent. So kind, introduced themselves and gave great dinner recommendations. The rooms are clean and nicely decorated. They are normal size for New York. Our room was on the back side of the hotel, so there was not a view. But what we did have was the ability to open the window and get some fresh air. It was also surprisingly quiet when we did open the window. We only utilized the breakfast area once. It was a typical spread, but the bagels seemed to be fresh from the area. The location couldn't have been better. It was great to be around the corner from the Empire State Building, shopping, great restaurants and so much more. Times Square was easily within walking distance.","Olympia, Washington","X5531KGbethr</div><div class=""userLoc""><strong>Olympia, Washington</strong>",16,5.0
749536166,https://www.tripadvisor.com/Hotel_Review-g60763-d3973287-Reviews-Best_Western_Premier_Herald_Square-New_York_City_New_York-or5.html?filterLang=en,Best Western Premier Herald Square,"March 6, 2020","Excellent location, wonderful breakfast, employees that stay for years and are really good. The rooms are mostly small but clean, comfy and very nice.Close to 5th Ave, shopping and the Metro with lines going almost everywhere.","Plano, Texas","Janb3321</div><div class=""userLoc""><strong>Plano, Texas</strong>",41,5.0
