review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
688792501,https://www.tripadvisor.com/Hotel_Review-g1066458-d10082928-Reviews-BnA_HOTEL_Koenji-Suginami_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,BnA HOTEL Koenji,"July 11, 2019","This is a great little hotel. We’ve been to Tokyo many times and we were looking for something different, not in the centre of town. The room was comfy, good size, enough room to keep suitcases out. The bar was nice and reasonably priced. The Koenji neighbourhood is cool and we went to a hotel recommended katsu place for dinner, it was delicious. The staff were very friendly and helpful. Overall very good. I recommend bringing eyepatches as the exit sign in the room was very bright.","Sydney, Australia","SydneySider1983</div><div class=""userLoc""><strong>Sydney, Australia</strong>",77,4.0
650445128,https://www.tripadvisor.com/Hotel_Review-g1066458-d10082928-Reviews-BnA_HOTEL_Koenji-Suginami_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,BnA HOTEL Koenji,"February 5, 2019","It was a great experience for me to stay in art room (first experience).Adding to the greatness of the room I stayed in and posted here, the bar equiped on the first floor was so nice. There is a local community and I could talk with various types of people. I enjoyed.","Kyoto-shi, Kyoto, Japan","daijiroF</div><div class=""userLoc""><strong>Kyoto-shi, Kyoto, Japan</strong>",4,5.0
634367517,https://www.tripadvisor.com/Hotel_Review-g1066458-d10082928-Reviews-BnA_HOTEL_Koenji-Suginami_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,BnA HOTEL Koenji,"November 19, 2018","On our last night in Tokyo my boyfriend and I wanted to stay in a different, less central neighborhood of Tokyo to get a different feel. We discovered BnA Hotel Koenji when searching for boutique hotels and loved that the rooms were decorated by artists and that part of the proceeds of the room revenue is donated to artists. We arrived around 2:45 on a Monday and were greeted by someone who may have been a cleaning person who was friendly but wouldn’t let us go to our room because “check-in wasn’t until 3pm.” Didn’t matter that we were 15 minutes from 3pm and no one was in the room, we had to leave and come back. It was pouring with rain and given that there isn’t a typical lobby where we could sit and wait we left feeling a bit weird. When we arrived back later that afternoon we were greeted by a woman who I assume works at the hotel and were shown our room. The art was awesome and we were impressed by the spaciousness and design of the room, and loved the wolf murals. The bathroom is pretty modern and there are tons of usb outlets for all your devices. We were a bit worried about the bar/dj situation in terms of noise but as it was a Monday night it was luckily quiet. It’s a little weird checking out of a hotel with an empty bar but it was pretty seamless. If you have an issue there’s a bell you can ring outside that I think is connected to a cell phone and someone can assist within a few minutes. The Koenji neighborhood is pretty cool, filled with tons of vintage shops and bars. The Koenji JR station is literally a two minute walk from the hotel and you can access Shinjuku and Tokyo station directly from the line at Koenji station. So easy! Overall this is a cool hotel for someone who is looking for more of a local experience in Tokyo while still being able to access more central areas easily and quickly with the nearby JR station. ","new york, new york","fg1186</div><div class=""userLoc""><strong>new york, new york</strong>",47,4.0
595003448,https://www.tripadvisor.com/Hotel_Review-g1066458-d10082928-Reviews-BnA_HOTEL_Koenji-Suginami_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,BnA HOTEL Koenji,"July 10, 2018","I loved the BnA hotel and really loved the Koenji neighborhood. The hotel is located right outside the subway stop, which was so nice - and the hotel was surprisingly quiet! We had the room on the second floor - it was so cool to wake up to the brightly-colored mural every morning. The room was the perfect size for 2 people - it was small and there was no TV, but who cares about that?? We did not come to Koenji to sit in the room!The staff is very friendly and helpful and enthusiastic. Definitely hang out at the bar one night!!As far as Koenji goes, it is the best neighborhood in Tokyo! There are endless amounts of boutiques, vintage shops, restaurants and coffee shops - it was honestly hard to decide where to eat! Great yakatori spots and great craft beer bars! Japub was cool - they let people come in and DJ, which gave it a cool neighborhood vibe. My favorite boutique in Koenji was Kiki - definitely go check it out! Overall, I LOVED BnA and loved Koenji - just a fun, young, hip, friendly place :)","Brooklyn, New York","BedStuyTraveler9</div><div class=""userLoc""><strong>Brooklyn, New York</strong>",21,5.0
580814874,https://www.tripadvisor.com/Hotel_Review-g1066458-d10082928-Reviews-BnA_HOTEL_Koenji-Suginami_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,BnA HOTEL Koenji,"May 17, 2018","The BnA Project is an incredible hub of creative activity in the Koenji neighborhood of Tokyo. There are few places in the city (and country) like it. The rooms, live-in pieces of art, leave you inspired and the bar downstairs offers a chance to meet the artists themselves over a beer or two. If you're looking to exchange ideas, connect with fellow creatives and keep up with great events in the neighborhood, definitely check out BnA. Awesome staff who not only takes care of your stay, but adds to your experience in the neighborhood with recommendations, event invitations, introductions and more. Rooms are clean, well-furnished, and very spacious for Toyko with lots of light . Highly recommend the BnA Project - you'll leave as not only a guest, but a friend as well.",,Joe S,0,5.0
561076243,https://www.tripadvisor.com/Hotel_Review-g1066458-d10082928-Reviews-BnA_HOTEL_Koenji-Suginami_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,BnA HOTEL Koenji,"February 17, 2018","My first night in Tokyo, and one of the best during my trip. The atmosphere is incredible... the art, the music, the lights, everything.I met the conceptor and the manager, they made me feel very welcome, and listen to how passionate they are for their job and the place, for me was one of the most inspiring experiences I had in the country. Thank you BnA! ","Northern Mexico, Mexico","gutierrezrgo</div><div class=""userLoc""><strong>Northern Mexico, Mexico</strong>",0,5.0
542658064,https://www.tripadvisor.com/Hotel_Review-g1066458-d10082928-Reviews-BnA_HOTEL_Koenji-Suginami_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,BnA HOTEL Koenji,"November 22, 2017","Amazing location 2 minutes walk from Koenji Station which has excellent connections into Shinjuku and Tokyo Stations for the Narita express. Entrance is through a bar - no Reception Area. Only 2 rooms. We stayed in the first floor room. Whacky to the extreme but comfortable. Good shower and reasonably comfortable single beds. Unfortunately on our first night they had a party in the bar and the music was vibrating into the room. On top of that there are air conditioning units outside of the window which hum all night long. So if you need complete quietness to sleep don't stay here. There are lots of trendy restaurants nearby. The hotel ""guide book"" gives excellent recommendations. Give a particular shout for a tempura one where they serve tempura eggs - expect to queue - but worth it.","Bushey, Herts","Kasler</div><div class=""userLoc""><strong>Bushey, Herts</strong>",136,4.0
506626663,https://www.tripadvisor.com/Hotel_Review-g1066458-d10082928-Reviews-BnA_HOTEL_Koenji-Suginami_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,BnA HOTEL Koenji,"July 28, 2017","This place has been permanently etched in our memory as one of the best places we have ever stayed at. From the reception bar, the Artpiece rooms to the rooftop terrace, its difficult to want to leave at times. A must if you are in koenji. We are definitely swinging by again next time we come to Tokyo. ","Kuala Lumpur, Malaysia","bijibiji</div><div class=""userLoc""><strong>Kuala Lumpur, Malaysia</strong>",4,5.0
491428943,https://www.tripadvisor.com/Hotel_Review-g1066458-d10082928-Reviews-BnA_HOTEL_Koenji-Suginami_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,BnA HOTEL Koenji,"June 8, 2017","Stayed here for 2 nights with my wife as something a bit different and was pleasantly surprised. The rooms are amazing, but the best part of the experience was being able to meet heaps of amazing people as the downstairs bar functions as a hub for local and international creative people. Highly recommended.","Melbourne, Australia","mattyisaac</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",1,5.0
490977479,https://www.tripadvisor.com/Hotel_Review-g1066458-d10082928-Reviews-BnA_HOTEL_Koenji-Suginami_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,BnA HOTEL Koenji,"June 6, 2017",After staying at an amazing 5 star hotel our first few days in Tokyo we decided to stay at BnA Hotel on the tail end of our Japan trip to see a new part of town that is very cool and different. With just 2 rooms the BnA hotel is very laid back and hidden behind the ground floor coffeeshop and bar popular with hip foreigners. The recommendation guide in our room was great and the owner was friendly and welcoming. I'd recommend this hotel to fairly independent travelers that appreciate local hotels with a hip vibe.,"Buenos Aires, Argentina","BuenosAiresFoodie</div><div class=""userLoc""><strong>Buenos Aires, Argentina</strong>",103,5.0
