review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
750246369,https://www.tripadvisor.com/Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_by_Library_Hotel_Collection-New_York_City_New_York-or0.html?filterLang=en,Casablanca Hotel by Library Hotel Collection,"March 10, 2020",Definitely the best place we have ever stayed in NYC. The location is perfect for staying near the Theater District. We found it very relaxing to return from a night at the theater and visit the lounge. We will return!,,sswestin,0,5.0
736821264,https://www.tripadvisor.com/Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_by_Library_Hotel_Collection-New_York_City_New_York-or0.html?filterLang=en,Casablanca Hotel by Library Hotel Collection,"January 4, 2020","Returned to the Casablanca for the New Year's Eve package. Loved everything about it! All staff is attentive, professional, accommodating, and helpful in everyway. They have a rooftop view of the ball dropping in Times Square! The package included dinner and a show at Tony's next door. And New Year's day breakfast at Brooklyn Diner next door. Everything was perfect. We will do it again! Book early as they sell out.","Tracy, California","VQC</div><div class=""userLoc""><strong>Tracy, California</strong>",69,5.0
750233323,https://www.tripadvisor.com/Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_by_Library_Hotel_Collection-New_York_City_New_York-or0.html?filterLang=en,Casablanca Hotel by Library Hotel Collection,"March 10, 2020","All staffs were so friendly and helpful The room was compact but clean.I could not understand the air conditioner.Breakfast was so good!All bread was good. I wanna eat those now!!When I come to NY anytime,I want to stay this hotel","Chofu, Japan","sakukensaku</div><div class=""userLoc""><strong>Chofu, Japan</strong>",0,4.0
750168725,https://www.tripadvisor.com/Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_by_Library_Hotel_Collection-New_York_City_New_York-or0.html?filterLang=en,Casablanca Hotel by Library Hotel Collection,"March 9, 2020","The Casablanca really deserves its reputation. I guess it’s very small by NY standards, but the experience is superb. Location is spot on, staff attentive without being overbearing, rooms comfortable and homely. Highly recommended ","Aylsham, United Kingdom","andrew d</div><div class=""userLoc""><strong>Aylsham, United Kingdom</strong>",4,5.0
749959302,https://www.tripadvisor.com/Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_by_Library_Hotel_Collection-New_York_City_New_York-or0.html?filterLang=en,Casablanca Hotel by Library Hotel Collection,"March 8, 2020","A hidden gem in a great location and a real bargain for NYC. Room was a tad on the smallish side but it's the city. Bathrobe, slippers and a safe in room a plus!Complimentary cocktail hour, tea and coffee service and a continental buffet breakfast. Cozy seating areas.Not modern or trendy but cute and comfortable. ",New Jersey,"bukagirl</div><div class=""userLoc""><strong>New Jersey</strong>",9353,4.0
749583320,https://www.tripadvisor.com/Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_by_Library_Hotel_Collection-New_York_City_New_York-or5.html?filterLang=en,Casablanca Hotel by Library Hotel Collection,"March 6, 2020","This hotel gets what it means to serve their customers; Chocolates on the pillow, wine hour and slippers! They know how to make their guests feel special. The location and staff are top notch. We will be back! ","Richmond, Virginia","Nerual0903</div><div class=""userLoc""><strong>Richmond, Virginia</strong>",0,5.0
749257162,https://www.tripadvisor.com/Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_by_Library_Hotel_Collection-New_York_City_New_York-or5.html?filterLang=en,Casablanca Hotel by Library Hotel Collection,"March 5, 2020","The location of this hotel is perfect. Right near Times Square but once in the Hotel you are in a quiet haven and get away from the hustle and bustle. Although our room was small it was very clean with excellent facilities and a comfortable bed. Just what we needed for a 5 night stay. The continental breakfast had a good selection of pastries, breads, bagels, fresh fruit etc. The cheese and wine in an evening was a welcome treat as was the provision of tea/coffee and pastries throughout the day.All the staff were amazing; they couldn't do enough for us. They also recommended some great restaurants.I would definitely book this hotel when returning to New York.",,mburke211481,0,5.0
749213736,https://www.tripadvisor.com/Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_by_Library_Hotel_Collection-New_York_City_New_York-or5.html?filterLang=en,Casablanca Hotel by Library Hotel Collection,"March 5, 2020",Extremely nice and perfectly located hotel with a very welcoming atmosphere. Spacious rooms (for Manhattan standards) that are very well kept. Friendly and most helpfull staff. Definitely to be recommended. ,,seichi137746,0,5.0
749067352,https://www.tripadvisor.com/Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_by_Library_Hotel_Collection-New_York_City_New_York-or5.html?filterLang=en,Casablanca Hotel by Library Hotel Collection,"March 4, 2020","Coming into Penn Station, Take Subway 1,2 or 3 Uptown, only one stop going uptown, After staying for a couple of days to check it out in spring, we are back for a week long visit. Bags were held as we arrived before check in, as we caught a show on our first day. We stayed in a King premium bedroom, inside. Room is very good size- remember this is NYC,. Confirming reviews that this is a most excellent hotel. Perfect service form doormen, desk, maids and waitstaff at Rick's. This is one property that you actually receive great deal for the resort fee, wi-fi, day long cappucino, espresso, coffee, snacks. Very nice continental breakfast- with fresh fruit, pastries, cereals, bagels, juice, hard boiled eggs- you will eat here for breakfast every day. Evening vino, cheese, veggies, popcorn. At first our room was cold, but staff adjusted the radiator valve, then occasionally we opened bathroom window- this was no problem, Refrigerator can be ordered- Whole foods around the corner for beers, snack, hard water. Perfect location to major subway lines or buses, Times square around the corner for shows etc- Check out TKS for discount tickets same day.","Abington, Pennsylvania","DJMAN5</div><div class=""userLoc""><strong>Abington, Pennsylvania</strong>",93,5.0
748950578,https://www.tripadvisor.com/Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_by_Library_Hotel_Collection-New_York_City_New_York-or5.html?filterLang=en,Casablanca Hotel by Library Hotel Collection,"March 3, 2020","Yes it lived upto ratings. Great location near Times Square and Theater District. Room pretty large with big bathroom. Looked newly renovated. A bit noisy, but they provde earplugs and sound machine! Staff was exceptional. Price was very reasonable. Can't wait to go back.","Great River, New York","LenoreL629</div><div class=""userLoc""><strong>Great River, New York</strong>",25,5.0
