review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751431048,https://www.tripadvisor.com/Hotel_Review-g60763-d1806062-Reviews-Cassa_Hotel_NY_45th_Street-New_York_City_New_York-or0.html?filterLang=en,Cassa Hotel NY 45th Street,"March 19, 2020",Ayo shorty uhh Stephanie and buddy omar was hella helpful folk nem gave recommendations of The city and things like that the trip was amazing any questions I had they were always helpful they were really dope,,tabarif,0,5.0
732288877,https://www.tripadvisor.com/Hotel_Review-g60763-d1806062-Reviews-Cassa_Hotel_NY_45th_Street-New_York_City_New_York-or0.html?filterLang=en,Cassa Hotel NY 45th Street,"December 12, 2019","I can't say enough great things about this hotel. I have been to NYC several times and generally like to stay in the midtown area. The hotels where I usually stay were pretty pricey this time and since Cassa was in the general area and within my price range I decided to take a chance. Everything about this hotel was awesome. We arrived early and were pleasantly surprised that our room was ready! The suite was a nice size and the sofa bed was nice and comfy. We called down to the front desk a few times for odds and ends and the staff were always so accommodating and super quick. They always had a smile and a greeting for us every time they saw us. The elevators were quick and the location was perfect, within walking distance of everything. The hotel was even able to provide a car service that was much nicer than Uber or a taxi service and for the same price. Do yourself a favor a try this hotel, you won't be disappointed!","Houston, Texas","Patsy R</div><div class=""userLoc""><strong>Houston, Texas</strong>",46,5.0
751430796,https://www.tripadvisor.com/Hotel_Review-g60763-d1806062-Reviews-Cassa_Hotel_NY_45th_Street-New_York_City_New_York-or0.html?filterLang=en,Cassa Hotel NY 45th Street,"March 19, 2020",This place was Great! With the help of Stephanie I was able to find this place for a great price! Which was convenient for me and my family. She even recommended some place for us to visit during our stay. I highly recommend this place.,,VTmaam,0,5.0
751430735,https://www.tripadvisor.com/Hotel_Review-g60763-d1806062-Reviews-Cassa_Hotel_NY_45th_Street-New_York_City_New_York-or0.html?filterLang=en,Cassa Hotel NY 45th Street,"March 19, 2020","I was so taken away by this place! My husband and I especially enjoyed the fitness center area, and I felt really comfortable using the facilities with the help of Ms. Stephanie. We would’ve been lost if it wasn’t for her! I plan on staying again, 10/10 would recommend!",,dom4611ZJ,0,5.0
751405673,https://www.tripadvisor.com/Hotel_Review-g60763-d1806062-Reviews-Cassa_Hotel_NY_45th_Street-New_York_City_New_York-or0.html?filterLang=en,Cassa Hotel NY 45th Street,"March 19, 2020",I still felt safe with all the chaos going on across the country with the corona virus. I stayed here for two nights and didn't get sick. Omar and stefanie l helped me at the front desk and fixed my reservation after I had to extend last minute. The rooms are pretty small but worth the low price.,,Shay-Liu91,0,5.0
751307978,https://www.tripadvisor.com/Hotel_Review-g60763-d1806062-Reviews-Cassa_Hotel_NY_45th_Street-New_York_City_New_York-or5.html?filterLang=en,Cassa Hotel NY 45th Street,"March 18, 2020","Cassa Hotel is a great deal in a great location. The staff are fantastic, Nivar and Adam went way out of their way to help my family. While the physical hotel is due for a refresh, everything was clean and neat. Highly recommend.",,BlackSails99,0,4.0
751254846,https://www.tripadvisor.com/Hotel_Review-g60763-d1806062-Reviews-Cassa_Hotel_NY_45th_Street-New_York_City_New_York-or5.html?filterLang=en,Cassa Hotel NY 45th Street,"March 17, 2020","Lovely hotel, staff were fantastic, welcoming and couldn’t do enough for you. There were a few different staff members who dealt with us and all gave and exemplary service however I only got the name from the lady that checked us in which was Tasha. The room was spacious and clean with a coffee maker and a large TV as well as an iron/ironing board and a hairdryer. Beds were very comfy. Great location for exploring! Thank you for a pleasant stay.","Blackpool, United Kingdom","NatalieJayne94</div><div class=""userLoc""><strong>Blackpool, United Kingdom</strong>",3,5.0
750737668,https://www.tripadvisor.com/Hotel_Review-g60763-d1806062-Reviews-Cassa_Hotel_NY_45th_Street-New_York_City_New_York-or5.html?filterLang=en,Cassa Hotel NY 45th Street,"March 13, 2020","We stayed at Cassa in early March. A lovely friendly welcome on our arrival from Stephanie, Adam and Nivar. We arrived before check-in time but Stephanie sorted a room out for us (on the 22nd floor as I’d requested a higher floor).Our room was spacious for New York with a very comfy bed, coffee maker and large TV. Bathroom had a lovely waterfall shower and there was an abundance of hot water. No fridge but we didn’t need one, there was an iron and ironing board. Room also has useful usb charging sockets on the desk and by the bed - very handy. Our room was clean and a special mention to Mery for the little notes, cleaning the room and for dealing with all of our meal rubbish!Located just off 6th Avenue it’s an ideal spot if you don’t want all the noise of Times Square but it’s only 5 minutes walk away if you do. Given it’s location you don’t get the dazzling views but as the idea of being in NYC is to be out enjoying it, not in the room, that’s fine with me. There’s a Pret next door which is ideal to grab a coffee/breakfast bite and there are restaurants and a couple of bars 2 minutes further on 45th Street.They were happy to securely store our cases on our final day so we could spend a last few hours in the city enjoying ourselves.Would I stay there again - definitely. ","Matlock, United Kingdom","amandan96</div><div class=""userLoc""><strong>Matlock, United Kingdom</strong>",1,4.0
750530677,https://www.tripadvisor.com/Hotel_Review-g60763-d1806062-Reviews-Cassa_Hotel_NY_45th_Street-New_York_City_New_York-or5.html?filterLang=en,Cassa Hotel NY 45th Street,"March 11, 2020","The hotel is literally a hole in the wall. Hallways are dim with dull lighting and the decor is dated and drab. Bed linens were stained, AC fan was extremely loud and windows so dirty you could barely see outside. While the room was nothing to get excited about, the staff was friendly. There is a restaurant onsite but the staff did not recommend it. No need with the abundance of surrounding eateries. The proximity to Time Square was great. Central Park was only about a dozen blocks away. It was an $85 USD cab ride from Newark airport.",,Lamamanmono,1,3.0
749762373,https://www.tripadvisor.com/Hotel_Review-g60763-d1806062-Reviews-Cassa_Hotel_NY_45th_Street-New_York_City_New_York-or5.html?filterLang=en,Cassa Hotel NY 45th Street,"March 7, 2020",Stayed for 3D/2N. We were able to do an early check in and got upgraded to a slightly bigger room by being an Expedia VIP holder. Parked one block away and walked 5mins to the hotel. It was really easy to find. We knew we were in the center of all the things we wanted to see/do but what we didnt realize until our 2nd day how close we really were to everything! We walked to all of our destinations (avoided taking the subway). I even had time to freshen up in the afternoon before heading to our night schedule. I also loved that they allowed us to leave our luggage after check in so we can walk to the Times Square and buy our Jollibee to bring back home to NH. Will definitely stay here again. ,"Manchester, New Hampshire","wanderingkae</div><div class=""userLoc""><strong>Manchester, New Hampshire</strong>",31,5.0
749578032,https://www.tripadvisor.com/Hotel_Review-g60763-d1806062-Reviews-Cassa_Hotel_NY_45th_Street-New_York_City_New_York-or10.html?filterLang=en,Cassa Hotel NY 45th Street,"March 6, 2020","Just got back from a week at Cassa. Good room and bathroom, nice staff, specially Evita and Stephany!! Couldn’t get a room in the morning when we arrived, but got nicely compensated for by Evita. Most of the staff is friendly and helpful. Had a nice stay!! One suggestion, would be to change the shampoos for disposable ones, instead of the big bottles...other than that, all great!","Sao Paulo, SP","LeoK79</div><div class=""userLoc""><strong>Sao Paulo, SP</strong>",2,5.0
