review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752357439,https://www.tripadvisor.com/Hotel_Review-g14133667-d1070779-Reviews-Citadines_Central_Shinjuku_Tokyo-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Citadines Central Shinjuku Tokyo,"April 7, 2020","Every staff member was extremely helpful and kind during our stay. One of the front desk agents helped us make a reservation in Japanese at an amazing sushi restaurant. We think it was the best meal of our lives so we were very grateful for their gracious help.The location of the hotel can't be beat with Shinjuku station just a short walk away. There's a Lawson convenience store right downstairs if you need anything, and the Golden Gai with plenty of bars is right behind the hotel. The neighborhood is lively and vibrant but the inside it's quiet and relaxing. Our room was a decent size and VERY clean. I really loved the dimmable light next to the bed.Thank you for a perfect stay! We can't wait to come back!","New York City, New York","peacelovegelato2020</div><div class=""userLoc""><strong>New York City, New York</strong>",0,5.0
751827059,https://www.tripadvisor.com/Hotel_Review-g14133667-d1070779-Reviews-Citadines_Central_Shinjuku_Tokyo-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Citadines Central Shinjuku Tokyo,"March 25, 2020","4 years ago we stayed at the Citadines Central Sjinjuku and because of the central location we stayed here for some nights again. It’s on walking distance from Sjinjuku Station which makes it a perfect place. Lots of restaurants around, so easy choice. Rooms are not huge, but clean and comfortable, Very friendly staff.","Singapore, Singapore","martinhelmantel</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",37,5.0
749379031,https://www.tripadvisor.com/Hotel_Review-g14133667-d1070779-Reviews-Citadines_Central_Shinjuku_Tokyo-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Citadines Central Shinjuku Tokyo,"March 5, 2020","Recently stayed at hotel with partner, great location very close walking to train and restaurants, clean room, small but after staying throughout Japan most rooms are small, suited 2 of us fine. Staff friendly and accommodated to English speaking. Highly recommend. ",,479alyshah,0,5.0
744861894,https://www.tripadvisor.com/Hotel_Review-g14133667-d1070779-Reviews-Citadines_Central_Shinjuku_Tokyo-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Citadines Central Shinjuku Tokyo,"February 13, 2020","Great location near JR Shinjuku Station. Few minutes walk from JR Shinjuku station, lots of shopping and restaurants, good staff, small bed, clean room, quiet, full facility. Free WIFI but the connection might appear slow","Bangkok, Thailand","praewfah</div><div class=""userLoc""><strong>Bangkok, Thailand</strong>",0,5.0
744037015,https://www.tripadvisor.com/Hotel_Review-g14133667-d1070779-Reviews-Citadines_Central_Shinjuku_Tokyo-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Citadines Central Shinjuku Tokyo,"February 9, 2020","My first time to Japan and as usual stay Ascott properties when I travelling. Guest service very friendly and efficiency, they will assist and guide you where to go with patients when I’m not sure about the location how to go. Location was good, walking distance about 10-15 minutes to Shinjuku East Entrance Station. Room was fine.","Kuching, Malaysia","Titan_Ang</div><div class=""userLoc""><strong>Kuching, Malaysia</strong>",2,5.0
743239190,https://www.tripadvisor.com/Hotel_Review-g14133667-d1070779-Reviews-Citadines_Central_Shinjuku_Tokyo-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Citadines Central Shinjuku Tokyo,"February 5, 2020","The location of the hotel was really handy. We arrived quite late from Narita and needed to pop out for some food and that wasn't a problem.We needed a room with space to repack suitcases and there was plenty of floorspace in the room we booked. For the price, I was really pleased with the spaciousness of the room. It's worth checking that the type of room you book provides you with what you need, as I think some are bigger than others.The shower and bathroom facilities were clean and absolutely fine. It was a traditional Japanese set up where you shower outside of the bath and then use the bath for soaking.The staff were friendly and very helpful.Overall a really good stay and I would recommend this hotel to anyone looking for somewhere good quality to stay in this part of Shinjuku.","Southampton, United Kingdom","joannamoog</div><div class=""userLoc""><strong>Southampton, United Kingdom</strong>",16,4.0
742833668,https://www.tripadvisor.com/Hotel_Review-g14133667-d1070779-Reviews-Citadines_Central_Shinjuku_Tokyo-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Citadines Central Shinjuku Tokyo,"February 3, 2020","The highlight of this hotel is definitely how central it is - walking distance to just about everything in the area. And they put on a pretty good breakfast (actually the best we had in Japan).Otherwise, it's tired and shabby, rooms are small and really old and run-down.We've stayed in Citadal hotels (in Germany) before which was why we booked here - and it was overall a rather unpleasant stay - we almost considered moving hotels but we had paid 100% upfront and didn't play to spend a lot of time indoors, so just rolled with it.Our arrival - late at night - was by taxi - dropped off across the road and into a rather strange ""gangster"" environment - we later learned there is Nigerian group who operate there (and from the golden Gia) and try to lure in drunk tourists - offering free drinks and other things and then later try to swindle them. Needless to say, it wasn't a great first impression and I think the hotel is aware of this, but powerless to control what happens outside their establishment, not really their fault, but it impacted on our experience.Once we got into our room, it was small and dingy - shabby and tired. We could have overlooked what was going on outside, but the room seemed to support the first impression and we felt sullied. We also didn't enjoy the Golden Gai which was 1 minute walk away - probably great for drinkers/smokers but the tiny little pubs felt claustrophobic, dirty and not really ""our thing"".Positives: the hotel was super central - we could walk everywhere and enjoyed the Samurai Museum the next day (5 minutes away) and the Robot Restaurant (also 5 mins but we didn't go in) and other attractions.The hotel also allowed us to experience the ""seedy"" side of Tokyo which is a part of any big city - so that ""enhanced"" our experience. We were glad to stay in Ginza when we returned from Kyoto.There was a 7/11 store downstairs - open 24 hours - where we could buy snacks and drinks.Tokyo is AMAZING though so if this is all you can afford, then it is what it is, but I;'m pretty sure there are other places at the same price that would be better. Citadel should look into this hotel bringing down their otherwise good reputation.","Cape Town Central, South Africa","Candice C</div><div class=""userLoc""><strong>Cape Town Central, South Africa</strong>",23,3.0
742338877,https://www.tripadvisor.com/Hotel_Review-g14133667-d1070779-Reviews-Citadines_Central_Shinjuku_Tokyo-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Citadines Central Shinjuku Tokyo,"January 31, 2020","Citadine in central Shinjuku- standard services and amenities with the chain and popular among western travelers - Reception is on the 3rd floor of the building with a Lawson and a 7-11 closed to the elevator- Location wise , can’t beat it, it’s closed to everything, shops, eats and transit - went in at around noon and was checkin to room earliest as a member of the chain- Room is small with the basic set of tv, a sofa, a small desk, a safety deposit box, a small fridge and a full bath tub and shower- linen smells fresh and beddings are good - Temperature can be adjusted to liking- dropped luggages in the front desk for airport luggage delivery service, the young guy staff was pleasant and helpful- in all, a very good stay - would definitely recommend","Hong Kong, China","lennytim828</div><div class=""userLoc""><strong>Hong Kong, China</strong>",95,5.0
742032116,https://www.tripadvisor.com/Hotel_Review-g14133667-d1070779-Reviews-Citadines_Central_Shinjuku_Tokyo-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Citadines Central Shinjuku Tokyo,"January 29, 2020","Great hotel for a convenient location to the main train station. We took the Narita Express from the airport and then walked about 10 minutes to the hotel. Great location-5 minutes walk to local subway. Breakfast buffet was average but very good for the price. Rooms are small, clean and well equipped. All you need for a great stay in Tokyo. Front desk staff so friendly.","Bangkok, Thailand","malmrl</div><div class=""userLoc""><strong>Bangkok, Thailand</strong>",8,5.0
740934522,https://www.tripadvisor.com/Hotel_Review-g14133667-d1070779-Reviews-Citadines_Central_Shinjuku_Tokyo-Kabukicho_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Citadines Central Shinjuku Tokyo,"January 24, 2020",Citadines is right near the infamous Golden Gai which was great (not at all loud). It also is connected to a Lawson convenience store and Udon restaurant which worked out great. Staff spoke good english and check in and check out was smooth. Hotel room is small but was to be expected. Room was clean and well looks after during our stay. Heating and cooling was perfect. Internet was touch and go depending on the time of day/night. Would recommended and stay again.,"Melbourne, Australia","emma25012016</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",3,5.0
