review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
755257841,https://www.tripadvisor.com/Hotel_Review-g60982-d86966-Reviews-Coconut_Waikiki_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Coconut Waikiki Hotel,"May 20, 2020",Never stayed before and it was the first time staying at that hotel with 3 other friends and the rooms were a good size and the beds were so comfy and had comfy sleep and the breakfast was very good had a different variety off cereals and toast and juices and loved swimming in the pool will definitely stay again ,"Whanganui, New Zealand","Georgekinder95</div><div class=""userLoc""><strong>Whanganui, New Zealand</strong>",4,5.0
752773845,https://www.tripadvisor.com/Hotel_Review-g60982-d86966-Reviews-Coconut_Waikiki_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Coconut Waikiki Hotel,"April 20, 2020","We stayed at this hotel with our group of students for 8 days in late Feb-March. The location is great, easy walk to the beach and to restaurants or shops. The rooms are clean and the service is great. The hotel is under renovation and some of the rooms didn’t have access to their balconies. Hopefully, the renos will be completed soon.",,Annickanickp,2,5.0
752098011,https://www.tripadvisor.com/Hotel_Review-g60982-d86966-Reviews-Coconut_Waikiki_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Coconut Waikiki Hotel,"March 31, 2020","I emailed them about 15 days before check-in date requesting a quiet room for my 2 night stay because I have chronic migraine. However they gave us a lower floor room facing the busy street. They provide complimentary breakfast, but honestly it was terrible. Scrambled eggs were soggy, no boiled eggs and other options too were very limited. I got migraine due to the street noise one night and decided to rest in the room for few hours during the day. But, they were undergoing a major construction project due to which it was extremely noisy and almost impossible to stay inside the room during the day. They should be transparent and publish a construction notice on their Tripadvisor page and the hotel website!",,767sunilt,9,1.0
751504701,https://www.tripadvisor.com/Hotel_Review-g60982-d86966-Reviews-Coconut_Waikiki_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Coconut Waikiki Hotel,"March 20, 2020","Great location close to main strip of Waikiki , bus and trolley cars , very clean rooms and comfortable beds . Would highly recommend , found staff very friendly and helpful. Breakfast was good however a little more variety of hot food ,and extended till 9am would good","Wagga Wagga, Australia","llinse435936</div><div class=""userLoc""><strong>Wagga Wagga, Australia</strong>",0,4.0
751341153,https://www.tripadvisor.com/Hotel_Review-g60982-d86966-Reviews-Coconut_Waikiki_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Coconut Waikiki Hotel,"March 18, 2020","The Coconut Waikiki is a great boutique hotel with excellent personal service and a wonderful location! Valet service is quick and easy, front desk staff was excellent. This is not a large hotel, but it’s an easy walk to the beach. There’s also lots of restaurants and shops on the way. Breakfast is offered daily of the same cereals, waffles, and eggs - they could mix it up a little bit. Otherwise the room was comfortable and cleaned everyday very well. The air conditioner could get loud at times, but overall we loved our stay. We are going to have to come back again!",midwest,"5familyfunMidwest</div><div class=""userLoc""><strong>midwest</strong>",0,5.0
751274720,https://www.tripadvisor.com/Hotel_Review-g60982-d86966-Reviews-Coconut_Waikiki_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Coconut Waikiki Hotel,"March 17, 2020","Some of the bad reviews I’m a little surprised by. Stayed here and booked a standard room, get there and get upgraded to the view of the canal. Some reviews say it’s noisy because of the traffic. “Alright fancy man, live in your quiet suburban house.” There was traffic and noise, but not once I thought “Hey, the reviews are right, it is loud.” These reviewers should just stick to the main hub of tourist Waikiki. The staff are just fantastic and super nice. Breakfast was great. Added bonus. Popcorn throughout the day. Added bonus. Towels for the pool and beach. Added bonus. I have stayed before in the major hotels here and to be honest, this was a little more enjoyable. Great location. I am definitely going to stay here again next time. And across from the canal is a dog park too. Who does not love sitting on a balcony, drinking and watching dogs be stupid. Just do yourself a favour and book it. Do it.",,Jar1981,1,5.0
750604386,https://www.tripadvisor.com/Hotel_Review-g60982-d86966-Reviews-Coconut_Waikiki_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Coconut Waikiki Hotel,"March 12, 2020","This is a lovely small hotel. It is currently under balcony restoration so a little congested at times in the lobby during the day. The room was very nice and a lite breakfast is available every morning. The hotel is about 3 long blocks from the beach, but a good healthy walk.I would strongly recommend this hotel!","Peterborough, Canada","S5908GVmichaelb</div><div class=""userLoc""><strong>Peterborough, Canada</strong>",12,5.0
748817518,https://www.tripadvisor.com/Hotel_Review-g60982-d86966-Reviews-Coconut_Waikiki_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Coconut Waikiki Hotel,"March 2, 2020","A 6 night stay mid February on the 7th floor overlooking Lewers Street.Check in and out friendly and fast.Room was large and clean, bed comfortable, shower hot with good water pressureDaily breakfast very ordinary and why is it turned off at 8.30 every morning? Its Hawaii and its a holiday destination, people like to sleep in. The hotel is situated at the canal end of Lewers Street and about a 10 minute walk to the nearest beach area.Hotel has big noise problems. The winds ripped around the building howling most nights. The traffic from 7 floors below in Lewers Street is loud. The noise from a roof top car park opposite over night is also loud.The two window mounted air conditioning units cannot be left on during the night, just too loud.The free hotel supplied ear plugs available in the room did help, but even our own ear plugs did not completely drown out overnight noise.Wind noise, traffic noise, car park noise, little the hotel management can do other than completely sound proof the entire building. Not recommended and would not stay again when next we find ourselves in Hawaii.","Melbourne, Australia","Wizardoz1944</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",124,3.0
748776160,https://www.tripadvisor.com/Hotel_Review-g60982-d86966-Reviews-Coconut_Waikiki_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Coconut Waikiki Hotel,"March 2, 2020",Joselito Pineda. Very knowledgable and efficient. He is very polite and pleasant always with a wonderful smile. It’s a pleasure to have him here to assist as a member of the staff here at the Coconut Waikiki Hotel. Thank you very much Joselito for a job well done. Jim.,"London, Canada","Jdimson</div><div class=""userLoc""><strong>London, Canada</strong>",0,5.0
748561651,https://www.tripadvisor.com/Hotel_Review-g60982-d86966-Reviews-Coconut_Waikiki_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Coconut Waikiki Hotel,"March 1, 2020","While most of the staff was super nice, there were a few major negatives about the Coconut.We paid extra for a mountain view, but there was so much noise from the street it was hard to sleep. The bed was lumpy with bad pillows. Breakfast was really bad. No decent fruits, just a lot of processed cereals. We paid over 200 a night, it should of been better than it was. You're better off staying at a remodeled hotel, not the outdated and underinvested Coconut.Disappointed !","Los Angeles, California","sam b</div><div class=""userLoc""><strong>Los Angeles, California</strong>",2,2.0
