review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753436186,https://www.tripadvisor.com/Hotel_Review-g14129573-d299764-Reviews-Courtyard_by_Marriott_Tokyo_Ginza_Hotel-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Courtyard by Marriott Tokyo Ginza Hotel,"May 11, 2020",Great location! Very close to Ginza shopping district. But the overall quality of this Courtyard hotel is below average in Asia. The front desk staff speak poor English. Breakfast was good. Room was small. But it was a pleasant stay overall.,"Chicago, Illinois","wken0023</div><div class=""userLoc""><strong>Chicago, Illinois</strong>",5,4.0
746786383,https://www.tripadvisor.com/Hotel_Review-g14129573-d299764-Reviews-Courtyard_by_Marriott_Tokyo_Ginza_Hotel-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Courtyard by Marriott Tokyo Ginza Hotel,"February 22, 2020",The staff at this hotel were incredibly helpful and friendly when we needed advice about navigating the train system. The hotel is well situated near to a subway station. Our room was very clean and spacious by Tokyo standards. The breakfasts were great. Highly recommend!,"Melbourne, Australia","kiwigirl47</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",0,5.0
746273333,https://www.tripadvisor.com/Hotel_Review-g14129573-d299764-Reviews-Courtyard_by_Marriott_Tokyo_Ginza_Hotel-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Courtyard by Marriott Tokyo Ginza Hotel,"February 20, 2020","I chose this hotel rather than Prince Sakura or Hilton Shinjuku where I stayed before due to its proximity to company office and Tokyo station. Both are 18 min walking distance.I was pleasantly surprised. Rooms are very nice. I got free breakfast with Platinum status, and they even had buffet dinner special at half price for hotel guests. I missed the fact that I did not get 20% platinum discount. Staff was very nice. Room’s Climate Control was very good - quiet and humidity was at 60%. Plenty of restaurants close by. ","Savannah, Georgia","ronny256</div><div class=""userLoc""><strong>Savannah, Georgia</strong>",8,5.0
742417108,https://www.tripadvisor.com/Hotel_Review-g14129573-d299764-Reviews-Courtyard_by_Marriott_Tokyo_Ginza_Hotel-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Courtyard by Marriott Tokyo Ginza Hotel,"February 1, 2020",Situated at the centre of the Ginza. Nice room with amazing hospitality.The staffs are very friendly. We had dinner at Fiore. Famous for its grill section. Also Ginza Muraki. Authentic Japanese cuisine. Must have visit !!!,"Los Angeles, California","ryotsuvlope</div><div class=""userLoc""><strong>Los Angeles, California</strong>",1,5.0
737722015,https://www.tripadvisor.com/Hotel_Review-g14129573-d299764-Reviews-Courtyard_by_Marriott_Tokyo_Ginza_Hotel-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Courtyard by Marriott Tokyo Ginza Hotel,"January 7, 2020","Awesome location and friendly staff. Room was small, but clean and what I expected. Very good hotel. Utilize the shuttle bus to the airport! Easier and way more convenient than a train, Uber or taxi. Ginza is an awesome neighborhood to explore. ","Washington DC, District of Columbia","Randy D</div><div class=""userLoc""><strong>Washington DC, District of Columbia</strong>",2,4.0
737155384,https://www.tripadvisor.com/Hotel_Review-g14129573-d299764-Reviews-Courtyard_by_Marriott_Tokyo_Ginza_Hotel-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Courtyard by Marriott Tokyo Ginza Hotel,"January 5, 2020",I really enjoyed staying at this hotel because of its location near the shopping and restaurants in Ginza. Check in was very easy and I was in my room within minutes. The room was a bit on the small side but it worked for one person. I did like the universal outlets on the side of the desk so it was easy to charge electronics. The shower was nice and I did like the Japanese toilet. Overall the hotel was good. I did like the location the best. ,"Chicago, Illinois","BoysInNY</div><div class=""userLoc""><strong>Chicago, Illinois</strong>",473,4.0
735785938,https://www.tripadvisor.com/Hotel_Review-g14129573-d299764-Reviews-Courtyard_by_Marriott_Tokyo_Ginza_Hotel-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Courtyard by Marriott Tokyo Ginza Hotel,"December 30, 2019","Visited here in December 2019 with my daughter for a weekend away before a week of work started. My daughter was a last minute addition to the trip and as such I had to amend the hotel reservation from a double to a twin. When we arrived at the hotel we were informed we had been upgraded to a twin suite which was a nice surprise. Room itself was large with large bathroom with walk in shower and large bath. Room had two beds TV and mini bar stocked and also a iron and ironing board in the room. We also got complimentary Japanese pyjamas which my daughter loved.Hotel is perfectly located for the shops of Ginza which lies less than 5 minutes away.Staff were as you would expect in Japan very attentive, Breakfast was buffet style, but fresh and every kind of option available including fresh juices and take away coffees for those in a hurry. Bar downstairs was very Art Deco and reminded me of how a bar would have looked like in the 50's - I really like it. Again the service was very good there. Used the gym twice, its small but functional and has free weights, cables, and CV machines (runners, bike etc).A very well located hotel with good amenities","London, United Kingdom","djdj73</div><div class=""userLoc""><strong>London, United Kingdom</strong>",11,4.0
733925652,https://www.tripadvisor.com/Hotel_Review-g14129573-d299764-Reviews-Courtyard_by_Marriott_Tokyo_Ginza_Hotel-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Courtyard by Marriott Tokyo Ginza Hotel,"December 21, 2019","Centrally located for tourists. Room was a bit on the small side, but ok. Breakfast was 5 star. Very rich and very good service. Location is tops, within walking distance to Ginza, to BIC Camera, and to numerous restaurants.","Eilat, Israel","uri123</div><div class=""userLoc""><strong>Eilat, Israel</strong>",81,4.0
733375496,https://www.tripadvisor.com/Hotel_Review-g14129573-d299764-Reviews-Courtyard_by_Marriott_Tokyo_Ginza_Hotel-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Courtyard by Marriott Tokyo Ginza Hotel,"December 18, 2019","Very well situated in the financial district of Ginza. Handy for shopping, train station etc. Bedroom was large enough for two and very clean (as was the whole hotel). Great nights sleep in a comfy bed. Staff were very helpful (and English speaking). We didn't eat here so cant comment on food etc.","County Durham, United Kingdom","David K</div><div class=""userLoc""><strong>County Durham, United Kingdom</strong>",157,4.0
733152581,https://www.tripadvisor.com/Hotel_Review-g14129573-d299764-Reviews-Courtyard_by_Marriott_Tokyo_Ginza_Hotel-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Courtyard by Marriott Tokyo Ginza Hotel,"December 16, 2019",We stayed here on our last night in Tokyo because of the convenient location to Tokyo Station. It is a great place to stay and we would definitely stay again. It is close to many metro lines as well. We explored the Ginza by foot and then took the train outside of town to eat an authentic Japanese steak house dinner. The staff were very accommodating and gracious.,,ParkCityGogo,0,5.0
