review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751660764,https://www.tripadvisor.com/Hotel_Review-g60982-d219292-Reviews-Courtyard_by_Marriott_Waikiki_Beach-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Courtyard by Marriott Waikiki Beach,"March 22, 2020","Even though the Corona virus made things challenging, our experience at this hotel was not great - not enough towels in the room, only 1 tea bag for 4 people, members of our group being checked into the wrong room, members of our group not having access to a room 'till after 7pm, being charged $20 a day for incidentals without being told. Additionally, the restaurant closed down without notice, even after we had paid in advance for breakfast.Also, to get to our hotel wing, we had to walk through clouds of cigarette smoke right past the designated smoking area.","Canberra, Australia","ElyseRosie1</div><div class=""userLoc""><strong>Canberra, Australia</strong>",0,2.0
751415466,https://www.tripadvisor.com/Hotel_Review-g60982-d219292-Reviews-Courtyard_by_Marriott_Waikiki_Beach-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Courtyard by Marriott Waikiki Beach,"March 19, 2020",The hotel appears clean but has a horribly musty smell. It’s humid and not well ventilated. We had a roach in our room called the front desk to let them know and they said they would change rooms for us but never did. Then when we went to go to sleep we found bedbugs in our bed we called down and were offered another room again but refused to sleep at the hotel over concern of bedbugs so we sat in the lobby till 5:30 AM when our Shuttle came. The front desk agent assured us we wouldn’t be charged since we hadn’t even slept in the room but they did charge us and when I called to dispute it they refused to reimburse the charge.,"Dallas, Texas","TKrak22</div><div class=""userLoc""><strong>Dallas, Texas</strong>",14,1.0
750352866,https://www.tripadvisor.com/Hotel_Review-g60982-d219292-Reviews-Courtyard_by_Marriott_Waikiki_Beach-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Courtyard by Marriott Waikiki Beach,"March 10, 2020",The central location in Honolulu made this a prime selection. It was an easily available spot for tour pickup buses. The rooms were always cleaned and the staff was friendly and helpful all t he time. ,"Brooksville, Florida","NLC67</div><div class=""userLoc""><strong>Brooksville, Florida</strong>",9,5.0
749554255,https://www.tripadvisor.com/Hotel_Review-g60982-d219292-Reviews-Courtyard_by_Marriott_Waikiki_Beach-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Courtyard by Marriott Waikiki Beach,"March 6, 2020","The room is old, small, incredibly cramped, bugs, filth, cheap furniture, and cheap facilities. Terrible pool and not all that convienent.Seriously, after 35 years of being a Marriott devoted fan, this is without a doubt the worst Marriott property I have ever stayed at. I would stay at a day's in, before this place","Washington DC, District of Columbia","OpenSky99</div><div class=""userLoc""><strong>Washington DC, District of Columbia</strong>",1,1.0
748829873,https://www.tripadvisor.com/Hotel_Review-g60982-d219292-Reviews-Courtyard_by_Marriott_Waikiki_Beach-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Courtyard by Marriott Waikiki Beach,"March 3, 2020",My Wife and I recently stayed at The Courtyard Marriott for a 2 night stopover in Honolulu prior to returning to Australia and found the hotel a real disappointment. When we checked in we were advised we had been allocated a high floor room on the pool side of hotel but what we were not told is renovations were being carried out so our view was of the painters working on a swinging stage right outside our room. We had to keep our curtains closed at all times and the only ones to enjoy our balcony were the painters who used it for their lunch venue. The room was old and outdated with the smallest shower we have ever seen. What really surprised us was we were on the elite level of the hotel but anyone who has ever stayed at a Marriott property would realise there is nothing elite about what is provided here. My advice is if you are thinking of booking for your honeymoon or first trip to Hawaii stay somewhere else. We paid around 300 aud per night but for what we got would have been disappointed paying half that.,,PJPP1,0,1.0
748702961,https://www.tripadvisor.com/Hotel_Review-g60982-d219292-Reviews-Courtyard_by_Marriott_Waikiki_Beach-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Courtyard by Marriott Waikiki Beach,"March 2, 2020","My wife and I stayed here on the first leg of our Hawaii trip. This was our first trip to Hawaii and we came to Oahu to see Pearl Harbor and to check out Waikiki. I'll keep this review targeted to the hotel itself. Location - not bad. it sits about a 3-4 blocks from the beach, but is convenient to all of the restaurants. There's no ""resort fee"", which is a good thing, because this is NOT a resort. This is a hotel in a crowded city.Amenities - The hotel does have a small bar, small swimming pool that doesn't get much sun given the area buildings around it. We did get a couples massage at the onsite ""spa"" and both of us thought that they were very good.Staff - The front desk staff was excellent and very friendly.Rooms - This is where the review takes a turn for the worse. First of all the rooms were extremely small. I mean tiny! The shower was so tiny that I could barely even get in it. Perhaps they have other layouts with more room. We didn't have any issues with the room not being clean. Our room was on the 12th floor facing west basically looking into the hotel/condo across the street. The biggest problem was the noise. You could hear everything. They did provide ear plugs, but you could hear doors shutting/slamming all night. Both nights, we were woken up at 3:00-4:00 am to people screaming and yelling in the street below. One evening, a lady was screaming for over an hour at people passing by. My wife notified the front desk who apparently had no idea. They did call the police and the lady was asked to leave.Unfortunately, if ever in the area again, I would not stay here. It was too noisy and there was no way to get a good nights rest.","McKinney, Texas","jrm4013</div><div class=""userLoc""><strong>McKinney, Texas</strong>",23,3.0
748543636,https://www.tripadvisor.com/Hotel_Review-g60982-d219292-Reviews-Courtyard_by_Marriott_Waikiki_Beach-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Courtyard by Marriott Waikiki Beach,"March 1, 2020","In a business/ personal trip to Honolulu, we had two great weeks at the Courtyard...it is a great location, within walking distance of the beach, shopping, restaurants and shopping...Honolulu was an awesome experience and the hotel was an important part of the visit...on-site spa was appreciated by my wife and staff was friendly and supportive...","Whitby, Canada","John_and_Wendy_Crane</div><div class=""userLoc""><strong>Whitby, Canada</strong>",15,5.0
747100608,https://www.tripadvisor.com/Hotel_Review-g60982-d219292-Reviews-Courtyard_by_Marriott_Waikiki_Beach-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Courtyard by Marriott Waikiki Beach,"February 23, 2020","I've been lucky enough to travel to Honolulu many times, and this hotel sticks out as the worst to date. You can generally expect a certain level of quality from standard hotel brands such as Courtyard, but this felt a lot more like staying in your uncle's old beach condo that desperately needs repairs and updating. When I was younger, I stayed in some real dumps in Waikiki, but at least those places didn't have the audacity to charge resort-like rates like the Courtyard. I stayed in the tower further back on the property, and like a lot of beachy hotels here, the doors to the rooms led directly outside. While this is not unique to the Courtyard, that doesn't make this ""feature"" any less annoying. It means you hear the street noise, and there is a LOT of it--trucks and buses going up and down the side streets, garbage trucks coming by at 4:30 in the morning, late night revelers, etc. My room looked out onto a abandoned lot surrounding by chain link fence and filled with overgrown grass and weeds. The room itself was run down and outdated, with a wall-mounted a/c unit that didn't take the moisture out of the air. The bathroom had a stained tub and no fan, just a window that would open a crack, adding to the humidity in the room. The sink and countertop in the bathroom were comically small. The taps in both sinks were installed so close to the edge of the sink that it was impossible to wash your hands without creating a lake on the bathroom or kitchenette counter. On the service side, they failed to make up our room two days in a row. Had to call down to get them to bring us fresh towels and ask them to service the room. When they did clean the rooms, they didn't do a very good job, often failing to replace amenities and wipe down parts of the bathroom. When I tried to call for late checkout on my last morning, I called the front desk 3 times with no answer. The only positive was the pool and hot tub area. It was relatively secluded and a nice amenity. The lobby is nice, but who spends time in a hotel lobby in Hawaii? The location also was pretty good, but you can walk to everywhere from everywhere in Waikiki, so you don't really get any points for that. Book elsewhere.","Washington DC, District of Columbia","Alanwk85</div><div class=""userLoc""><strong>Washington DC, District of Columbia</strong>",1,1.0
747001843,https://www.tripadvisor.com/Hotel_Review-g60982-d219292-Reviews-Courtyard_by_Marriott_Waikiki_Beach-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Courtyard by Marriott Waikiki Beach,"February 23, 2020","A recent 5-day stay at this property was rife with problems despite really solid front desk staff & great bartenders. Online booking & check/in went smoothly as expected for a 2 room booking. It went downhill from there. I moved to 3 different rooms to escape a cat litter-like reek throughout the Kuhio side of the hotel. Both rooms’ bathrooms had old stains, hair, small insects and mold. The hallway outside my room was mostly blocked with cleaning carts, equipment and stacks of garbage every night when I returned to my room. Given the prominence of the Coronavirus outbreak and the huge Asian tourism traffic, the absence of basic hygiene practices inspired very little confidence.My room also was noisy and was clearly not updated with proper outlets etc needed for working in the room. Connectivity issues forced me to work in the very small lobby area throughout my stay. The valet parking staff was shockingly reckless & flippant. One one occasion despite short warning honks, we only avoided being hit by quickly reversing out of a Valet’s path. When speaking to the valet, 4 young valets were dismissive and laughing as we explained the dangerous behavior. When we tried to speak to the hotel manager, he was off and after a long wait, the acting manager finally showed up & said he’d “speak” to the valets. In my view, reckless speeding in a small parking lot should be taken seriously - even if you’re a young man who is intent on being cool to your peers.The front desk staff was very nice & tried to be helpful throughout the terrible stay, but time and time again we got conflicting information about what the platinum food & beverage credit covered & didn’t cover which was frustrating and stressful every single day. When I checked out, they finally resolved all of the various daily food credit issues which was ultimately a relief but the confusion and constantly changing criteria was unnecessary and an unpleasant daily adventure.The bartenders were wonderful and friendly - consistently. The pool area was small with very minimal direct sunlight and the smallest threadbare towels I’ve ever seen. The location is walkable to almost everywhere but do not expect to have access to any beach front facilities other than those for the general public. I may have to stay here again for business & I really hope they take this review seriously and up their game because the totality of the experience was very negative.","McLeod Ganj, India","liulibby</div><div class=""userLoc""><strong>McLeod Ganj, India</strong>",4,1.0
745505599,https://www.tripadvisor.com/Hotel_Review-g60982-d219292-Reviews-Courtyard_by_Marriott_Waikiki_Beach-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Courtyard by Marriott Waikiki Beach,"February 16, 2020",Stayed here years ago but did not see any real updates. An executive room was small (as my picture will verify) with a tiny bathroom and shower. There was only a desk chair to sit it. If you don’t care about being by the beach and only want to sleep and shower then it is ok. I did not really hear noise in the hotel but you get street noise and it is windy higher up. There are 2 towers here. I prefer the main tower. You can walk to many shops and restaurants from here. Not sure I would stay again.,"Los Angeles, California","debbiejo</div><div class=""userLoc""><strong>Los Angeles, California</strong>",187,3.0
