review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751032976,https://www.tripadvisor.com/Hotel_Review-g60763-d1572980-Reviews-Crosby_Street_Hotel-New_York_City_New_York-or0.html?filterLang=en,Crosby Street Hotel,"March 15, 2020","Very special hotel. Cool and elegant vibe ... upscale but fun. Food is amazing. Room was a good size, especially for NYC. Really well appointed. Staff were incredibly nice and accommodating. Location is terrific. Great neighborhood ... will be back. New favorite hotel when in the city ... ","Boston, Massachusetts","390ellenm</div><div class=""userLoc""><strong>Boston, Massachusetts</strong>",51,5.0
743130995,https://www.tripadvisor.com/Hotel_Review-g60763-d1572980-Reviews-Crosby_Street_Hotel-New_York_City_New_York-or0.html?filterLang=en,Crosby Street Hotel,"February 4, 2020","This hotel is amazing. Truly 5 star in my experience. I am a native New Yorker and and loved staying there. Great location, clean, good service, elegant and chic. no complaints and I always complain. Great decor, good coffee and room service. I hope to get back there soon Lauren","Malibu, California","54laurena</div><div class=""userLoc""><strong>Malibu, California</strong>",5,5.0
742384303,https://www.tripadvisor.com/Hotel_Review-g60763-d1572980-Reviews-Crosby_Street_Hotel-New_York_City_New_York-or0.html?filterLang=en,Crosby Street Hotel,"February 1, 2020","Third time at Crosby Street and really enjoy the hotel. Great staff, great breakfast, great location. Rooms are on the small side but as long as you are traveling without kids who spends any time at the hotel outside the bed anyway? ",,erikoinenmatka,2,5.0
740510133,https://www.tripadvisor.com/Hotel_Review-g60763-d1572980-Reviews-Crosby_Street_Hotel-New_York_City_New_York-or0.html?filterLang=en,Crosby Street Hotel,"January 21, 2020",the staff is great and super helpful but nothing can top the quality of their plumbing. best water pressure of any hotel i’ve ever stayed in. taking a shower here is like showering in a waterfall. 10/10 would recommend.,,arabella_451,1,5.0
740095317,https://www.tripadvisor.com/Hotel_Review-g60763-d1572980-Reviews-Crosby_Street_Hotel-New_York_City_New_York-or0.html?filterLang=en,Crosby Street Hotel,"January 19, 2020",Just checked out of the Crosby hotel feeling disappointed.The disappointed resulted from poor attention to detail in the restaurant .The hotel is much too expensive! Particular with regard to room charges and food.,"Puerto Morelos, Mexico","odelial2020</div><div class=""userLoc""><strong>Puerto Morelos, Mexico</strong>",0,3.0
733654377,https://www.tripadvisor.com/Hotel_Review-g60763-d1572980-Reviews-Crosby_Street_Hotel-New_York_City_New_York-or5.html?filterLang=en,Crosby Street Hotel,"December 19, 2019","We've stayed at the Crosby Street Hotel three times in the past year and every time has been an outstanding experience -- so much so that I almost hate to tell people about this charming property and risk that it's booked up the next time we want to come. It's an elegant boutique hotel that feels like it was designed by the cast of Friends, with its warm wood tones, interesting art and sculptures, and bright, comforting colors. And the experience is topped off with the decorator's unique touches like scented spray for the pillows and fragrant bath salts. Definitely an oasis from the chaos of the city, and with a friendly, yet professional and competent staff to boot.If you stay, be sure to grab breakfast at the lovely, serene breakfast room (they have the best turmeric almond lattes in NY). And don't miss exploring the clever outdoor courtyard and the elegant drawing room. Splurge on a room or suite on a high floor so you can enjoy magnificent views of SoHo, the Village and lower Manhattan.","Potomac, Maryland","Amy H</div><div class=""userLoc""><strong>Potomac, Maryland</strong>",46,5.0
728792915,https://www.tripadvisor.com/Hotel_Review-g60763-d1572980-Reviews-Crosby_Street_Hotel-New_York_City_New_York-or5.html?filterLang=en,Crosby Street Hotel,"November 25, 2019","Crosby is a quiet street parallel to the noisy Broadway. It’s nearby Equinox (literally steps away), Mercer Kitchen, SLT (great Pilates), Boqueria (Tapas), and a slate of restaurants The suites at the hotel is spacious and comfortably decorated. Feels like an elegant upper east side apartment. Snow days dresses the scenery romantically from its window view. It’s quite like the movies.The only difference is it wouldn’t get the same type of crowd as Mercer Hotel. Where the lobby is basically the hangout joint for The Who’s who’s.... it’s nevertheless a hotel one must try at least once.Food isn’t shabby either","Beverly Hills, California","curiouscosmo</div><div class=""userLoc""><strong>Beverly Hills, California</strong>",4,4.0
727266398,https://www.tripadvisor.com/Hotel_Review-g60763-d1572980-Reviews-Crosby_Street_Hotel-New_York_City_New_York-or5.html?filterLang=en,Crosby Street Hotel,"November 18, 2019",The service is second to none and the breakfast the best of anywhere in the world and we have travelled extensively. The rooms are very special and each one has a different decoration. Also the Crosby Bar does fabulous evening meals. The location in Soho is great. I would highly recommend this hotel to anyone staying in New York.,"Brighton, United Kingdom","Liz P</div><div class=""userLoc""><strong>Brighton, United Kingdom</strong>",8,5.0
725493975,https://www.tripadvisor.com/Hotel_Review-g60763-d1572980-Reviews-Crosby_Street_Hotel-New_York_City_New_York-or5.html?filterLang=en,Crosby Street Hotel,"November 10, 2019","We went for a drink, and ended up staying for 2! The waitstaff was so nice and didn’t kick us out for diners. We only had 1 appetizer, but the food around us looked amazing! I want to go back for afternoon tea- it looked really yummy!","South Hamilton, Massachusetts","BretteS802</div><div class=""userLoc""><strong>South Hamilton, Massachusetts</strong>",42,5.0
723933418,https://www.tripadvisor.com/Hotel_Review-g60763-d1572980-Reviews-Crosby_Street_Hotel-New_York_City_New_York-or5.html?filterLang=en,Crosby Street Hotel,"November 4, 2019","From the welcoming greeting upon arriving at the Doorstep of The Crosby Street Hotel to the neatly loaded car (and bottled water for the ride home) as we (sadly) departed, our stay was a Symphony of Flawless Magic. This was our second stay at what is, for sure, our favorite hotel anywhere, and Max and the rest of the team surprised us w a wonderful upgrade to the Crosby Suite. What an amazing space w tremendous windows w a spectacular westerly view. The ""Kit Kemp"" style touched every detail in the suite. What really made our weekend getaway over the top was the staff. They just get it. They are there for your every question or desire, but they do it in a way that shows they really care. The management of the hotel is spot and the entire machine is working in one direction. It's really great to see and experience. It's also really easy to fall in love w the place and it also makes it easy to fall magically more in love with your wife when you bring her there.My wife has a BIG Birthday in February 2020 and her one request was to plan the weekend w a stay at The Crosby Street!See you soon.Frank & Karyn","Syracuse, New York","327frankf</div><div class=""userLoc""><strong>Syracuse, New York</strong>",1,5.0
