review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
755281843,https://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York-or0.html?filterLang=en,Crowne Plaza Times Square Manhattan,"May 21, 2020",I stayed at Crowne Plaza in February 2020 for 4 nights with my teenagers. Stupidly I left my purse in the safe ( totally my fault). I contacted the hotel upon my return home asking if my purse was handed it as it was in the safe. I completed an online form and submitted. I have not heard anything from the Crowne since submitting the form so really disappointed. My fault for leaving my purse and English cash but it would not hurt for a response. Poor customer service.,,ValentinoGasperato,0,3.0
753668206,https://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York-or0.html?filterLang=en,Crowne Plaza Times Square Manhattan,"May 18, 2020","Great hotel, great location, walking distance to Times Square, Broadway, a Dunkin Donuts, M&M's World, Hershey World, and several Subway Stations! Very nice fitness center too! People were friendly, place was clean! Line of taxis right outside the hotel!","Cherry Valley, Illinois","Jmhuskie</div><div class=""userLoc""><strong>Cherry Valley, Illinois</strong>",0,5.0
753589155,https://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York-or0.html?filterLang=en,Crowne Plaza Times Square Manhattan,"May 17, 2020","I’ve stayed at this hotel several times. Due to COVID I had to cancel my trip, after receiving an email stating they would refund me my full amount due to the circumstances.That was on March 15. I was told it takes up to 2 weeks.No Refund. I contacted them and they said 21 days21 days passed no refund. I contacted them. They said 6-8 weeks.No refund. I contacted them, they said by May 15.On May 15, I contacted them again and they said it’d be another 90 days.No one clearly knows what they are doing. I can’t get anyone to call back, even after leaving several messages. E-mail responses are just basically form letters that don’t address why I was told several lies. One even had my name misspelled. I understand we are all dealing with a lot right now, as a matter of fact, I’ve been under stay at home orders since early March and have been working from home processing refunds for my job. To be told I would be refunded, then lied to as they kept moving the date shows they do not value customers.I will never stay here again, which is sad as I enjoyed the hotel for the most part.","Chicago, Illinois","rpopp773</div><div class=""userLoc""><strong>Chicago, Illinois</strong>",1,1.0
753007427,https://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York-or0.html?filterLang=en,Crowne Plaza Times Square Manhattan,"April 28, 2020","The Crowne Plaza is a very nice hotel with reasonably sized rooms. The staff were polite and friendly. The breakfast wasn't the best but it was ok. The location was perfect, 1 block from time-square, brilliant. The only disappoint aspect was when we took our luggage downstairs to get a cab to the airport we were offer the hotel van which we declined due to the price and were then told to walk out to the street find our own cab.","Adelaide, Australia","Michelle W</div><div class=""userLoc""><strong>Adelaide, Australia</strong>",33,4.0
752812409,https://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York-or0.html?filterLang=en,Crowne Plaza Times Square Manhattan,"April 21, 2020","I took my 13 year old niece to NYC for her birthday. The hotel was just what we needed. The room was spacious by NYC standards. The room was a little worn, but nothing that should prevent one from staying there. We were upgraded to a higher floor upon arrival and given food and drink vouchers for everyday of our stay. Staff was very friendly and helpful. Can’t beat the location. Because COVID was just starting to shut things down during our trip, we spent a lot of time in the room and we were very comfortable watching tv (love their TVs so we could watch our own streaming apps). My only complaint would be that you can’t control the room temperature. I like a cool room to sleep and I woke up hot every night. ","Manhattan Beach, Minnesota","jeanaA3502ED</div><div class=""userLoc""><strong>Manhattan Beach, Minnesota</strong>",11,5.0
752171433,https://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York-or5.html?filterLang=en,Crowne Plaza Times Square Manhattan,"April 2, 2020","From the check-in with the lovely and HELPFUL Victoria on Friday morning, March 6th, she taught us what's-what the at the Crowne Plaza and what's nearby to help make our weekend top-notch! We were blessed to have TONIGHT SHOW tickets that night, after touring NBC, then, Saturday somehow got to see SNL LIVE with Daniel Craig and The Weekend, then topped it off on Sunday seeing Beetlegeuse 3rd row at the Winter Garden on Broadway!! Crowne Plaza (and Victoria) know how to help make NYC!!!",,PattNoday,0,5.0
752072702,https://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York-or5.html?filterLang=en,Crowne Plaza Times Square Manhattan,"March 31, 2020",This is a very delayed review but needs to acknowledged. The service at the hotel was unexceptional that we both had experienced. I was celebrating my sixtieth with my husband I had a stroller which aids my walking. When we approached the reception desk I was approached by a lovely lady named Onelia G her performance for looking after guests was outstanding. Our room was lovely and breakfast in the morning was gd to. Definetly would stay here again Thankyou.,"Newcastle upon Tyne, United Kingdom","Angela59H</div><div class=""userLoc""><strong>Newcastle upon Tyne, United Kingdom</strong>",1,5.0
751391543,https://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York-or5.html?filterLang=en,Crowne Plaza Times Square Manhattan,"March 19, 2020","I stayed here in December for my first trip to NYC. The hotel is perfectly located right in the middle of everything - honestly, you couldn’t pick a better located hotel!The room was basic (as expected for a city hotel) but clean, which was the most important part for us as we were only in the room to sleep and shower. The only downside was the extra charge on the room per night on top of the rate we already paid when we booked, which I wasn’t aware of, but this is quite common in city hotels.When I come back to NYC I’ll definitely be booking to stay here again. ","Bicester, United Kingdom","AS0211</div><div class=""userLoc""><strong>Bicester, United Kingdom</strong>",0,5.0
751149240,https://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York-or5.html?filterLang=en,Crowne Plaza Times Square Manhattan,"March 16, 2020","Wasted over one hour on the phone trying to resolve an issue that should have taken 1 minute.. still not resolved . I just won’t take bad customer service any longer. I just can’t, won’t. Too many other places to stay than places that have no interest in resolving even the most minor of issues",,C6190JHtomh,0,1.0
750898743,https://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York-or5.html?filterLang=en,Crowne Plaza Times Square Manhattan,"March 14, 2020",My daughter and I stayed here for her 16th birthday celebration for several days we had the 22nd floor with the Time square view the corner windows at first when we arrived they had the rooms wrong but upon calling down to the desk they immediately changed us to the correct room. I booked almost a year in advanceThe room itself is very basic but you pay for the view more than anything the food at the restaurant was a bit pricey but that's what you expect for New York but it was goodThe location was perfect and close to everything you can get in and out and go anywhere you want it quickly the only thing I could say was a negative was that accommodations in the room could be a little bit better for the price but all in all we had a lovely stay,"Phoenix, Arizona","tracyv412</div><div class=""userLoc""><strong>Phoenix, Arizona</strong>",1,4.0
750731096,https://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York-or10.html?filterLang=en,Crowne Plaza Times Square Manhattan,"March 13, 2020","Really great family experience for kids first visit to NYC. Fantastic location, and exceptional service from Tofael at Brasserie 1605. Recommend the breakfast buffet and his service made the experience that much better. Overall, very responsive and friendly staff.",,734mmb,0,5.0
750641161,https://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York-or10.html?filterLang=en,Crowne Plaza Times Square Manhattan,"March 12, 2020"," My husband and I absolutely enjoyed our stay at Crown Plaza Hotel in Times Square Manhattan. Although I have visited other Crown Plaza’s locations, this particular location has confirmed that all of their chain of locations are all phenomenal.  From their cleanliness, exclusive lobby area, awesome location, and outstanding customer service (Freddy was the best!); I will definitely make this my number one pick when choosing a hotel in New York. I can return again and again. Therefore, I highly recommend this hotel to someone who loves great room city views, close walking distance to shopping stores/restaurants, and a great atmosphere and attentive customer service! Their text messaging customer service system was very impressive. Crown Plaza is my all-time favorite hotel! ","Fort Lauderdale, Florida","Pynkice08</div><div class=""userLoc""><strong>Fort Lauderdale, Florida</strong>",52,5.0
