review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
749975599,https://www.tripadvisor.com/Hotel_Review-g14133673-d15564204-Reviews-Daiwa_Roynet_Hotel_Nishi_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kan-or0.html?filterLang=en,Daiwa Roynet Hotel Nishi Shinjuku,"March 8, 2020","The hotel is relatively new. I like that it comes with a Japanese style buffet breakfast but the last entry is at 9.30 am, a little earlier than the usual 10 am. If you are already in there before 9.30 am, you can continue to eat. The room is on the smaller side but enough for one person. And I like the bathroom, which is a good size. There is a small bathtub, good separate shower and of course the Japanese style toilet with music and all. All the basic amenities are provided; kettle, tea/coffee, there is also a trouser presser? But I prefer a proper iron so I requested one from the reception. The location is also convenient, not too far from the subway and is also on the quieter side. There is no gym at the hotel, but you want to be out and about when you are in Tokyo. The check- out is also easy with a kiosk, which you just have to insert your key card. I would return and stay there again for sure.",Singapore,"Chloe_CL02</div><div class=""userLoc""><strong>Singapore</strong>",19,4.0
748014068,https://www.tripadvisor.com/Hotel_Review-g14133673-d15564204-Reviews-Daiwa_Roynet_Hotel_Nishi_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kan-or0.html?filterLang=en,Daiwa Roynet Hotel Nishi Shinjuku,"February 27, 2020","Stayed 7 nights, a double and a twin bed on 12th floor. We would recommend twin bed for grown up kids as the double is approx 150-160 cm wide. The room is modern and very convenient. The bathroom has a tub and a separate shower cabin. The shower is powerful and efficient. The A/C is very responsive and efficient. There are multiple USB power outlets spread all over the room so there will be no problem to charge your devices. The beds are quite firm as is the pillows.I read a review about mold and moisture in the bathroom, we experienced nothing of that. Water bottles can be purchased in the 7-eleven store in the building. The room is quite small by international standards but very normal for Tokyo. The breakfast is also very nice with a mixture of western food like scrambled eggs, sasuage, bacon, bread, yoghurt and asian food like dumplings and Japaneese specialities. A chocolate fountain was also available for sweet lovers... The location is perfect. Quite business area close to subway station yet an area with a number of restaurants within walking distance.We would definitely recommend this hotel and whenever we come back we will stay here.","Lanna, Sweden","ThomasOfSweden</div><div class=""userLoc""><strong>Lanna, Sweden</strong>",2,5.0
746264265,https://www.tripadvisor.com/Hotel_Review-g14133673-d15564204-Reviews-Daiwa_Roynet_Hotel_Nishi_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kan-or0.html?filterLang=en,Daiwa Roynet Hotel Nishi Shinjuku,"February 19, 2020","Horrible stay due to moldy smell coming from bathroom. The bathroom is very poorly ventilated and as a result stays humid and smells of mold. The rooms are small which is not a problem. However, there is no customer service or complimentary water bottle. ","Oberhaching, Germany","167timv</div><div class=""userLoc""><strong>Oberhaching, Germany</strong>",2,1.0
743693716,https://www.tripadvisor.com/Hotel_Review-g14133673-d15564204-Reviews-Daiwa_Roynet_Hotel_Nishi_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kan-or0.html?filterLang=en,Daiwa Roynet Hotel Nishi Shinjuku,"February 8, 2020","Spent a week in this hotel for our 2nd visit to Tokyo. Absolutely loved it! The hotel is newish, has great rooms, excellent bathroom, good facilities. There is a nice little 7/11 in the basement of the hotel - which we visited often! Hotel is a reasonable walk to Shinjuku station (maybe 20 mins) - otherwise it's a 5-10 min walk to the nearest subway. There are quite a number of local eateries within walking distance. Enjoyed trying out a number of them. Staying here made our stay that much more enjoyable. Would happily recommend this hotel to anyone - whether business or pleasure.","Toorak Gardens, Australia","botak67</div><div class=""userLoc""><strong>Toorak Gardens, Australia</strong>",39,5.0
742601267,https://www.tripadvisor.com/Hotel_Review-g14133673-d15564204-Reviews-Daiwa_Roynet_Hotel_Nishi_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kan-or0.html?filterLang=en,Daiwa Roynet Hotel Nishi Shinjuku,"February 2, 2020","I really enjoyed y 6 night at Daiwa Roynet Nishi Shinjuku. Rooms are pretty new, comfortable, clean and pretty spacious (for Tokyo standard).The position is excellent, walking distance from Tochomae and Nishi-Shinjuku metro stations.Much appreciated having a 7 Eleven under the hotel.I will definitely stay here again, next time in Tokyo.","Milan, Italy","Andrea F</div><div class=""userLoc""><strong>Milan, Italy</strong>",81,5.0
741073280,https://www.tripadvisor.com/Hotel_Review-g14133673-d15564204-Reviews-Daiwa_Roynet_Hotel_Nishi_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kan-or5.html?filterLang=en,Daiwa Roynet Hotel Nishi Shinjuku,"January 24, 2020","We enjoyed our 4 night stay. Our teens had a small room with a spacious bathroom and separate toilet. We had a large room with a separate bedroom, also with a spacious bathroom and separate toilet (Junior Suite). The beds are firm, but by the second night we were used to them. We would highly recommend the larger room as it provided a great space for us all to get together comfortably.The rooms are very clean and the hotel staff are helpful and friendly.The location is great - a 5 min walk to the closest small train station, or an easy 15 minute walk to enormous Shinjuku Station. The Shinjuku Nishi area is relaxing as not frantic like a lot of Tokyo.There are restaurants very close, plus Starbucks and the Hilton nearby has a great bakery. We loved the small sushi bar style restaurant across the main road. We went to Roys Cafe in the hotel for a simple breakfast each morning including good coffee. A more extensive breakfast is available at the restaurant,",,NZtravels1,3,4.0
738953566,https://www.tripadvisor.com/Hotel_Review-g14133673-d15564204-Reviews-Daiwa_Roynet_Hotel_Nishi_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kan-or5.html?filterLang=en,Daiwa Roynet Hotel Nishi Shinjuku,"January 13, 2020",We have enjoyed our 3 night stay at Daiwa Roynet. The rooms aren’t big but it does have a large bathroom . The room is extremely clean and near new. It was fine for a family of 4. And very affordable for Tokyo. We paid around $400 a night which included breakfast. The hotel is close to the train and a number of great restaurants. Getting here from the airport (Narita) was easy on the Friendly Limousine bus . It dropped us at the Hilton & we walked 2mins around the corner. We would most definitely stay here again! ,"Brisbane, Australia","kylielarman</div><div class=""userLoc""><strong>Brisbane, Australia</strong>",6,5.0
737732863,https://www.tripadvisor.com/Hotel_Review-g14133673-d15564204-Reviews-Daiwa_Roynet_Hotel_Nishi_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kan-or5.html?filterLang=en,Daiwa Roynet Hotel Nishi Shinjuku,"January 7, 2020","This is our 1st stay at Daiwa Roynett chain of hotels. I booked a standard twin room for 3 nights. Pros:1) Location is about 10-15 minutes walk to Nishi-shinjuku Metro Station - easy access to other transportation lines in Tokyo. Main Shinjuku Station can also be reached within 20-30 mins walk.2) Room is slightly bigger compared to typical Japanese standards - reason of choosing this hotel.3) Room equipped with amenities - including pajamas and fabric deodorizer! 4) Cozy breakfast area: Breakfast buffet was good : has both western and Japanese - not splurge in terms of varieties but yet filing and tasty.5) Staff were attentive and courteous very polite.6) Convenience stores - 7 Eleven (just downstairs of the hotel) & 2 Family Mart within 7-10 minutes walking (otw to Nishi-shinjuku Station)7) Provided with facial mask during check-in8) DIY laundry & microwave provided 9) Tokyo Metropolitan Building is nearby10) Nearby Shinjuku Park11) I like the fact that during night time, the place is not busy at all with traffic & people compared to morning. Even though located and surrounded within office towers, skyscrapers and government buildings, its quiet deserted during night time.Cons:1) No swimming pool or onsen2) Size of the room is just nice for 2 people - cannot open your luggage as there is no space.Even though does not have certain facilities which is not even an issue for me, consider staying in Japan, I felt very pleasant staying here and kind miss it.","Kuala Lumpur, Malaysia","muzaneeshah</div><div class=""userLoc""><strong>Kuala Lumpur, Malaysia</strong>",12,4.0
734950707,https://www.tripadvisor.com/Hotel_Review-g14133673-d15564204-Reviews-Daiwa_Roynet_Hotel_Nishi_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kan-or5.html?filterLang=en,Daiwa Roynet Hotel Nishi Shinjuku,"December 27, 2019","Location: Within the Shinjuku area but outside the city center, the hotel is a 6 minute walk from the nearest Shinjuku metro exit. It has a 7-11 in the basement so getting what you need is easy and cheap. There are many restaurants around the area going to the metro. Room and Amenities: Small rooms are a norm in Tokyo. But the hotel and the room/toilet are beautifully decorated. Modern and sleek. The toilet bowl is standard modern Japanese. Automated sensor with built-in bidet and water pressure control, heated seats, and even atmosphere noise for privacy. I also specially like the light controls and electric/USB outlets by the bedside. The room has the usual amenities though there’s no safe. It’s got a mini fridge, hairdryer, closet, a writing table and chair, a tiny couch. Not bad. Toilet has the usual toiletries like toothbrush/toothpaste, comb, razor and a sponge towel. Body soap,shampoo and conditioner are in large bottle dispensers. Staff: The staff are courteous and pleasant. They can converse quite well in English. I would stay here again. I’d also recommend this hotel to my friends. ","Pasig, Philippines","PnoiBoi</div><div class=""userLoc""><strong>Pasig, Philippines</strong>",29,4.0
732347813,https://www.tripadvisor.com/Hotel_Review-g14133673-d15564204-Reviews-Daiwa_Roynet_Hotel_Nishi_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kan-or5.html?filterLang=en,Daiwa Roynet Hotel Nishi Shinjuku,"December 12, 2019","Stayed five nights in this hotel and enjoyed every one. The hotel is great because... - It’s very good value for money. I’ve stayed in 5* hotels that aren’t as good. It’s also very modern, super clean and quiet. - It’s very close to Shinjuku, 15 mins by foot or 5 mins to a tube station and one stop so you can head out exploring. Yes the rooms are small, but they are fine. You could swing a cat without a problem. A few little extras: - Shampoo and conditioner is decent so you don’t have to worry about bringing your own - There is a washing machine on site incase you need to wash your things ",Switzerland,"Victoria S</div><div class=""userLoc""><strong>Switzerland</strong>",24,5.0
