review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
746950163,https://www.tripadvisor.com/Hotel_Review-g14134362-d15083542-Reviews-Daiwa_Roynet_Hotel_Tokyo_Ariake-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Daiwa Roynet Hotel Tokyo Ariake,"February 23, 2020",Bottom line: great place for business in and around Tokyo Big Sight...not so much a home base for tourist traveling.All amenities are great for the business traveler and store convenient for events art Tokyo Big Sight. The main draw back is that it isn't very walkable to restaurants and other tourist/traveler activities. I usually stay at the Intercontinental Tokyo Bay which is packed with great restaurants and close to the train.,"Leesburg, Virginia","Tim S</div><div class=""userLoc""><strong>Leesburg, Virginia</strong>",0,4.0
743872061,https://www.tripadvisor.com/Hotel_Review-g14134362-d15083542-Reviews-Daiwa_Roynet_Hotel_Tokyo_Ariake-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Daiwa Roynet Hotel Tokyo Ariake,"February 9, 2020","Simple hotel in a good location near Odaiba. Next to metro line and walking distance to Odaiba and other areas. Seems like a newer hotel and rooms are stylish including bathroom with soaking tub. Stayed in floor 9, standard double bed room. Decent view. Things to note: Small rooms, charged xtra fee if check-in before 2pm, breakfast is buffet only - can’t go for just coffee without having to pay $20/ 2000 yen, cost of buffet even if you’re not actually eating. Thin walls. Hard bed. Good budget stay.",,TeaWineSuzhiPizza,1,3.0
731339435,https://www.tripadvisor.com/Hotel_Review-g14134362-d15083542-Reviews-Daiwa_Roynet_Hotel_Tokyo_Ariake-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Daiwa Roynet Hotel Tokyo Ariake,"December 8, 2019","lovely place to stay if you are as a small family or a couple. It is small and compact enough to be able to function while still being comfortable. Easy access to local trains and other networks to get around Tokyo. Lovely staff at the lobby and front desk, who are happy to help with anything and everything, all you have to do is ask! Good share of facilities around the hotel and easy access to a 7/11 for quick and easy on the go foods! All in all lively place to stay and would cone back definitely!! ","Adelaide, Australia","Reviewr899</div><div class=""userLoc""><strong>Adelaide, Australia</strong>",0,4.0
730934789,https://www.tripadvisor.com/Hotel_Review-g14134362-d15083542-Reviews-Daiwa_Roynet_Hotel_Tokyo_Ariake-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Daiwa Roynet Hotel Tokyo Ariake,"December 5, 2019","Very clean hotel in Ariake. Probably more targeted for business users (close to Tokyo Big Sight), but also good for couples. Buffet breakfast with japanese twist is very good (served in restaurant next door). Nearest Tokyo metro station is in Toyosu (2,2km), but Yurikamome & Rinkai line stations are right next to hotel.","Espoo, Finland","jarkkol754</div><div class=""userLoc""><strong>Espoo, Finland</strong>",51,5.0
714694886,https://www.tripadvisor.com/Hotel_Review-g14134362-d15083542-Reviews-Daiwa_Roynet_Hotel_Tokyo_Ariake-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Daiwa Roynet Hotel Tokyo Ariake,"October 2, 2019","若是要到tokyo big sight 看展、參展，真的可選擇這間!! 離地鐵超近(走出來不到一分鐘就看到了)! 樓下有7-11、旁邊還有Lawson! 房內雖小，但有冰箱、保險箱、也有熨燙機，更重要的是有浴缸!!!! 廁所乾濕分離，和馬桶也是分開的，非常方便! 但是沒有飲水機，也沒有每日提供礦泉水，比較不便。其餘都很滿意! 十分適合出差的飯店!The location is great, close to the tokyo big sight, very convenient for exhibit and transportation.But the hotel don't provide bottle water which is a little inconvenient.",Taipei,"melonrun</div><div class=""userLoc""><strong>Taipei</strong>",7,4.0
691515523,https://www.tripadvisor.com/Hotel_Review-g14134362-d15083542-Reviews-Daiwa_Roynet_Hotel_Tokyo_Ariake-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Daiwa Roynet Hotel Tokyo Ariake,"July 21, 2019","We stayed in this hotel as part of the chosen hotels of AmazTravel/Charming Tour Group in May 2019. The hotel is situated outside the city center. Although it is well connected to public transportation, the location is not ideal for those looking to do a lot of sightseeing. For example, getting to Asakusa District via subway lines will take approximately 1 hour (one way). This hotel is not recommended for tourists who are easily confused with navigation especially in Tokyo. It is however a very clean and capable hotel. In my opinion, the hotel is more suited for individuals who are engaged in business in the area. The rooms are small but adequate in amenities. Most importantly, it is clean. The hotel has automated laundry washers/dryers and the washing/drying progress can be monitored in your room TV. The breakfast buffet was adequate. However, the hotel cannot accommodate a large group and will therefore separate groups in another location (same level as reception). There were no issues with checking in and out. There is an automated check out kiosk which has several languages. You simply follow the instructions on screen and deposit the room key cards.","Philadelphia, Pennsylvania","SouthPhillyPT19148</div><div class=""userLoc""><strong>Philadelphia, Pennsylvania</strong>",119,3.0
687166230,https://www.tripadvisor.com/Hotel_Review-g14134362-d15083542-Reviews-Daiwa_Roynet_Hotel_Tokyo_Ariake-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Daiwa Roynet Hotel Tokyo Ariake,"July 6, 2019","When you arrive early in the morning and need a shower or rest, you need to pay for one more night to check in even if the same room type is available. This is true for foreign travelers. Other hotels nearby do not charge you at all when a room is available. This is a new hotel and close to Ariake station.朝8時についてテェックインしようとしたら部屋が空いているが、1泊分余分に料金が必要と言われた。近隣の他のホテルに確認したところ、問題なく「無料」でチェックインを受け入れていると。有明の駅からは直近だがビッグサイトまでは結構歩く。","Orlando, Florida","W00Boo</div><div class=""userLoc""><strong>Orlando, Florida</strong>",86,1.0
686540734,https://www.tripadvisor.com/Hotel_Review-g14134362-d15083542-Reviews-Daiwa_Roynet_Hotel_Tokyo_Ariake-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Daiwa Roynet Hotel Tokyo Ariake,"July 3, 2019","This hotel was again included in our Japan-Trip. It's again part of the Daiwa Roynet Hotel-Group. The hotel and the rooms are very nice and the rooms are not small as expected in Japan. Also the bed was confortable. But for Sightseeing i would maybe not choose this hotel again, you maybe have two stations just at your side, but there are no direct connection to JR-Line or Tokyo-Metro. So if you wanna stay in Daiba this hotel is perfect but for visiting other places in Tokyo it's a litte bit more difficult to get around.","Siebnen, Switzerland","TheTraveller_247</div><div class=""userLoc""><strong>Siebnen, Switzerland</strong>",2582,4.0
679953210,https://www.tripadvisor.com/Hotel_Review-g14134362-d15083542-Reviews-Daiwa_Roynet_Hotel_Tokyo_Ariake-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Daiwa Roynet Hotel Tokyo Ariake,"June 8, 2019","The staff here is very polite, and the room is clean and new, but that’s about all this place has going for it. It’s not that close to the main part of shinjuku (20 minutes walk), but I would have been ok with that if not for other problems. The mattress is the hardest I have felt in my life. Not exaggerating. It’s almost like sleeping on the ground. They also nickel and dime you for everything. 1000 yen per hour for a late checkout, 400 yen to call a taxi (never have I heard of this last one at a hotel and especially not in Japan). Rooms are extremely tiny. I made sure to get a larger twin room even though I’m just one person because I needed space to pack. Of course there’s none and the suitcase barely opens in the space provided. Please don’t make the same mistake I did. Stay somewhere else. I have no idea where the positive reviews are coming from. ","Chicago, Illinois","Jenna G</div><div class=""userLoc""><strong>Chicago, Illinois</strong>",0,2.0
677951915,https://www.tripadvisor.com/Hotel_Review-g14134362-d15083542-Reviews-Daiwa_Roynet_Hotel_Tokyo_Ariake-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Daiwa Roynet Hotel Tokyo Ariake,"May 31, 2019","the hotel is gorgeous with wonderful and polite staff. Also, it is at perfect location next to two train station for traveling within Tokyo. Breakfast buffet was delicious and not overpriced. Rooms are clean but small but this is typical for Japanese rooms in general. highly recommended. ",,GrandTour07526163889,0,5.0
674588086,https://www.tripadvisor.com/Hotel_Review-g14134362-d15083542-Reviews-Daiwa_Roynet_Hotel_Tokyo_Ariake-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Daiwa Roynet Hotel Tokyo Ariake,"May 17, 2019","My wife had a convention to attend in Tokyo Big Sight and upon searching the closest is Daiwa Roynet Ariake. My family and I were happy because our room was upgraded for free to a superior room which means, more space! We had a corner room, and a good view too. It is far from the main action of Tokyo but hey, with two train stations accessible to the hotel, no distance is too far. And for car enthusiast like me, Autobacs is just a station away, and the toyota megaweb is 4 stations away using the Yurikamome Line which can also bring you to downtown Ginza! Thank you Daiwa Roynet Ariake for our wonderful experience in your hotel.","Metro Manila, Philippines","JKA_13</div><div class=""userLoc""><strong>Metro Manila, Philippines</strong>",8,5.0
