review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752996530,https://www.tripadvisor.com/Hotel_Review-g60982-d90017-Reviews-DoubleTree_by_Hilton_Alana_Waikiki_Beach-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,DoubleTree by Hilton Alana - Waikiki Beach,"April 28, 2020","This hotel is located towards the edge of Waikiki, it's close to bars, restaurants, etc. Everything is very walkable. It was a very comfortable, clean room, that offered all the basic amenities. However, if you're looking for gigantic pools with pool parties, and crowded bars, that's not what you'll find. The hotel has a pool (but mostly for exercising and relaxing), and a restaurant for relaxing as well.","Los Angeles, California","Fran F</div><div class=""userLoc""><strong>Los Angeles, California</strong>",28,5.0
681534286,https://www.tripadvisor.com/Hotel_Review-g60982-d90017-Reviews-DoubleTree_by_Hilton_Alana_Waikiki_Beach-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,DoubleTree by Hilton Alana - Waikiki Beach,"June 14, 2019","Housekeeping greeted us every morning. Room was very clean, beds comfortable, cold A/C and included a balcony which we didn't get a chance to enjoy. Valet were very helpful, carried our bags to check-in and assisted with bags upon check-out. Always assisted without being asked. They even had suggestions for local lunch spots. The entire staff was very helpful. The business center was very convenient as well for printing boarding passes, checking emails and printing items for work for no additional fee.","Waimea, Hawaii","thekamuelainn</div><div class=""userLoc""><strong>Waimea, Hawaii</strong>",0,5.0
751570741,https://www.tripadvisor.com/Hotel_Review-g60982-d90017-Reviews-DoubleTree_by_Hilton_Alana_Waikiki_Beach-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,DoubleTree by Hilton Alana - Waikiki Beach,"March 21, 2020","Business trip. My daughter tagged along to advantage of the opportunity to enjoy the island. Great location adjacent to, but not a victim to, the crush of Waikiki Beach. Once we parked, we walked everywhere else. Our room was more spacious than expected, well maintained and clean. Solid WiFi allowed her to ""telework"". Bathroom was perfect. Mandatory valet parking on par with NYC prices but access much more convenient. Valets were professional and efficient. Small but functional gym with free weights, weight machine, treadmills (2), and elliptical (2). Only disappointment was the breakfast menu and its price point. Recommend skip the hotel fare for something outside the hotel.","Vienna, Virginia","RichP671</div><div class=""userLoc""><strong>Vienna, Virginia</strong>",30,4.0
751556411,https://www.tripadvisor.com/Hotel_Review-g60982-d90017-Reviews-DoubleTree_by_Hilton_Alana_Waikiki_Beach-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,DoubleTree by Hilton Alana - Waikiki Beach,"March 21, 2020","Mahalo to the Doubletree staff for a lovely stay during this challenging time. The hotel is located near many restaurants and shopping, and the room was very comfortable. Each staff member that assisted us was wonderful. ","Palatine, Illinois","tina2020665</div><div class=""userLoc""><strong>Palatine, Illinois</strong>",0,5.0
751232213,https://www.tripadvisor.com/Hotel_Review-g60982-d90017-Reviews-DoubleTree_by_Hilton_Alana_Waikiki_Beach-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,DoubleTree by Hilton Alana - Waikiki Beach,"March 17, 2020",I came up with my ʻohana for a family funeral and we couldn’t be happier with the quality of service and ammenities offered. My elderly Aunty didn’t have to walk too far to get anywhere which we were certainly grateful for. I also appreciated the fitness Center that was available when we got back late at night - we definitely made use of that! Breakfasts were great - we had the continental and the hot breakfast - what a bargain! I would definitely stay here again. ,,dkkuuipo,0,5.0
751131714,https://www.tripadvisor.com/Hotel_Review-g60982-d90017-Reviews-DoubleTree_by_Hilton_Alana_Waikiki_Beach-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,DoubleTree by Hilton Alana - Waikiki Beach,"March 16, 2020","Like the title says - clean rooms. a convenient way to find balance between business and leisure, and staff that is very helpful. Kudos to Jungmin and Elsa at the front desk, Earl and Alana at the restaurant.","Lexington, South Carolina","Sundeep K</div><div class=""userLoc""><strong>Lexington, South Carolina</strong>",8,4.0
750770419,https://www.tripadvisor.com/Hotel_Review-g60982-d90017-Reviews-DoubleTree_by_Hilton_Alana_Waikiki_Beach-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,DoubleTree by Hilton Alana - Waikiki Beach,"March 13, 2020","Great location and hotel. I would love to go here again. The beach is really nice, and the people on the island are always so relaxed that it feels like a vacation, even when it's not! The gym could be bigger, but other than that it's awesome!","Sacramento, California","p5yc071c</div><div class=""userLoc""><strong>Sacramento, California</strong>",0,5.0
750064514,https://www.tripadvisor.com/Hotel_Review-g60982-d90017-Reviews-DoubleTree_by_Hilton_Alana_Waikiki_Beach-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,DoubleTree by Hilton Alana - Waikiki Beach,"March 9, 2020",Be advised that this hotel charges a resort fee but does not actually have a resort. The items listed for the upcharge are standard at other properties in other cities. The hotel has a sister property at the beach with a resort but you can't use any of the benefits. ,,gj252020,0,1.0
749300571,https://www.tripadvisor.com/Hotel_Review-g60982-d90017-Reviews-DoubleTree_by_Hilton_Alana_Waikiki_Beach-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,DoubleTree by Hilton Alana - Waikiki Beach,"March 5, 2020",Very convenient location. Good restaurants and only 10 minute walk to the beach. There also was a abc store a block away and a great burger place next door .a local breakfast joint within walking distance that was really good another one just next to the hotel. Very convenient location ,"Gig Harbor, Washington","salonvlasa</div><div class=""userLoc""><strong>Gig Harbor, Washington</strong>",0,5.0
748628987,https://www.tripadvisor.com/Hotel_Review-g60982-d90017-Reviews-DoubleTree_by_Hilton_Alana_Waikiki_Beach-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,DoubleTree by Hilton Alana - Waikiki Beach,"March 1, 2020","The stay was okay, clean room and decent hotel. I was caught off-guard with the $30 per night resort fee. I didn’t see any resort like amenities. I guess there was a swimming pool someplace, but the hotel is several blocks from the ocean and the real Hilton resort. I think it is a scam to advertise rooms at $30 less then they are actually charging. I would choose someplace else next time!!!","Oahu, Hawaii","805gener</div><div class=""userLoc""><strong>Oahu, Hawaii</strong>",9,2.0
