review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
750538858,https://www.tripadvisor.com/Hotel_Review-g60763-d93359-Reviews-Econo_Lodge_Times_Square-New_York_City_New_York-or0.html?filterLang=en,Econo Lodge Times Square,"March 11, 2020","The Box In Times Square - Stay anywhere but here. Its SMALLER THAN SMALL... Can't even take a bath in the tub, its SMALL... Its old, dingy, dusty, run down, definitely has an old timey smell and all that in the carpet, walls and curtains. ",,EbonieMarie,0,2.0
748352392,https://www.tripadvisor.com/Hotel_Review-g60763-d93359-Reviews-Econo_Lodge_Times_Square-New_York_City_New_York-or0.html?filterLang=en,Econo Lodge Times Square,"February 29, 2020","Although the room being small and coffee space is limited, they do not charge the resort fee which helps a lot in a trip to the United States and is a block from the Times Square. We loved our stay and we will come back for sure.","Sao Paulo, SP","drossetto29</div><div class=""userLoc""><strong>Sao Paulo, SP</strong>",0,4.0
747772790,https://www.tripadvisor.com/Hotel_Review-g60763-d93359-Reviews-Econo_Lodge_Times_Square-New_York_City_New_York-or0.html?filterLang=en,Econo Lodge Times Square,"February 26, 2020","On check in we were informed that their elevator did not extend past the 6th floor. Our room was on the 7th, after explaining to the clerk that health conditions could be exasperated(artificial knees, cardiac bypass and stents, hypertension) management would not change our room. Additionally, the next day, the elevator was out of order, as was the ice machine for our entire stay. Sofa bed was broken, thermostat set on 80 degrees brought the room temperature to 60. The emergency door outside of our room was broken, no alarm, and left open, frigid air blowing 24/7, a legal issue as well. Electrical cords abound, a serious safety issue. We left a message for the manager, no one EVER returned our call. We informed the desk clerk on 4 different occasions regarding our concerns, nothing was addressed.","Gloucester, Virginia","wattssemc</div><div class=""userLoc""><strong>Gloucester, Virginia</strong>",2,1.0
742614518,https://www.tripadvisor.com/Hotel_Review-g60763-d93359-Reviews-Econo_Lodge_Times_Square-New_York_City_New_York-or0.html?filterLang=en,Econo Lodge Times Square,"February 2, 2020","The Econolodge in Time Square was clean , but definitely small. It was perfect for an overnight stay, when all you were looking for was a clean & safe place to sleep. It was a good value and very close to time square & the theater district.","Franklin, Massachusetts","schamber23</div><div class=""userLoc""><strong>Franklin, Massachusetts</strong>",3,4.0
741064563,https://www.tripadvisor.com/Hotel_Review-g60763-d93359-Reviews-Econo_Lodge_Times_Square-New_York_City_New_York-or0.html?filterLang=en,Econo Lodge Times Square,"January 24, 2020",Tiny and they could use some updating of bed materials but overall pleasant to stay at and very central to time square activities. Service was great but they need to make it more clear about their debt card policy that holds an amount equal to the total amount of stay. ,"Evansville, Indiana","Djackso103</div><div class=""userLoc""><strong>Evansville, Indiana</strong>",0,4.0
738176386,https://www.tripadvisor.com/Hotel_Review-g60763-d93359-Reviews-Econo_Lodge_Times_Square-New_York_City_New_York-or5.html?filterLang=en,Econo Lodge Times Square,"January 9, 2020",This is the perfect place to stay in New York City. This was my second time visiting and I was just as happy with it both times. they are friendly clean and they always have cookies and coffie in the lobby. the rooms are quaint and comfortable. the location is ideal for everything you want to see and the price was just unbeatable.,,alishanobryant23,0,5.0
736916131,https://www.tripadvisor.com/Hotel_Review-g60763-d93359-Reviews-Econo_Lodge_Times_Square-New_York_City_New_York-or5.html?filterLang=en,Econo Lodge Times Square,"January 4, 2020","My granddaughter and I gasped when we opened the door to the room. I wish I could post a photo. It was so tiny we had to move the desk chair in front of the door to get to the bed. There wasn’t room at the foot of the bed to walk around to the other side so she had to crawl over me. Thin walls made the complimentary ear plugs necessary. A creepy looking old man seemed to be living in the lobby, as he was sleeping in a chair every night when we returned to the hotel and still there when we came down for continental breakfast in the mornings. On the plus side, the location is walking distance to the Gershwin Theatre and others, as well as good places to eat. Also, housekeeping and maintenance responded quickly and were very nice. ","Lewisville, Texas","JAINEB440</div><div class=""userLoc""><strong>Lewisville, Texas</strong>",0,2.0
735247248,https://www.tripadvisor.com/Hotel_Review-g60763-d93359-Reviews-Econo_Lodge_Times_Square-New_York_City_New_York-or5.html?filterLang=en,Econo Lodge Times Square,"December 28, 2019",This hotel is ideal for a very short stay. We booked in here to get some sleep for a few hours after a long bus trip from Niagara Falls before heading out to another day of sight seeing. Room is tiny but was adequate for our purposes. The free breakfast was good. Very good location in the city.,,tasneemy2017,7,3.0
732900037,https://www.tripadvisor.com/Hotel_Review-g60763-d93359-Reviews-Econo_Lodge_Times_Square-New_York_City_New_York-or5.html?filterLang=en,Econo Lodge Times Square,"December 15, 2019","We just returned from a trip to the city. We stayed 3 nights and to be honest no real complaints. Perfect location, clean rooms, breakfast, helpful staff, and within the hotel it was very quiet. Yes the rooms are small, but for just my mother and I it was fine and we didn't spend time there other than to sleep...we were there to explore the city! Walking distance to many places yet just around the corner from 7th Ave on a side street. The only complaint I would have would be that the room was quite warm and no way to regulate the temperature. We were on the 6th floor. Do your research ...for the price and location you really can't beat it! I definitely plan to stay again on our next trip to the big apple!",,177kelliv,5,5.0
730838800,https://www.tripadvisor.com/Hotel_Review-g60763-d93359-Reviews-Econo_Lodge_Times_Square-New_York_City_New_York-or5.html?filterLang=en,Econo Lodge Times Square,"December 5, 2019","It was gross. The service was slow and curt, the rooms were tiny and outdated, with stains, rust, and worn furniture. The bed was hard and there was hair on the “fresh” linens. You’re better off buying a $5 breakfast at Dunkin down the road. Literally, the ONLY thing going for it is the location, but it’s not worth it. I will not be back.","Fayetteville, Arkansas","molmaj</div><div class=""userLoc""><strong>Fayetteville, Arkansas</strong>",0,1.0
