review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
755526290,https://www.tripadvisor.com/Hotel_Review-g60763-d11998087-Reviews-Embassy_Suites_by_Hilton_New_York_Manhattan_Times_Square-New_York_City_New_York-or0.html?filterLang=en,Embassy Suites by Hilton New York Manhattan Times Square,"May 27, 2020",I left for a family emergency & came back to my hotel room given up to someone else & my belongings missing. There was no explanation. Hotel staff & manager Mr. Anish Patney were disrespectful & unhelpful. FYI my checkout date is 5/31. #crisisRN,,Sarahbeit,0,1.0
755516275,https://www.tripadvisor.com/Hotel_Review-g60763-d11998087-Reviews-Embassy_Suites_by_Hilton_New_York_Manhattan_Times_Square-New_York_City_New_York-or0.html?filterLang=en,Embassy Suites by Hilton New York Manhattan Times Square,"May 27, 2020","I checked into my room Sunday evening on 5/3 and once settled into my room, I noticed a blood stain inside my duvet, covers, and mattress. I called the front desk regarding immediately. She offered a room change or a change of sheets. I had already unpacked and did not want to change rooms as I was tired from completing my 14hr shift as a healthcare worker. Front desk stated someone would come change my sheets. Unfortunately, I was informed the handyman that was available could not change my sheets personally and instead would drop off the new sheets and I would have to change the sheets and make the bed myself. I had waited almost an hour for his arrival, I called the front desk twice because of this.I removed the stained sheets for the handyman to take with and noticed the blood stain had seeped into the mattress cover as well, which had to be replaced.While making the bed, I noticed I was missing the appropriate bedding. I called and requested the front desk to have housekeeping change my sheets the following morning while I was at work. I have called over the phone and asked in person numerous times to the housekeeping, front desk, and the manager about this matter each day and night that it was not resolved. I am frustrated, upset, and disgusted not only because of finding stained blood in my bed but also because no one addressed this matter sooner and it took 3 days to have this matter taken care of. It was resolved on 5/6. Is this Embassy Suites/Hilton’s hospitality and/or customer service experience?",,Sammi33RN,0,2.0
750642519,https://www.tripadvisor.com/Hotel_Review-g60763-d11998087-Reviews-Embassy_Suites_by_Hilton_New_York_Manhattan_Times_Square-New_York_City_New_York-or0.html?filterLang=en,Embassy Suites by Hilton New York Manhattan Times Square,"March 12, 2020","We stayed at the Embassy Suites for several days in March. It was wonderful. The room was clean and modern, the service was perfect and the location was minutes away from subways and Time Square. All the front desk people were very helpful, especially Anthony. He went out of his way to make sure all of my questions were answered. I strongly recommend this hotel.","Galveston, Texas","donat734</div><div class=""userLoc""><strong>Galveston, Texas</strong>",4,5.0
750478293,https://www.tripadvisor.com/Hotel_Review-g60763-d11998087-Reviews-Embassy_Suites_by_Hilton_New_York_Manhattan_Times_Square-New_York_City_New_York-or0.html?filterLang=en,Embassy Suites by Hilton New York Manhattan Times Square,"March 11, 2020","Excellent check in process, Anita was extremely welcoming and did a great job of helping us pick a room with a view. Property lobby is spotless and room is nice and updated. Overall, great first impression!",,Z7914FFjohnm,0,5.0
750351737,https://www.tripadvisor.com/Hotel_Review-g60763-d11998087-Reviews-Embassy_Suites_by_Hilton_New_York_Manhattan_Times_Square-New_York_City_New_York-or0.html?filterLang=en,Embassy Suites by Hilton New York Manhattan Times Square,"March 10, 2020","If you are looking for a typical Embassy Suites, this is not it. The rooms are small, we didn't even have room for a couch, so know ahead of time there isn't the typical space. With that being said. The hotel was very nice, well updated. The bed was comfortable, the breakfast was delicious, the staff was very friendly, the evening reception was nice. My husband and I enjoyed our 3 night stay. The location is great. It is a short walk to so many things. Times Square is close, Union Terminal and Penn Station are within 10 minutes. I would recommend this hotel for couples or smaller groups. One thing I did not agree with is the mandatory $25 daily fee that you must use before midnight in their gift shop, bar or room service. $6 regular Kit Kat, $4 small bag of chips. Most nights we were spending it on stuff we didn't need or use just so the money didn't go to waste.Getting there... We flew into JFK, took the Air Train to the Jamaica Stop, and took the E train to Penn Station where we walked to the hotel. It takes a little over 1 hour total to get from airport to hotel entrance.","Cincinnati, Ohio","andreahK8279ZY</div><div class=""userLoc""><strong>Cincinnati, Ohio</strong>",0,5.0
750235048,https://www.tripadvisor.com/Hotel_Review-g60763-d11998087-Reviews-Embassy_Suites_by_Hilton_New_York_Manhattan_Times_Square-New_York_City_New_York-or5.html?filterLang=en,Embassy Suites by Hilton New York Manhattan Times Square,"March 10, 2020",What we experienced was different to what was advertised on the website. We felt cheated by a €25 add-on to each room per day. We were forced to purchase items with the €25 add-on and considering one glass of wine was €14 it meant two drinks and tip would screw you further. One or two front desk staff had attitude problem and don't like when someone asks for explanation.,,Charles K,0,2.0
750128323,https://www.tripadvisor.com/Hotel_Review-g60763-d11998087-Reviews-Embassy_Suites_by_Hilton_New_York_Manhattan_Times_Square-New_York_City_New_York-or5.html?filterLang=en,Embassy Suites by Hilton New York Manhattan Times Square,"March 9, 2020","The staff, especially Anthony, was amazing and gracious! Rooms are quaint and clean. Breakfast was plentiful and happy hour hit the spot! Greta location and nice choice! Near the both herald square and Times Square. Great views of Empire State Building. Over all positive experience!! ","New York City, New York","tanjers2020</div><div class=""userLoc""><strong>New York City, New York</strong>",0,5.0
749514289,https://www.tripadvisor.com/Hotel_Review-g60763-d11998087-Reviews-Embassy_Suites_by_Hilton_New_York_Manhattan_Times_Square-New_York_City_New_York-or5.html?filterLang=en,Embassy Suites by Hilton New York Manhattan Times Square,"March 6, 2020","The breakfast was wonderful and the staff super helpful. The room was very clean, I lacked some cupboard space. The view from 31st floor was a plus. Will definitely return to this hotel next time I'm in NYC","Herzliya, Israel","Sigipooh</div><div class=""userLoc""><strong>Herzliya, Israel</strong>",23,5.0
749286743,https://www.tripadvisor.com/Hotel_Review-g60763-d11998087-Reviews-Embassy_Suites_by_Hilton_New_York_Manhattan_Times_Square-New_York_City_New_York-or5.html?filterLang=en,Embassy Suites by Hilton New York Manhattan Times Square,"March 5, 2020","Very new and modern hotel, short walk from Times Square. Great breakfast and happy hour, consistent with the Embassy theme. The dinner restaurant was good, but very small. Total capacity maybe 20? Given the options in NYC, I'm not sure why anyone would eat here other than to use the $25 Urban Destination Fee, which is applied daily and can be used as a credit towards food and beverages in the hotel. However, as I said, with so many amazing dining options in the city, the $25 fee is just another tax. I only ate in the hotel once and the other days, I (and everyone else I spoke to in the bar) was having a quick drink at the bar to ""use"" the $25 credit. The hotel should discontinue this practice. Otherwise, very friendly staff and a nice hotel. ",,Relax22395594342,0,4.0
748798144,https://www.tripadvisor.com/Hotel_Review-g60763-d11998087-Reviews-Embassy_Suites_by_Hilton_New_York_Manhattan_Times_Square-New_York_City_New_York-or5.html?filterLang=en,Embassy Suites by Hilton New York Manhattan Times Square,"March 2, 2020",It’s a place that you would feel comfortable to stay and bring your loved ones and enjoy NYC with near by attractions. Amazing customer service. Parking is Pricey if you have a bigger vehicle. # Thank you! ,,katsinzey,0,5.0
