review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
746591887,https://www.tripadvisor.com/Hotel_Review-g60763-d1164645-Reviews-Eurostars_Wall_Street-New_York_City_New_York-or0.html?filterLang=en,Eurostars Wall Street,"February 21, 2020",Nice hotel in good location for south street seaport and financial district Rooms large and clean but a little bareBed comfortable Good buffet breakfast with hot and cold itemsFor the price in nyc a good deal,"Vancouver, Canada","DGM778</div><div class=""userLoc""><strong>Vancouver, Canada</strong>",94,4.0
727058833,https://www.tripadvisor.com/Hotel_Review-g60763-d1164645-Reviews-Eurostars_Wall_Street-New_York_City_New_York-or0.html?filterLang=en,Eurostars Wall Street,"November 17, 2019","THIS IS NOT A FOUR STAR HOTEL. if this place represented itself as a three star hotel, people would know what they are getting and would be satisfied. but calling it 4 stars and delivering 3 is disappointing. needs updates, but decent sized spaces. a solid 3.","Chicago, Illinois","dirtyboulevard</div><div class=""userLoc""><strong>Chicago, Illinois</strong>",41,2.0
724309693,https://www.tripadvisor.com/Hotel_Review-g60763-d1164645-Reviews-Eurostars_Wall_Street-New_York_City_New_York-or0.html?filterLang=en,Eurostars Wall Street,"November 5, 2019","My wife and I stayed here for five nights in October. It’s a good hotel in a great location, a world away from the noise and mess of mid and north Manhattan, with some good bars and restaurants close by.The best thing about the hotel, however, are the staff. All of them we’re incredibly polite and helpful, but I do have to single out one person in particular for praise. I believe the lady’s name was Michel. My wife and I cannot thank her enough for her help. When our pre-booked ride to the airport failed to turn up she got straight on the phone and took no nonsense from the person on the other end, who was insistent that the car had been parked outside for 45 minutes - it had actually gone to the wrong hotel.She even took the license plate number and went outside to flag the car down. To the manager/owner of the hotel, make sure you keep hold of your current employees, particularly Michel. Staff like her are worth their weight in gold to your business.","Newport, Wales, United Kingdom","AndyJ-Aggius</div><div class=""userLoc""><strong>Newport, Wales, United Kingdom</strong>",3,4.0
720798971,https://www.tripadvisor.com/Hotel_Review-g60763-d1164645-Reviews-Eurostars_Wall_Street-New_York_City_New_York-or0.html?filterLang=en,Eurostars Wall Street,"October 23, 2019","Check-In/Check-OutChecking in and out was smooth. The gentleman who took care of us was friendly.The RoomWe got the room with the living room, not sure if this is the standard room here but I don't think so. There's also a small kitchen with a fridge, microwave, coffee maker, and sink. The floor was a bit cracked in the kitchen. There are windows in the bedroom, a small tv but the remote controller was not working and the tv was not working as well. The bed was a decent size for two but somehow we found a few bugs on the bed, not bed bugs coz we didn't experience any for the two nights we stayed here.The BathroomThe bathroom was a decent size. There's a bathtub but wouldn't recommend to use them looks dirty with stain probably because is old. The water pressure could use some more. There is a hairdryer.Restaurant/EntertainmentThere is a restaurant since they offer a breakfast buffet in the morning but we didn't try them since it's New York! gotta do the local stuff!Hotel Service/AmenitiesThey have free wifi in the room but the wifi was very slow. They also do baggage service.OverallNot sure would come back here again to stay. The hotel is doing partly renovation when we were there not sure if they're doing renovation for the whole hotel or just some part of the hotel. But they really do need to upgrade and do some fixing on their property especially the rooms. Definitely not for the elderly.","Boston, Massachusetts","cici_wg</div><div class=""userLoc""><strong>Boston, Massachusetts</strong>",5,3.0
713462209,https://www.tripadvisor.com/Hotel_Review-g60763-d1164645-Reviews-Eurostars_Wall_Street-New_York_City_New_York-or0.html?filterLang=en,Eurostars Wall Street,"September 27, 2019","we enjoyed a wonderful warm stay in NYC downtown and I will surely recommend this place to all....very close to the battery park and one world observatory :) if u enjoy walking and live like a new yorker 129, front street is the place !!!a big thank u to the warm JORGE and NELSON soooo helpful and wonderful staff.... :)","Emirate of Dubai, United Arab Emirates","geeshan29</div><div class=""userLoc""><strong>Emirate of Dubai, United Arab Emirates</strong>",13,4.0
705477152,https://www.tripadvisor.com/Hotel_Review-g60763-d1164645-Reviews-Eurostars_Wall_Street-New_York_City_New_York-or5.html?filterLang=en,Eurostars Wall Street,"September 1, 2019",I stayed at Eurostars when I had a training meeting next door at the Microtek building. The price of the hotel was great and I got upgraded to a suite. The location was amazing. Close to everything in the financial district. Friendly courteous checkin and helpful staff. Highly recommended boutique hotel. ,"Florida, Uruguay","ckckckckckck</div><div class=""userLoc""><strong>Florida, Uruguay</strong>",258,4.0
704675378,https://www.tripadvisor.com/Hotel_Review-g60763-d1164645-Reviews-Eurostars_Wall_Street-New_York_City_New_York-or5.html?filterLang=en,Eurostars Wall Street,"August 30, 2019","False advertisement.. Therr is no bar or gym. Purchased a queen size bed ... It was a full size bed. There was blood stains and dirt on my comforter. When I asked for it to be removed, 20 minutes later the Concierge ""Ray"" told me he needed gloves to remove the comforter that I took off of me with my bare hands.","Baltimore, Maryland","Theevolutionofhiphop</div><div class=""userLoc""><strong>Baltimore, Maryland</strong>",0,1.0
700877718,https://www.tripadvisor.com/Hotel_Review-g60763-d1164645-Reviews-Eurostars_Wall_Street-New_York_City_New_York-or5.html?filterLang=en,Eurostars Wall Street,"August 19, 2019","I've stayed in nicer hotels, and, frankly, so have you. But, you (like me) booked it on Hotwire; thus, there's no turning back now, so you might as well enjoy it.The rooms were fine and at one time nice, but they've been well lived in and the attempts at fixing what small cosmetic issues they have, are rather lacklustre. The hotel has a lot of potential were the owners to throw some money at it, and I think the 3.5 star rating is not wildly inaccurate, but about a half a star too many.It is an average hotel in an average location, but it has a really good price. You're saving money on the resort fees that all other NYC hotels charge you and, let's be honest, you chose it because of the price, so there's not much to complain about.The bed was comfy and the pillows nice, and I was pleasantly surprised by both the size of my room, and its solitude from the street below. Overall, I was neither displeased, nor blown away, and for a hotel at this price point, I think that's a very honourable delivery. Don't go in with high expectations, but don't be worried either. It's an average place and you're an average person, so just put your ego aside and accept what you paid for; you might just find (like I did) that you like the place for all its little quirks. They all seem fitting.",,lineseeker,1,3.0
691484150,https://www.tripadvisor.com/Hotel_Review-g60763-d1164645-Reviews-Eurostars_Wall_Street-New_York_City_New_York-or5.html?filterLang=en,Eurostars Wall Street,"July 21, 2019",The hotel is old and a bit run down BUT the rooms are super nice and super large ! The location is good for water transportation but very far from the main attractions like Central Park and museums... a taxi will run you $20 1way!,"El Paso, Texas","Galvanb</div><div class=""userLoc""><strong>El Paso, Texas</strong>",35,4.0
691285003,https://www.tripadvisor.com/Hotel_Review-g60763-d1164645-Reviews-Eurostars_Wall_Street-New_York_City_New_York-or5.html?filterLang=en,Eurostars Wall Street,"July 20, 2019","Only one night stay. The hotel was located near Wall st at financial district. The area around the hotel is not shopping and restaurant area, but it is located near Battery park, place where we will start the Liberty statue and island cruise from NY.",Indonesia,"Jawara_JJ</div><div class=""userLoc""><strong>Indonesia</strong>",5,4.0
