review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
749770125,https://www.tripadvisor.com/Hotel_Review-g60982-d120687-Reviews-Ewa_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ewa Hotel,"March 7, 2020","It is a hotel that you can find in a roadway in the middle of mainland.Absolutely overpriced, old furniture, old elevatpr, expansive parking, small TV, walls cracked, the bathroom is disgusting. Keep in your mind you probably paying more than 100USD here and not 40 bocks.If it costs 40 or 50 USD maybe it could be an option for someone.It is a rip off the 17USD named resort tax. Never but never more stay here again. Pay 50 USD and stay in a clean hotel but never here","Rio de Janeiro, RJ","jorgeotavio</div><div class=""userLoc""><strong>Rio de Janeiro, RJ</strong>",262,1.0
749174072,https://www.tripadvisor.com/Hotel_Review-g60982-d120687-Reviews-Ewa_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ewa Hotel,"March 4, 2020","Always very happy to be at the Ewa. It's like home. I missed the nice picture that was hanging on the wall when I first walked into the lobby. Also, you used to have little paper glasses with the water for a quick refreshing drink. ",,prairiewind2015,0,3.0
743326897,https://www.tripadvisor.com/Hotel_Review-g60982-d120687-Reviews-Ewa_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ewa Hotel,"February 5, 2020","For its location and price, the Ewa Hotel is a solid choice in the Waikiki area. Sure, the physical condition of the rooms and hallways are not the newest or cleanest. But we got a room for three people that included three single beds, a TV, a two-burner stove, fridge, and microwave at a reasonable rate. Breakfast is not included, but the in-room wi-fi is stable and relatively fast.If you need a parking space (extra charge), be sure to check-in as early as you can, because there's a limited number of spaces available.The biggest annoyances were the added fees that are not included in the advertised room rate. That practice is so common among hotels now that it's confusing and almost impossible to compare total price, which is, unfortunately, exactly what hotels want to do.",Northern California,"onbalance</div><div class=""userLoc""><strong>Northern California</strong>",48,4.0
737645574,https://www.tripadvisor.com/Hotel_Review-g60982-d120687-Reviews-Ewa_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ewa Hotel,"January 7, 2020","Don't be deceived by the pictures posted online!!! Definitely on the contrary and were taken probably 30 years ago. It needs a complete renovation. Because of the scary condition of their one and only elevator, we used the stairs all the time. The only thing nice about this place is its location.",,871cruzr,4,1.0
734397009,https://www.tripadvisor.com/Hotel_Review-g60982-d120687-Reviews-Ewa_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ewa Hotel,"December 23, 2019",This place is horrible. Filthy. You just feel dirty staying here. Male front desk agent at night was very rude. No deadbolt on door. Toilet made noise all night. NO CLOSET OR HANGERS EVEN!!! No outside guests after 10pm. Very limited parking. Will never stay here again and suggest you don’t either. ,"Honolulu, Hawaii","Z2025TEmichaelt</div><div class=""userLoc""><strong>Honolulu, Hawaii</strong>",6,1.0
728441082,https://www.tripadvisor.com/Hotel_Review-g60982-d120687-Reviews-Ewa_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ewa Hotel,"November 23, 2019","Dated hotel, needs some updating. A little less expensive than other hotels in the area. Coffee provided was Excellent. No frills but all we did was sleep there anyway so it was fine. Walking distance to a beach. Long but walkable distance to the shopping. Elevator was clunky but worked. Covered parking area a bit small but was nice to have. Did not like paying the $30 extra a day for parking. And was not expecting an additional $130 cleaning fee, but we had booked through a different site, not Ewa directly. ",,ellenleffingwell,0,4.0
723576326,https://www.tripadvisor.com/Hotel_Review-g60982-d120687-Reviews-Ewa_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ewa Hotel,"November 3, 2019","The Ewa Hotel reminds me of a cross between some places I've lived. I've lived in cinder-block military barracks, and I've lived in an old building in San Francisco. Like the SF apartment, it's close to natural beauty. One of the reasons I chose the Ewa between the lower-cost hotels is that instead of window air-conditioning units; noise right over the bed, the Ewa has quieter units, and they work well. The other reason is proximity to Waikiki Wall / Queen's Beach. The cleaning staff is excellent and pro-active about removing wet towels to keep humidity down. One disappointment - the roof deck is not handicap accessible - the elevator stops the floor below. During our stay, the other guests were friendly and the staff was excellent. Advice from another review - get a balcony unit! Even though the balcony is small, we were very glad to have it.",,James L,4,3.0
721111439,https://www.tripadvisor.com/Hotel_Review-g60982-d120687-Reviews-Ewa_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ewa Hotel,"October 24, 2019","This is another of the old-and-tired Waikiki hotels in desperate need of renovation and TLC. The price was right but you basically get what you pay for. Good location, on the quiet side of Waikiki and close to the beach, but definitely no frills and no amenities. The room and property overall are tired. The front desk staff all seemed less than excited to be there.","Los Angeles, California","sfmattyb</div><div class=""userLoc""><strong>Los Angeles, California</strong>",29,2.0
704628156,https://www.tripadvisor.com/Hotel_Review-g60982-d120687-Reviews-Ewa_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ewa Hotel,"August 30, 2019","I booked this hotel last minute, 5 days prior to stay via Hotels.com, then tried to cancel 4 days prior because of an emergency. They were ""happy to cancel"" but no refunds were allowed. On hotels.com, I could cancel but Ewa hotel would charge a penalty that was the same amount as my stay. I think that's a great business model, to then make the room available to ""other guests who may need a place"" so they can sell the room again. But I am not ever going to stay here for the unsympathetic and inflexible approach they have to making money.","Aspen, Colorado","Misheel C</div><div class=""userLoc""><strong>Aspen, Colorado</strong>",0,1.0
692719906,https://www.tripadvisor.com/Hotel_Review-g60982-d120687-Reviews-Ewa_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ewa Hotel,"July 25, 2019",I checked in here as me and a friend were going out for a night of drinks and did the responsible thing and got a room to avoid a DUI. So we checked in and out the door in 5 minutes. This morning when we woke up I found BLOOD ON THE WALL and a chair has a dent on it!! Like someone had a party before I checked in. I better not be charged for this as I reported this things. I was told housekeeping will be up.. No housekeeping ever came. I felt disgusted looking at blood on the wall and no one coming I showered in case there are more blood in the area. With having the feeling that this isn’t important to them I checked out and reported to the gentleman in the front. His excuse was “maybe they were waiting for you to check out” so to tell me you rather wait for someone to have contact with blood that can contain viruses that can survive 1 week outside of the body. Didn’t have the feeling they cared enough with my complaint as I wasn’t yelling and remain calm and respectful. Side note. Hotel runs out of parking quickly so be aware and get parking early. Room was nice and good. Except the main complaint above. Hotel is a bit hidden but value was great. Great place for the price but customer service isn’t their strong ability. ,"Honolulu, Hawaii","Wandererz808</div><div class=""userLoc""><strong>Honolulu, Hawaii</strong>",9,1.0
