review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752617576,https://www.tripadvisor.com/Hotel_Review-g60763-d7816364-Reviews-Executive_Hotel_LeSoleil-New_York_City_New_York-or0.html?filterLang=en,Executive Hotel LeSoleil,"April 14, 2020","Before the pandemic, we had the pleasant opportunity to stay at this hotel last weekend of January. Our spontaneous trip had a wonderful turnout thanks to the great staff and management at Hotel LeSoleil. General Manager John made our trip pleasant by covering all of our questions and concerns in the most professional way. Great location, large room accommodation, wonderful service. We will definitely return!",,Curious759365,0,5.0
735571815,https://www.tripadvisor.com/Hotel_Review-g60763-d7816364-Reviews-Executive_Hotel_LeSoleil-New_York_City_New_York-or0.html?filterLang=en,Executive Hotel LeSoleil,"December 30, 2019","Loved our stay here. Perfect location, good size room for NY and housekeeping and other employees are friendly. You always got a friendly hello whenever we walked back in or when we passed them in the elevator. We would stay here again for sure, don’t want to leave in fact! ","Adelaide, Australia","Elliot1210</div><div class=""userLoc""><strong>Adelaide, Australia</strong>",0,5.0
752097389,https://www.tripadvisor.com/Hotel_Review-g60763-d7816364-Reviews-Executive_Hotel_LeSoleil-New_York_City_New_York-or0.html?filterLang=en,Executive Hotel LeSoleil,"March 31, 2020",I stayed here in February and the hotel met my expectations. The room was huge. It had a separate sitting area with a nice little couch. Bed was very comfortable and there was a good size desk and fridge. Bathroom amenities were good too. Staff was very friendly. Newspapers in the lobby in the morning was a nice touch. Within walking distance to Times Square. Restaurants and shopping all around the hotel. Definitely will stay here again.,"Vancouver, Canada","Speedy688</div><div class=""userLoc""><strong>Vancouver, Canada</strong>",44,5.0
752019577,https://www.tripadvisor.com/Hotel_Review-g60763-d7816364-Reviews-Executive_Hotel_LeSoleil-New_York_City_New_York-or0.html?filterLang=en,Executive Hotel LeSoleil,"March 29, 2020","Was a very nice hotel for the value in a great location. We had a beautiful view of the Empire State Building. Was very pleased with hotel staff who where attentive and assisted in any of our needs. Would stay there again,",,Douglas S,0,4.0
751864515,https://www.tripadvisor.com/Hotel_Review-g60763-d7816364-Reviews-Executive_Hotel_LeSoleil-New_York_City_New_York-or0.html?filterLang=en,Executive Hotel LeSoleil,"March 26, 2020","We were unable to make it to NY because of the pandemic but my interaction with customer service was great. I had a total of four reservations -- all with different dates, number of guests, and room types. Y. Aviles was pleasant and patient. I was even offered discounted rates *after* the reservation was made! Can't wait to finally visit!",,cmfrick,0,5.0
751862810,https://www.tripadvisor.com/Hotel_Review-g60763-d7816364-Reviews-Executive_Hotel_LeSoleil-New_York_City_New_York-or5.html?filterLang=en,Executive Hotel LeSoleil,"March 26, 2020","My boyfriend and I decided to go on a mini valentines day weekend getaway in the city and were so satisfied with our pick. This lovely hotel was recommended by my colleague who had stayed overnight and although her reservation was last minute, she was completely shocked at the exceptional service and accomondation she received. Our room was great, friendly and professional staff, great location. Would definitely go again.","Rhodes Town, Greece","eiriniletstravel</div><div class=""userLoc""><strong>Rhodes Town, Greece</strong>",0,5.0
751836926,https://www.tripadvisor.com/Hotel_Review-g60763-d7816364-Reviews-Executive_Hotel_LeSoleil-New_York_City_New_York-or5.html?filterLang=en,Executive Hotel LeSoleil,"March 25, 2020","My friend and I stayed here for 3 nights and it wasn’t enough! Great room, great staff! The mid town location is perfect for everything! The bar and restaurant was also fabulous! Good selections of beers and wine and food. We had a room with a queen and a sofa bed and it was a great size, especially for NYC. The concierge, Scott, was very helpful as were all the staff. Nothing was problem. Would definitely stay here again! ","Copacabana, Australia","philippas353</div><div class=""userLoc""><strong>Copacabana, Australia</strong>",36,5.0
751056274,https://www.tripadvisor.com/Hotel_Review-g60763-d7816364-Reviews-Executive_Hotel_LeSoleil-New_York_City_New_York-or5.html?filterLang=en,Executive Hotel LeSoleil,"March 15, 2020",Staff wasn't judgmental of my quick check in and check out. And they always make me feel like a very important person. I definitely always try to book with this hotel. I don't even mind paying a little extra. ,,Nejicakes,0,5.0
750936763,https://www.tripadvisor.com/Hotel_Review-g60763-d7816364-Reviews-Executive_Hotel_LeSoleil-New_York_City_New_York-or5.html?filterLang=en,Executive Hotel LeSoleil,"March 15, 2020","Great location, friendly staff, small room - I'm sure the agency booked me the cheapest but it was meant to be for 2 people. i was grateful that, being on business, I was alone because it would have been a very tight squeeze otherwise.Surprisingly large bathroom - would have stored a suitcase in here had there been two of us staying. It had everything i needed, it was just very compact.The restaurant wasn't open on Sunday evening, which i hadn't realised, but they recommended a nearby Italian which was superb.Breakfast was buffet or a la carte - i had cold buffet and it was absolutely delicious; fruit salad that actually tasted of fresh fruit and particularly good granola. The only criticism i had was that when i got back to my room after 16.00 it still hadn't been made up so i had to call housekeeping, who came to sort it out very quickly but it meant i had to go down to the lounge area. It didn't seem to be possible to get a cup of tea or coffee there, i think all service stopped after brunch on Sunday.Reception and concierge staff were very helpful.","Hersham, United Kingdom","puffpuff</div><div class=""userLoc""><strong>Hersham, United Kingdom</strong>",207,4.0
750718264,https://www.tripadvisor.com/Hotel_Review-g60763-d7816364-Reviews-Executive_Hotel_LeSoleil-New_York_City_New_York-or5.html?filterLang=en,Executive Hotel LeSoleil,"March 13, 2020",The Queen Suite was refreshing and the room was quiet. Great front desk staff. Housekeepers were pleasant and kind. Great location “I didn’t even know was there” spots. Loved the Sun theme and motif throughout.,"New York City, New York","Dacion2020</div><div class=""userLoc""><strong>New York City, New York</strong>",0,5.0
