review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
749679249,https://www.tripadvisor.com/Hotel_Review-g60763-d1949647-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Chelsea-New_York_City_New_York-or0.html?filterLang=en,Fairfield Inn & Suites New York Manhattan/Chelsea,"March 7, 2020","This is a perfect location, close to Penn Station, MSG, subway lines, and the Fashion Institute of Technology (my daughter is a student). It’s also in the flower district, so it’s like walking through a garden heading to or from the hotel. The front desk has been super friendly & helpful. The room is very clean and modern. I love that the floors in the rooms are all hard surface (no carpet). It’s a little small, but then again it’s NYC, so that’s a given. Given that the rate includes a full breakfast, this is a great value.","Freeland, Maryland","Amy O</div><div class=""userLoc""><strong>Freeland, Maryland</strong>",10,5.0
747528873,https://www.tripadvisor.com/Hotel_Review-g60763-d1949647-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Chelsea-New_York_City_New_York-or0.html?filterLang=en,Fairfield Inn & Suites New York Manhattan/Chelsea,"February 25, 2020","I stayed here January into February for business. I had the most amazing stay. Rooms were very clean and well maintained. All staff were very accommodating and pleasant, always smiling. Daily breakfast was lovely....I really enjoyed the 'do it yourself waffles' and fresh fruit...thank you Tina and the kitchen staff. Others who contributed to my wonderful stay were Wendy(at check in), Kellen (my go to guy), Brittany(during the reservation process), Chong(very helpful 'jack of all trades), Victor('my personal security guy') and Calvin who assisted me with my bags at check out. At the end of my stay, I felt like I had stayed with family and friends. Keep up the great customer service team Fairfield and I do hope to visit again in the future.",,LynnWJL2480,0,5.0
747526408,https://www.tripadvisor.com/Hotel_Review-g60763-d1949647-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Chelsea-New_York_City_New_York-or0.html?filterLang=en,Fairfield Inn & Suites New York Manhattan/Chelsea,"February 25, 2020","We had a last minute trip to the city booked and needed a place to stay. We were also traveling with a little baby, and after a very early morning flight he was very tired and we were desperate for a hotel we could check into early. After calling Fairfield Inn and speaking with Kellen Sears he assured us we could come right in and check in. It was such a relief. When we got there he took care of us right away and even offered us to have breakfast, which we were so grateful for because after 5 hours of traveling we were hungry! We had a wonderful room that was very clean and had everything we needed. After a nice warm breakfast my husband and my little baby and I all had a wonderful much needed nap before we started our day! Kellen was always so friendly and helpful and really exemplifies what an A+ customer service person should be! The rest of the staff including Janessa and a few others we came in contact with were so friendly and accommodating. It was really a breath of fresh air. The hotel it in a wonderful area in the city with tons of stuff near by and we enjoyed our walks around the area! We truly truly appreciate all the help and accommodations and friendly service and will 100% be back during our next visit to New York!",Elizabeth,"Katrinakubicina</div><div class=""userLoc""><strong>Elizabeth</strong>",0,5.0
747518104,https://www.tripadvisor.com/Hotel_Review-g60763-d1949647-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Chelsea-New_York_City_New_York-or0.html?filterLang=en,Fairfield Inn & Suites New York Manhattan/Chelsea,"February 25, 2020","As others have stated, the location has two major subway lines within one block in either direction, making this a very convenient place to stay. The room was furnished in typical Fairfield Inn style (though this is a standard sized hotel room, not a suite.) The room was exceptionally clean. A small annoyance was the bathroom door was too big and you had to navigate your way around it and the toilet. The breakfast was typically good, and the breakfast area can get very crowded. Checking in was amazingly fast, and they did everything right for my Platinum level from gift/points to room upgrade (this was a nice surprise for a Marriott property lately).","marlboro, New Jersey, USA","mkbnj</div><div class=""userLoc""><strong>marlboro, New Jersey, USA</strong>",33,5.0
743753418,https://www.tripadvisor.com/Hotel_Review-g60763-d1949647-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Chelsea-New_York_City_New_York-or0.html?filterLang=en,Fairfield Inn & Suites New York Manhattan/Chelsea,"February 8, 2020","As others have remarked, a very convenient location, close to subways, Penn Station, and Times Square. This is one of 4 or 5 mid-range chain hotels on the same block that are all relatively new. We got a really good rate over Super Bowl weekend, and I just got gold Bonvoy status so we were upgraded to a somewhat bigger room. Overall, this was the best value stay I've had in Manhattan in at least 20 years.Everything in the room worked, the staff was friendly and helpful, and the breakfast is the standard Fairfield Inn breakfast, which I think is the best free breakfast in this class. Would definitely stay here again.","Arlington, Virginia","BigTA</div><div class=""userLoc""><strong>Arlington, Virginia</strong>",30,5.0
742236696,https://www.tripadvisor.com/Hotel_Review-g60763-d1949647-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Chelsea-New_York_City_New_York-or5.html?filterLang=en,Fairfield Inn & Suites New York Manhattan/Chelsea,"January 31, 2020","Pros:– Easy location– Solid breakfast– Recent faceliftCons:– Not built for humans in the modern era– One power outlet in the room, but at floor level; another one behind the bed, less accessible. Alarm clock on the nightstand, not plugged in, no outlet behind it– DARK: single room light near the bedroom, nothing in the other half of the room. Can't see a thing.– Huge TV right in your face from the bed, cords hanging about– Toilet roll ridiculously low to the floor– I could go on, but you get the point...","Lafayette, Colorado","lauraliznelson8</div><div class=""userLoc""><strong>Lafayette, Colorado</strong>",77,2.0
740310242,https://www.tripadvisor.com/Hotel_Review-g60763-d1949647-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Chelsea-New_York_City_New_York-or5.html?filterLang=en,Fairfield Inn & Suites New York Manhattan/Chelsea,"January 20, 2020","Stayed here for a friends weekend...just two of us. The hotel is a great location. Just south of Penn Station in a floral district. There are a few other hotels on this block so the street was fairly quiet after dark. There’s a subway stop at the end of the block along with a drug store for last minute essentials. Check in was very quick and all the staff we encountered were incredibly friendly. Also have us a free bottle of water upon checkin. The room is modern, clean and small. It’s Manhattan so you have to expect it. They made great use of all the space but we just ran out of room to put our stuff so we just made the best of it. Bed was super comfy. Plenty of channel on the TV and the shower had great water pressure. My only complaint? Not enough power outlets. We had phones, apple watches and a CPAP machine to plug in at night and there was only one outlet near the beds. We made due but in this day and age, outlets near the bed are a must. They offered a free breakfast each more which we had on two of the three mornings we were there. Nothing to brag about...plenty of offerings for everyone. They had Starbucks coffee which was nice. Overall, a nice visit. I would definitely recommend this hotel and come back next time I’m staying in NYC. ","Baltimore, MD","junebugsrbig</div><div class=""userLoc""><strong>Baltimore, MD</strong>",43,5.0
733299162,https://www.tripadvisor.com/Hotel_Review-g60763-d1949647-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Chelsea-New_York_City_New_York-or5.html?filterLang=en,Fairfield Inn & Suites New York Manhattan/Chelsea,"December 17, 2019","Hotel is clean, room is comfortable and price is affordable. Walking distance to good Italian restaurant across the street (make a reservation) and GiGi’s cafe around the corner. If you want Starbucks it,too, is just around the corner. Highly recommend this place.",,Janamaine,0,5.0
731218917,https://www.tripadvisor.com/Hotel_Review-g60763-d1949647-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Chelsea-New_York_City_New_York-or5.html?filterLang=en,Fairfield Inn & Suites New York Manhattan/Chelsea,"December 7, 2019","Location is perfect. The hotel is in walking distance to the Times Square, to Macy’s and to the Empire State Building. There are 2 subway stations at the 2 corners of the 28th street (both are only some steps from the hotel). In addition Pen station is only 5 blocks from here. We went to see Nets in Barclays center in Brooklyn. Getting there took half an hour with subway R. We went to see Giants the other day in MetLife stadium. It took only 50 minutes to get there by train from Pen station. However we went to have a morning running session in the Central Park and Central Park is 30 blocks away which is a lot. It would have been better to take one of the subway to get to the Central Park first. The complimentary breakfast is delicious and there are a nice variety of cold and hot dishes but during the rush hours (after 8 am) it is almost impossible to have a chair and there is a long row for the food. It happened that scrambled egg and bacon have ran out and their replacement took more than 10 minutes. On the other hand before 7.30 am everything is just perfect for a relaxed and nice breakfast. Our room was small but clean. However I have been a Goldelite member of Marriott Bonvoy for already 3 years and I am eligible for an upgrade we have received a room below standard. The sink was seriously leaking and it took 2 days for the hotel to make it fixed though we reported it upon arrival. Our first 2 days were really uncomfortable because we could not use the sink. Receptionist told us that there was no other room available. The staff was nice but really overburdened. At the reception there was usually only one guy who was also the concierge also.I think we may go back again because the pros are still overtaken the cons.","Central Hungary, Hungary","Janos1315</div><div class=""userLoc""><strong>Central Hungary, Hungary</strong>",92,3.0
727576097,https://www.tripadvisor.com/Hotel_Review-g60763-d1949647-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Chelsea-New_York_City_New_York-or5.html?filterLang=en,Fairfield Inn & Suites New York Manhattan/Chelsea,"November 19, 2019","As many other reviews have said, the location of this hotel is absolutely fantastic for exploring the whole city - for convenience it can’t be beaten in midtown. Yes the room are , in typical NY fashion, on the small side but even as a family with young children we didn’t spend much time in the room.What I most want to mention though is just how awesome this hotel is for families. The staff behind the reception, the breakfast room staff and even the doormen are so incredibly friendly and welcoming to children. We traveled in October with our 5 year old, 3 year old and young baby. They gave the children cookies on arrival to welcome them to the hotel and city. They had movie afternoons where they’d put out snacks and the children felt like they were in a movie theatre. The staff would chat and play with the children and just made you feel welcome. They even made little bags of snacks and wrote us a letter thanking us for staying when we left - so thoughtful.My husband and I have been to nyc several time before having children but this was their first visit and I wouldn’t hesitate to book the Fairfield again. Thank you so much guys, we really hope we can come back to New York and stay with you again really soon!",UK,"legallyblondeUk</div><div class=""userLoc""><strong>UK</strong>",2,5.0
