review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751176507,https://www.tripadvisor.com/Hotel_Review-g60763-d7595213-Reviews-Four_Points_by_Sheraton_New_York_Downtown-New_York_City_New_York-or0.html?filterLang=en,Four Points by Sheraton New York Downtown,"March 16, 2020",We have enjoyed staying could not used swimming areas gym sauna. But staff are excellent and very polite Specially house keeping Harsha help us our 510 number thanks restaurant staffs are extremely friendly. Reception staff are quality. Zulekha Husein,,Zulekha012,0,5.0
750349222,https://www.tripadvisor.com/Hotel_Review-g60763-d7595213-Reviews-Four_Points_by_Sheraton_New_York_Downtown-New_York_City_New_York-or0.html?filterLang=en,Four Points by Sheraton New York Downtown,"March 10, 2020","*If you have business in the Financial District, location wise the hotel is very well situated, short walking distance from Wall Str, Water Str, etc.And now on to the letdowns:*Not everyone at the reception was very helpful or polite, some were quite dismissive*Rooms are very small. It's a very tiny space, hardly had any space between the wall/""wardrobe"" and bed to open a standard sized suitcase.*Rooms are also not very well-kept. There was dust, spots on the walls, ripped wallpaper, etc.*Elevators are slow and it takes ages to go up or down. Some elevators weren't functioning properly during my visit.*Fresh linen was also a joke - bed sheets weren't changed.*Aircon or whatever that thing was in the hole in the wall was awfully loud and the air hits you directly wherever you are in the small room*Rooms aren't soundproof and you can easily hear what's going on in the corridor or in the rooms next youNot impressed with this hotel. I didn't even spend that much time in the room, I was there just to get some sleep. The overall feel of everything was old and tacky which was in huge contrast to the flashy images of the facade one encounters when first searching the hotel. I guess it's ok if you're visiting and just need a place to sleep but still not worth the money.","Bournemouth, United Kingdom","Fearless54774792740</div><div class=""userLoc""><strong>Bournemouth, United Kingdom</strong>",5,2.0
740401712,https://www.tripadvisor.com/Hotel_Review-g60763-d7595213-Reviews-Four_Points_by_Sheraton_New_York_Downtown-New_York_City_New_York-or0.html?filterLang=en,Four Points by Sheraton New York Downtown,"January 21, 2020","This was my third visit to New York but my first to the Four Points by Sheraton hotel. The staff were lovely and friendly, the hotel was clean. The rooms were spotless if a little on the small side - but hey who comes to NY to sit in their hotel rooms??! .... but THE BEDS!! OH MY ❤️ the joint most comfortable bed I’ve ever slept on (ranked joint first with a snuggly warm soft squishy delight in Switzerland). Sheraton - thank you for letting me rest my achey bones on one of your delightful mattresses.... I’m actually saving up to buy one ❤️","Staines, United Kingdom","Angiebabes180</div><div class=""userLoc""><strong>Staines, United Kingdom</strong>",6,5.0
739808734,https://www.tripadvisor.com/Hotel_Review-g60763-d7595213-Reviews-Four_Points_by_Sheraton_New_York_Downtown-New_York_City_New_York-or0.html?filterLang=en,Four Points by Sheraton New York Downtown,"January 18, 2020","The Four Points by Sheraton New York City Downtown is located just in walking distance to Wall Street. Overall impression ok, but a bit run down. Service warm and hearty, but a bit unprofessional. Fitness offered, no lounge. Would do again for the convenient location and ok rooms.","Cologne, Germany","PeterColonia</div><div class=""userLoc""><strong>Cologne, Germany</strong>",28,4.0
738025671,https://www.tripadvisor.com/Hotel_Review-g60763-d7595213-Reviews-Four_Points_by_Sheraton_New_York_Downtown-New_York_City_New_York-or0.html?filterLang=en,Four Points by Sheraton New York Downtown,"January 9, 2020","Not only did the hotel not respect the reservation, it did nothing to solve the problem. After an intercontinental flight arriving on the night of December 27th, the hotel claimed to be unaware of the reservation while acknowledging the existence of a message exchange confirming the reservation made.Result 5 people without hotel in new york at dawn on December 28.",,gl1906,4,1.0
737934596,https://www.tripadvisor.com/Hotel_Review-g60763-d7595213-Reviews-Four_Points_by_Sheraton_New_York_Downtown-New_York_City_New_York-or5.html?filterLang=en,Four Points by Sheraton New York Downtown,"January 8, 2020","Stayed at this hotel for 1 night on New Year's Eve. It is a short walk to metro. It has a great restaurant (nice decor, bar, tables, etc) call Ketch right next to it. The restaurant is open for breakfast and open late. I stayed at a high floor, so I had a quiet night. The hotel is also close to a parking garage that gives you a discount if you stay at the hotel. Overall, it's a nice hotel (clean rooms and baths) with friendly staff, that is close to Metro (Fulton Street Station, most Subway lines). It is walking distance to Freedom Tower. I recommend it to everyone traveling to Downtown New York.","Alexandria, Virginia","bettymagloire7</div><div class=""userLoc""><strong>Alexandria, Virginia</strong>",6,4.0
737161792,https://www.tripadvisor.com/Hotel_Review-g60763-d7595213-Reviews-Four_Points_by_Sheraton_New_York_Downtown-New_York_City_New_York-or5.html?filterLang=en,Four Points by Sheraton New York Downtown,"January 5, 2020",The staff at this hotel was exceptional. I stayed the week of Christmas and there was a mix up with my reservation. Lisa went above and beyond do help me solve the problem. She want out of her way to call me several times at the airport to straighten the matter out. I really appreciated it .,"Winter Garden, Florida","Wendi D</div><div class=""userLoc""><strong>Winter Garden, Florida</strong>",0,5.0
736902235,https://www.tripadvisor.com/Hotel_Review-g60763-d7595213-Reviews-Four_Points_by_Sheraton_New_York_Downtown-New_York_City_New_York-or5.html?filterLang=en,Four Points by Sheraton New York Downtown,"January 4, 2020","Pre check in the manager helped us change our rate as it had lowered since booking - this did take multiple calls between us and different teams, central reservations need more training for sure. We had a speedy check in and were surprised at being able to check in early the day before new years eve. Staff were friendly throughout, we had a do not disturb sign on and the letter informing me about the service after 2pm is an excellent idea. The room was clean and had all we needed and the hotel is located in a quiet area but close to subways and the financial district, all we could have asked for. Only criticism would be that we asked for a blanket and were given a bed sheet which looked rather old and worn out, given the temperatures New York can get too I was expecting a thicker/fleece style blanket. I would stay again for sure. ",,A5352RWnatalies,2,4.0
736788522,https://www.tripadvisor.com/Hotel_Review-g60763-d7595213-Reviews-Four_Points_by_Sheraton_New_York_Downtown-New_York_City_New_York-or5.html?filterLang=en,Four Points by Sheraton New York Downtown,"January 4, 2020","We stayed at Sheraton Downtown for a total of 5 nights and had a very pleasant experience. After some trouble at Check-In with charging the incorrect credit card, the issue was hastily rectified by the manager Hakim, who went to lengths to provide excellent customer service and made us feel at ease.The hotel room itself was modern and clean and the hotel was located a short walk from the 9/11 Memorial and Brooklyn Bridge. It is also serviced by a subway a few minutes walk away which was very convenient for getting about the city.","Dublin, Ireland","Parisa R</div><div class=""userLoc""><strong>Dublin, Ireland</strong>",1,4.0
735708461,https://www.tripadvisor.com/Hotel_Review-g60763-d7595213-Reviews-Four_Points_by_Sheraton_New_York_Downtown-New_York_City_New_York-or5.html?filterLang=en,Four Points by Sheraton New York Downtown,"December 30, 2019","Clean hotel, attentive staff but too busy of a place and overbooked! Although a Bonvoy platinum member, we had to wait half an hour for our room. We arrived at 3:30 PM and didn’t get to our room until 4 PM. Did not get an upgrade as we should. Rooms were clean but too small. Too far for tourism. Twenty minutes with the subway to time square.  We visit New York City often with friends and family, but first time at this Sheraton location since the other ones were booked. Wouldn’t return at this location.","Clifton Park, New York","hellenicottawa</div><div class=""userLoc""><strong>Clifton Park, New York</strong>",10,3.0
735159272,https://www.tripadvisor.com/Hotel_Review-g60763-d7595213-Reviews-Four_Points_by_Sheraton_New_York_Downtown-New_York_City_New_York-or10.html?filterLang=en,Four Points by Sheraton New York Downtown,"December 28, 2019","Stayed 6 nights in this hotel ,rooms great ,small but average in NY, great location near to several subway stations , staff at reception very helpfull and friendly ,only downside is it probably isn't the easiest place to find if your not familiar with financial district other than that no complaints .",suffolk,"kayjayh</div><div class=""userLoc""><strong>suffolk</strong>",19,4.0
733874211,https://www.tripadvisor.com/Hotel_Review-g60763-d7595213-Reviews-Four_Points_by_Sheraton_New_York_Downtown-New_York_City_New_York-or10.html?filterLang=en,Four Points by Sheraton New York Downtown,"December 20, 2019","Strategic location in downtown Manhattan, easy access to many locations in nyc and close to subway station. They offered affordable pricing during weekends which I booked for only $84 per night. Room is kinda small, but clean and enough for my short visit to nyc. Plenty of restaurants and convenient stores nearby, there is a larger 7-eleven store I have ever seen in the east coast. My only complaint was their breakfast, expensive and low quality. ",New York,"chwang3</div><div class=""userLoc""><strong>New York</strong>",25,4.0
732888290,https://www.tripadvisor.com/Hotel_Review-g60763-d7595213-Reviews-Four_Points_by_Sheraton_New_York_Downtown-New_York_City_New_York-or10.html?filterLang=en,Four Points by Sheraton New York Downtown,"December 15, 2019","Only giving 1 star because you can't give zero stars. I had a confirmed reservation with a valid credit card, per their central reservation system. Wanted to call them anyway because I was arriving late, but the published phone number didn't work. Had my office try to call them (it was a business trip), same result. They cancelled my room and their no other rooms to be had. Sacked out on their couch and went to my business meeting the next day exhausted. A real ordeal.","Wilmington, Delaware","jtamar</div><div class=""userLoc""><strong>Wilmington, Delaware</strong>",19,1.0
