review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752094853,https://www.tripadvisor.com/Hotel_Review-g60763-d113298-Reviews-Four_Seasons_Hotel_New_York-New_York_City_New_York-or0.html?filterLang=en,Four Seasons Hotel New York,"March 31, 2020","Wonderful hotel, situated in one of the best spots in NY, Columbus Circle, with great services and comfort! The hotel's bar / restaurant is a separate chapter: a happy point for a senior executive, serving the best old fashioned Big Apple!","Belo Horizonte, MG","antoniowinter</div><div class=""userLoc""><strong>Belo Horizonte, MG</strong>",18290,5.0
749158867,https://www.tripadvisor.com/Hotel_Review-g60763-d113298-Reviews-Four_Seasons_Hotel_New_York-New_York_City_New_York-or0.html?filterLang=en,Four Seasons Hotel New York,"March 4, 2020","Brilliant stay, attentive service , best breakfast in New York , love the pancakes and can’t pick a better location , so east to get to mid town and Central Park for a walk or jogging Of a morning , bar is still empty but i stay here every year ","Liverpool, United Kingdom","groupops</div><div class=""userLoc""><strong>Liverpool, United Kingdom</strong>",77,5.0
748714860,https://www.tripadvisor.com/Hotel_Review-g60763-d113298-Reviews-Four_Seasons_Hotel_New_York-New_York_City_New_York-or0.html?filterLang=en,Four Seasons Hotel New York,"March 2, 2020","Great escape from the city, beautifully appointed rooms that are comfortable, the bathrooms are like visiting a spa. Close to Central Park & great shopping. The staff goes above & beyond to make your stay memorable. This is luxury at its finest!","Seattle, Washington","takers2020</div><div class=""userLoc""><strong>Seattle, Washington</strong>",0,5.0
748670004,https://www.tripadvisor.com/Hotel_Review-g60763-d113298-Reviews-Four_Seasons_Hotel_New_York-New_York_City_New_York-or0.html?filterLang=en,Four Seasons Hotel New York,"March 2, 2020","What better hotel to choose to stay in this fascinating city: indisputably this one!No negative comments, the staff is attentive, discreet, we are wonderfully welcomed, everything is done to feel at home",France,"messalineguedj</div><div class=""userLoc""><strong>France</strong>",0,5.0
747412347,https://www.tripadvisor.com/Hotel_Review-g60763-d113298-Reviews-Four_Seasons_Hotel_New_York-New_York_City_New_York-or0.html?filterLang=en,Four Seasons Hotel New York,"February 24, 2020",We dropped in for breakfast. Excellent service and glorious food in good size portions. Endless coffee and fruit juice. Superb range of menu and all beautifully presented. A very special family breakfast celebration for our daughter’s 19th Birthday.,,williamdW8380UQ,0,5.0
744019806,https://www.tripadvisor.com/Hotel_Review-g60763-d113298-Reviews-Four_Seasons_Hotel_New_York-New_York_City_New_York-or5.html?filterLang=en,Four Seasons Hotel New York,"February 9, 2020",Beautiful hotel in a great location. The staff does not meet four seasons quality or standard. All of the front desk seemed like they were in training. They were un informed and very unexperienced. Difficult to get amything done with them. Doormen were great! ,"Chicago, Illinois","Margaret P</div><div class=""userLoc""><strong>Chicago, Illinois</strong>",3,3.0
743316431,https://www.tripadvisor.com/Hotel_Review-g60763-d113298-Reviews-Four_Seasons_Hotel_New_York-New_York_City_New_York-or5.html?filterLang=en,Four Seasons Hotel New York,"February 5, 2020","Stay here during new year holiday. Couldn't fault a thing. Concierge, front desk, restaurant, housekeeping, spa are all great. Very classy environment and room is very comfortable as well. Wonderful view (if you have a high floor, you have a good view no matter to which direction)Location is prime for central park and shopping. Breakfast is good as well. ","Incheon, South Korea","myst_haidian</div><div class=""userLoc""><strong>Incheon, South Korea</strong>",28,5.0
743010680,https://www.tripadvisor.com/Hotel_Review-g60763-d113298-Reviews-Four_Seasons_Hotel_New_York-New_York_City_New_York-or5.html?filterLang=en,Four Seasons Hotel New York,"February 4, 2020","In the heart of Billionaire's Row, this hotel is just beautiful. The rooms, for New York, are surprisingly spacious. The service is always perfect - we loved The Garden for brunch too. There's no pool, but I enjoyed the bath in my room, as well as the spa facilities too.","London, United Kingdom","JaceDowo</div><div class=""userLoc""><strong>London, United Kingdom</strong>",50,5.0
741314513,https://www.tripadvisor.com/Hotel_Review-g60763-d113298-Reviews-Four_Seasons_Hotel_New_York-New_York_City_New_York-or5.html?filterLang=en,Four Seasons Hotel New York,"January 26, 2020",I have stayed at many 5* hotels in the city but none are true 5 * this is truly a 5* ....every aspect of the hotel is outstanding there is nothing that they cannot offer you. I would not stay anywhere else!!,"Toronto, Canada","sabrina c</div><div class=""userLoc""><strong>Toronto, Canada</strong>",0,5.0
738767241,https://www.tripadvisor.com/Hotel_Review-g60763-d113298-Reviews-Four_Seasons_Hotel_New_York-New_York_City_New_York-or5.html?filterLang=en,Four Seasons Hotel New York,"January 12, 2020","I’ll just quickly echo others and confirm this is a classic, luxurious, friendly and very comfortable hotel. We booked through Amex and received a lovely upgrade. We enjoyed breakfast on site, which was good. The friendly, kind staff make you feel very welcome. We plan to return. ","Northfield, Vermont","npjsullivan</div><div class=""userLoc""><strong>Northfield, Vermont</strong>",9,5.0
