review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753164046,https://www.tripadvisor.com/Hotel_Review-g14129528-d301911-Reviews-Four_Seasons_Hotel_Tokyo_at_Marunouchi-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kant-or0.html?filterLang=en,Four Seasons Hotel Tokyo at Marunouchi,"May 5, 2020","Nothing disappointing about this hotel. Staff and service were friendly and helpful. The hotel's location is very convenient, near the Tokyo station and a 10-15 minute walking distance to Ginza. Very spacious rooms for Tokyo standards. Look forward to returning!",Canada,"myfriendscallmerocky</div><div class=""userLoc""><strong>Canada</strong>",1,5.0
751679771,https://www.tripadvisor.com/Hotel_Review-g14129528-d301911-Reviews-Four_Seasons_Hotel_Tokyo_at_Marunouchi-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kant-or0.html?filterLang=en,Four Seasons Hotel Tokyo at Marunouchi,"March 23, 2020","The reception staff seemed genuinely pleased to see us. They were exceptionally courteous. The room was immaculately clean. Whilst proximity to the rail station had the downside of some noise, it was more than made up by the convenience of getting to the station for onward travel. The reception staff even accompanied us to the station to make sure we found the rought platform.","Brighton, United Kingdom","adnilj2020</div><div class=""userLoc""><strong>Brighton, United Kingdom</strong>",0,5.0
750334931,https://www.tripadvisor.com/Hotel_Review-g14129528-d301911-Reviews-Four_Seasons_Hotel_Tokyo_at_Marunouchi-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kant-or0.html?filterLang=en,Four Seasons Hotel Tokyo at Marunouchi,"March 10, 2020","This Four Seasons is definitely a 5+ star rating experience. It's conveniently located in a safe and central area of Tokyo. The train station is located foot steps away with access to plenty of restaurants and shops. I look forward to returning to this location next year. Don't miss the opportunity to feel pampered, greeted and supported while staying with an incredibly professional and detailed oriented staff. ","Miami, Florida","marlenerramirez</div><div class=""userLoc""><strong>Miami, Florida</strong>",5,5.0
745548747,https://www.tripadvisor.com/Hotel_Review-g14129528-d301911-Reviews-Four_Seasons_Hotel_Tokyo_at_Marunouchi-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kant-or0.html?filterLang=en,Four Seasons Hotel Tokyo at Marunouchi,"February 16, 2020","On our third and fourth visits to this lovely hotel, my wife and I stayed 3 nights at the end of January and 2 more nights a week later in February. This hotel remains our favorite hotel in the world. From the moment we were met at our train car on the Narita Express to our escorted departures at Tokyo Station, we were greeted by name and treated warmly by the hotel's friendly and attentive staff.We got off to a great start each morning at the hotel's breakfast buffet enjoying made to order poached eggs along with their selection of fruits, pastries, and other fine assorted delicacies. The hotel's reception and concierge assisted us anytime we had a question and helped us book tickets to the teamLab Tokyo Digital Art Museum. From hailing a taxi for us and providing directions to the driver through providing us with a description of how to take the monorail and train to return to the hotel, the entire team made our stay a pleasure.If you're looking for warm, gracious, and personal service, quiet and elegantly appointed rooms with lovely L'Occitane amenities, and the magic of traditional hospitality and care in modern Japan, you will enjoy your stay here as much as we did.",,573leightonn,1,5.0
745536974,https://www.tripadvisor.com/Hotel_Review-g14129528-d301911-Reviews-Four_Seasons_Hotel_Tokyo_at_Marunouchi-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kant-or0.html?filterLang=en,Four Seasons Hotel Tokyo at Marunouchi,"February 16, 2020","Hats off to the Four Seasons Hotel Tokyo at Marunouchi for an amazing stay with incredibly genuine and caring service. From the moment we were met at the station by two wonderful staff members to help with our big ski bags we knew we were in for a treat!The hotel is lovely - luxurious rooms, beautifully appointed with wood, leather and gold leaf accents. Spacious and stylish bathrooms with every amenity.The main restaurant on level 7 is spectacular. Great city views and watching the bullet trains pull in and out of Tokyo station is great! Food is beautifully prepared and a great variety of both western and Japanese dishes - perfect for our Family.But what makes this hotel more special than others is the service of the staff. The genuine and caring service of the staff is absolutely beyond what we’ve experienced at any other Five star hotel. Always making sure we have everything we need; giving great tips for restaurants and things to visit....and probably most importantly helping me when I was ill. The staff walked me to the doctor surgery; spoke with the surgery staff in Japanese so they knew what I needed and even showed me were the pharmacy was located. The service was above and beyond and made a real difference when I was feeling unwell. Thank you Four Seasons Tokyo. We will return. ","Melbourne, Australia","MFHE</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",21,5.0
743343594,https://www.tripadvisor.com/Hotel_Review-g14129528-d301911-Reviews-Four_Seasons_Hotel_Tokyo_at_Marunouchi-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kant-or5.html?filterLang=en,Four Seasons Hotel Tokyo at Marunouchi,"February 6, 2020","We arrive earlier than expected, but the reception staff checks us in within minutes, and during our stay, every need I call are met by the most friendly staffs and faster than I experienced in other hotels, the Room is big and well cleaned everyday we return to our room, thank you for your service","Chiayi, Taiwan","blackjack1966</div><div class=""userLoc""><strong>Chiayi, Taiwan</strong>",0,5.0
741987567,https://www.tripadvisor.com/Hotel_Review-g14129528-d301911-Reviews-Four_Seasons_Hotel_Tokyo_at_Marunouchi-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kant-or5.html?filterLang=en,Four Seasons Hotel Tokyo at Marunouchi,"January 29, 2020","We chose this hotel for for the first 2 nights of a 2 week trip due to its proximity to the train station and other areas we planned to explore before heading to Kyoto. The room was spacious and well appointed, super quiet and well insulated from exterior sound (considering we were only 7 floors up and adjacent to the train tracks), very nice breakfast buffet included with our stay. Friendly staff. I have nothing but positive things to say.","Beverly Hills, California","mintchip17</div><div class=""userLoc""><strong>Beverly Hills, California</strong>",141,5.0
740253981,https://www.tripadvisor.com/Hotel_Review-g14129528-d301911-Reviews-Four_Seasons_Hotel_Tokyo_at_Marunouchi-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kant-or5.html?filterLang=en,Four Seasons Hotel Tokyo at Marunouchi,"January 20, 2020","Four Seasons Tokyo was excellent. Attentive, friendly and capable. The staff is amazing, my room was wonderful and the food was fantastic. The staff made every effort to cater to my requests for tours, restaurant reservations and transportation.",,mikeshaver,0,5.0
739081454,https://www.tripadvisor.com/Hotel_Review-g14129528-d301911-Reviews-Four_Seasons_Hotel_Tokyo_at_Marunouchi-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kant-or5.html?filterLang=en,Four Seasons Hotel Tokyo at Marunouchi,"January 14, 2020","Staffs are warm welcoming. Location is convenient Too noise to sleep at all the times, only one restaurant for the luxury hotel it will be difficult cover variety dish and favor.Only suggest for the short period quick business trip at that high room rateEspecially, concierge staff was poor with non-sense on the smart phone while 2-3 customers waiting in line.",,대영 임,2,4.0
736614639,https://www.tripadvisor.com/Hotel_Review-g14129528-d301911-Reviews-Four_Seasons_Hotel_Tokyo_at_Marunouchi-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kant-or5.html?filterLang=en,Four Seasons Hotel Tokyo at Marunouchi,"January 3, 2020","The hotel is an oasis. The gardens are beautiful, the rooms are incredibly comfortable, the staff were amazing. The level of service provided was second to none. We had an amazing time and we will definitely recommend this to all of our friends who will be visiting Kyoto.",,Coastal66433724146,0,5.0
