review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751258874,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"March 17, 2020","This was a great resort. It's my 2nd time coming to Hawai'i. I had a partial ocean view. Plus mountain view. I enjoyed it very much. I highly recommend staying here. Anyone would have a great time, with friends, family, and everyone.",,apyt2c,0,5.0
750804813,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"March 13, 2020","I am currently staying at the Grand Waikikian. DONT STAY AT THIS NIGHTMARE. They advertised the unit as having a partial ocean view IT HAS NO VIEW!. DAILY CONSTRUCTION UPSTAIRS sounding like a jack hammer. This property is a DISGRACE to the Hilton name. NO DAILY MAID SERVICE! Hookers all around outside the hotel.  I am a Hilton Diamond member and previous to this stay enjoyed a much nicer room that I received a free upgrade due to my status having daily maid service, daily food credit and OCEANFRONT panoramic views ALL at a price 1/3 the daily rate of the Hilton Grand Waikikian. I am heading back to the Hilton Hawaiian Village because of the DISAPPOINTMENT of this nightmare. The Hilton Grand Vacations was built to sucker people into buying their overpriced properties by the tourist who can least afford it. During the presentation the amount they wanted upfront worked out to about 2 Million per unit when divided over 52 weeks, the ripoff gets worse because in addition there is about a $2000 and yearly INCREASING fee per year to use the unit!... NO HOUSEKEEPING, CONSTRUCTION INTERRUPTING YOUR STAY and NOTHING WAS DONE TO ALLEVIATE THE ISSUE. Hilton Diamond member says avoid this nightmare and DONT get suckered into their ripoff timeshare. ","Aspen, Colorado","RonnieI_12</div><div class=""userLoc""><strong>Aspen, Colorado</strong>",34,1.0
749126677,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"March 4, 2020",Arrived after booking months in advance to a room facing construction and was moved after extensive conversation with a Manager on duty. New room away from beach in different tower. Constantly called about timeshare briefs (hell no) and told to pick up our coupon packets 5 days into stay. ,"Hilliard, Ohio","brianp868</div><div class=""userLoc""><strong>Hilliard, Ohio</strong>",7,3.0
748780236,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"March 2, 2020","We stayed for 1 night stopover enroute from Australia to the U.S. The resort has an assortment of dining options - the Tropics Bar is great for cocktails and beach-watching. The condo style rooms are well equipped for families, but be wary of ""partial ocean view"" marketing - that means you can't see the ocean from your room, but possibly get a peak of it from the balcony!","Mildura, Australia","Venture26952832341</div><div class=""userLoc""><strong>Mildura, Australia</strong>",3,4.0
746170579,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"February 19, 2020","I only give it a 4 star rating because this is not a Honolulu type of experience. This could be in any big city in the world. We had a 3 bedroom penthouse on the 38th floor. The view is lovely, the air conditioning is very efficient and the high rise feel of it is not my idea of a Hawaiian vacation. The pools are very crowded, the beach is fine, but not special. I would prefer to go to a different island or at least a different area for a more authentic beach holiday. I cannot complain about the service, cleanliness nor accommodations. But for me, this is not what I enjoy about Hawaii","Los Angeles, California","skier003</div><div class=""userLoc""><strong>Los Angeles, California</strong>",137,4.0
745982342,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"February 18, 2020","Rooms were excellent, very clean. Almost none of the hotel amenities were included with the very expensive room rates. Every activity required spending more, including beach chairs, umbrellas, etc. There was only one pool on the resort that we were able to swim in; the other two were freezing. Stores on-site (other than the ABC stores) are designer level stores. Restaurants were very expensive, to the point of price gouging. Overall we had a decent vacation, but it was hard for a young family to participate in a lot of activities due to the cost ",,846chelsief,1,4.0
745548641,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"February 16, 2020","My wife and I rented a two bedroom condo for a week with a view. The extra bedroom was a free upgrade. I had never stayed in condo before but I think it might be a nice life style change when we retire. This place has a beach, lagoon, and three swimming which we enjoyed. The restaurants and shops are nice but pricey as was the connivance store which was very handy. It's within walking distance to the malls, downtown and other places to eat thou we took a taxi.","San Francisco, California","mjjuan5</div><div class=""userLoc""><strong>San Francisco, California</strong>",20,5.0
745074850,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"February 14, 2020","The Hilton Hawaiian Village offers everything as well as being near shops, restaurants, Hawaiian Culture and History. You can get away to the North Shore, see Whales on the Eastpoint and visit one the most significant Sites in American History. ",,674lewisg,2,5.0
741641039,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"January 27, 2020","overall was really nice. In walking distance of Ala Moana. we could swim at any of the four pools. there was a lot of places to eat at and a large variety, too. We enjoyed the fireworks on Friday night.","Hilo, Hawaii","ryfe75</div><div class=""userLoc""><strong>Hilo, Hawaii</strong>",0,5.0
740826633,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"January 23, 2020","Room and resort were nice but everything at the resort was very expensive. Food, beach equipment, parking, drinks, and most shops were unnecessarily priced to the point of gouging. Staff was helpful and responsive. Some guests were rude and snobbish. ","Valley Springs, California","rmford2003</div><div class=""userLoc""><strong>Valley Springs, California</strong>",1,3.0
740816146,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"January 23, 2020","Have owned 4 annual weeks in the HGVC system since 1995 and this stay has by far been the worst. Stayed in a 1-bedroom which is advertised as suitable for 4 people - no way. It is so tiny as a couple we struggled to find floor space for our 2 standard sized suitcases. Resort caters to Japanese which is fine but more than once got stuck in lines where the guest didn't speak English and the staff member didn't speak Japanese?!?. When we checked in we were not told about the ""owners lounge"", only found out about it on day 5 of 7 when we asked a staff member what is the ""arrival/departure lounge"", turns out it is code for the ""owners lounge"". Too few pools that are overcrowded and under cared for, there is a designated ""adults only"" pool but it is at the far end of the resort and has ZERO amenities. Went to the Japanese steakhouse onsite where the food and drinks were below average, we asked for the HGVC advertised 15% discount and after some back and forth with the server got 10%?!? Bottom line is room is clean and a 10 minute walk to Waikiki beach, you can't do any worst and obviously can do better. Mahalo.","Palmetto, Florida","RFU55</div><div class=""userLoc""><strong>Palmetto, Florida</strong>",2,2.0
739582964,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"January 16, 2020","The Hilton treats their owners like sh** and they will tell you they do..I Purchased tickets to the pearl harbor didn't know that the tickets were free and they charged $90 for two people. I went to the Hilton concierge desk and they told me that there was nothing that they can do. I asked to be refunded and spoke to a manager named Nikki, who told me ""it is what it is"" and she will not refund me my money. She was very rude and argumentative, I asked to speak to her manager; she said there was no one above her to speak to. I also spoke to the front desk manager name Tim, he also told me that there was nothing he can do to help me and I was told that this is the way they treat their customers/owners. What is the point of being a owner and Paying all this money into an ownership when you are not getting good service or getting my money's Worth. This has been the worst experience I have had with the Hilton",,Cam262006,2,1.0
739088428,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"January 14, 2020","Our experience at the HGV-Grand Waikikian was rather poor. Our privacy was violated multiple times. On two separate occasions and days during our stay, a male employee from housekeeping attempted entry into our room without properly knocking and awaiting a response; instead he just attempted to enter. Both times I expressed my shock and made clear to him it was unacceptable to attempt entry into our room like that. He appeared unconcerned and dismissive.Of course, I informed management and I do not feel they adequately responded to this disrespect and violation of m my family’s privacy. We were very disappointed by the entire experience. I suggest considering a different property.","Suwanee, GA","TANFlys</div><div class=""userLoc""><strong>Suwanee, GA</strong>",2,1.0
738288940,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"January 10, 2020",Stayed here over New Years holiday. The inside part of 2 bedroom Unit was nice but the balcony was a disaster with a major bird problem as they slept on it at night. Covered in bird poop every morning to the point you could not use it. I complained but nothing was done. The pools are very over crowded and the restaurant scene throughout all of HHV is mediocre and overpriced. If staying in Waikiki area I would suggest staying closer to heart of Waikiki. ,"Washington DC, District of Columbia","MThorp1834</div><div class=""userLoc""><strong>Washington DC, District of Columbia</strong>",2,2.0
738277510,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"January 10, 2020","My husband and I are in Hawaii for two weeks. We went to our update as we haven’t been to one in a few years. Our salesperson didn’t update, but instead inundated us with rapid fire information covering every topic from her flying first class, driving a Mercedes, being a chef, living around the world. This included photo albums of her airline boarding tickets, her car keys to prove she drives a Mercedes and photos of her family, including her virgin daughter in law (yes, she told us this) When she did talk about the timeshare, it was hyperactive, high pressure and overwhelming, not to mention very confusing. She was degrading and insulting because we wouldn’t buy more points. I told her I was overwhelmed and her reply was that I hurt her feelings. She told me not to tell her boss in the follow up how I felt. I have a brain tumor, I do get overwhelmed easily. I left the room in tears. My husband was also overwhelmed. This is a horrible way to treat people who PAID A LOT OF MONEY already and a terrible waste of our time. After my husband and I had time to talk we decided this woman’s manager needed to know this information.We came back the next day to talk to her manager, whom we met the day before. He was sitting in the lobby, 10 feet away from us. We were told they’d call him. After a few minutes we were told he wasn’t in. I pointed out he was just sitting in the lobby and the guy at the front desk said “WE ALL LOOK ALIKE”. Are you kidding? We left, they knew we weren’t happy. As we walked out the manager came running after us....yes he was there (shocking). These people are LIARS. Just be honest and say he’s busy. Nothing I can’t stand more is liars (or people who make excuses for behavior).We are here now, we asked for an ocean view, but nothing is available, so we are a city view. Not really impressed with the place, it’s ok. The air conditioning in our room works inefficiently. No one has followed up with us if things are ok or if we need anything. Bottom line, don’t go to the meetings. Waste of time and they are liars.","Clifton Park, New York","ldeno33064</div><div class=""userLoc""><strong>Clifton Park, New York</strong>",2,3.0
736414817,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or15.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"January 2, 2020","1. Check in for the penthouse was 45 minutes long! Unacceptable. Regardless of the time of year.2. Elevator wait to check in on 35th floor: 32 minutes!3. Check-in hostesses for the penthouse did not speak fluent English and it took another 15 minutes for them to check us in because of this. My husband's name is listed after mine, & they had the audacity to tell him he wasn't on the ownership list, and when they did see it they told him he was listed second! how dare they say that? It should not matter whether I'm listed first or he's listed first. We are a couple with different last names, and alphabetically mine is first. So very rude! We were very offended as was our VIP guest, who is the CEO of many companies.4. The amenities in the penthouses should be of higher quality, not the cheap lotions and shampoos that you can get in any other room or at any other hotel! The penthouse experience should be top-notch and VIP from check-in to amenities all the way to check out. it felt very cheap and there was no distinguishing between penthouse and regular hotel room, other than size. Definitely NOT experience.5. Owners and those that rent The penthouse, especially owners who rent The penthouse, should not have to pay the $50 parking fee. If anything, it should be at a discount. We are already paying for VIP.... Why not extend that to the parking and have us pay less?6. 35th floor lounge breakfast: Mei Ling was the only person who treated us, and every other customer there, as special and VIP! She was the most gracious, friendly, warm person from the entire hotel!7. One night we had to pick up our car at 11:30 p.m. and it took us 30 minutes to find someone to find our car keys from the valet and get our car. we called the valet desk no less than eight times and no one answered! We finally had to have the front desk call. They said we might have caught the valets in a shift change. That should not matter, somebody should be manning that desk. This was definitely the worst, most insulting experience we've had as owners, and as penthouse renters. We rented the penthouse for two days for our CEO friend who is very VIP, and we stayed in at the third night. He was insulted and offended by the lack of service of Hilton and the Grand Waikikian, and he will never purchase nor stay at a Hilton property here in Hawaii again! That is how poorly Hilton reflected upon our friend. It was so embarrassing for us.","Kaneohe, Hawaii","Carmela A</div><div class=""userLoc""><strong>Kaneohe, Hawaii</strong>",5,1.0
736327499,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or15.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"January 2, 2020","I have been coming to this hotel for 11 years straight and still do not feel any more welcome than the first time. Hilton Diamond members, please stay away from this hotel you do not have any perks, might as well not have any membership because that is the way you are treated.",,Exploration302654,2,3.0
734828077,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or15.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"December 26, 2019","Good trip, food choices are limited, mostly Asian food. The suites were very nice, but there are limited two bed room suites with double beds in the second room, so do not plan first tjid room type. Our 2 bedroom suite had 2 king beds, which was not suitable for our family. ",,Robertsontrip,0,4.0
734352905,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or15.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"December 23, 2019","Haven’t been to GW for about 3.5 years and was impressed with nice updates to rooms, retouched decor. Location as always wonderful... short walk to the hustle of the Waikiki strip yet a calmer oasis from beach walk area with access to the Duke lagoon and awesome pools. ","Vancouver, Canada","988shawng</div><div class=""userLoc""><strong>Vancouver, Canada</strong>",0,5.0
733992345,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or15.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"December 21, 2019","Right next to Waikiki beach. Easy access to all transportation. 10 min walking distance to Ala Moana mall, 15 min to Food Farm (large grocery store). 20 min walking distance to the other side of Waikiki beach (Moana Surfrider hotel). Staff are friendly and very helpful. Close to many good restaurants (i.e. Red Lobster). Resort restaurants are very good but a little more expensive.","Richmond, Canada","EmmelineBC</div><div class=""userLoc""><strong>Richmond, Canada</strong>",1,5.0
733638932,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or20.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"December 19, 2019","This property is in a great location. However since the mid 2000 teens so much construction has taken place that it has become a ""Disneyland"" with respect to crowds. Also parking for resort guests is a minimum $50/day, more for valet. Elevator access to rooms is extremely frustrating.","Pebble Beach, California","jessthed0g</div><div class=""userLoc""><strong>Pebble Beach, California</strong>",1,3.0
731203352,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or20.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"December 7, 2019",Had a blast. Great drinks. Great for families or couples. I like the location because it’s not in the middle of all the Waikiki craziness. We rode bikes to where most of the beach action was (close to the Waikiki police station/beach area) and it took about 7 minutes.,"Gig Harbor, Washington","Alimack72</div><div class=""userLoc""><strong>Gig Harbor, Washington</strong>",0,5.0
730484131,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or20.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"December 3, 2019","We stayed for a little over a week for a family trip for Thanksgiving. The staff was very friendly, the village was massive and the views from our room were beautiful. Sadly, upon our last day and while packing up we discovered bed bugs! We were beyond disgusted as this is not a low rent motel on the side of the freeway. It’s a resort! When we reported the bugs we got a simple “oh I’m sorry.” We had to ask for a manager and then were told that their housekeeping manager had inspected the room and found it to be free of bugs. So we we were at an impasse. We said yes, they said no. We asked to file a report, and did so with security - odd, but ok. They gave us vouchers for our taxis to the airport and I am now trying to figure out how to keep our home free of bed bugs. Will be doing laundry immediately and putting suitcases into some kind of bug fogger. ",,almondgal,9,2.0
730313686,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or20.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"December 2, 2019","The Hilton Grand Waikikian is a time share but they rent certain of the units out to non-members in their travel club. We spent the second week of our Waikiki vacation in the Grand Wakikian, which was better than the much more expensive Rainbow Tower. The furnishings in our unit were much nicer and in better repair. There was a full kitchen (with incredibly dull knives, but you can't have everything). The daily maid service was prompt and thorough. There is a small built-in clothes washer and dryer. The toilet is equipped with a Star Trek incredible seat which is heated, works like a bidet, dries one's nether portions with warm air, and levitates to the moon, I think. The view is terrible when compared to our view of Diamond Head from the Rainbow Tower but the price was half of what we paid there, so it makes sense. The most annoying part was the constant drumming we received to attend a sales pitch for Hilton's Vacation Club (which is a fancy name for a time share programme).","Mukilteo, Washington","Stephen M</div><div class=""userLoc""><strong>Mukilteo, Washington</strong>",77,4.0
730086483,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or20.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"December 1, 2019","We are hilton grand vacation owners, we reservered a 1 bedroom plus at the grand waikikian. The rooms are decent, but the location is away from pools and beach. The lagoon tower is much better location. The elevator is very slow, some days, will have to wait more than 15 minutes. The kitchen appliances need replaced, particularly the dishwasher. The is completely pack and none of the water slides were open during the thanksgiving week, until the last day (our checkout day).","Fremont, California","jenn1234356</div><div class=""userLoc""><strong>Fremont, California</strong>",0,3.0
730033483,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or25.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"December 1, 2019",As a HGVC Elite Premier member this stay was very disappointing. No recognition of your status- just want you to buy more. Rooms were dated and poorly cleaned. Departure process was a mess. No late checkout offered but only 2 or 6 shower stalls working in the departure lounge which alternated every hour for men vs women.Pools were overcrowded and service was short staffed- best thing about the place was location!,"Suwanee, Georgia","singhatlanta</div><div class=""userLoc""><strong>Suwanee, Georgia</strong>",3,2.0
729289150,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or25.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"November 27, 2019",Please note this is gorgeous hotel with beautiful grounds but charges for every single little thing. Parking is $49 a night for self park and $58 for valet so don’t bring a car if you don’t have to. Also please note that check in is at 4pm but checkout is 10am. They do offer a checkout lounge but no showers. The rooms are old and dated and definitely need some sprucing. We went with our two kids who are 7 and 9 and the truly enjoyed the lagoon and pools. However the hotels charge for every little thing even though there is already a daily resort fee. Just be aware that you will be nickled and dimed here.,,Christa H,7,2.0
729262790,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or25.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"November 27, 2019","I recently traveled to Waikiki on business and was fortunate to bring my family along for the week. Our choice of stay was the Hilton Grand Waikikian at the Hilton Hawaiian Village Complex. The room had a full kitched, washer & dryer, hardwood floors, and beautiful views of the city. My wife and I slept on literally the most comfortable couch bed I've ever slept on in a hotel. Our kids shared the 2 double beds in the room and had plenty of space. The Hilton complex is astonishingly beautiful and full of family-fun and adult amenities! We had access to several Hilton property pools, extra beach towels, and the famous lagoon. Additionally, the restaurants were amazing! My wife and I enjoyed MaiTai's and dinner at Tropics Bar and Grill - right on the beach. Our kids favorite eateries on site were Bluewater Grill and Round Table Pizza. We all enjoyed Lapperts Ice Cream! The Hilton complex - of which the Grand Waikikian is part of - is within a short walk to every other major attraction on Waikiki. We walked all the way to Duke's along the beach one day and returned through the main drag and Fort DeRussy path. ","Scottsdale, Arizona","foxtfox</div><div class=""userLoc""><strong>Scottsdale, Arizona</strong>",0,5.0
728621297,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or25.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"November 24, 2019","Beautiful resort a must see. Great staff, clean rooms, very spacious, unlimited amenities and walking distance from great shopping, restaurants and tourist attractions. On the bus route for the hop on and hop off.",,GlobeTrotting822819,0,5.0
726493139,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or25.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"November 14, 2019","The weather was in the 80’s, crystal blue ocean, sunset cruise, all the amenities to make you feel special and want to come back again. Thank you for heartfelt memories that will last a lifetime. Will be planning to come back ❣️","Franklin Lakes, New Jersey","karencono</div><div class=""userLoc""><strong>Franklin Lakes, New Jersey</strong>",0,5.0
725836960,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or30.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"November 11, 2019","This was a great resort in amazing location, Hilton Hawaiian Village! Plenty of shops, restaurants, swimming pools, and amenities! This is the main location for Friday evening Fireworks on the beach, which were so beautiful! Loved the comfortable bed! ",,Rosanne G,0,5.0
725046927,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or30.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"November 8, 2019","I arrived at this property at 9:00 AM. I wasn't given a room until after 4:00 PM. The management was not friendly or cooperative with my situation. I booked the hotel through Hilton website. Apparently it's a time-share. I was asked to attend a 2 hour presentation of which I refused. I believe based on the fact that I showed no interest in the time share I was checked in late. I watched others arriving after me check in before 2:00 PM. The manager there John Reagan was not willing to oblige me in any way. Since I was there for one night, I wasn't informed about the $40.00 resort fee. Obviously with a one night stay I couldn't use the resort fee.","Los Angeles, California","turbotooter</div><div class=""userLoc""><strong>Los Angeles, California</strong>",4,1.0
724776965,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or30.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"November 7, 2019","We love this hotel and the Hilton Hawaiian property. You really can submerge yourself in the property and have everything you need for an awesome stay. We of course ventured out, but it was so relaxing to come back and have everything needed from food to fun all around. The staff and property are amazing!! #myhgvc","Oahu, Hawaii","Douglas L</div><div class=""userLoc""><strong>Oahu, Hawaii</strong>",2,5.0
724151585,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or30.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"November 5, 2019","Great time at HGV Grand Waikikian, as usual they went above and beyond to help us. The room was very spacious, clean and allowed us to relax in our getaway with our friends. We had a great time and the Hilton staff across the entire property was so accommodating.","Waikiki, Hawaii","Roger P</div><div class=""userLoc""><strong>Waikiki, Hawaii</strong>",1,5.0
723575524,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or30.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"November 3, 2019","Our room was a delight! The view was better than I ever expected. All the staff were friendly and helpful! The rooms were clean, what we couldn’t find the staff promptly provided. The bidet was quite the surprise, not something we were used to but we’re getting acquainted with. We would stay here again in a heartbeat! Thanks to all!","Cortland, New York","kbbuttino</div><div class=""userLoc""><strong>Cortland, New York</strong>",12,5.0
721277664,https://www.tripadvisor.com/Hotel_Review-g60982-d1199673-Reviews-Grand_Waikikian_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or35.html?filterLang=en,Grand Waikikian by Hilton Grand Vacations,"October 25, 2019","This resort is typical of the quality of Hilton Resorts. The accommodations are top shelf and all of the services were exceptional. There is something for everyone, both couples and families, with activities set up to entertainment all. There were even fireworks on Friday night! I would highly recommend this resort.",,SalM148,0,5.0
