review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
750198689,https://www.tripadvisor.com/Hotel_Review-g14129743-d10223698-Reviews-HOTEL_MYSTAYS_PREMIER_Akasaka-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,HOTEL MYSTAYS PREMIER Akasaka,"March 9, 2020","We loved Mystays and had five great nights there. The hotel, located in Akasaka, is surrounded by great restaurants and bars. It is a Japanese area so it was lovely to be away from the masses of foreign tourist (like in Shibuya etc).Our room was great, one of the bigger ones we stayed in during our time in Japan and the hotel itself was well appointed, clean and modern. The staff are friendly and helpful. We didn't get breakfast at this hotel as there are so many great options near by and we could then eat later if we wanted to.The only thing missing in this hotel is an Onsen! Every other hotel we stayed at had one so I was disappointed when I realised that there wasn't one there. That being said, there was a lovely (if slightly small) bath in our room that I made good use of after a day pounding the pavement.This is a great hotel in an excellent area, I highly recommend!","Perth, Australia","KTrev123</div><div class=""userLoc""><strong>Perth, Australia</strong>",7,5.0
745120818,https://www.tripadvisor.com/Hotel_Review-g14129743-d10223698-Reviews-HOTEL_MYSTAYS_PREMIER_Akasaka-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,HOTEL MYSTAYS PREMIER Akasaka,"February 14, 2020",This hotel apparently meant for business traveler but we chose this hotel because of it considerably reasonable price for a hotel room in the middle of Tokyo. It was also 10 min taxi drive from Tokyo Station and it was very convenience if you are travelling with a family of five and a number of large suitcases. The room was expectedly small but have all the amenities you need. The bath was a bit spacious for Tokyo hotel standards. We have to booked two rooms to accommodate our family. The hotel also provide free laundry which was very useful if you travelling for a few weeks.The breakfast was also very impressive and have all we expected for Japanese hotel breakfast. The breakfast is not included in the room rate but with the variety of food offered and with the modern restaurant atmosphere we didn’t mind paying a little bit extra.Unexpected what my kids enjoy the most during our stay here is the 7Eleven shop located at the hotel ground floor. They spend every night at the 7Eleven looking for snacks & other Japanese foods ,"Subang Jaya, Malaysia","aneps2003</div><div class=""userLoc""><strong>Subang Jaya, Malaysia</strong>",21,4.0
741722760,https://www.tripadvisor.com/Hotel_Review-g14129743-d10223698-Reviews-HOTEL_MYSTAYS_PREMIER_Akasaka-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,HOTEL MYSTAYS PREMIER Akasaka,"January 28, 2020",We stayed here for 7 nights and we really enjoyed it.Breakfast buffet is very good but it is always the same everyday. They do have a modern rooms with very nice bathroom. Walking distance from the train stations. 7/11 is just below the hotel. Will definitely be going back here!,,V2597PBjanr,0,5.0
739739991,https://www.tripadvisor.com/Hotel_Review-g14129743-d10223698-Reviews-HOTEL_MYSTAYS_PREMIER_Akasaka-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,HOTEL MYSTAYS PREMIER Akasaka,"January 17, 2020",I stay with my two kids and my husband and i get big room with two queen bed.breakfast good various food.Clean.there is bathtub.will stay in there again if i go to japan.recomend hotel.thank you......,"Jakarta, Jakarta Raya, Indonesia","Indah78</div><div class=""userLoc""><strong>Jakarta, Jakarta Raya, Indonesia</strong>",11,4.0
737203833,https://www.tripadvisor.com/Hotel_Review-g14129743-d10223698-Reviews-HOTEL_MYSTAYS_PREMIER_Akasaka-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,HOTEL MYSTAYS PREMIER Akasaka,"January 5, 2020","Stayed here in December 2019. Rooms small but very comfortable and super clean. Comfortable enough for 2 of us and 2 big suitcases. Hotel is in a perfect spot near Akasaka Station and 5 minute walk to shops, bars and restaurants. Will be back for sure.","Melbourne, Australia","micheller129</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",25,5.0
732941612,https://www.tripadvisor.com/Hotel_Review-g14129743-d10223698-Reviews-HOTEL_MYSTAYS_PREMIER_Akasaka-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,HOTEL MYSTAYS PREMIER Akasaka,"December 15, 2019",Their check-in time is 3PM. I had an overnight flight and landed at Narita at 8am. Got to the hotel at around 11:30PM. They won't check any-one in until 3PM.Most other hotels are accomodating and offer rooms as they become available. Not this one.,"San Francisco, California","Sachin_Prasad</div><div class=""userLoc""><strong>San Francisco, California</strong>",4,3.0
731606610,https://www.tripadvisor.com/Hotel_Review-g14129743-d10223698-Reviews-HOTEL_MYSTAYS_PREMIER_Akasaka-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,HOTEL MYSTAYS PREMIER Akasaka,"December 9, 2019",It's only 5 minutes' away from a Metro station (Akasaka). It's spacious and clean. There's a convenience store downstairs. It's near many little bars and restaurants for easy nights out. The staff speak English and are very helpful.,"Dubai, United Arab Emirates","tripboard</div><div class=""userLoc""><strong>Dubai, United Arab Emirates</strong>",18,4.0
728619154,https://www.tripadvisor.com/Hotel_Review-g14129743-d10223698-Reviews-HOTEL_MYSTAYS_PREMIER_Akasaka-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,HOTEL MYSTAYS PREMIER Akasaka,"November 24, 2019",Hotel was good value for the price. Small room but very functional and spotless clean. It has everything I needed. I liked the USB and power outlets on both sides of the headboard. Bathroom supplies were great and very good quality. Compared to an expensive 5 star hotel it had everything but the space. Convenience store is in the basement floor and you can go directly via an elevator. Few metro stations are all in very close walking distance. Staff was also very courteous and helpful. ,"Washington DC, District of Columbia","928ozzied</div><div class=""userLoc""><strong>Washington DC, District of Columbia</strong>",9,5.0
727795455,https://www.tripadvisor.com/Hotel_Review-g14129743-d10223698-Reviews-HOTEL_MYSTAYS_PREMIER_Akasaka-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,HOTEL MYSTAYS PREMIER Akasaka,"November 20, 2019","Location: A few minutes walk from the nearest metro station. Cleanliness: AAA class, like most of Japan.Room: It was a bit small, but that's the standard in Japan.Bed: comfy, and relatively big.WIFI: It was average. Bonus points: A 7/11 in the basement floor. Microwave and a vending machine on a few floors. Free washing machine, but I didn't use it.The bad:Breakfast was so so. WIFI could be better.","Tel Aviv, Israel","Shai P</div><div class=""userLoc""><strong>Tel Aviv, Israel</strong>",21,5.0
722764871,https://www.tripadvisor.com/Hotel_Review-g14129743-d10223698-Reviews-HOTEL_MYSTAYS_PREMIER_Akasaka-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,HOTEL MYSTAYS PREMIER Akasaka,"October 31, 2019","Stayed here for five nights in October. Small rooms similar to the rest of the hotels in Tokyo, but it was comfortable. The location in Akasaka was good, close to the nearest metro station and only a 20 minute journey to Shibuya, Shibuya, Ginza etc. Didn't take the breakfast option as it was a little pricey. Stayed on the sixth floor, the bathroom was satisfactory with a shower bath plus just enough room to move around. Japanese style toilet was also a highlight.",,Brayden C,19,4.0
