review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
750178009,https://www.tripadvisor.com/Hotel_Review-g60982-d114026-Reviews-Halepuna_Waikiki_by_Halekulani-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Halepuna Waikiki by Halekulani,"March 9, 2020",Everything about this Hotel is top class. Cleanliness and Service is second to none.Loved being so close to a less crowded beach and also walking distance to main shopping precinct. The staff went out of their way to accomodate us especially with early check in as we had a long flight. Everyone so friendly and look out for Keaton and Karine on breakfast duty.,,N9327TTconnies,0,5.0
750151960,https://www.tripadvisor.com/Hotel_Review-g60982-d114026-Reviews-Halepuna_Waikiki_by_Halekulani-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Halepuna Waikiki by Halekulani,"March 9, 2020","we stayed 6 nights at the Halepuna. What a treat this was .sandwiched between the Halekalani and Sheraton ,it provided us with a quite hotel, and easy access to the beach .Hotel beds are so comfortable and bathrooms well laid out with sensational heated self flushing toilets .Open areas on the 8 th floors were great ,with the both areas giving nice partial views of the beach .Staff there were top notch. Breakfast was OK , geared more towards the Japanese tourists , however we still got bacon eggs and pancakes.no cereals, jam etc.Having said that , the pastries at this hotel are unbelievably fantastic . BEST danishes ever( including what i had in France ).Worth a visit to their bakery outlet attached to the hotel . ",,393christobelc,0,5.0
749886430,https://www.tripadvisor.com/Hotel_Review-g60982-d114026-Reviews-Halepuna_Waikiki_by_Halekulani-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Halepuna Waikiki by Halekulani,"March 8, 2020","This hotel is hands down one of the best if not best I have EVER stayed in! Let me start by saying that I am normally paralyzed with options and I usually give myself a headache from too many reviews. If you are anything like me, I’ll make your life really easy- just book this hotel! You will not regret it. LOCATION: It is located right behind Sheraton and the sister hotel Halekulani. There is an easy beach access right across the street. There are a ton of restaurants and food options within walking distance. Trolley station is also across the street, a less than 5 minute walk. We only needed a car rental for two out of our 5 day stay and rented from hertz on Lewers street around the block. Highly recommend going to north shore and Haleiwa town to get a feel for real Hawaii, as Waikiki can be very touristy. I also think that the side of Waikiki that Halepuna is on is far superior than the opposite side; it was cleaner, restaurants were better, etc. i only say that because were initially booked at the Hyatt, and after passing it by I’m SO HAPPY we switched . We had a city view room which faced the pool and the Sheraton, and also gave us a glimpse of the ocean. Idk why people get so bent outta shape i read reviews about the construction in the street but let’s be honest if you are gonna stay in a busy area like Waikiki don’t expect to hear crickets at night. If that’s the experience you want you should book a little shack in the north shore.FOOD: our family, especially my husband, loves breakfast. This buffet, which was included in our hotel package did not disappoint! Omelet station, pancake and waffle ( and mochi waffles) and a full spread of options were impeccable! Fresh pastries, fruit , and rice a miso soup were just a few of the options. There were Japanese and European influences, and you can tell the food is very high quality. If you happen to order from the pool menu the burger with the taro bun is huge and really tasty.STAFF/AMENITIES: okay . TOTO toilets are the standard in this hotel. And if you haven’t had the glorious experience of sitting in this luxurious throne, you aren’t living your best life. The rooms have high quality bedding. We had a city view room but our lanai which was really tiny still gave us a view of the ocean! The ocean view rooms are definitely beautiful too. The hotel provides an insulated beach bag, with towels and water for your daily excursions. The room has a small fridge, electric water kettle and keurig coffee maker. There is even a self laundry area , so bring travel sized detergent if you plan to use it. The pool is awesome it is warmed to 85 degrees and the infinity pool is so gorgeous, providing a beautiful view of Waikiki beach. It’s not your typical resort pool- it was not crowded...and like the entire hotel, it is immaculate. They even provided sunscreen! The staff on the premises were so attentive and friendly. Keaton and Karine went above and beyond and made us feel like family . There is even a managers welcome reception on fridays where they serve complimentary tapas and drinks! This hotel experience has truly changed the way we travel. We wouldn’t hesitate to come back again!!",,j-chenrn,1,5.0
748731313,https://www.tripadvisor.com/Hotel_Review-g60982-d114026-Reviews-Halepuna_Waikiki_by_Halekulani-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Halepuna Waikiki by Halekulani,"March 2, 2020",Stayed two nights at this property. Lobby and staff are the hilites. My first room had items left behind by the previous guest. Moved to another room and same issue. Then while resting three young girls entered my room having been assigned the same room (key and everything). Potential safety issue. The rooms are very similar to a Hilton garden inn and the pool area the same. The staff in the restaurant and bakery are so accommodating and friendly. ,"Portland, Oregon","BH927</div><div class=""userLoc""><strong>Portland, Oregon</strong>",1,2.0
747831483,https://www.tripadvisor.com/Hotel_Review-g60982-d114026-Reviews-Halepuna_Waikiki_by_Halekulani-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Halepuna Waikiki by Halekulani,"February 26, 2020","I enjoyed my stay at this hotel. It’s located a few feet from the ocean and right next to Sheraton and the sister property Halekulani. The check in process didn’t start off right but the manager stepped in and we were upgraded to a Mountain View. The rooms are modern, they recently renovated the property. The view was awesome. The room was clean, bed very comfortable. Complimentary bottled water and Keurig in room. Fridge in the room was a plus. Housekeeping checked on us every night to replenish water, empty trash or pick up dirty linen. The shower and the Toto toilet were fabulous.( I might just get me one of those toilets)The breakfast buffet was delicious, many choices to choose from and the staff were very friendly and attentive. Food was seasoned well and the omelettes were so good!!!!We had a late night flight and they extended our check out time and also gave us access to the room on the 8th floor to freshen up and relax. WOW!!!!Overall I enjoyed my stay and highly recommend it. The manager was very friendly and attentive to our needs.Location is a plus. Will definitely be back!","Los Angeles, California","722Lola88</div><div class=""userLoc""><strong>Los Angeles, California</strong>",12,5.0
747454913,https://www.tripadvisor.com/Hotel_Review-g60982-d114026-Reviews-Halepuna_Waikiki_by_Halekulani-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Halepuna Waikiki by Halekulani,"February 24, 2020","So glad I stumbled onto this gem via AmEx. The bad: its affiliation with Halekulani is a little misleading; its across the street but i dont think you have access to anything at the main resort. And there are two entrances, each located in the underbelly of the Sheraton hotel and garage. I couldnt believe how trashy those streets are despite being so close to the ocean.But once youre inside, wow. Just a wonderful property. I was ""upgraded"" to a ""mountain view"" room which was nonsense- every room either faces the city/mountains, or the beach, so its hard to understand what I was upgraded from? But man the room was BEAUTIFUL with brand new electronic blinds, lighting, terraces, bedding, etc. The pool is small and not great for swimming (shallow) but beautiful infinity effect towards the ocean. Loved (pricey) breakfast downstairs too. There are surf lessons and restaurants nearby. Solid location in between all the bigger resorts.This is not a resort- its a block back from the beach and isnt built to accommodate hanging out on site for days. But as a base to explore Honolulu its perfect: quick access to the beach and one block away from the main drag. Absolutely thrilled I got to spend a few days here.","New York City, New York","nb424</div><div class=""userLoc""><strong>New York City, New York</strong>",63,5.0
747443621,https://www.tripadvisor.com/Hotel_Review-g60982-d114026-Reviews-Halepuna_Waikiki_by_Halekulani-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Halepuna Waikiki by Halekulani,"February 24, 2020","although this place is hidden and not on the main road, it was quiet clean and pleasant most of the staff were very helpful, a few were sort of new and may need more experience to gain more confidencehousehold/cleaning staff were very prompt and attentivebest of all? those toto toilets!!! I will not go into detail but they were fabulousbreakfast was good but average","Hobart, Australia","miguelito m</div><div class=""userLoc""><strong>Hobart, Australia</strong>",16,5.0
747031393,https://www.tripadvisor.com/Hotel_Review-g60982-d114026-Reviews-Halepuna_Waikiki_by_Halekulani-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Halepuna Waikiki by Halekulani,"February 23, 2020","Very nice, clean hotel. Views of Waikiki water. Very central to all shopping, food, etc. Good breakfast, good bakery and casual dining, though limited menu and pricey but food was very good. Would recommend.","Medowie, Australia","Gcrgolf</div><div class=""userLoc""><strong>Medowie, Australia</strong>",7,5.0
746137255,https://www.tripadvisor.com/Hotel_Review-g60982-d114026-Reviews-Halepuna_Waikiki_by_Halekulani-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Halepuna Waikiki by Halekulani,"February 19, 2020","My daughter and I just returned having spent 10 nights at this wonderful hotel.From the moment you enter the lobby you feel calm. The decor and ambiance is exceptional. The service at check-in was quick and seamless and after almost 18 hours of travelling, very helpful. Although we did not have a direct ocean view room, from our balcony, you could see the ocean.The hotel is new and very modern in its amenities.The infinity pool is sublime and the highlight of my daughter's time there. The greatest praise however goes out to the staff. All the staff we interacted with throughout our vacation were friendly, smiling and willing to help you with anything you needed, especially the breakfast team. I'm sorry I didn't get a chance to write down all the names, but Karene, Keaton, Peter etc. worked hard to make sure we were happy every morning. ","Toronto, Canada","RachaelDiane</div><div class=""userLoc""><strong>Toronto, Canada</strong>",5,5.0
745826046,https://www.tripadvisor.com/Hotel_Review-g60982-d114026-Reviews-Halepuna_Waikiki_by_Halekulani-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Halepuna Waikiki by Halekulani,"February 17, 2020","We booked last minute and did not know what to expect since very few choices were available. We were wowed and will keep coming back to this hotel. It is relatively new - 3 months old. Loved the garden and infinity pool on 8th floor. Service was so good everywhere. Maki at infinity pool is amazing - running to get everything setup. Room was beautiful with little touches that make stay comfortable. Enjoyed daily activities - yoga and stretches. They have a beach bag ready with towels and water. They hosted a Valentine special wine and fruit reception in the garden and it was gorgeous. Julie the General Manager made a point to speak with most guests and welcome them.Again, I would come back again and again.","Schaumburg, Illinois","CharuJ755</div><div class=""userLoc""><strong>Schaumburg, Illinois</strong>",42,5.0
