review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751733107,https://www.tripadvisor.com/Hotel_Review-g1066444-d15668612-Reviews-Hamacho_Hotel_Tokyo-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hamacho Hotel Tokyo,"March 24, 2020","We booked in for two nights, but had to return one day early to Melbourne because of the corona virus. We paid $800-plus for the two nights.We did not ask for any refund, which we were given, without asking, when we had stayed at the budget hotel Ibis Styles Kyoto Station for eight nights, reduced to two beause of our holiday shortened by the virus.Our corner room at Hamacho Hotel was large and well fitted out, although the king bed was rock-hard. We loved the ultra-new bidet, with the toilet seat automatically lifting when you entered the bathroom. Excellent walk-in shower adjacent to the bath.It was a Friday night and we chose to eat in the hotel restaurant. It's named Sessions -- should be renamed Short Sessions. The restaurant was dark and our table was 'lit' by one artiifical candle. Our obliging waiter shone his iphone light on the menu. We had arrived at 8.15 and the waiter informed us that the kitchen closed at 8.30. We hurriedly ordered the fish special -- snapper with scallops. It was smothered in a sauce that defies description. Totally inedible. The worst fish meal we have ever endured -- and we eat fish at least twice a week. We think the waiter took pity on us: the two sakis we each had were not added to the bill.The staff were friendly enough, but one of them said we could push our heavy luggage to the 'nearby' airport bus station. Luckily we ignored his advice.",Melbourne,"MelbourneHalls</div><div class=""userLoc""><strong>Melbourne</strong>",33,3.0
750782987,https://www.tripadvisor.com/Hotel_Review-g1066444-d15668612-Reviews-Hamacho_Hotel_Tokyo-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hamacho Hotel Tokyo,"March 13, 2020","The only negative I could possibly ascribe to this hotel is that the room is a bit small. The location is also not optimal - it's about a fifteen minute walk to the nearest metro station, which is itself rather far from many tourist attractions in Tokyo. That said, the Airport Bus stops only five minutes away from this hotel, which is a huge plus. That said, everything else in this hotel more than makes up for that. The wifi in the hotel works great, and while the room is small, it is extremely cosy and comfortable to live in. The breakfast and the restaurant at this hotel are also very good. Overall, given how affordable this hotel is compared to other hotels in Tokyo, I have absolutely no reservations in giving this hotel five stars, and heartily recommending it to any traveler, in spite of the two minor points above.","Boston, Massachusetts","Horace_Puffer</div><div class=""userLoc""><strong>Boston, Massachusetts</strong>",47,5.0
734391687,https://www.tripadvisor.com/Hotel_Review-g1066444-d15668612-Reviews-Hamacho_Hotel_Tokyo-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hamacho Hotel Tokyo,"December 23, 2019","Hotel Hamacho is close to 3 metro stations and TCat. From Narita you can take the Limo bus to TCat and walk 5 minutes to the hotel, even with big luggage it is easily manageable. As you get off the bus facing the building, turn left and walk down the street over the track for 300m, then you will get to the main street, cross it and walk another 200m and the hotel is right there.Hamacho station is the closest of three stations nearby, it has the Shinjuku line (green color) that u can take directly to Shinjuku station. You can also connect and go to Tokyo station from Hamacho station.The other two stations are further maybe 15 minutes walk and it goes directly to Asakusa and Shibuya. U can use the Line to connect with Ginza line.Now about the hotel, we booked two regular rooms, and they are small. It is the same size as a inside cabin for a cruise ship. The bathroom is also small, you can’t fit two people inside. However their toiletries provided were excellent and the shower pressure were one of the best we experienced. If you want a bigger room, when booking look for a different category. I think it called corner room.Staffs are super friendly. Laundry facility, $300 yen for a wash and $100 yen for dryer located in the 4th floor.If you are sensitive to noise ask for a room not facing the street. Both of room face the main road and we can hear train noise and siren once in a while since the police station is nearby. It didn’t bother us since we were so tire each day out sightseeing. The breakfast varieties doesn’t changed much. They offered Japanese and Western style, but after 3 days you don’t want to eat it anymore. There is a bakery next door, grocery store and lot of places to eat nearby.Internet is strong and good.",Newport Beach,"tibet71</div><div class=""userLoc""><strong>Newport Beach</strong>",68,4.0
732907903,https://www.tripadvisor.com/Hotel_Review-g1066444-d15668612-Reviews-Hamacho_Hotel_Tokyo-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hamacho Hotel Tokyo,"December 15, 2019","Booked this hotel for my wife and I, we stayed for 7 nights. The hotel is beautiful, lovely room, excellent staff, both at reception/breakfast/room cleaning. Fabulous toilets and would stay here again A******","Leicester, United Kingdom","carlosgB2872ET</div><div class=""userLoc""><strong>Leicester, United Kingdom</strong>",3,5.0
730572469,https://www.tripadvisor.com/Hotel_Review-g1066444-d15668612-Reviews-Hamacho_Hotel_Tokyo-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hamacho Hotel Tokyo,"December 4, 2019","Getting to the hotel from the airport bus stop was a breeze. From the main entrance where the bus stops don't enter the building. Just turn right (if facing the bus) and walk a few hundred metres. The hotel is on the left, opposite side of the road. No need to take a cab. The room is clean and comfortable with all the basic amenities you need. Staff is friendly and helpful.The three metro systems are within walking distance. A supermarket is just opposite the road where you can also choose from a variety of bento meals where discounts would be offered later in the evening. To the right of the hotel after the traffic light is a Chinese restaurant which serves authentic Chinese food. We had a takeaway the first night and returned twice.","Petaling Jaya, Malaysia","268caseyl</div><div class=""userLoc""><strong>Petaling Jaya, Malaysia</strong>",104,5.0
730088631,https://www.tripadvisor.com/Hotel_Review-g1066444-d15668612-Reviews-Hamacho_Hotel_Tokyo-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hamacho Hotel Tokyo,"December 1, 2019",Staff were very knowledgeable and friendly. They helped us with directions to tourists and making dinner reservations.The room itself was a bit small but rooms in Tokyo are expected to be small. Good location with a grocery store across the street.,"Toronto, Canada","ackme27</div><div class=""userLoc""><strong>Toronto, Canada</strong>",9,4.0
727707727,https://www.tripadvisor.com/Hotel_Review-g1066444-d15668612-Reviews-Hamacho_Hotel_Tokyo-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hamacho Hotel Tokyo,"November 20, 2019","I chose this place because it was reasonably priced and a short walk from the Tokyo City Air Terminal(TCAT).I had never been to this part of Tokyo in my many visits to the city. I was very pleasantly surprised.First off if you fly into Haneda Airport (which you should try to do) you can take a limousine bus that goes directly to TCAT. This will run you 850 yen and take about 30 minutes. When you get to TCAT head left out the terminal door once you enter the terminal. Walk straight for about 5-7 minutes. At what I think is the third traffic light (I might be wrong here) turn left and in another minute the hotel will be on the left. If for some reason, you have too much luggage to manage the short walk, a taxi there will run 420 yen and take a few minutes of travel time. There is no such thing as an early check-in. You can check your bags and come back later if you arrive early. I was able to get to my room at 2:00 PM which is an hour earlier than the official time. In the meantime you can walk along the Sumida River (turn left as you leave the hotel and walk around three minutes or around Hamacho Park (turn right as you leave the hotel and walk around 4 minutes). The park is on your right.There are numerous small restaurants and cafes in easy walking distance. Right across the street is the large Peacock Supermarket open 24 hours a day. It has a large an interesting array of food if you need to save some cash. It also has a couple of microwaves available so you can heat up your purchases if desired.The hotel itself is no more than a year old. It does cater for the foreigner (at least half its guests). Staff have either good or at least serviceable English. The place including the rooms is spanking clean. My room itself was Tokyo compact without a great deal of storage. However the room is laid out cleverly so that it doesn't feel claustrophobic like some other equally rated Tokyo hotels. For one person it is quite comfortable. For two it might be a mite cramped, though if you are going to be out most of the day it shouldn't be a real problem. Otherwise larger, more expensive rooms are available.Since Sunday, many of the cafes and restaurants are shut I did have dinner with a friend at the hotel restaurant. The room is nicely set out and is quite comfortable for a leisurely dinner. Prices are moderate and the food is quite good. Otherwise there is a breakfast buffet for 1800 yen. Didn't try it since I depended on the supermarket for breakfast needs. (There is also a boulangerie just two minutes away - left as you leave the hotel). The hotel also hosts a craft chocolate shop and offers guests a free sample chocolate. All chocolate is made within the shop. The offerings are hot chocolate, coffee and decadent looking desserts.The area seems populated with young families many of whom have young children. So for those traveling with children, this hotel and area may appeal.","Sydney, Australia","cfreedma</div><div class=""userLoc""><strong>Sydney, Australia</strong>",136,5.0
726609610,https://www.tripadvisor.com/Hotel_Review-g1066444-d15668612-Reviews-Hamacho_Hotel_Tokyo-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hamacho Hotel Tokyo,"November 15, 2019","My friend and I spent seven nights it this beautiful hotel! The building itself is precious and our room was very nice and cozy. We got an amazing bargain and ended up paying very little for this luxurious place! We’d definitely go back. As there’s always a little bit of a room for improvement anywhere one can go, in this case we would have like a more continental breakfast as well as a few English-speaking channels on the room television. No biggie...","Brussels, Belgium","serandypity</div><div class=""userLoc""><strong>Brussels, Belgium</strong>",11,5.0
725129175,https://www.tripadvisor.com/Hotel_Review-g1066444-d15668612-Reviews-Hamacho_Hotel_Tokyo-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hamacho Hotel Tokyo,"November 8, 2019","What a great find this hip hotel in a quiet area of downtown Tokyo was! It is across the street from a supermarket and in easy walking distance of public transport. Service is friendly and efficient, the dinner in the restaurant was excellent (we did not have breakfast though so cannot comment on that) and everything was brand new and super clean. The minimalist design is stunning. Very good value for money, but utilise the opportunity soon as this new hotel is going to become very popular. I can't wait to stay there again!","Paarl, South Africa","SABlackburns</div><div class=""userLoc""><strong>Paarl, South Africa</strong>",15,5.0
724029204,https://www.tripadvisor.com/Hotel_Review-g1066444-d15668612-Reviews-Hamacho_Hotel_Tokyo-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hamacho Hotel Tokyo,"November 5, 2019","Recently visited for a 2 week vacation during the Rugby World Cup. The hotel is in a fantastic location, close to numerous subway stations & a quieter part of the city. The hotel itself is true boutique, with solid service throughout. Housekeeping were excellent, the hotel was spotlessly clean, with the daily service in the room also. They have a washer dryer too on the 4th floor which was very convenient. The breakfast was very good with numerous buffet options & super cool decor with assorted jazz records & posters. As a hotelier by profession I give this hotel 5 stars for value, overall experience & I would definitely return....kudos & ""ARIGATO""!!! :)","Miami Beach, Florida","Review77</div><div class=""userLoc""><strong>Miami Beach, Florida</strong>",1,5.0
