review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752963471,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or0.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"April 27, 2020","We spent a week at the Hampton Inn in a family room. Room was clean, beds were comfortable and the room size was good for NYC. Breakfast was ok with a good selection of options, however be sure to avoid between 8-10 as it does get busy. When it is busy, it is painful and we did a couple of times go out and buy breakfast, which is a little bit of false economy as we had paid for it in the hotel price, but the area was too small to be comfortable eating.All of the staff were friendly and helpful. Free coffee and hot chocolate in the room and hotel lobby. The location is right in the middle of midtown so really handy for first time visitors to NYC. We picked this hotel because it's close to major subways and Port Authority. Would definitely visit again.Recommended. I wanted to give it a full 5 stars, but for 2 of the days we were there, one lift was out of service and when you are on the 8th floor, that is a little grinding on how long it takes to get a lift fixed....","Birmingham, United Kingdom","F5783XHstevek</div><div class=""userLoc""><strong>Birmingham, United Kingdom</strong>",116,4.0
751621924,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or0.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 22, 2020",Great location ! Easy to get around ! Rooms are very small so not good for family of 4 with luggage. Ended up getting 2 rooms since we were staying for a week ! Felt safe during the virus ! Breakfast was great each morning and whole staff very friendly! Self serve laundry service ! And great having a concierge and bell man !,"Colorado Springs, Colorado","debtrione</div><div class=""userLoc""><strong>Colorado Springs, Colorado</strong>",1,4.0
751114515,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or0.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 16, 2020","Rooms were clean, concierge was extremely helpful in booking tours and shuttle to airport. Great location, was in easy walking distance to the subways and lots of restaurants. Pretty quiet considering it is located right off Times Square. Will stay here again!",,danacline1,0,5.0
750886195,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or0.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 14, 2020",Hotel is in a great location. Close to Times Square. Close to the metro and the bus station. Rooms are a decent size. Updated bathroom and good quality amenities. Comfortable beds and good pillows for the bed. ,atlanta,"michael w</div><div class=""userLoc""><strong>atlanta</strong>",10,4.0
750761039,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or0.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 13, 2020","Stayed here for 4 night and had a lovely time.It was nice to find a New York hotel that included breakfast, the breakfast staff were always friendly and helpful.The reception staff were very helpful, especially when I had a problem and needed to use the courtesy phone in reception a couple of times.The hotel is in an ideal location just minutes walk from Times Square and many other attractions.A couple of days the hotel was very busy with groups, this never detracted from our stay ","York, United Kingdom","Wheldons16</div><div class=""userLoc""><strong>York, United Kingdom</strong>",49,5.0
750343600,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or5.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 10, 2020","We spent a week at the Hampton Inn. Room was clean, bed was comfortable and the room size (king) was good for NYC. We had a room on 4th floor facing the back so not much of a view, however this didn't bother us as it wasn't our first visit to NYC and it was good to have peace and quiet to sleep. Breakfast was ok with a good selection of options, however be sure to avoid between 8-10 as it does get busy. All of the staff were friendly and helpful. Laundry facilities were good and everything was clean. Free coffee and hot chocolate in the room and hotel lobby. The location is right in the middle of midtown so really handy for first time visitors to NYC. We picked this hotel because it's close to major subways and Port Authority. Would definitely visit again.",United Kingdom,"JenBax86</div><div class=""userLoc""><strong>United Kingdom</strong>",28,4.0
750318484,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or5.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 10, 2020","There are hundreds to choose from but I will definitely stay here again on my next trip to NYC. This hotel is convenient to Times Square and across the street from the 42nd street subway station. Our room was larger than other hotels we've stayed at in the vicinity and everything seemed new and was clean. The staff was friendly, polite and helpful (even pulled a band-aid out of a drawer when I asked where to buy some). Will highly recommend this to anyone I know headed to NYC.",,341carolef,0,5.0
749713418,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or5.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 7, 2020","Very convenient to both the Port Authority Terminal and the theater district. Room was fine — not big but perfectly adequate — well laid out and clean. Reasonably priced by NY standards. Breakfast included, which is also a nice convenience, but don’t expect a gourmet experience. Staff at the front desk were friendly and there was no wait to get to them even though the hotel seemed pretty busy. All in all, a good choice in the Times Square area, especially if arriving at the Port Authority with luggage and a desire for a short walk to your hotel.",,louismH2986SQ,10,4.0
749614262,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or5.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 6, 2020","The HAMPTON Inn Manhattan always has great value in terms of room rate, service, location and amenities . The breakfast is good , the service is excellent the the location is excellent for theater goers .","Wollongong, Australia","Max396</div><div class=""userLoc""><strong>Wollongong, Australia</strong>",23,5.0
749359417,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or5.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 5, 2020","We stayed at this hotel for a friends birthday celebration and it was great. Steps away from Times Square and all the fun. It was cold so we used rideshare or subway when going further out. It’s all steps away from the Path station. Wonderful staff! Only thing is the elevators can get a little backed up during check in time, but you don’t have a long wait. Can’t wait to go back!",,RoatanBaby,0,5.0
749287697,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or10.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 5, 2020","stayed for 3 nights in February and was pleasantly surprised. A great breakfast that is free but way too crowded so just grab something and take to room. I appreciated the water, tea and coffee in the lobby. I would definitely stay again and loved the location just off times square and away from the times square mad house.","Cleveland, Ohio","detroiter50207</div><div class=""userLoc""><strong>Cleveland, Ohio</strong>",12,4.0
748920237,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or10.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 3, 2020",First time to NY from AZ. Always afraid when I book a room especially being so far away. This hotel/room/breakfast/staff/LOCATION couldn’t have been better!! Will stay again! Oh and don’t be afraid to take the subway! Best way of commute invented. ,"Tucson, Arizona","zjessica1027</div><div class=""userLoc""><strong>Tucson, Arizona</strong>",1,5.0
748866106,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or10.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 3, 2020","We just came home from a 3 night stay. We are a family of four. Location is excellent. Breakfast is a huge bonus. We stayed at the Hilton across the street last year. Hilton was a little fancier if that is what you are looking for. Hampton Inn was smaller, but had everything we needed. We loved the breakfast and valet parking was easy. All of the staff were great! Elevator as others posted was a little slow but not too bad. Oh and there is a rooftop terrace, make sure to check that out.","Hudson, New Hampshire","Wwegan</div><div class=""userLoc""><strong>Hudson, New Hampshire</strong>",37,4.0
748775694,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or10.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 2, 2020","We were especially happy to not pay typical destination fee other hotels charge for Time Square area -- that made the difference and we were not disappointed. Breakfast was great, rooms were spacious. We were able to check in when we arrived at noon and hotel held our luggage day of check out so we could experience the town. Overall excellent experience!",,Storyteller711040,0,4.0
748756628,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or10.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 2, 2020","Hotel was overall a good experience. Modern, clean, with a good breakfast and amiable staff. Biggest complaint is with long wait for elevator in the morning - two times I walked down 23 flights of stairs! They should come up with a different system for this. Also they need more seating in breakfast dining area for busy time. Overall though the hotel is a good value in the heart of theater district.","Gilbert, United States","markbX8439SQ</div><div class=""userLoc""><strong>Gilbert, United States</strong>",0,4.0
748696006,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or15.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 2, 2020","Great location (close to Time Square and the subway... which is one stop from the Javitz Center), friendly staff and nice clean (and quiet) rooms, and the complimentary breakfast is fresh with a wide variety of tasty offerings (really helps get the day off to a nice start)!",,R8849TUjohn,0,5.0
748661261,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or15.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 2, 2020","The hotel is very comfortable, very clean, amazing location near Times Square, big shops and theaters.Worth price and a nice breakfast . Coffee and fresh water all day in the lobby, mineral water to take out and freshly baked cookies at tea time. Staff very helpful and the most quick checkin and checkout I’ve experienced.",,desichki,4,5.0
748504805,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or15.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 1, 2020","Great location one block from Times Square and in the heart of the Theatre District. Hotel room was a nice size with walk-in shower. No fridge but we didn’t need one. Most staff were very helpful. The lady at the concierges desk was not particularly friendly and unable to give us directions to the E train because she said she never takes it. Hotel elevators very busy in the morning, we had to wait about fifteen minutes for one that wasn’t full. Don’t plan to eat at the hotel. There was no room in the eating area or the lobby by 8 a.m. Plenty of ways to eat on the cheap in the area, just not in Times Square.Overall, this hotel met our needs well and I would totally stay there again.","Hamilton, Canada","Keri P</div><div class=""userLoc""><strong>Hamilton, Canada</strong>",3,4.0
748369952,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or15.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"February 29, 2020","Thanks to all the positive reivews on TA for steering me to book a room at this location a few nights ago. I had tickets to an evening show and wanted to stay over. Based on the reviews I read I decided to try this property although I didn't know anyone personally who had stayed here.Found the hotel to be perfect for what I wanted: comfortable room, adequate free breakfast, easy walk to the theatre district, and a quieter street despite its proximty to Times Square. The staff was friendly and the room, although small, was nicely appointed and in very good condition. Comfortable mattress, good pillows, nice shower, adequate lighting.Breakfast was a nice addition and the food itself was good. The breakfast room , however, as others have stated could use an overhaul. It's very small, in need of a some cosmetic work and the tables need to be cleaned off by staff when vacated.Otherwise was quite pleased with my stay, will absolutely return here and have already recommended it to friends.",NJ,"BBE2</div><div class=""userLoc""><strong>NJ</strong>",148,4.0
748164983,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or15.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"February 28, 2020",Just returned from a 3 night stay at this lovely friendly comfortable Hotel!Staff are all amazing and go the extra mile to make your stay as good as it can be! The Jewel in their crown has to be mentioned! She's the Breakfast Supervisor Geraldine!and a treasure to meet!..her own words were..I just want to see everyone having a nice breakfast and a good start to their busy day!.....Hampton? Hold on to this shining star! She had all the dining room staff sing Happy Birthday to my sister and myself!..Amazing!...Thankyou to all the Staff!..X,,Jem M,1,5.0
