review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
745990561,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"February 18, 2020","The hotel is located very near to Daimon Station and Hamamatsucho station. Easy access to Haneda Airport through Monorail next to Hamamatsucho Station. There is beauty & health shop nearby. Family mart, laws on and restaurants with reasonable price are within 5 to 10mins walking distance. There is LG clothing disinfectant system in the room, laundry room is available too. Checked in & out by Robot, but no worries. If the robot can't handle well, can always press button to call the staff for help. Our luggages were already place in the room after we checked in at night as we arrived in the morning and kept our luggage in the hotel. Good service. ",,sherryy319,0,5.0
745408671,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"February 16, 2020","We stayed at Phiten Space Design rooms. Twin room is very comfy for our family. We have a really good night sleep there. Location is very convenient, super close to subway, JR, and monorail to Haneda. Kids enjoyed robot checking-in and our, even though not working for checking in with international credit cards. Not hesitate to stay there again in our next trip in Tokyo. ❤️ it.",bangkok,"aziza</div><div class=""userLoc""><strong>bangkok</strong>",0,5.0
734184416,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"December 22, 2019","Great hotel. Good location. Clean. Neat. The room was a little larger than expected which was a nice surprise. The check in machine didn’t like MasterCard so we were saved by a helpful human! What I didn’t realise was the room remote did lights, tv and aircon. Once in English that was great !",Brisbane,"Demensha</div><div class=""userLoc""><strong>Brisbane</strong>",1,5.0
731877343,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"December 10, 2019","Location of the hotel is great, right near the train station. Convenience stores nearby. Perfect view of Tokyo Tower. Interesting to check-in to a hotel by robots, but that was fun. A ""real"" person is nearby should you run into trouble checking in. Room is clean, but wished it was a little bigger to place our luggages. Just a bit smaller than other hotels in Japan. Best of all non-stop from Haneda airport to the train station.","Honolulu, Hawaii","RedPanda808</div><div class=""userLoc""><strong>Honolulu, Hawaii</strong>",3,4.0
724847529,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"November 7, 2019",What i absolutely loved about the henn na hotel hamamatsucho was it’s location. It’s almost in the middle lf down town tokyo so it’s equidistance to get from one end of the yamanote to the other. My main gripe about my stay would be about the room. The wall socket on the desk is too close to the desk so i couldnt plug in my international adaptor to use my appliances on the desk. I had to plug it into the socket at the head of the bed which created a tripping hazard. The bed itself is not really a bed but like 3 thin matteress put together to form a bed. As such the gap between the lining makes for awful lumbar support and i literally woke up everyday with a backache in my back. It got pretty bad by day 12. This and the socket matter is what would have gotten them 5 points.,,shawndanker,0,4.0
723218868,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"November 2, 2019","Hotel is near train station and our room has a view of the Tokyo tower! Interesting to check in & out using the robot too. If staff assistance is required, we are able to call them using a phone (when we left our luggage with them earlier). Only thing is it would be good if the room is bigger, but in general, Tokyo hotel rooms are smaller.",,ExplorerTravels,0,4.0
719803217,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"October 20, 2019","Stayed in Phiten space design floor. Very comfortable, extremely clean and many great amenities in room like foot massager, LG clothes styler with good space saving design. Location fantastic, very close to JR train station and subway. Best of all, only 20min by monorail to Haneda airport. ","Singapore, Singapore","Veronica0100</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",0,5.0
712490670,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"September 23, 2019",Very little English spoken here compared to other hotels. Had to wait until exactly 3 pm for check in which was extremely frustrating as our luggage had been in our room for 3 hours! Probably won’t stay here again as we like the personal touch ,,Lee W,4,4.0
698171260,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"August 12, 2019","The location of this hotel was perfect for our trip to Tokyo, with lots of conveniences and transport options nearby. It was particularly easy to get to from Haneda airport. I was very grateful for the complimentary phone with local plan and data to stay in touch with other friends and navigate the city when we were out.Yes the rooms are small, but the description was accurate. They had an airy feel and we could still spend some time in the room to relax. A block away, in the World Trade Building, is an observatory deck, well worth a visit on dusk.Staff were most helpful when we arrived in the morning to store our luggage for the day before the automated check-in.",,Shar7546,2,5.0
694852528,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"August 2, 2019","The hotel is near from Hamamatsucho Station and near to Asakusa Line. Makes it perfect for a stay if you're flying from Haneda Airport. The Hotel is very clean but not very big (common for Japan) , great Plus is the LG Styler for refreshing your clothes with steam.Around the hotel are different restaurants, bars and shops. We recommend to try out Nikuman restaurant (a very highlight on our trip)!",,Bonifaz3,0,5.0
694455833,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"July 31, 2019","Clean, well located (many transportation). No staff at the welcome reception, but humanoid robot in the lobby. Avoid the breakfast in the irish pub, and go @le pain quotidien, 10 min walking distance.","Murren, Switzerland","Pierreesmerian</div><div class=""userLoc""><strong>Murren, Switzerland</strong>",1,3.0
688524556,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"July 10, 2019","If you don't mind a room with just enough room to squeeze your suitcases open and jump into bed, then this is the place for you. The bed was super comfortable, the wifi was great and the TV was absolutely massive and came with chromecast so no need to attempt to decipher Japanese TV shows, you can just watch whatever you want from your phone OR from the complimentary phone that is given to you with the room. It was super handy as a back-up to carry with us during the day and you get free calls in Japan and surrounding countries. The room also came with a free-standing steaming machine by LG, which, admittedly, wasn't really useful for us casual tourists but would come in handy on a business trip. It's in a very convenient location 5 minutes away from Hamamatsucho station that's on the JR Yamanote line (perfect for Rail Pass holders). Plus, you are close to a Lawson and 7-Eleven as well as a Denny's restaurant that is open late in case you return from your travels late. Although a lady had to come out and check us in because the robots didn't manage to (probably because we weren't Japanese nationals and needed a proper human to confirm we were in the country), overall the hotel is superb value for money.","London, United Kingdom","Michelle K</div><div class=""userLoc""><strong>London, United Kingdom</strong>",35,5.0
687394033,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"July 7, 2019","Check-in was quick and easy. The hotel is just like the pictures and very clean. The bed and pillows are comfortable, I love the blankets and the AC is amazing. Breakfast line was well organized and tasty.","Seattle, Washington","Karissa R</div><div class=""userLoc""><strong>Seattle, Washington</strong>",2,5.0
675163173,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"May 20, 2019",The Hotel has a excellent location and is 2min to train station. The reception is crazy with the robots :-). Rooms a clean but not so big (normal in Tokyo). Good coffee shop at the first floor and Staff was really friendly.,,FTWDan,10,4.0
674885357,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"May 18, 2019","We stayed for 1 night due to the late arrival at Haneda, Tokyo and an early departure from Haneda on the next day.We arrived at Haneda almost mid-night. Their shuttle bus to the hotel was every one hour and we needed to wait for 30min till the next shuttle bus so we decided to go by taxi. It was very close from the airport and cost about 2000 yen.The check-in was easy and if you have a problem, the actual person came out and help you.The room was not big but not too small, we could manage to open our big suitcase x 1 and a small suitcase x 1.It was very clean, tidy and very practical. There was a machine (looks like a fridge) still not sure what that was but I put my jacket in and tried one of the function (to kind of clean your cloths?) and it worked!!! If I have a chance to stay there again, which I would love to, I will try to use it more!It was a short stay but highly recommended.","Auckland, New Zealand","orangechocolat</div><div class=""userLoc""><strong>Auckland, New Zealand</strong>",11,4.0
673345879,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"May 11, 2019","Fully compact, modern, little room with all the necessary amenities for comfort. Check-in was fast and efficient. It was oddly comfortable to walk past the reception without the usual precursory greeting. Highly recommended for it’s proximity to Hamamasutcho and Daimon station. I am now keen to stay at the other Henn Na locations. ",Singapore,"suefern</div><div class=""userLoc""><strong>Singapore</strong>",1,4.0
672005548,https://www.tripadvisor.com/Hotel_Review-g14129727-d12982713-Reviews-Henn_na_Hotel_Tokyo_Hamamatsucho-Hamamatsucho_Minato_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,Henn na Hotel Tokyo Hamamatsucho,"May 6, 2019",Service driven hotel. All facilities you need as business man included. Clean room and good coffee shop just outside hotel.Central location close to metro station.Including free steam cleaner at the hotel room.,,Tessa B,0,5.0
