review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751289823,https://www.tripadvisor.com/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York-or0.html?filterLang=en,Heritage Hotel New York City,"March 18, 2020","Group of 4 of us stayed 2 nights at this hotel. We were due to stay 5 but unfortunately coronavirus ban hit and had to go home early! Hotel was perfect! We each booked a double room which meant we had plenty of room! Rooms were spotless and cleaned daily! Beds were so comfy!! Hotel staff were very friendly and helpful! Always had a smile for us!!! Location is ideal, just around the corner from the flatiron building! Great bars nearby including the 40/40 club which Beyonce owns! Class spot. Another nice spot is the rooftop bar around the corner from hotel!!! Will definitely stay again!!!!",,Relax574375,1,5.0
678275750,https://www.tripadvisor.com/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York-or0.html?filterLang=en,Heritage Hotel New York City,"June 2, 2019","I have just returned from my trip to New York. Again, I stayed at the Heritage Hotel. I have been in the Hotel/Casino business here in Las Vegas for a very, very long time. I like the Heritage for two reasons.1 – The location is so good. If you go out the front door and to the right and at the end of the street you are at the famous Flatiron building area. A very interesting building and there is a park and restaurants and stores all around. And tables and chairs to sit and enjoy the view. BTW turn around and look above the buildings and you will see the iconic Empire State building reaching out to the heavens. You can walk east over to Park Ave and get the subway and go downtown to Battery Park and the Statue of Liberty or go uptown to Grand Central. Both amazing places to visit.Go out the door to the left and down to 6th Ave and the great shopping stores. Or walk over to 7th Ave and visit Chelsea, an ever changing area. You can take the subway at 7th and go downtown to Greenwich Village. Or go uptown to Central Park, right in the center of the city.2 – The Hotel and it’s staff. Manager, Zahid Rehman, is always around and his staff all do their job well. Front Desk people are polite and helpful. I see them every day helping people, from all over the world, find what they’re looking for in this great city. The maids were good. Took good care of my room every day. Maintenance guys were great. I started each day by going down to the breakfast area. So nicely done and had everything I wanted. I would start off with a cup of very good coffee and use the Wi-Fi to check the weather for the day.I am 82 years of age now and if I visit New York again, this is where I will stay.","Las Vegas, Nevada","WaltersLV</div><div class=""userLoc""><strong>Las Vegas, Nevada</strong>",97,5.0
749225548,https://www.tripadvisor.com/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York-or0.html?filterLang=en,Heritage Hotel New York City,"March 5, 2020",We had a wonderful time again :) we come to NYC every year around the same time and we always choose to stay at this hotel. They recently renovated so it's even better. My daughter always looks forward to our stay. ,,Roam10479770339,0,5.0
747864988,https://www.tripadvisor.com/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York-or0.html?filterLang=en,Heritage Hotel New York City,"February 26, 2020","nice place, very friendly and personal service is what they stand for. Newspaper and coffee at every moment. I didn't like the bed and linnen, airco loudness for heating, breakfast scanty and no egg or meat.",,explor78,0,3.0
744869877,https://www.tripadvisor.com/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York-or0.html?filterLang=en,Heritage Hotel New York City,"February 13, 2020",This hotel is in a great location and close to lots of things. It’s very basic and had it been more modern I would’ve had a very comfortable stay. The rooms are very dated and are ultimately dirty. For 3 consecutive nights we had a toenail of a different colour each night left on our floor we felt the need to clean the bath as soon as we arrived and there is very limited room if there is 4 people sharing a room with 2 double beds. The breakfast was okay if u could be bothered to wait in the queue to make a waffle otherwise you were left with toast or dry muffins.,"Colchester, United Kingdom","Oliviamc3</div><div class=""userLoc""><strong>Colchester, United Kingdom</strong>",19,3.0
741714600,https://www.tripadvisor.com/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York-or5.html?filterLang=en,Heritage Hotel New York City,"January 28, 2020","The good:Good value hotel in a great location with nice staff. The rooms are clean, the bed is comfy and the bathroom appears to be recently renewed. Great amenities: coffee/tea-maker in the room, fridge, safe, iron, USB charging options. There is also 24h coffee/tea in the lobby. The not-so-good:A key to a room already occupied was accidentally given at check-in first. Although breakfast is included (which is a nice touch), it's really basic and the addition of at least some eggs and alike would improve it a lot. And please replace the single use cutlery, plates and cups!",,andrel950,1,4.0
740446983,https://www.tripadvisor.com/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York-or5.html?filterLang=en,Heritage Hotel New York City,"January 21, 2020","First of all, I find the reviews as well as the reply's to reviews very amusing.The best part of the hotel is indeed the facade! Much nicer than anything on the block, though most of the block is in scaffolding as is THE WHOLE CITY.I found the staff very nice and spent some time having really nice conversations with some front desk people. The room was in fact pretty big. It was room 608. Pretty clean except for the bathroom which has different colored hairs to great me on the towels. I'm bald, so the hairs were not mine. I could live with that. There were 2 (and not 1) elevators. Between both, you didn't have to wait too long. They were slow, but are 100 years old. It is what it is. Bed was very comfortable and the heating was indeed a little noisy, but worked well. Breakfast:First of all, most of the travellers are from Europe. t's important to wake up in a good mood. There should be NO TV ON and particularly not with news. No one is interested. This also applies to the lobby, which could use an update. The breakfast room is indeed often full. The coffee is undrinkable. Much too weak especially for your European customers. PAPER PLATES AND FORKS, KNIVES AND SPOONS, are1. of the cheapest quality and will not even cut through scrambled eggs or frozen butter.2. really bad for the environment. Get some silverware guys and a dishwasher!The chairs are also way to big for the tables, so if you get a seat, you can't move around. They don't make a good combination. Lose the chairs! The breakfast is a good but failed attempt. Basically everything is filled with sugar.The waffle maker is great, but it's not a matter of if you're going to burn yourself but WHEN as the waffles when ready stick and the man wearing the net and gloves though polite, is far from helpful. Both the eggs and the sausage substance are inedible also. I suggest (as in most cheap European hotels) forget the hot stuff and just have a bowl with fruit salad, several meats and cheeses and your done. If you're going to make an attempt at an American breakfast, you're falling short. All in all an average stay. I paid $76 a night in January for a roomy single room, so I don't know where the prices come from in various reviews.Mixed feelings, but all in all, ok and good value for money at $76 a night. That is about what it was worth.",,David R,2,3.0
737823422,https://www.tripadvisor.com/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York-or5.html?filterLang=en,Heritage Hotel New York City,"January 8, 2020","Have to say great location, staff very friendly and helpful, breakfast really good. Rooms were comfortable and clean only downside was we had a very small bathroom, but we managed .. fantastic value for money and would highly recommend this hotel.",,Flyer467713,1,4.0
737562060,https://www.tripadvisor.com/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York-or5.html?filterLang=en,Heritage Hotel New York City,"January 7, 2020",Clean and decent hotel. Very good price compare with other hotels in Manhattan. Great location and the personnel was very polite and professional. The bathroom was a little small but overall I left with a pleasant impression.,,adrianbZ785BR,1,5.0
737551077,https://www.tripadvisor.com/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York-or5.html?filterLang=en,Heritage Hotel New York City,"January 7, 2020",Everything was as expected. Quite clean place great location. Decent breakfast always possible to have tea or coffee. Confortable bed. Would come back here to stay on the future without any doubt. Thanks,,Laura L,1,4.0
735476092,https://www.tripadvisor.com/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York-or10.html?filterLang=en,Heritage Hotel New York City,"December 29, 2019","I came to stay for a week 12/28/19-1/4/20. New Years in NY for the first time. I actually used the towels to was the floor. I bought cleaning wipes to clean the “closet “ room I stayed in. There were no other rooms. I actually cried the whole first day and night. Didn’t sleep the whole first night. OMG, what I paid! This was booked in September. The most awful place. I don’t know what to say. Breakfast was just a mess. Grabbed a bagel and juice and went back to my now clean room because I cleaned it. This is whole zero hotel. I can’t afford to go anywhere else because it’s non-refundable. STAY AWAY FROM HERE . If you want to sleep in a dirty closet, have at it.",,Getaway675292,0,1.0
735310614,https://www.tripadvisor.com/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York-or10.html?filterLang=en,Heritage Hotel New York City,"December 29, 2019","The stay at the heritage was great, it was close to every place we wanted to visit, the hotel was very clean and the staff was very friendly. Just a few minus thing in which it kind of mine a bit, like the elevator was small and slow, the room was small for me specially when you have kids with you and parking was off-site but overall it was great. In the future I’ll definitely will stay again!!","Boston, Massachusetts","bladimir24</div><div class=""userLoc""><strong>Boston, Massachusetts</strong>",1,5.0
735210542,https://www.tripadvisor.com/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York-or10.html?filterLang=en,Heritage Hotel New York City,"December 28, 2019","I grew up in NYC and come back every year at the holidays to visit family. I know what to expect in a budget NYC hotel. The elevators are small and slow, the room is small and the view is of the building next door, but that is to be expected. What makes this go from average to poor are three things that should have been better:>> the beds are not attached to the headboard so if you want to sit up in bed and read, the bed slowly rolls away from the headboard and you need to get up and shove it back in. Rinse, repeat.>> the wifi is terrible. I'm trying to write some work emails and the wifi kicks me off about every 60-90 seconds. Oddly, it's staying on long enough to let me write this :-)>> The TV has digital reception which pixellates and lags a couple of times during a movie.I'm not asking for luxury, just basic modern services to work well.",,LauraRu3547,0,2.0
734885252,https://www.tripadvisor.com/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York-or10.html?filterLang=en,Heritage Hotel New York City,"December 27, 2019",Room was in 10th floor. Outside view was the rear side of the next buidling. Very small room (for four people) and bathroom. Cleaning service excellent. Hairdryer was defect. After contacting the manager the hairdryer has been exchanged immediately. Breakfast room definitely too small for this hotel. Breakfast was standard. Excellent location to start exploring NYC: 3-5 minutes walk to the next subway stations.,,RoPeFaCo,0,4.0
734491345,https://www.tripadvisor.com/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York-or10.html?filterLang=en,Heritage Hotel New York City,"December 24, 2019","What a great stay! Convenient to Time Sq, Rockefeller Ctr, and Empire State Building. Very happy but breakfast was a bit crowded. Will stay again. They have a minimum of 200 characters for the review so I’m making stuff up to fill the minimum.",,Skidzz475,0,4.0
