review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751487803,https://www.tripadvisor.com/Hotel_Review-g60763-d1601249-Reviews-Hilton_New_York_Fashion_District-New_York_City_New_York-or0.html?filterLang=en,Hilton New York Fashion District,"March 20, 2020","The location of this hotel is great, but the hotel felt old and dated, the rooms were dated, the staff was great, the gym was small and stunk. The view from our room was great, but they need to make some upgrades. I know they are currently working on the bar and restaurant, next they need to work on the rooms.","Portland, OR","1devon</div><div class=""userLoc""><strong>Portland, OR</strong>",56,3.0
751121872,https://www.tripadvisor.com/Hotel_Review-g60763-d1601249-Reviews-Hilton_New_York_Fashion_District-New_York_City_New_York-or0.html?filterLang=en,Hilton New York Fashion District,"March 16, 2020",The restaurant and roof top bar was under construction and the rooms were basic bottom end rooms that you would expect from a lower hotel chain. The staff was cordial but nothing over the top but it was located near some great restaurants nearby. We utilized our friends hotel as home base as our lobby and room was too small as a meeting location.,"San Antonio, Texas","BarronBella</div><div class=""userLoc""><strong>San Antonio, Texas</strong>",0,2.0
747507792,https://www.tripadvisor.com/Hotel_Review-g60763-d1601249-Reviews-Hilton_New_York_Fashion_District-New_York_City_New_York-or0.html?filterLang=en,Hilton New York Fashion District,"February 25, 2020",This hotel is extremely dismal The lighting is very poor and the rooms are even more dismal dark blue wallpaper poor lighting looking out onto a factory type building.Do not book a room here if you are depressed because you will end up feeling more depressed.On the plus side the hotel was spotlessly clean and the staff were superb nothing was too much troubleUfortunately the restaurant and rooftop bar were closed for refurbishment so I cannot there are plenty of places to eat in the area. I did not like the area as I thought it was rather grubby but as usual New York was wonderful as were it's people.,,madedd,59,3.0
746716146,https://www.tripadvisor.com/Hotel_Review-g60763-d1601249-Reviews-Hilton_New_York_Fashion_District-New_York_City_New_York-or0.html?filterLang=en,Hilton New York Fashion District,"February 22, 2020","We were looking for a quick getaway to NYC for a few nights and this hotel fit the bill. We arrived by train and the hotel wasn't far from Penn Station. We arrived early and thought we would need them to hold our bags, but our room was ready early and we were able to check in. The staff was very friendly and helpful. The room was clean and the bed was comfortable. The restaurant was not open (under construction) but we were aware of this when we booked the room, so it was not an issue.",Long Island,"TheScalises</div><div class=""userLoc""><strong>Long Island</strong>",40,4.0
745986390,https://www.tripadvisor.com/Hotel_Review-g60763-d1601249-Reviews-Hilton_New_York_Fashion_District-New_York_City_New_York-or0.html?filterLang=en,Hilton New York Fashion District,"February 18, 2020","When I checked into the hotel, I saw hair everywhere in the room! On the bed, on the pillow, in the bathroom. It's gross and the room looks so outdated. We checked in around 3am and my friends said it's okay. We will only be here for 3 nights. On the last night, I was complaining to my friends how I couldn't sleep cause I'm itchy every night. My friends said they are too! I just thought I had dry skin. There are bed bugs for sure! We stayed at a different hotel after and no more itch. Also, on the last night, the house keeper knocked on our knock at 8:30am!! I had to tell and said ""NO cleaning!!!"" I was pretty upset at this time. When I checked out, I complained and the lady gave me a look and said you should have said something. I told her "" it's not like anything was going to happen."" If this room is dirty, I can't imagine it'll be clean elsewhere. It's a 4 stars hotel, you should NOT wait for guests to complain how dirty the place is or if there are bed bugs. I will NEVER stay at a Hilton property again and would not recommend to anyone. ","Chino Hills, California","nanook009</div><div class=""userLoc""><strong>Chino Hills, California</strong>",9,1.0
745933664,https://www.tripadvisor.com/Hotel_Review-g60763-d1601249-Reviews-Hilton_New_York_Fashion_District-New_York_City_New_York-or5.html?filterLang=en,Hilton New York Fashion District,"February 18, 2020","The hotel is placed right next to the Fashion Institute, next to several subway line. The room are fairly good furnished and comfortable.Two issues:The restaurant of the hotel is under restructuring but no one inform you about it unless at check in. The replacement is a modest grocery store (Sunac Fancy Food) which provides also warm food. Way to poor replacement solution for the standing of the hotelWe had an issue with the coffee machine and in the room there was no phone to call the assistance.",,elimon915428,0,4.0
745298684,https://www.tripadvisor.com/Hotel_Review-g60763-d1601249-Reviews-Hilton_New_York_Fashion_District-New_York_City_New_York-or5.html?filterLang=en,Hilton New York Fashion District,"February 15, 2020","Although the restaurant and bar are under renovation, the front desk staff have been phenomenal check in was a breeze room is clean and nice. The 17th floor not much of a view (a water tower) but it's New York and who spends time in their hotel... wine and sweets at the front desk for Valentines day. Restaurant across the street was fabulous with great drinks. Marion was a fantastic help with my Valentunes Day presents that got shipped to the hotel. Would recommend. Need a mini fridge for my left overs though.","Jacksonville, Florida","lawhitelouisville</div><div class=""userLoc""><strong>Jacksonville, Florida</strong>",0,5.0
744913210,https://www.tripadvisor.com/Hotel_Review-g60763-d1601249-Reviews-Hilton_New_York_Fashion_District-New_York_City_New_York-or5.html?filterLang=en,Hilton New York Fashion District,"February 13, 2020","Stayed for 2 nights here in January. The room was very clean and good size for New York. The location is quite good , 1 mile to Times Square and Maddison Square Garden is just 2 minutes walk. However if you are a Diamond member please avoid this hotel. I think they don’t even know what Diamond member means . No upgrade, no drink vouchers, there is no lounge and you get nothing at all as a Diamond member. Why being a diamond??? Aa their restaurant is closed they gave me breakfast voucher for 12,50 to use in a convenience shop / deli cafe. For 12,50 in new york you get a coffee and a bagel and thats it. Really poor. disappointed as they charge you much more for their breakfast (when the restaurant was open) than 12,50. One evening I called and asked for a dental kit and the girl at reception told me I have to come down to collect it as there is not enough staff. This is really bad when guests are paying a fair amount of money and also I am a diamond member . I will never ever use this hotel again. There are hotels around much cheaper that basically provide you the same experience or even better. Its a waste of money.","London, United Kingdom","Alwaysonthemove1995</div><div class=""userLoc""><strong>London, United Kingdom</strong>",2,2.0
744499148,https://www.tripadvisor.com/Hotel_Review-g60763-d1601249-Reviews-Hilton_New_York_Fashion_District-New_York_City_New_York-or5.html?filterLang=en,Hilton New York Fashion District,"February 11, 2020","From the hotel you have easy access to many sights within New York. It is a couple of blocks from Times Square and the port authority, Nordstrom rack is also super close where you can buy discounted couture. The restaurant was closed for renovations, therefore cannot review but the rooms are spacious, for New York. Will recommend for cleanliness and accessibility to Times Square.",,AmeliaK358,0,4.0
742194674,https://www.tripadvisor.com/Hotel_Review-g60763-d1601249-Reviews-Hilton_New_York_Fashion_District-New_York_City_New_York-or5.html?filterLang=en,Hilton New York Fashion District,"January 31, 2020","Hotel is in good location, but a bit noisy if your room faces towards the street even if you are high up. Rooms are lovely and clean, but no fridge. No one to help with bags and small temporary entry built to the hotel like tent like (I assume for winter only to not let cold air in), but very difficult to get through with suitcase if noone helps you. No restaurant and bar was a dealbraker if you stay for business and for this reason I would not return. Check in staff friendly, but check out staff was half a sleep (I did check out 5am). ","London, United Kingdom","diantss</div><div class=""userLoc""><strong>London, United Kingdom</strong>",0,3.0
