review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753137625,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hilton Tokyo,"May 4, 2020","My partner and I stayed at the Hilton Tokyo for three nights at the end of a trip around Japan, and overall, I think the best aspect of the hotel is the location. Otherwise, it is a standard Hilton that is huge and busy.I wanted to stay in Shinjuku to see that part of the city more. The hotel is connected underground to three metro stations on two different lines, which was very handy to get around parts of the city. Almost anywhere is convenient to Shinjuku station. I would recommend this hotel purely because of the location!The hotel is 38 floors, so there are a lot of people staying here. Most of the rooms are just standard, since this is a big box hotel. We got an upgraded king room, which wasn’t anything special for the price, but you’re in downtown Tokyo. The room had more storage space for luggage than I originally assumed, because underneath the closets was a lot of room for storage. I appreciated that design element.The bathroom was rather small. The bath and shower area was quite large, but I could barely even open the shower door and sit out. A larger person would have more difficulty even using the shower that way.The concierge was very professional and helpful with securing dinner reservations at restaurants for me. Having a good concierge is key in Tokyo because of the language barrier at the restaurants as well as the time difference.This hotel is very crowded. We had access to the executive lounge for breakfast and for the free cocktails in the evening, but it is rather difficult to take advantage of those benefits because of how crowded the lounge is. In all the Hiltons I have stayed in, this one had the biggest issue with space. And that is not to say that it is a small lounge, I guess just so many people have status with Hilton who stay here, I showed up at 5:55 for a 6pm happy hour and there was already a line and the lounge was full. On a different day when I showed up at 6:15, there was a wait for a table. All I saw were people streaming out of the lounge carrying three or four beers a person. Kind of random.Overall, the hotel is good for location and service, otherwise it’s just a standard Hilton with nothing remarkable about it.",WashingtonDC,"Flyer099</div><div class=""userLoc""><strong>WashingtonDC</strong>",450,4.0
718674310,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hilton Tokyo,"October 15, 2019","Very impressed with Hilton Tokyo not just great location and easy to access to shopping and subway.It also offer free shuttle service both way to Shinjuku station. Staffs are helpful and professional. The Gym pool and hot bath area are nice and clean, a great place to relax. The club lounge has fantastic view of the city. The staffs in the lounge are polite and very friendly, particularly thanks to Waki, he go beyond his duty to make sure we have memorable time at the hotel. Highly recommended.","Melbourne, Australia","TTinmelb</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",26,5.0
752905288,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hilton Tokyo,"April 25, 2020","I got in love with Tokyo, just because od this super hotel. In the very end of my business trip I had time to visiit nearby siteseeings. The hotel administration helped to do a short but very positive trip to the bets places in Tokyo. The rooms are clear, full of lights and great smells. Service is higher than any other Hilton branch. Thank you so much for the days spent there. Love Eleni","Larnaka District, Cyprus","FazioEleni</div><div class=""userLoc""><strong>Larnaka District, Cyprus</strong>",0,5.0
752545696,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hilton Tokyo,"April 12, 2020","I meant to write this review earlier, but now with COVID pandemic, able to stay at home & write this. Reminiscing about our the wonderful 5 days stay for Thanksgiving. The location was great. You can go underground & connect to two different subway station. They have a free shuttle bus, went to Shinjuku shopping & dining. Also, huge train station, where we caught the Romance train to another Hilton resort in Odawara (with hot spa).The guest relations check in person was Monica Meng, friendly, warm, & professional. She told us about the Romance Train, and how we can catch it. Even promised to get us the train schedule, I didn't think much about it, since lots of hotels don't follow thru. To my surprise, I found an envelope slipped under my door when I was out, and there was the schedule. Got upgraded to Premium Twin beds, with soaking tub. Great after a day of shopping. Breakfast in the Executive lounge was great. View of Mt. Fuji, Fresh squeezed OJ from a large machine. Cooked to order eggs. Then had Champagne or wine at night, with snacks. Enjoyed my stay so much, I highly recommended it. And plan to go back, next time in Tokyo.","Orange County, California","Adam C</div><div class=""userLoc""><strong>Orange County, California</strong>",19,5.0
751896002,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hilton Tokyo,"March 27, 2020","It was my Japanese customers who invited me to this wonderful hotel, generally I sleep in simpler hotels,large room with large bathroom, super quality of bedding, large television, beautiful view, magnificent breakfast, lots of choice, fresh fruit juice, quick check in and they speak English very well,","Dallas, Texas","Zotravelcl</div><div class=""userLoc""><strong>Dallas, Texas</strong>",1,5.0
751612148,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hilton Tokyo,"March 22, 2020",What a great stay the hotel was excellent in everything stayed for 9 nights We had 2 rooms and both excellent housekeeping Did a great job Executive. Lounge one of the best Concierge sorted trips and transfers with easeAll the staff great very friendly One of the best Hilton’s we have stayed inThanks to all that made our family holiday So good Shame so far away for us otherwise we stay every month ! But next time we visit Japan it will be in the Hilton,"London, United Kingdom","j0llyjenks</div><div class=""userLoc""><strong>London, United Kingdom</strong>",59,5.0
751567479,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hilton Tokyo,"March 21, 2020","Great hotel. Staff professional and friendly. Stayed in Premium Room with Access to Exec Lounge. Great view. Room clean, comfortable and good size. Buffet offered in main dining hall (exec buffet closed) was excellent. We enjoyed drinks and appetizers in Exec lounge. Japanese restaurant in hotel very good. Food amazing. A bit pricey but worth it. Close to public transit. I would definitely stay here again.","London, Canada","Ceilidhbear</div><div class=""userLoc""><strong>London, Canada</strong>",10,5.0
750908544,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hilton Tokyo,"March 14, 2020","Booked for 3 nights, allowed early check-in which was well appreciated after 6 hours overnight flight. Had to check out urgently 3 hours later to return home country due to Covid-19. They offered straight away to reimburse 2 nights.",France,"Eric S</div><div class=""userLoc""><strong>France</strong>",13,5.0
750772490,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hilton Tokyo,"March 13, 2020","We stayed here on two separate occasions. As a Hilton Honors Diamond member, I was upgraded to an executive king room for my first stay and a junior suite for my second. Both rooms were comfortably furnished, although the bathroom in the suite was huge by comparison. We were given glasses of champagne as a welcome amenity, as well as having access to the Executive Club Lounge. Evening canapes included soup, salads, two hot offerings and a selection of desserts. There was also the usual free flow of beer, spirits and wine including Chandon Brut.All members of staff we met, from front of house to waitstaff and housekeeping were friendly and professional. Staff in the Club Lounge went above and beyond, even going so far as to wait patiently on hold while ringing airlines in South Korea to cancel our flights due to the Corona virus.Pre-stay emails were answered promptly and all requests granted.",melbourne,"adenoz</div><div class=""userLoc""><strong>melbourne</strong>",160,5.0
749564204,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hilton Tokyo,"March 6, 2020",Great location and services. Bikes available for check out at no cost. Free shuttle to/from hotel & Shinjuku station. Wonderful staffs. VIP lounge food can use improvement. Good value if you have diamond status with Hilton and can get access to the VIP lounge for free and free room upgrade.,,hongviet012018,0,4.0
749556105,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Hilton Tokyo,"March 6, 2020","On our return to the US from Vietnam, we had a day between flights and needed to change from Narita Airport (on arrival) to Haneda for departure. The Hilton Tokyo is one of the Airport Limo Bus stops for both airports, so it was the perfect solution for us. The hotel is beautiful and comfortable and the staff members were lovely. We made good use of the Executive Lounge and enjoyed the morning breakfast buffet in the hotel lobby. We would highly recommend this spot.","Dallas, Texas","DallasDurems</div><div class=""userLoc""><strong>Dallas, Texas</strong>",5,5.0
748861347,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Hilton Tokyo,"March 3, 2020","We stayed in two executive rooms for one night and the hotel is great - check in was fast and quick and we were given two smart rooms that were comfortable, modern and with good technology. We used the executive lounge for a quick bite and the staff were helpful. Breakfast was fantastic - we had it downstairs. Its busy and big - but well run.","London, United Kingdom","milesw</div><div class=""userLoc""><strong>London, United Kingdom</strong>",556,5.0
748748973,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Hilton Tokyo,"March 2, 2020","Great location. Easy to get to from airport via limousine bus. Shuttle to/from Shinjuku station ran every 20 min. Easy to get to anywhere we wanted to visit from there. The Hilton accommodations, service and amenities were excellent. My sons loved that 7-11 and Starbucks were so close. I will stay here again next time I visit Japan. ","Raleigh, North Carolina","michellesutt0n</div><div class=""userLoc""><strong>Raleigh, North Carolina</strong>",0,5.0
748583946,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Hilton Tokyo,"March 1, 2020","We had a wonderful five-night stay at Hilton Tokyo towards the end of February. The two rooms we booked were adequate in space and amenities. This was our second time at this hotel and it has maintained its quality. Staff are overall helpful and accommodating, especially those at the Executive Lounge.Check-in was quick and our rooms were ready. Executive Lounge has a nice spread during cocktail hours, although it can get crowded so better be there before the 6-8pm cocktail hours. The staff are able to manage the queue by having the guests grab some drinks to go and waiting for them to be called from the room.Breakfast options are available at the lounge and at the main restaurant on the ground floor. We mostly had our breakfast at the lounge since it was sufficient and less crowded.Shuttle to Shinjuku station runs until late so it's easy access, although one can walk to nearby train stations.Lastly, shout out to Monica Meng for the thoughtful card and cake for one of us who was celebrating a birthday during our stay. It is staff like her that impresses guests and makes this hotel our choice of hotel when we have long stays in Tokyo.","Louisville, Kentucky","danielzky</div><div class=""userLoc""><strong>Louisville, Kentucky</strong>",140,5.0
748458622,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Hilton Tokyo,"March 1, 2020","Perfect location for exploring, offered spa and shower as our room wasn’t ready so early. Great room size, room service was nice. Food was nice at breakfast, a perfect spot. Christmas decorations were lovely all throughout the hotel ","Shinjuku, Japan","581marybethm</div><div class=""userLoc""><strong>Shinjuku, Japan</strong>",11,5.0
748378484,https://www.tripadvisor.com/Hotel_Review-g14133673-d304289-Reviews-Hilton_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,Hilton Tokyo,"February 29, 2020",I would highly recommend this property! I stayed during my birthday and had a wonderful stay. Where Hilton fell short was more to do with the points program than the actual stay itself. Great location and easy access to public transportation.,,Jmoney2019,2,5.0
