review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
747460760,https://www.tripadvisor.com/Hotel_Review-g60982-d4604031-Reviews-Hokulani_Waikiki_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hokulani Waikiki by Hilton Grand Vacations,"February 24, 2020","A very warm and welcoming staff. The Hokulani is centrally located with many great restaurants nearby. The roof top pool, lounge chairs and cabanas put this venue over-the-top. Condos are very clean. Beds and living room furniture recently upgraded. Highly recommend.","Tokyo, Japan","ladyinchief</div><div class=""userLoc""><strong>Tokyo, Japan</strong>",2,5.0
687113903,https://www.tripadvisor.com/Hotel_Review-g60982-d4604031-Reviews-Hokulani_Waikiki_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hokulani Waikiki by Hilton Grand Vacations,"July 5, 2019","As with every other Hilton resort I have ever visited. Hokulani is gorgeous. Right near the beach, there are shops and restaurants everywhere. The one bedroom suite that we occupied, was very beautiful. Full kitchen, three tv's (one in the mirror in the bathroom), dishwasher, it even had a rice cooker. All the amenities you need for a comfortable getaway. This place is a must","Detroit, Michigan","Kevin L</div><div class=""userLoc""><strong>Detroit, Michigan</strong>",12,5.0
745143607,https://www.tripadvisor.com/Hotel_Review-g60982-d4604031-Reviews-Hokulani_Waikiki_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hokulani Waikiki by Hilton Grand Vacations,"February 14, 2020","Very nice property. About a block or so from the beach. Lots of eating options nearby but we were also able to cook some small meals in the kitchen. There was a drip coffee maker and a rice cooker. Pots and pans were also good quality. We stayed for a week so cooked several of the days. Very large bathroom which probably appeals to many guests, underutilized by us as a long soak in the tub seemed less interesting than all the loveliness outside. Parking attendants were great, very efficient. $40 a day is a lot but you are in the heart of the tourist area. We did drive out most days and found it convenient to see areas other than Waikiki. But also enjoyed just walking to things nearby so probably would still stay in same area if we come back. Staff was very friendly. Some downsides. Bed was very soft. We were on the 5 th floor above the AC and near the street. Both were loud so we could not keep the patio doors open. We had asked to switch but they said they were all booked. ",Boston,"Travelpurple</div><div class=""userLoc""><strong>Boston</strong>",34,4.0
744613355,https://www.tripadvisor.com/Hotel_Review-g60982-d4604031-Reviews-Hokulani_Waikiki_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hokulani Waikiki by Hilton Grand Vacations,"February 12, 2020",Hotel service was outstanding. The view and the roof top “pool” were less than expected. Pool was 3 foot deep and about 5 foot wide. The staff service made up for these short comings. Cassel was especially friendly and helpful as was Sue.,,581dalef,0,5.0
744163128,https://www.tripadvisor.com/Hotel_Review-g60982-d4604031-Reviews-Hokulani_Waikiki_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hokulani Waikiki by Hilton Grand Vacations,"February 10, 2020","Stay was pleasant, easy walk to beach, restaurants, shopping! We came with our young family and there was something for everyone! Would recommend to friends and would definitely return! Small but usable kitchen for easy meals in the go! ","Colorado Springs, Colorado","annewestares</div><div class=""userLoc""><strong>Colorado Springs, Colorado</strong>",0,5.0
742715678,https://www.tripadvisor.com/Hotel_Review-g60982-d4604031-Reviews-Hokulani_Waikiki_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hokulani Waikiki by Hilton Grand Vacations,"February 2, 2020","The Hokulani is gorgeous. It’s clean, fresh, and has an amazing, welcoming staff. It is situated directly amongst a ton of shops and a 5 minute walk to the beach. I have zero complaints & can’t wait to go again!!!!","San Clemente, United States","gerisuej2018</div><div class=""userLoc""><strong>San Clemente, United States</strong>",12,5.0
742527824,https://www.tripadvisor.com/Hotel_Review-g60982-d4604031-Reviews-Hokulani_Waikiki_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hokulani Waikiki by Hilton Grand Vacations,"February 1, 2020","The hotel is perfect. Right in the centre of Waikiki Beach. 5 mins walk to the beach, across the road from shops and next to restaurants and cafes. The rooms are spacious, immaculately clean and there is a laundry on every floor. The gym and pool area are great. High quality, clean and spacious. This is an ideal location and would return ","Cirencester, United Kingdom","joby69</div><div class=""userLoc""><strong>Cirencester, United Kingdom</strong>",221,5.0
741300011,https://www.tripadvisor.com/Hotel_Review-g60982-d4604031-Reviews-Hokulani_Waikiki_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hokulani Waikiki by Hilton Grand Vacations,"January 26, 2020","We have enjoyed many vacations with RCI. The staff employed at these resorts have always been willing to please and very helpful. However, ALL employees at the Hokulani employees were top notch. I wish I could thank each one personally. This includes the desk employees, concierge, valet and housekeeping. Kudos to them all.","Lyndhurst, Ohio","cherylwQ1449QI</div><div class=""userLoc""><strong>Lyndhurst, Ohio</strong>",0,5.0
741206138,https://www.tripadvisor.com/Hotel_Review-g60982-d4604031-Reviews-Hokulani_Waikiki_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hokulani Waikiki by Hilton Grand Vacations,"January 25, 2020","This is beautiful hotel right in the heart of Waikiki. The rooms are spacious and very updated. Better than the hotel, though, is the staff - they are warm & friendly. They really bring the warmth of the islands to your stay. Kudos to the Parking Attendants - the best ever!","Fort Lauderdale, Florida","terriemas1155</div><div class=""userLoc""><strong>Fort Lauderdale, Florida</strong>",0,5.0
740256210,https://www.tripadvisor.com/Hotel_Review-g60982-d4604031-Reviews-Hokulani_Waikiki_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hokulani Waikiki by Hilton Grand Vacations,"January 20, 2020","Great resort in all aspects. Staff, location and unit. Exceeded expectations. Rooftop pool with private cabanas that had TVs, fridges and lots of seating. There was also a rooftop bar available. Would go back at any time.","Regina, Canada","Mpatel12345</div><div class=""userLoc""><strong>Regina, Canada</strong>",0,5.0
