review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752004683,https://www.tripadvisor.com/Hotel_Review-g60982-d12077161-Reviews-Holiday_Inn_Express_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Holiday Inn Express Waikiki,"March 29, 2020","They were very helpful from check in to check out. We checked out early to go to an early morning event, only to find out that it had been cancelled. The hotel was very accomdating with holding our luggage and providing us a place to shower and change even after we had checked out. The concierge was also very helpful in planning events. The only thing is if you're in Hawaii it'll be expensive! Very great service, everyone was always very friendly and helpful at all times! Breakfast was also very nice with plenty of options! Great choice for your money!","Milwaukee, Wisconsin","Andrew H</div><div class=""userLoc""><strong>Milwaukee, Wisconsin</strong>",1,5.0
751320057,https://www.tripadvisor.com/Hotel_Review-g60982-d12077161-Reviews-Holiday_Inn_Express_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Holiday Inn Express Waikiki,"March 18, 2020","This seems to be an older property that was remodeled and our room looked good with modern styling. We were high up and actually got a corner room with a view that can't be beat. We could watch the surfers at Waikiki and also see all the way around to the canal behind. I would say that the bathroom is tight and it is difficult to get past the toilet to get into the tub but there is a grab bar. Other than that, it is a good hotel with a large breakfast area and friendly front desk people. The pool area is nice but on the 5th floor so not really a view from there. There is putt putt and shuffle board that were used by families. We sat there to relax after a long day of sightseeing so we did not mind the late afternoon shade. The hotel is slightly further from the Waikiki beach but those hotels are higher price and beach was not part of our plans.","Grapevine, Texas","slix1</div><div class=""userLoc""><strong>Grapevine, Texas</strong>",32,4.0
750182111,https://www.tripadvisor.com/Hotel_Review-g60982-d12077161-Reviews-Holiday_Inn_Express_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Holiday Inn Express Waikiki,"March 9, 2020","The place is in the heart of Waikiki. Before we even planned going to Honolulu, I have searched for a reasonable hotel with good rating and breakfast included. And this was it. I joined us for their club member rate. It’s basically the same as local rates and senior rates. Except these one, we’ll earn points. We got to the hotel, went straight to the parking lot on 2nd floor. Bring the parking ticket and head to Lobby. They will validate the ticket so you can leave anytime just place the barcode into the machine and the next time you come back, they see your car plate number in the camera, they just open. Parking fee was expensive though, $35 plus tax a day. Our room was great. We stayed at the 33rd floor and the wind was howling all the time. If you’re don’t mind it, it’s fine. If not, request for lower floors. The view was great too. Breakfast was awesome. Plenty of tables. Good selection of items. Staffs were so nice. Everyone were very friendly and helpful. We love it. Next time we come back Honolulu. We’re staying here again. Highly recommended!!!",,localwahine,26,5.0
748934791,https://www.tripadvisor.com/Hotel_Review-g60982-d12077161-Reviews-Holiday_Inn_Express_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Holiday Inn Express Waikiki,"March 3, 2020","We stayed here recently for 6 nights and booked 2 ocean view twin rooms.The rooms themselves were on the smaller side however we knew this prior to booking. The rooms were clean and presentable with most amenities you would need. The beds and pillows were quite comfortable and allowed for great sleeps following long days being a tourist! The air con however was like a truck parked next to the room.The property itself is looking a bit tired and in need of a face lift. Scuff marks on walls, worn furniture in lobby etc.We used the pool facilities once however the spa was only hot for one day out of the time we were there. Breakfast was nice and plenty of it!","Brisbane, Australia","bittenhard</div><div class=""userLoc""><strong>Brisbane, Australia</strong>",21,3.0
748048561,https://www.tripadvisor.com/Hotel_Review-g60982-d12077161-Reviews-Holiday_Inn_Express_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Holiday Inn Express Waikiki,"February 27, 2020","Friendly staff, good service, small rooms but decorated nicely, our bed is comfy. But we are disappointed that the Jacuzzi is cold. We asked 3days in a row for them to heat it to only find out that this has been a on going issue. Which would have been nice to know instead being told we will reset it and our evening routine of changing clothes and heading to the hot tub, only to find it’s still ice cold. Fix the heater! We are on vacation we want to soak before bed!","Santa Clarita, California","816leannc</div><div class=""userLoc""><strong>Santa Clarita, California</strong>",1,3.0
747067081,https://www.tripadvisor.com/Hotel_Review-g60982-d12077161-Reviews-Holiday_Inn_Express_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Holiday Inn Express Waikiki,"February 23, 2020","We stayed at a Holiday Inn for our first time in San Diego and was pleasantly surprised. Our experience here was the same. The staff were all very nice from check in to check out. We chose this hotel because of the cost, the breakfast that is included, the jacuzzi, outdoor games (large chess, large shuffle board, the small mini putt course & the gaming room. When we arrived, It was as the pictures showed. There was no fooseball & no ping pong table. The pool water was ice cold! I only saw a few brave children go in. One disappointment was that they charge a resort fee of $25 a day. Not something I’d expect to pay at an Inn. I was upset because they did not inform me of that when I booked. Rooms: pretty small, but enough space for the 3 of us to be comfortable. Beds & pillows were comfortable. Better than some high end places we’ve stayed at. The ac was a minor inconvenience. It is a little louder than most window units. I did not like the fact that it turned on & off every once in awhile. I understand the reasoning behind that. But when it turns back on, it loud & startled me a few times. The shower head is a bit low. So if you’re taller than 5’8”, this will be an issue. Location: a little ways out from the heart of Waikiki. Not ideal when walking back late at night. But if you’re a family like us, we enjoy walking so it wasn’t much of an issue. Breakfast: not sure why some people are grumbling about a breakfast that’s included in the hotel room cost. It was a good breakfast. Everyday there was sausage patties, biscuits & gravy, yogurts, cinnamon rolls, pancakes, bread, muffins, bagels, cereal, juice & coffee. The main dishes changed daily. Bacon, link sausage, egg whites, scrambled eggs, cheese omelette. Parking: stalls are limited. They have 146 stalls & 596 rooms. Cost is $35 a day. If you can’t get a stall, you park across the street. Not sure what they charge. ","Kaneohe, Hawaii","46kvrv</div><div class=""userLoc""><strong>Kaneohe, Hawaii</strong>",5,4.0
746785998,https://www.tripadvisor.com/Hotel_Review-g60982-d12077161-Reviews-Holiday_Inn_Express_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Holiday Inn Express Waikiki,"February 22, 2020","I'll start off by saying the staff is very nice!!!!! But not real impressed with the hotel itself. Our room was very strange... we had to go to 1 floor above and then go down 2 flights of stairs that were pretty steep to get to room(there is no other way) Yes while carrying huge luggage-which also means every time you went in and out of room you were going up & down stairs!!!! Even though room was a ""suite"" it was so small and the bathroom was ridiculously small! You have to turn sideways to get in the bathroom door literally and almost stood in the toilet while exiting the shower. The laundry facility is very sketchy! I made my husband go with me every time I went there because it had straight access to the parking garage which anyone can sneak into. Someone could be laying in wait and attack a person as they are using the key card to enter the room. very dangerous and scary.","Alton, Illinois","Melinda P</div><div class=""userLoc""><strong>Alton, Illinois</strong>",1,2.0
746615199,https://www.tripadvisor.com/Hotel_Review-g60982-d12077161-Reviews-Holiday_Inn_Express_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Holiday Inn Express Waikiki,"February 21, 2020",One of the smallest rooms I’ve ever stayed in. Bed was comfortable. Room was clean. Price was right. Now for the best part.....the breakfast. Among the best buffets.....tons of selection and quality chow. Location is ok....not too far to the beach. Parking is slim.....so get a spot and only leave when you need to. Aloha.,"Reading, Pennsylvania","SHayes3</div><div class=""userLoc""><strong>Reading, Pennsylvania</strong>",37,3.0
746386549,https://www.tripadvisor.com/Hotel_Review-g60982-d12077161-Reviews-Holiday_Inn_Express_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Holiday Inn Express Waikiki,"February 20, 2020","I stayed here with my sister Feb 6-10. And honestly the best thing about this hotel is Nore from Morocco at the tour desk. He made our trip a memorable one by our go to person if we had any questions and he was super informative. He’s an asset to this hotel and I believe he should be in a managerial position. Not one day went by where he didn’t check up on us or greet us with a smile, and based our observation he was that way with all of his guests. I’ll post a pic, so that future guest can look out for this awesome guy. Anyways let’s get into the real story. So we checked in very late because our flight arrived from Las Vegas about 10:30p. The check in process was smooth and Derek was polite. My sister and I requested two beds but apparently that was an extra fee so we decided to stick with the king bed. Our room was 1507..avoid this room at all costs. I’ve been to many hotels and this is the smaller room I’ve ever come across. It’s literally a cubicle. There’s no room for TWO people to walk and I bumped my feet on furniture SEVERAL times and when I got home I had several bruises on my legs. These rooms are only suitable for sleeping. There is no privacy at Atlanta. Otherwise you’re gonna feel like you’re in a cell. On our final night the fire alarm went off at 4am. When we evacuated our room we were told it was a “false alarm”. No apology. No compensation from the hotel. We couldn’t go back to sleep and my sister and I had anxiety and felt panicky all the way back to Las Vegas. It was terrible.Overall the hotel was clean and tidy. ",Jamaica,"kellesaht</div><div class=""userLoc""><strong>Jamaica</strong>",16,1.0
745268623,https://www.tripadvisor.com/Hotel_Review-g60982-d12077161-Reviews-Holiday_Inn_Express_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Holiday Inn Express Waikiki,"February 15, 2020","The rooms are quite small and cramped. While they are indeed clean, this is by far the loudest hotel room I have ever stayed in. I am a professional pilot of 27 years and have stayed in countless hotel rooms. You can very clearly hear people’s conversations in not only adjacent rooms, but rooms across the hall, as well. People talking in the hallways sound as if they are actually in your room. That is, you can hear them when the cheap bargain basement window unit air conditioning isn’t running. These awful a/c units endlessly cycle on and off. They are so loud, you can’t hope to carry on a conversation or watch tv while they are running. They also positioned the units adjacent to the beds, so that when the unit is running, its right next to your head and blowing air directly in your face as you are trying to sleep. I was on the 35th floor and it sounded as if they were actually piping in the street noise from far below. Then there is the breakfast. On the surface, it looks okay, but when one starts eating the food, you find out that looks are deceiving. The eggs are downright awful. The sausages are terrible. The orange juice was so watered down that it was virtually tasteless. Stick with toast or cereal. The staff is courteous and helpful. The location is fair. However, I couldn’t stand more than one night. WAY too much noise!!!!!","Birmingham, Alabama","B747-400Driver</div><div class=""userLoc""><strong>Birmingham, Alabama</strong>",0,2.0
745129634,https://www.tripadvisor.com/Hotel_Review-g60982-d12077161-Reviews-Holiday_Inn_Express_Waikiki-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Holiday Inn Express Waikiki,"February 14, 2020","Received room 907. Cost was $219.54 with tax for one night. But wait, there is a mandatory $29 resort fee. Driving a car... That's another $36.65 per night please. Walls seem paper thin, you can easily hear the neighbors. Rooms are very tiny. I just flew 9 hours to get here and I feel that the bathroom is about the size of the one on my airplane. Room wasn't very clean, hairs in the bed and in the shower. Room is tiny.Room had an odor like mildew and the room ac is very noisy.I know this is Hawaii but come on. I guess the goal at this hotel is to rip off the tourists from the mainland.","Mesquite, Nevada","tonyk1981</div><div class=""userLoc""><strong>Mesquite, Nevada</strong>",22,2.0
