review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
749221499,https://www.tripadvisor.com/Hotel_Review-g1066451-d10234426-Reviews-Hotel_Allamanda_Aoyama-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Allamanda Aoyama,"March 5, 2020",Not very clean considering Japanese cleanliness standards are pretty high and this hotel falls very short of the mark. The carpets are all stained quite badly. We had to ask to change rooms. The second one wasn’t any better. The furnishings are old and dated. There are gaps between the outlets and the wall - unfinished and poorly done. The walls are all marked with luggage skid marks. The bathrooms have mold and a rusted roof access panel. Common areas are ok. But one of the saddest hotels I’ve been to in Tokyo and I’ve been to many. Will never stay here again.,,vikkiw2016,0,1.0
739264530,https://www.tripadvisor.com/Hotel_Review-g1066451-d10234426-Reviews-Hotel_Allamanda_Aoyama-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Allamanda Aoyama,"January 15, 2020","We enjoyed our suite - it was spacious, super clean and was very comfortable. The location was close to Ginza line station so getting around was easy. Staff were very helpful and helped us with planning our day and options for getting around. Thankyou","Melbourne, Australia","ndeleu</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",1,5.0
723496475,https://www.tripadvisor.com/Hotel_Review-g1066451-d10234426-Reviews-Hotel_Allamanda_Aoyama-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Allamanda Aoyama,"November 3, 2019",The room we had was very tired and old. The carpet was light and therefore very stained. The walls were very dirty and bumped . Nothing like the pictures on the website. Lights not working and dressing table mirror stand broken. Not what one would expect from a 5 star boutique hotel,"Perth, Australia","J470HScarolc</div><div class=""userLoc""><strong>Perth, Australia</strong>",4,1.0
722671630,https://www.tripadvisor.com/Hotel_Review-g1066451-d10234426-Reviews-Hotel_Allamanda_Aoyama-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Allamanda Aoyama,"October 30, 2019","My room was huge, with modern furnishings and was very quiet. The staff was excellent. Located near a subway stop, there are numerous eating and shopping choices in the area. This is a good central location for exploring Tokyo. Only a few subway stops from both Shibuya and Shinjuku, you could walk to both is inclined (it took me twenty minutes to walk to Shibuya Crossing). About a thirty minute subway ride to sites on eastern side of town (Ueno Park and Asakasa Shrine).",,295garyw,6,5.0
698192721,https://www.tripadvisor.com/Hotel_Review-g1066451-d10234426-Reviews-Hotel_Allamanda_Aoyama-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Allamanda Aoyama,"August 12, 2019","This was our first time staying in this hotel. We were not disappointed. We booked two Modern Double Rooms for the five of us. Two adults and two teens and a child. Very spacious. Excellent shower design. We loved it. Nice amenities. Comfortable bed and quiet location. 1 minute walk to the Gaiemae Subway station. It's on the GInza Line and was very convenient. It's a Japanese boutique hotel. We didnt require breakfast, or any facilities in the hotel. We simple needed the room and shower. Concierge Dean Andrew was helpful with restaurant reservations. Taxis didn't know the hotel. Show them the map that comes with the hotel key, and no problems getting to the hotel. Complimentary bottles of water given each day. Housekeeping very attentive. Clean and I like how they observe my preferences. I hate housekeeping that moves everything back to their original spots everyday. Amenities were nice. Level 2 is the main entrance, which is entered from the Stadium street and there is a driveway that you have to turn in and up the ramp to the roundabout of the entrance. Many taxis wouldn't know that entrance. The only complaint I have was , we were on Level 8, and each morning and late at night, I don't know why there are lots of noise thumping, and banging above us. Level 9 is not guest room floor. I am assuming it's from the fitness center and spa that is on level 10. We may return to this hotel in the future if the price is not too expensive. ","Hong Kong, China","Katetam</div><div class=""userLoc""><strong>Hong Kong, China</strong>",343,5.0
697764818,https://www.tripadvisor.com/Hotel_Review-g1066451-d10234426-Reviews-Hotel_Allamanda_Aoyama-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Allamanda Aoyama,"August 11, 2019","Not just the bedroom but the bathroom is spacious too. The traditional Japanese breakfast was delicious! If you’re coming on the Ginza line subway with lots of luggage, look for the elevator to the ground level at exit 4a.",,aquasingapore,0,5.0
663099641,https://www.tripadvisor.com/Hotel_Review-g1066451-d10234426-Reviews-Hotel_Allamanda_Aoyama-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Allamanda Aoyama,"April 2, 2019",I really liked staying here. Big room. Big bed Quiet close to metro nice staff and good breakfast. Spent 6 nights here and booked the same room for our last night 3 weeks later. Not cheap but I think good value for Tokyo. Our room was something like 500 ft.thats big. We were in the 2 nd floor and it was quite. Good hotel layout/location behind the Main Street and room face another building no view but no noise either,"Redondo Beach, California","John S</div><div class=""userLoc""><strong>Redondo Beach, California</strong>",34,5.0
662149427,https://www.tripadvisor.com/Hotel_Review-g1066451-d10234426-Reviews-Hotel_Allamanda_Aoyama-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Allamanda Aoyama,"March 29, 2019","The rooms are pretty spacious for Tokyo. Excellent location. I would like congratulate the staff, as the front desk service is really exceptional, really makes a difference in the stay. Will book again. I would recommend additional plugs in the night stands and USB ports to charge electronics.","San Diego, California","penny l</div><div class=""userLoc""><strong>San Diego, California</strong>",3,5.0
637357296,https://www.tripadvisor.com/Hotel_Review-g1066451-d10234426-Reviews-Hotel_Allamanda_Aoyama-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Allamanda Aoyama,"December 3, 2018","I had a really enjoyable stay here. This was my first stop on my trip in Japan and I rented a Modern Double Room - it was large and luxurious. The bed was very comfortable and the room was super quiet - the bathroom was spacious, the was shower top notch. Service was extremely polite and obliging. This hotel is located a short walking distance from Meiji Shrine, Shibuya, and Harajuku. Roppongi is about a 40 minute walk away. The nearest train station is only one minute away and it was easy to get to Tokyo Station (~15 mins). Lots of options for food all around....Aoyama is a high end neighborhood and we easily found delicious breakfast, wagyu beef restaurants, and ramen. I would absolutely stay here again if I go back to Tokyo. Thank you Hotel Allamanda for a lovely stay.","Vancouver, Canada","steez</div><div class=""userLoc""><strong>Vancouver, Canada</strong>",28,5.0
637259914,https://www.tripadvisor.com/Hotel_Review-g1066451-d10234426-Reviews-Hotel_Allamanda_Aoyama-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Allamanda Aoyama,"December 3, 2018","I notice that the reviews of this hotel vary widely. We stayed here for 5 nights recently.Our first room was very large as requested ( even by Tokyo standards ) but it was outdated and bathroom was tired. We then realized that there were more recently renovated rooms available and switched to a slightly smaller but updated room. This made a huge difference and we thoroughly enjoyed our stay. Room was still spacious and well planned. No views but this did not matter to us.Service was excellent. Staff went out of their way to help us.Breakfast was good but not cheap. We did not choose the breakfast plan since there was no deal and it gave us options to eat elsewhere.Location is great but one has to realize that Tokyo is so huge, there is no single optimal location.This is a very pleasant area of Tokyo and the subway is steps from the hotel. The hotel is quiet and feels more like a serviced residence than a hotel. Overall a wonderful place to stay. Quiet, well located and wonderful staff","Montreal, Canada","Tokalosh</div><div class=""userLoc""><strong>Montreal, Canada</strong>",187,5.0
