review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751909991,https://www.tripadvisor.com/Hotel_Review-g1066442-d307334-Reviews-Hotel_Chinzanso_Tokyo-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Chinzanso Tokyo,"March 27, 2020","Wonderful hotel in a delightful setting. Surrounded by a lovely garden with a stunning old three-tier pagoda, this hotel is a dream: great service, comfortable rooms, tasteful furnishings and, probably, the most comfortable bed I have ever slept in. Has a spa, and a pool, a few restaurants and could be a destination in itself. Much recommended.","London, United Kingdom","elenamc2018</div><div class=""userLoc""><strong>London, United Kingdom</strong>",2,5.0
744616192,https://www.tripadvisor.com/Hotel_Review-g1066442-d307334-Reviews-Hotel_Chinzanso_Tokyo-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Chinzanso Tokyo,"February 12, 2020","Driving from Narita Airport, it took about one hour to arrive at Hotel Chinzanso Tokyo. There are ample parking spaces (up to 400) available and for guests staying a daily parking fee of 1,000 yen is charged. After a simple registration we were shown to Room 929, a Prime Deluxe King with Garden View.The room is very spacious, about 60 sq.m, with a sitting room having a large writing desk, a sofa and marble side table, along with a comfortable king-sized bed. There is a separate powder space with vanity, before entering into the bathroom with bathtub and a shower stall. The toileteries are also premium, from L'Occitane.As the hotel is famous for its garden, before getting too dark we went for a walk. The garden entrance is located on 1/F, and after coming out from the hotel, we walked down a U-shaped slope through the woods, and soon saw the Monument of Chinzanso, with the engraved words of Duke Yamagata Aritomo when he named Chinzanso in 1878.Crossing the beautiful red Benkei Bridge, there are 20 or so Rakan stone statues, representing some of the 500 rakan drawings by Ito Jakuchu, a famous painter in the middle of the Edo Period. Each of the statue is about 50 cm tall.Continuing there is the Koshin Stone Monument. Carved in 1669, it depicts the beliefs of the Koshin school of Taoism. In front there is the Yusuichi Pond. It was created when the garden was first constructed, with a gourd-shaped having a lot of big and beautiful Koi swimming inside.Further along there is a famous well called Kokosei, with the quality of the spring water being recognized as the best in Tokyo. Beside the well there is the 13-tier granite monument honoring warrior tea master Oda Yuraku, the younger brother of Oda Nobunaga, the famous military commander.Along the path we saw the statues of the seven gods of fortune. Ebisu is the god bringing business prosperity and fishing success, also serving as the protector of those who loves the sea, fishing and sailing, as evidenced by the fishing rod and sea bream he is holding. It is also interesting to see the staff preparing the raincoat for the gods on the day.Soon we reached the two buildings in the garden, one being the restaurant we were going for dinner on the night, Mokushundo. The restaurant offers unique iron-kettle and stone-grilled kaiseki cuisine, while the other is the historic Zangetsu Teahouse. Baron Fujita relocated the teahouse from a villa in Hakone and now is recognized as a Tangible Cultural Property.Continuing we passed the sacred tree, the oldest tree in the garden at about 500 years old with a trunk of 4.5 metres in circumference and 20 metres high, before seeing two more of the seven gods of fortune: Jurojin, the god of longevity, and Hotei, the god of luck.Then we came to probably the most famous monument in the garden, the historic Entsukaku Three-Storey Pagoda. Relocated in 1924 from a temple in Hiroshima Prefecture, this legendary pagoda is said to have existed since around the 12th century. Tests show that many of its materials date from circa 1420. During a major renovation, it was consecrated in honor of Kanzeon Bosatsu, the Buddhist Goddess of Mercy.Beside the pagoda there is also a stone lantern, dated to the late Kamakura period (14th century), and praised by many experts as a masterpiece of the Hannyaji style. Coming downhill we saw two other seven gods of fortune: Bisyamonten, the god of wisdom and bravery, and Fukurokuju, the god of fortune, wealth and longevity.Then right in front we saw the crystal chapel, in which the hotel is famous for, and no wonder it is a premium and popular place for weddings. The Gojo waterfall beside has a 'hidden passage' where one can see through the waterfall to the garden.Returning to the hotel building, we came across the last two of the seven gods of fortune: Benzaiten, the goddess of music, eloquence and fortune, and Daikokuten, the god of the five cereals.After wiping ourselves dry with the towels provided, we went to the lobby lounge Le Jardin for afternoon tea. Looking at the greenery while comfortably sitting in the elegant sofa and table, I had the Dessert Set (1,900 yen), enjoying a rich and tasty New York Cheesecake with Strawberry Ice-cream, and a cup of coffee.After a good sleep, on the next morning we went to the Japanese restaurant Miyuki for breakfast. With an elegant and traditional atmosphere, the hearty breakfast includes Salmon and Grilled Vegetable in Sweet Vinegar, Pickled Plum, and Small Dishes of the Day; Japanese Grated Yam; Boiled Vegetable Oshitashi; Simmered Eggplant; Grilled Fish of the Day; Rolled Egg Omelet, Grated Daikon Radish, Salted Cod Roe; Steamed Rice, Pickles and Miso Soup; and Fresh Juice.Another compliment I have is that the hotel concierge was very helpful in purchasing tickets for the recently opened Snoopy Museum, saving us the time later to queue up. Overall we were very satisfied of our stay in Hotel Chinzanso Tokyo, with spacious and comfortable room, delicious food, impeccable service and the really nice garden. It is worth every penny I pay for.Prime Deluxe Room with Garden View (including breakfast for two) - 68,460 yen","Hong Kong, China","Peter C</div><div class=""userLoc""><strong>Hong Kong, China</strong>",159,5.0
738957564,https://www.tripadvisor.com/Hotel_Review-g1066442-d307334-Reviews-Hotel_Chinzanso_Tokyo-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Chinzanso Tokyo,"January 13, 2020","Some years back, I stayed at the Four Seasons Chinzanso, and though is was drenched in signature Four Seasons style and decor, something still felt off... but seconds after my arrival to The Hotel Chinzanso, that feeling of something was off... Vanished, and Hello Gorgeous.I stayed two nites to pick up some Sake, no that's not the reason, did you think I was crazy?After a long 18Hr flight from Australia [4 hour connection in Singapore] I decided to break up my air travel with two nites in Fabulous Tokyo. I began reading reviews right here on Trip Adviser and Thank You [Yorkieboy61] and his review along others, I decided to check it out, I already love the area.I arrived early morning, looking like I flew in Cargo [deep discount economy] all the way, and yet I was greeted warmly with big smiles... and it continued this way for 29Hrs. They must have taken pity on my because I was checked in, upgraded to a suite and shown to my room within minutes.My room was located on a high floor, and a great view of the city. The suite was large, and the bathroom even larger... well it seemed that way to my jet-lagged eye's. Plush towels, L'Occitane amenities and a great big ole king size bed, allowing me two perfect nites slumber... ZzzzzzI was in Tokyo this past November and holiday spirt was in the air, and my Centurion needed some action, so after a long hot shower and room service, I ventured out sightseeing and shopping, after all I needed Sake... The Hotel Chinzanso, [like the former FS] is an enormous hotel and I swear there were 1,000 weddings taking place or maybe a couple, so I stayed away from that part of the hotel, and though I heard the hotel had a wonderful Gym, [so so so sad I had no gym clothes packed ;-p] also an amazing Spa [I did my spa-ing in Australia] I can't wright anything about them or where they are in the hotel.I had four meals within the hotel, once at ll Teatro, once at Miyuki Shut-The-Front-Door amazing yum yum yummy... too bad it was on my last nite... and twice room service.I have not an ill word to write about this Five Star property, but should you stay elsewhere [shame on you] you have to dine here!Travel can be harsh, be kind to your fellow traveler and enjoy the world and its diversity.","New York City, New York","TheTrvlGuy</div><div class=""userLoc""><strong>New York City, New York</strong>",252,5.0
738887970,https://www.tripadvisor.com/Hotel_Review-g1066442-d307334-Reviews-Hotel_Chinzanso_Tokyo-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Chinzanso Tokyo,"January 13, 2020","So I was here on a short business trip . Hotel was nice , rooms reasonable size and well appointed in slightly old fashioned style. Staff is amazing and only too happy to help with anything you need in all areas of the hotel. Main downside for a tourist is this hotels location which is not close to any major centre. It’s a 10-15 minute walk from the nearest subway station that is not on a convenient line so going to any major location requires transfer(s). As such you might find taxis as easier but more expensive transport alternative. Otherwise a very pleasant stay !! ","Melbourne, Australia","FryMB</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",32,4.0
734084970,https://www.tripadvisor.com/Hotel_Review-g1066442-d307334-Reviews-Hotel_Chinzanso_Tokyo-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Chinzanso Tokyo,"December 22, 2019",I stayed Chizabso 12/8/19 for one night with friends. The rooms are good size with nice view. Have very comfortable beds and good amenities. We had a dispute regarding restaurant's bill but the manager of restaurants was very corteous and solved problem quickly. I strongly recommend Chizanso. ,"Belvedere, California","KO412014</div><div class=""userLoc""><strong>Belvedere, California</strong>",6,5.0
732148895,https://www.tripadvisor.com/Hotel_Review-g1066442-d307334-Reviews-Hotel_Chinzanso_Tokyo-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Chinzanso Tokyo,"December 11, 2019","We were upgraded to a room with a garden view. Try to book these rooms if you can, because the garden is one of the best features of the hotel. Our early December stay coincided with the Autumn foliage, and let me tell you, it was stunning. Our room was huge by Tokyo standards, the staff was nice but not intrusive. Nice little extras like maple baumkuchen, good coffee/tea, and L'Occitane products. The location is a bit away from the other tourist spots and we found this to be a plus, even if we had to walk a bit more and take a few more cabs. Overall, such a great value for the money.","Seattle, Washington","snyre</div><div class=""userLoc""><strong>Seattle, Washington</strong>",114,5.0
731940530,https://www.tripadvisor.com/Hotel_Review-g1066442-d307334-Reviews-Hotel_Chinzanso_Tokyo-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Chinzanso Tokyo,"December 10, 2019","Unforgettable experience with the most enthusiastic and kind staff. Rooms are not only spacious but clean. The gardens are an unforgettable experience, full of history. The restaurants are like a dream",,X6444BUdanielm,0,5.0
729902187,https://www.tripadvisor.com/Hotel_Review-g1066442-d307334-Reviews-Hotel_Chinzanso_Tokyo-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Chinzanso Tokyo,"November 30, 2019","Our stay at this wonderful hotel coincided with the end of a celebratory trip to mark a significant birthday. We wanted to stay in a Tokyo hotel which would give us a sense of occasion and this hotel certainly lived up to that promise.This is obviously a luxury hotel (replete with luxury hotel price tag) and the rooms, service and garden setting are all magnificent. It sits high atop a hill in Tokyo and the city views from our room were expansive and certainly gave a sense of place and a feeling of space. As others have mentioned, there doesn't appear to be a buffet breakfast, and the set menus in Il Teatro (the breakfast room) are a little restrictive. Of course, by the second day, we learnt to push things a little and ask for some cereal, which was of course not a problem. As we were slow to realise, nothing would be a problem here, because the hotel is so focused on giving great customer service. (Yoshinari Chinen was such a welcome face every morning at Il Teatro. What service he gave to us! Thank you!)And the service everywhere in the hotel, from concierge to wait staff, was everything you could wish for. Unfailingly polite, extremely helpful, amazingly patient.We only ate in the bar at night as our days were long and involved much walking and we only wanted a snack. The bar menu was small but lovely and caters for those less inclined to dress up or spend big. Be warned, the bar doubles as a cigar lounge but we were offered a seat outside in the entrance area and found it perfect to our needs. (The service by Tomaoki Oshino here was fabulous! He ""got us"" straight away and hence the reason why we went back on our last night.)Walking to the nearest subway was not an issue for us - you can take the pathway through the garden and then stroll along the river, or you can head down the hill (faster) to the busy street, where you also will find a 7Eleven and a Lawson's, in case you need a few supplies. What we didn't realise was that there was a bus stop outside the hotel which would take you in the opposite direction to the Toden Awakara Line, the last streetcar line in Tokyo. One of our must do's for this trip was to catch this streetcar, however we headed off via the subway and caught it from a completely different location, not realising it was up the road. You live and learn.This hotel proves that great service is alive and well. If you want to treat yourself to a lovely stay, you couldn't find a nicer place. Welcome to Tokyo, and welcome to true 5-star service!","Sydney, Aust","TheWard</div><div class=""userLoc""><strong>Sydney, Aust</strong>",88,4.0
726883088,https://www.tripadvisor.com/Hotel_Review-g1066442-d307334-Reviews-Hotel_Chinzanso_Tokyo-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Chinzanso Tokyo,"November 16, 2019","I stayed in Hotel Chinzanso with my mother during the early October for four nights (including Typhoon Hagabis). You absolutely can say nothing negative about the service at this hotel - everyone I met on their staff was unfailingly polite, prepared, accommodating, and kind. We utilized a couple of the restaurants, mostly The Bistro because we wanted some Western food in addition to the Japanese food we had while touring. It was very good quality and variety. The location is a short cab ride to the subway, which was convenient, but we utilized taxis mostly so it was fine for our purposes. They handled the typhoon like champs - little to no interruption in services at the hotel. We felt very safe and cared for during that time due to the attentiveness of their staff. As a side note, we are Catholic and stayed over a Sunday, so we were pleased that the Seikiguchi Cathedral is literally across the road and walkable from the hotel. We highly recommend the service at this hotel - we had a lovely stay!","Accokeek, Maryland","kristinw796</div><div class=""userLoc""><strong>Accokeek, Maryland</strong>",24,5.0
724557742,https://www.tripadvisor.com/Hotel_Review-g1066442-d307334-Reviews-Hotel_Chinzanso_Tokyo-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Chinzanso Tokyo,"November 6, 2019",Spent a one night stay in this beautiful and grand hotel away from the busy Tokyo down town area. The hot spring facilities are very nice with a outdoor swimming pool. Food is good in both Western and Japanese restaurants. Room is huge with good city or garden view.,"Shanghai, China","1955Joseph</div><div class=""userLoc""><strong>Shanghai, China</strong>",6,4.0
