review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
750508949,https://www.tripadvisor.com/Hotel_Review-g1066449-d301686-Reviews-Hotel_East_21_Tokyo-Koto_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel East 21 Tokyo,"March 11, 2020","We loved Hotel East 21 Tokyo! Nightly price was very affordable, the amenities offered in the room was probably the best I've had for the price we paid. The room was always nice and tidy, and they always ended up refilling our shampoo/conditioner/body wash-- which was nice because in the U.S., you usually only just get that one travel size bottle. Some reviews complained that the hotel was too far from a metro station, but the walk really wasn't that bad. A big plus was that it was minutes away from a 711 and also inside a plaza. The staff was welcoming and accommodating. We were a party of 2 so we booked the small double room and I do want to point out that the space is very cozy but sufficient. Our room was also nice to have a city view of Tokyo. The hotel also offers shuttles to/from the airport and to/from Disney Sea/Disneyland for a fee, which was super convenient. ",,darlenechou,0,5.0
682805377,https://www.tripadvisor.com/Hotel_Review-g1066449-d301686-Reviews-Hotel_East_21_Tokyo-Koto_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel East 21 Tokyo,"June 19, 2019","Location about 10 minute walk to the nearest metro. But lots of eateries nearby, even a supermarket nearby. They provide free shuttle to disney resort and paid shuttle to skytower and odaiba. Staff provided excellent serviceOverall, would stay here again.","Orange County, California","aser2018</div><div class=""userLoc""><strong>Orange County, California</strong>",6,5.0
749268540,https://www.tripadvisor.com/Hotel_Review-g1066449-d301686-Reviews-Hotel_East_21_Tokyo-Koto_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel East 21 Tokyo,"March 5, 2020","Hotel was lovely, good location with easy access to the subway just a short walk away. However there is a free courtesy bus to the subway they have an airport limo service and there is a bus that takes you straight to Sky Tree for a very small cost. Staff are all friendly and helpful and I was surprised how large the room was compared to other hotels. The best bit was the view from our window, stunning. Nothing was too much trouble and will definitely stay again","Madeley, United Kingdom","Lisa B</div><div class=""userLoc""><strong>Madeley, United Kingdom</strong>",21,5.0
745546961,https://www.tripadvisor.com/Hotel_Review-g1066449-d301686-Reviews-Hotel_East_21_Tokyo-Koto_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel East 21 Tokyo,"February 16, 2020","The staff at this property are amazing, service for my 2 night stay was outstanding. The room was a fair size for a single room. The breakfast was excellent! The WiFi was superb. Why I am not rating it 5? The location is a bit out but the train station is near enough. The gym is an additional payment and I think this should be included in a hotel stay and finally, only one English tv station which is CNN! In my view a hotel catering for international tourists should have a bit more than this on their television line up!","Sydney, Australia","Oztravels7</div><div class=""userLoc""><strong>Sydney, Australia</strong>",115,4.0
733519302,https://www.tripadvisor.com/Hotel_Review-g1066449-d301686-Reviews-Hotel_East_21_Tokyo-Koto_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel East 21 Tokyo,"December 18, 2019","The first day in Japan, our 4 days Tokyo with this property was very comfortable from check in to check out, very stylish hotel but except room every other amenities are changeable, however, we were not looking for the same as once we leave hotel returns only by evening, the nearest metro/subway is around 1 kM.The hotel provides free drop off facility on regular interval but till 12 Noon for Metro/subway station.very convenient in term of big supermarket lots of food options (Not for vegetarian) within the property premises.","Dubai, United Arab Emirates","Kaushikdiku</div><div class=""userLoc""><strong>Dubai, United Arab Emirates</strong>",54,4.0
731856561,https://www.tripadvisor.com/Hotel_Review-g1066449-d301686-Reviews-Hotel_East_21_Tokyo-Koto_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel East 21 Tokyo,"December 10, 2019","it is a great hotel I stayed there for 6 days with my friend a bus picked me up from the airport and brought me to the magnificent hotel it has an indoor pool and outdoor pool it also has a spa, this first impression of Tokyo would make me want to go to Tokyo again",,hoiiiiiiiiiiiiiiiiii,0,5.0
731326009,https://www.tripadvisor.com/Hotel_Review-g1066449-d301686-Reviews-Hotel_East_21_Tokyo-Koto_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel East 21 Tokyo,"December 8, 2019","My family and I stayed at this hotel as part of an airfare+hotel package. The per night cost of the hotel turned out to be a little over 100 USD a night. This is very affordable for a four-star hotel in Tokyo. The nearest subway station takes you straight to downtown, in about 10 minutes, and is about a 10-minute walk from the hotel. The neighborhood looks quiet but it surprisingly is teeming with a lot of office workers during rush hours. The hotel offers complimentary transfers to the subway station at set times. The hotel itself reminds one of the big urban hotels of the 1990s. Not to worry though, everything is kept spic and span. The hallways always had a faint smell of fragrance, which is perfect. The rooms are made up daily with nothing left untouched (even brochures which had been lying about had been stacked in order). There are a lot of in-room amenities, including a fabric freshener. Most 5-star hotels don't even have the same amount and variety of amenities. If I have to think of a downside, it would be the modest size of the standard rooms (higher categories seem to be on par with hotels of the same class), but such is the norm in Japan.","Luzon, Philippines","horacecima</div><div class=""userLoc""><strong>Luzon, Philippines</strong>",28,5.0
716497337,https://www.tripadvisor.com/Hotel_Review-g1066449-d301686-Reviews-Hotel_East_21_Tokyo-Koto_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel East 21 Tokyo,"October 8, 2019","Not really located around any attractions but close to subway and I walked to Skytree other places (about an hour I think). Room was clean. Breakfast was good. Service was excellent except for not letting me check in early - I had not pre-booked that so not their fault and they sent my bag up when the room was ready).. Overall would recommend as an option but Tokyo is so big that you may want to plan your hotel based on what you want to do. That being said, close subway made things fairly easy and I would go back here.",phnom penh,"TGDF</div><div class=""userLoc""><strong>phnom penh</strong>",21,4.0
716491780,https://www.tripadvisor.com/Hotel_Review-g1066449-d301686-Reviews-Hotel_East_21_Tokyo-Koto_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel East 21 Tokyo,"October 8, 2019",Pros Nice staff. The waitress and bar staff who served us in the 21st floor bar were excellent. Lots of staff on hand. Good bathroom size. Not the smallest room I have had in Tokyo. Free bus service to station was helpful. ConsFeels a bit out of the way for exploring Tokyo. The hotel is not kidding when it advertises a “small double”. Smallest double bed I have ever slept in. Breakfast was not the standard I gave come to expect from Japanese hotels. Very standard food and almost no change in offering across the week. ,"Cabarita, Australia","V1110UBpaulm</div><div class=""userLoc""><strong>Cabarita, Australia</strong>",8,3.0
714726328,https://www.tripadvisor.com/Hotel_Review-g1066449-d301686-Reviews-Hotel_East_21_Tokyo-Koto_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel East 21 Tokyo,"October 2, 2019","The hotel is in Koto-ku, 20 min by subway from Tokyo. You need to walk 15 minutes to the Toyocho station though. The hotel is well maintained, rooms are clean, well lit, bigger than usual room size for Tokyo. Big windows with a view of the city. Room has amenities, kettle, coffee, tea, fridge. Good wifi coverage. Bathroom is clean, with amenities, hair drier.Bed is comfy, all comfortable. Ironing board you can borrow. The hotel has restaurants but you can go around for eating as there is a small commercial center just downstairs with restaurants, cafes and supermarket, very convenient. If you go to Tokyo, maybe the only thing would be walking for 15 min (dragging a heavy bag maybe tough) to the subway station or if you decide to take a bus(challenging for foreigners). There is a bus to the airport and they have shuttle service to the subway station but early in the morning...they have a shuttle bus also for Tokyo Disneyland for the ones interested. The staff is very attentive too, so a nice stay. I recommend.","Singapore, Singapore","williefil13</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",84,4.0
