review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751776413,https://www.tripadvisor.com/Hotel_Review-g1066444-d12922995-Reviews-Hotel_Intergate_Tokyo_Kyobashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Intergate Tokyo Kyobashi,"March 24, 2020","I stayed here twice for a business trip.Stayed 7 nights on Jan and 4 nights on Feb.Besides the small rooms (Japan), service was great and breakfast as well.Oh~ they also serve free snacks and drinks during the day. Loved it.","Seoul, South Korea","hotelexpertjm</div><div class=""userLoc""><strong>Seoul, South Korea</strong>",0,5.0
748826755,https://www.tripadvisor.com/Hotel_Review-g1066444-d12922995-Reviews-Hotel_Intergate_Tokyo_Kyobashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Intergate Tokyo Kyobashi,"March 2, 2020","I landed in Tokyo and decided to stay here for two nights since it’s close to Tokyo Station, where I was planning to take the bullet train out of. Well, it’s pretty close but still a good walk from where you alight the Narita Express at the station, and potentially confusing to get to as the station has many exits.The hotel itself was new-ish and the room was unsurprisingly small but big enough for one person and clean. There is a FamilyMart on the ground floor and many eateries nearby at Tokyo Square Garden. The Ginza shopping strip is also just a short walk away.I had breakfast both days and though there wasn’t a huge selection, the food was good and there was a slight variation between both days. ","Melbourne, Australia","Bobcrankypants</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",32,5.0
748573464,https://www.tripadvisor.com/Hotel_Review-g1066444-d12922995-Reviews-Hotel_Intergate_Tokyo_Kyobashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Intergate Tokyo Kyobashi,"March 1, 2020","This hotel is in middle between Tokyo Station and Ginza. around 6 minutes walk to Ginza, so we did not pay the Ginza hotel price.The room is reasonable and modern.Internet also good and guest can enjoy complementary snack and coffee throughout the day.Definitely good value for money and will stay here again if in the area","Sydney, Australia","Carl989</div><div class=""userLoc""><strong>Sydney, Australia</strong>",24,5.0
742243608,https://www.tripadvisor.com/Hotel_Review-g1066444-d12922995-Reviews-Hotel_Intergate_Tokyo_Kyobashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Intergate Tokyo Kyobashi,"January 31, 2020","We stayed at the start and the end of our trip to Japan and liked the fact only 10 minutes walk to Railway station. The location is good. Some of the staff were helpful and rang our next hotel to advice we would be arriving late.The rooms are, as we expected in Japan, very compact with little space for luggage and not easy for moving around with 2 people due to lack of space. The room was clean and well equipped.We arrived the first time about 12.00 and were charged 2,000 Yen for early check in. On our return we wanted to check in an hour early and were told it would be another 2,000 Yen on both occasions the room was ready. We declined to pay it a second time as most reputable hotels, across the world, allow early check in if the room is ready.The only other silly gripe we had was someone came to tell us not to eat our own food, a chocolate biscuit, in the lounge/public area! There were signs on the table however we took this to mean do not bring a meal with you.","Sleights, United Kingdom","Shebe21</div><div class=""userLoc""><strong>Sleights, United Kingdom</strong>",33,4.0
740559112,https://www.tripadvisor.com/Hotel_Review-g1066444-d12922995-Reviews-Hotel_Intergate_Tokyo_Kyobashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Intergate Tokyo Kyobashi,"January 21, 2020","Hotel is very well located, it's walking distance to the train station and subway which makes getting to all the prefectures super easy. It's also close to the high end shops in Ginza if that's your thing! Lovely staff and fabulous breakfast.",Sydney,"TRandA-Sydney</div><div class=""userLoc""><strong>Sydney</strong>",4,5.0
738947139,https://www.tripadvisor.com/Hotel_Review-g1066444-d12922995-Reviews-Hotel_Intergate_Tokyo_Kyobashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Intergate Tokyo Kyobashi,"January 13, 2020","We stayed for a single night upon arrival in Tokyo. The hotel is in an excellent location near Tokyo Station. We were traveling with 70L backpacks and had no issues walking from Tokyo Station to the hotel in less than 15 minutes. The rooms are 'cozy' by North American standards but are spotless and offer numerous amenities including a full range of toiletries, complimentary bottled water and tea. If there is anything else you require there is a Family Mart located on the bottom floor. The staff is extremely friendly and welcoming. Although our stay was short, I would not hesitate to recommend this hotel to fellow travellers or to stay again myself.","Edmonton, Canada","MeaganS486</div><div class=""userLoc""><strong>Edmonton, Canada</strong>",35,5.0
738676773,https://www.tripadvisor.com/Hotel_Review-g1066444-d12922995-Reviews-Hotel_Intergate_Tokyo_Kyobashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Intergate Tokyo Kyobashi,"January 12, 2020","We stayed overnight just to transit for another city. The hotel is efficient and extra super clean, even in the rooms where they allow us to smoke. A mini market is available downstairs. Their mix of Japanese and Western breakfast is the best during our 10-day tour in Japan, so delicious and plenty of choice, we stayed long for the breakfast. A bit of a walk for some blocks if you come from / want to go to the Tokyo station. Overall, top rating for this hotel.","Jakarta, Indonesia","amripitoyo</div><div class=""userLoc""><strong>Jakarta, Indonesia</strong>",24,5.0
729186081,https://www.tripadvisor.com/Hotel_Review-g1066444-d12922995-Reviews-Hotel_Intergate_Tokyo_Kyobashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Intergate Tokyo Kyobashi,"November 26, 2019","Great location in Tokyo for getting around with Tokyo Station and subway stops nearby. Staff were very friendly, breakfast was good with a mix of asian and western food.The room was very small but we only needed it to rest at night so was sufficient for us.",,bethanyw458,0,4.0
728922613,https://www.tripadvisor.com/Hotel_Review-g1066444-d12922995-Reviews-Hotel_Intergate_Tokyo_Kyobashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Intergate Tokyo Kyobashi,"November 25, 2019","I liked our stay here, it is very close to Tokyo Station 7/8 min walk or so and there is a subway stop literally right outside the hotel as well. This hotel is very good if you want to take day trips from Tokyo Station, which we did a lot and also good for exploring the city as well, which we did too. The area itself is not that lively but it's within walking distance of the popular Ginza area. The staff was friendly and provided a easy check in and check out. Only negative is the rooms are just small, I had to rearrange a table on top of another just to be able to open both our suitcases on the floor without tripping over anything, but I suppose that is all of Tokyo hotels : )","New York City, New York","XavierNY</div><div class=""userLoc""><strong>New York City, New York</strong>",43,5.0
727702723,https://www.tripadvisor.com/Hotel_Review-g1066444-d12922995-Reviews-Hotel_Intergate_Tokyo_Kyobashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Intergate Tokyo Kyobashi,"November 20, 2019","We walked to the hotel from Yaesu exit of Tokyo Station for about 15 minutes. The receptionist is very polite with fluent English. Check in is prompt with adequate information.The room is small as this is usual in Tokyo but it is spotless and comfortable. Complementary all day coffee, drinks, snacks and soup rice after 9:00pm is a bonus.A 24 hr convenient shop is also at the hotel entrance. The location is at a walkable distance to Ginza as well as Tsukiji Market . There are many restaurants nearby especially in the underground shopping center.The location is quiet but convenient.","Hong Kong, China","Lily20180906</div><div class=""userLoc""><strong>Hong Kong, China</strong>",5,4.0
725983308,https://www.tripadvisor.com/Hotel_Review-g1066444-d12922995-Reviews-Hotel_Intergate_Tokyo_Kyobashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Hotel Intergate Tokyo Kyobashi,"November 12, 2019","Very satisfied with well located (Ginza, close to the central station), quiet, fresh, clean, comfortable and stylish hotel. It offers a rich, well cooked and served breakfast. The staff is very friendly.",,Claba C,2,5.0
721815603,https://www.tripadvisor.com/Hotel_Review-g1066444-d12922995-Reviews-Hotel_Intergate_Tokyo_Kyobashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Hotel Intergate Tokyo Kyobashi,"October 27, 2019",Really good hotel and pretty new!!!! Close from the metro and the train station! I really enjoyed my stay at this hôtel! Good quality for the price!! The service was also really nice!!!I highly recommand it!,"Quebec, Canada","2014Loulou1967</div><div class=""userLoc""><strong>Quebec, Canada</strong>",5,5.0
718490212,https://www.tripadvisor.com/Hotel_Review-g1066444-d12922995-Reviews-Hotel_Intergate_Tokyo_Kyobashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Hotel Intergate Tokyo Kyobashi,"October 15, 2019","Whenever I returned back to the city I once traveled, I would usually stay in different hotels for the experience. And I never regretted staying with Hotel Intergate Tokyo Kyobashi for several reasons:1. Had my luggage arranged to be delivered to the hotel prior my stay. Hotel received and stored my luggage until my check-in. The hotel staff even anticipated my needs and took my luggage out of storage without me having to tell them!2. Room is very clean and slightly bigger than other local-chained hotels that I have stayed before. The room has space for a small coffee table and two cushioned stools by the window for me and my partner to sit and enjoy a cup of tea.3. Complimentary (free flow) hot coffee, tea, ice water and juices at the lounge area for in-house guests.4. 24 hour convenience store available right below the hotel. You can enter in and out from within the building without having to get out of the hotel.5. Hotel is located less than 1 min walk to Kyobashi Station Exit 1 (Tokyo Metro Ginza Line) and Takaracho Station Exit A4 (Toei Asakusa Subway Line). 6. Convenient to get to Haneda Airport as the Toei Asakusa Subway Line offers direct train service from Takaracho Station.7. During the recent typhoon weekend, I had witnessed the hotel being accommodating to allow their guests to check-in earlier at 1.00pm instead of the usual 3.00pm, whereas some hotels are still very rigid with the rules.I would strongly recommend to those who are considering this property!","Singapore, Singapore","Jennh0</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",31,5.0
718350993,https://www.tripadvisor.com/Hotel_Review-g1066444-d12922995-Reviews-Hotel_Intergate_Tokyo_Kyobashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Hotel Intergate Tokyo Kyobashi,"October 14, 2019",I enjoyed our stay at Hotel Intergate - check in after 3pm is'nt great (albeit the norm it would seem in Japan). Our room was small but perfectly fine for what we needed. Good location also. The reception team arranged for our bag to be sent to the next Tokyo hotel after our week on travelling - worked perfectly! Thanks ,"Bristol, United Kingdom","Dan123_K</div><div class=""userLoc""><strong>Bristol, United Kingdom</strong>",13,4.0
