review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752032253,https://www.tripadvisor.com/Hotel_Review-g14133659-d1486443-Reviews-Hotel_Keihan_Tokyo_Yotsuya-Yotsuya_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Keihan Tokyo Yotsuya,"March 30, 2020","The hotel itself was good, very friendly staff they had everything we needed no problems with wifi, housekeeping were excellent. Rooms in tokyo are mostly 11 or 12sq meters and thats a bit small for 2 people with suitcases but this hotel has larger rooms much more pleasant for 2 people. Getting to shinjuku or shibuya from yotsua is very simple i would be happy to return to this hotel again.","Bali, Indonesia","Bryce96budokan</div><div class=""userLoc""><strong>Bali, Indonesia</strong>",4,4.0
745551983,https://www.tripadvisor.com/Hotel_Review-g14133659-d1486443-Reviews-Hotel_Keihan_Tokyo_Yotsuya-Yotsuya_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Keihan Tokyo Yotsuya,"February 16, 2020","The room at this hotel is good and the location is great. The staff at checkin were lovely but during my stay found the staff were disinterested. The WiFi was great. Once again only one English Channel on the television, CNN. Come on if you want to host international guests have some more television options. The biggest disappointment was the breakfast. AWFUL does not begin to explain it. It is served in the pizzeria and it is not equipped to do breakfast. Stale bread, cold everything else! This hotel would do well to remove a breakfast offering as it is disgusting! ","Sydney, Australia","Oztravels7</div><div class=""userLoc""><strong>Sydney, Australia</strong>",115,3.0
735478178,https://www.tripadvisor.com/Hotel_Review-g14133659-d1486443-Reviews-Hotel_Keihan_Tokyo_Yotsuya-Yotsuya_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Keihan Tokyo Yotsuya,"December 29, 2019","The room maybe smal but vry comfortabel, and love the shower/bathroom area. The TV choice could be more international. There are limited hotek services, but we only needed the room stay so al was good.Staff very welcoming and helpful. Hotel is located close to Yotsuya station. There are numerous Bars, cafes and restaurants nearby. I wil stay here again.","Essex, United Kingdom","Zenzar123</div><div class=""userLoc""><strong>Essex, United Kingdom</strong>",51,4.0
727692817,https://www.tripadvisor.com/Hotel_Review-g14133659-d1486443-Reviews-Hotel_Keihan_Tokyo_Yotsuya-Yotsuya_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Keihan Tokyo Yotsuya,"November 19, 2019","Stayed here in november and the location of the hotel was perfect for us. Easy access into shinjuku and various nice restaurants in surrounding area. Room was very well looked after the breakfast was excellent. Unfortunately reception staff were quite unhelpful when asked for anything outside of check in and check out. Simple services, assistance you would expect at any decent hotel were not recieved well. If they improve customer service and learn to go the extra mile could be a top notch place to stay.","London, United Kingdom","Blackadder83</div><div class=""userLoc""><strong>London, United Kingdom</strong>",0,4.0
727011326,https://www.tripadvisor.com/Hotel_Review-g14133659-d1486443-Reviews-Hotel_Keihan_Tokyo_Yotsuya-Yotsuya_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Keihan Tokyo Yotsuya,"November 17, 2019","Staff were always very welcoming. Hotel is located two minutes from Yotsuya station. Bars, restaurants and supermarkets across the street, very convenient. Clean room, good size for Tokyo standards. Restaurant downstairs looked great although we didn’t have a chance to eat there during our trip.","London, United Kingdom","hmfranklin</div><div class=""userLoc""><strong>London, United Kingdom</strong>",0,5.0
723979455,https://www.tripadvisor.com/Hotel_Review-g14133659-d1486443-Reviews-Hotel_Keihan_Tokyo_Yotsuya-Yotsuya_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Keihan Tokyo Yotsuya,"November 4, 2019","We stayed in room 317 - which looked over the main street (which is the best aspect), so we could see what was going on. The hotel is in Yotsuya, which is a JR stop from Shinjinku, so it is really close to the action, but nice and relaxed as it is not in the thick of things. It is a few mins walk to the JR station (same side as the hotel - walk and cross the main street and down the driveway to the station) and the Metro station (the Marounouchi line - walk down the opposite side of the road to the hotel and cross the street). The Marounouchi line is the key line that is used - so VERY convenient. We only used the other Metro line (Blue line), which is even closer, as it is the on the same side of the street - we used this to get to the Imperial Palace. Aside from transport - the location is brilliant because of its proximity to:- Restaurants and bars - the alley behind the hotel has loads of bars & restaurants - we went to a number of these restaurants and they were brilliant! - Family Mart, Local supermarket and pharmacies - all across the road using the zebra crossing at the hotel front door. - Coin operated launderette - it is a couple of mins walk from the hotel (out the back door - turn left, then right and look for the orange canopy). You will need 100 yen coins for this.  - Taxis - they just stop out the front - if you flag them, or have one of the front desk team members flag them.The room was great. Small - but not as tiny as some Tokyo hotels - we picked it for this reason. The bed was a Queen size (another rarity in Tokyo), which meant we slept really well. The mattress was super firm and very comfy. There was also a sofa - so we had an alternative to the bed to sit on. Great shower. The breaky is basic - but if you want to fuel up to the day - it does the job. It can get busy (in the small space), but this was only a problem on 1 morning - other days - we always got a seat. The team members on the front desk are helpful and very friendly. One night we got pizza (I know I know . . .we were in Tokyo!), as we just wanted to eat in after a huge day out in the rain . . . we just went down and purchased it, along with a wine from the Family Mart. We got wine glasses bought up to the room from reception and the restaurant provided all cutlery & napkins etc. We stayed for 5 nights and it was great value for money.","Melbourne, Australia","chelseaM</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",5,5.0
721454723,https://www.tripadvisor.com/Hotel_Review-g14133659-d1486443-Reviews-Hotel_Keihan_Tokyo_Yotsuya-Yotsuya_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Keihan Tokyo Yotsuya,"October 26, 2019","The hotel is well-placed as a base in Tokyo: good connections just a few minutes walk away on both the JR Chuo line (can be used with rail pass) and Metro lines. Check-in was odd and involved a combination of both an automated check-in system and reception staff but we were allowed to check in early, which was very accommodating. The room was relatively spacious for Japanese standards. Beds were large and comfortable. Plenty of cupboard and storage space. Furniture and bathroom looking past their prime, though. All staff very friendly but a special shout-out goes to the cleaning staff who all greet the guests warmly in the mornings if they are around and frequently ran ahead to call the lift for us when they saw us coming.We had an especially good deal for this hotel. If the price is right, it's a great choice. We would definitely stay here again.","Hattingen, Germany","tkminDE</div><div class=""userLoc""><strong>Hattingen, Germany</strong>",30,4.0
721220819,https://www.tripadvisor.com/Hotel_Review-g14133659-d1486443-Reviews-Hotel_Keihan_Tokyo_Yotsuya-Yotsuya_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Keihan Tokyo Yotsuya,"October 25, 2019","This hotel was the 1st stopover during our trip. The hotel is located just a 5 minute walk from Yotsuya Station which is only a 3min train ride to the famous Shinjuku Train Station.The hotel staff were always smiling and helpful and well spoken in English which made communication a lot easier. The lobby has visitor information booklets and maps. The rooms were small typical of most hotels in Japan. They were clean and housekeeping was done everyday including provision of fresh bathrobes. The best part was the handy amenities bar located opposite the lift which enabled us to use the quality Japanese face products. The hotel also has a restaurant on the ground floor which serves throughout the day including pizzas. The check in/out process was smooth. The room rates were reasonable and the hotel was well located to restaurants, convenience stores ( family mart) and bus/ trains. ","Sydney, Australia","Tondz</div><div class=""userLoc""><strong>Sydney, Australia</strong>",32,4.0
717668653,https://www.tripadvisor.com/Hotel_Review-g14133659-d1486443-Reviews-Hotel_Keihan_Tokyo_Yotsuya-Yotsuya_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Keihan Tokyo Yotsuya,"October 12, 2019","Overall, I liked our hotel it just wasn’t anything special. I went to Japan with my brothers on a “boys” trip and we stayed at the Hotel Keihan in Yotsuya. I honestly don’t have many gripes with this place, I just found it to be an average hotel. Here’s the quick breakdown:Pros:-Close to Yotsuya Station (2-3 minute walk)-enough room for both of us as most Japanese hotel rooms are cramped. -very friendly staffCons:-bathroom was not my favorite. Bidet was lower tech then most others and didn’t look very clean. Also didn’t care for the faucet in the sink. It’s over sprayed a lot when washing your hands unless you had the water just trickling out. -bed was a little short for a 6 footer.Overall, my real only gripe was with the bathroom. The rest of the experience was fine but nothing special. I would probably stay somewhere else next time, but wouldn’t rule this one out if I had limited options. ","San Jose, California","jorgegB8323CA</div><div class=""userLoc""><strong>San Jose, California</strong>",3,3.0
688098935,https://www.tripadvisor.com/Hotel_Review-g14133659-d1486443-Reviews-Hotel_Keihan_Tokyo_Yotsuya-Yotsuya_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Keihan Tokyo Yotsuya,"July 9, 2019","This is so weird hotel.1. Reception counter is equipped with big auto check in / out machine needs hotel staff’s help. It looks like staff are not encouraged to communicate with their guests.2. In the room, there is a phone but no information on numbers to reach reception or any other section. 3. No service directory is available. You should check their website to know what they offer.4. So you need to call land line to reach hotel staff from your room.5. Now, staff look like sometimes-moving-mannequin for my eyes.6. You should know that hotel management doesn’t allow their guests to invite anyone who is not staying in the hotel to your room, even just for a few hours.7. That’s why, I will NEVER come back to this hotel.8. For those who consider this hotel, Tokyu Stay Yotsuya, located opposite to this hotel over main road, seems to be far better according to my friend who stayed there before. ","Kuala Lumpur, Malaysia","bunbun861</div><div class=""userLoc""><strong>Kuala Lumpur, Malaysia</strong>",4,1.0
