review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752171202,https://www.tripadvisor.com/Hotel_Review-g60982-d87119-Reviews-Hotel_LaCroix-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hotel LaCroix,"April 2, 2020","My husband and I were pleasantly surprised by this great boutique hotel. We were greeted immediately upon arrival, served fresh juice and given a traditional Hawaiian welcome with lei's. Staff was very helpful and friendly. Room was very nice and clean. Normally I get congested from all of the chemicals used in cleaning, however that did not happen in this hotel. Got a great nights sleep and felt very rested. Continental breakfast was awesome! Lots of fruit, juice, eggs, pastries, coffee and tea. Relaxing pool area. Within walking distance of Waikiki and lots of shops adn restaurants. Would definitely stay here again!","Clermont, Florida","JennScents</div><div class=""userLoc""><strong>Clermont, Florida</strong>",24,5.0
695314034,https://www.tripadvisor.com/Hotel_Review-g60982-d87119-Reviews-Hotel_LaCroix-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hotel LaCroix,"August 3, 2019","This is my 8th visit to this hotel - under the old name of Waikiki Gateway, and now the La Croix. Every time I visit this hotel gets better. First off - the staff. Every one of them are friendly and helpful. Special thanks to Liz on reception who helped me with a room change and also advice on getting to Waikele Outlets. And also a special thanks to Erica in reservations. The rooms are also very good - if you're after a 5 star hotel, this isn't it. But the rooms have everything you need - comfortable bed, great views, balconies, mini refrigerator, well maintained bathrooms and very clean room. I had breakfast there each morning - had everything I needed to start the day. And again, all the staff at breakfast were great. The location is fantastic. Short walk to the beach, shops, restaurants. The free wi-fi works well. Will be back for a 9th time I suspect.","St Kilda East, Australia","jayjay41</div><div class=""userLoc""><strong>St Kilda East, Australia</strong>",52,5.0
752094720,https://www.tripadvisor.com/Hotel_Review-g60982-d87119-Reviews-Hotel_LaCroix-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hotel LaCroix,"March 31, 2020","I have been in Hotel LaCroix for three times, and I've been always felt at home, because of the sincere kindness of the guys working there. Darwin is a great manager and a very nice person, he takes into account every problem or request of the customers, and you're pretty sure he'll do the best to let you enjoy your stay. My girlfriend was so happy (and me too...) for the awesome welcome arranged for her!The structure is pretty nice, near to the sea and to the most popular attractives and restaurants of Waikiki. Then, I'd like also to thank all the staff, in particular Men and the people giving you a smile in the morning at the breakfast, and the guys of the valet and reception, Nikki and every person that take care in such a nice way of the people coming and going. Thank you!","Naples, Italy","Maxna1981</div><div class=""userLoc""><strong>Naples, Italy</strong>",5,5.0
751691084,https://www.tripadvisor.com/Hotel_Review-g60982-d87119-Reviews-Hotel_LaCroix-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hotel LaCroix,"March 23, 2020","To whom it may concern & to those at La Croix!!Thank you for having us!! We had a great stay at yr place in Honolulu, March 1-6, 2020!Close enuf to Waikiki to walk there but not so close we can’t have quiet time at ‘home!’Good size not to be overlooked, they remembered us by name!!The’ they’, Customer Service & Staff, sooo kind, so helpful, made us feel like the most important guests! Our room was lovely, thank u Rosalina & all who kept it neat & clean! We had a Birthday during our stay & they did it up right!! Evangeline’s (Vangie’s) towel art cake was amazing!! Terence’s Bday touches & assistance throughout our stay were great!! It made for a very special vacation! Our thanks to Tiffany, David, EJ, Big K (Valet), the smiley fellow that brought appliances & we’d see throughout the hotel... smiling! Shall plan our stays here & we have already recommended La Croix to friends!!!All the best, a hui hou!! Lisa & Alaina Gularian",,Lisajkg,0,5.0
751178670,https://www.tripadvisor.com/Hotel_Review-g60982-d87119-Reviews-Hotel_LaCroix-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hotel LaCroix,"March 17, 2020",Good hotel - well located (5 min walk from the beach). Swimming pool a bit small though. Breakfast is very good :) Very clean hotel - special thank you to Mhila who was very nice to us during our stay.,"Manchester, England, United Kingdom","Annelaure322</div><div class=""userLoc""><strong>Manchester, England, United Kingdom</strong>",1,5.0
751120494,https://www.tripadvisor.com/Hotel_Review-g60982-d87119-Reviews-Hotel_LaCroix-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hotel LaCroix,"March 16, 2020",Just booked a night with Lily! She was very cordial and so helpful with all the questions I had. All the amenities were explained with detail and also recommended things to do near the hotel! Will be back!,,Kimchii808,0,5.0
751030270,https://www.tripadvisor.com/Hotel_Review-g60982-d87119-Reviews-Hotel_LaCroix-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hotel LaCroix,"March 15, 2020","This was an amazing first experience at a hotel in Waikiki. We had the best customer service ever, THANK YOU MILES. He was the icing to the cake that made our entire stay just the best, he gave us amazing recommendations. This hotel is a great price and has great amenities, Please do check it out and stop by. He also had a very good aloha spirit and took lots of pride in his job and assured the customers that their stay was and is going to be memorable. Five stars for MILES!!!",,jesnkris,0,5.0
750754289,https://www.tripadvisor.com/Hotel_Review-g60982-d87119-Reviews-Hotel_LaCroix-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hotel LaCroix,"March 13, 2020",Over all it was ok. The room was very clean. Breakfast was ok. The best part of staying there was our valet Miles. He made our day everyday. So pleasant and very helpful in recommending places and easy ways to get there. The house keeping was excellent. I would stay again.,,Gypsylaura,0,3.0
750751805,https://www.tripadvisor.com/Hotel_Review-g60982-d87119-Reviews-Hotel_LaCroix-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hotel LaCroix,"March 13, 2020","This was my second time staying at Hotel Lacroix. My first visit was with a friend and we had such great customer service I decided to come back with the family, and it was even better! We live on Kauai so we visit Honolulu a lot. Let me just tell you- the sense of ‘Ohana at Hotel Lacroix is unmatched compared to any other hotel I’ve stayed at. First, we had a slight snafu with our original room, and it was taken care of immediately and with flying colors. The sweet security gentleman even gave my kids a (big!!) bag of snacks. The parking gentleman (I forget his name, a tall man) is so nice, he gave us the best service! Make sure to tip this man! Everyone at the front desk was so friendly, helpful, and the best part, so personable. You really do get the sense of family here. They even serve a free hot breakfast buffet, which they call “continental breakfast”, but it includes everything one could want: hot pancakes, scrambled eggs, fresh mixed greens salad, tons of fruit, cereal, hot oatmeal, tons of pastries, bagels and cream cheese, the works. They just don’t serve any breakfast meats but ummm, it’s free so that’s understandable! Even the buffet staff is so friendly. The pool is great, not huge but there’s room for adults, as well as two small pools on the side for younger kids to swim, and it’s a gorgeous setting with palm trees all around, beautiful at sunset especially! And there is a jacuzzi which isn’t very common at Waikiki hotels. Impeccable customer service all around. I highly recommend Hotel Lacroix, especially if you’re looking for a nice relaxing vacation. It’s not a huge resort type setting. Just a cute, clean, comfortable and enjoyable hotel. Mahalo staff! We will be back!","Kauai, Hawaii","virenolson</div><div class=""userLoc""><strong>Kauai, Hawaii</strong>",0,5.0
749353853,https://www.tripadvisor.com/Hotel_Review-g60982-d87119-Reviews-Hotel_LaCroix-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hotel LaCroix,"March 5, 2020",The check in was seamless and we were excited to be given leis. The room was clean and tidy. The glimpse of the Royal Hawaiian and the ocean were pleasing. Breakfast is very good and Marie in the Breakfast Room very helpful. A quality yet well priced alternative for Waikiki.,"Brisbane, Australia","Claire B</div><div class=""userLoc""><strong>Brisbane, Australia</strong>",13,5.0
