review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
750865531,https://www.tripadvisor.com/Hotel_Review-g14129573-d526766-Reviews-Hotel_Monteray_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Monteray Ginza,"March 14, 2020","I contacted the hotel for the refund because of COVID 19 outbreak. The hotel responded promptly through travel agency and made the refund. Even though I booked through travel agency, I still receive dexceptional service. I will definitely return to this hotel ","Bangkok, Thailand","Sawasdeekrab</div><div class=""userLoc""><strong>Bangkok, Thailand</strong>",7,5.0
685765211,https://www.tripadvisor.com/Hotel_Review-g14129573-d526766-Reviews-Hotel_Monteray_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Monteray Ginza,"July 1, 2019","I usually like to stay in Ginza during my Tokyo trips as it is a central location and I can enjoy proximity to high street and uncountable number of eating and drinking options..But only challenging part about my choice is that it is difficult to get a decent spacious room at my budget. This time I was fortunate to get Hotel Monterey in my budget and this has been one of my best hotel stay in Ginza.The rooms are spacious (which is rare in Tokyo especially this area).Service is excellent.. The hotel staff is prompt and helpful.Location is good, surrounded by multiple eating outlets, 24 hrs convenience stores.It is a must recommended hotel for everyone wanting to stay in Ginza...","Gurugram (Gurgaon), India","RakshitM_12</div><div class=""userLoc""><strong>Gurugram (Gurgaon), India</strong>",85,5.0
741040552,https://www.tripadvisor.com/Hotel_Review-g14129573-d526766-Reviews-Hotel_Monteray_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Monteray Ginza,"January 24, 2020","When I’m in Tokyo for business, I normally stay at a nearby international chain hotel and walk pass Hotel Monteray all the time. This time, I decided to give Hotel Monteray a try as I was intrigued by its decor.It is a pleasant surprise. Beside the excellent location, the room is spacious compare to similar hotels in Tokyo. And the shower is probably the best I have experienced in Tokyo, water is hot and strong.Front desk is efficient and pleasant.Price is excellent for the quality it offers. Highly recommended.","Hong Kong, China","alpaalpa</div><div class=""userLoc""><strong>Hong Kong, China</strong>",22,4.0
737297806,https://www.tripadvisor.com/Hotel_Review-g14129573-d526766-Reviews-Hotel_Monteray_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Monteray Ginza,"January 6, 2020","The hotel is located at a great place. Very close to major attractions, and subway station is under the building next to the hotel. The staff is very helpful and kind. The room is good size, very clean, and also with a desk and chair.","Philadelphia, Pennsylvania","O32018</div><div class=""userLoc""><strong>Philadelphia, Pennsylvania</strong>",3,5.0
736234373,https://www.tripadvisor.com/Hotel_Review-g14129573-d526766-Reviews-Hotel_Monteray_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Monteray Ginza,"January 2, 2020","Our family of 4 stayed in the connecting rooms for 7 nights The rooms are small, which is pretty normal for Tokyo but it was more the fact that there was only a small cupboard with probably 6 hangers we could not unpack so needed to have the suitcases open and in the way. The furniture is chipped and sad looking and in need of replacement as well as the walls are scuffed and needing a fresh coat of paint, actually the whole of the hotel was in need of being freshened up! Only one rickety chair in the room so people tend to sit on the edge of the bed making it sag on one side, I found this very uncomfortable sleeping on a slope. Requested extra pillows before my arrival which they gladly supplied. The bathroom looks like it’s been renovated and had fantastic toiletries etc. Shower was great and hot water was instantaneous. No room safe. No foyer to speak of or seating area.No one helps with bags. The rooms are stuffy and got very hot, air-con didn’t work properly. Free bottled water daily. Many restaurants and shops around the hotel but are expensive being in Ginza. Strong signal Wi-Fi. Rooms were exceptionally clean. Provided pyjamas, which I would not wear they looked like hospital type. A couple of 24/7 convenience stores opposite the hotel.We booked this hotel at the last minute wanting interconnecting rooms, this hotel was the only one left at a reasonable price for Tokyo in a good area. I will look elsewhere next time unless they renovate.Show less","Hong Kong, China","Terry R</div><div class=""userLoc""><strong>Hong Kong, China</strong>",26,3.0
734684885,https://www.tripadvisor.com/Hotel_Review-g14129573-d526766-Reviews-Hotel_Monteray_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Monteray Ginza,"December 26, 2019","My family of 4 stayed in the connecting room and my brother stayed in a nearby room for 4 nights in total. The rooms are small, but normal for Tokyo I think. To put things into perspective, we hardly had room to place 2 large Samsonite suitcases and open them. But small rooms can be cozy and the the sleep was comfortable and quiet. There was a bathtub which is important, and wifi signal was strong. There is pay tv but the climate control was not great and we struggled to get the perfect temperature we liked. Thankfully there is a decent air purifier in each room to freshen up the environment. We never tried the breakfast as there are so many nice eating places around there, including decent coffee shops and a Natural Lawson convenience store right opposite the hotel. The hotel is 2-3 blocks away from the main Ginza shopping area and the nearest train station is Higashi Ginza. I think the price is reasonable for the Ginza area and we didn't have problems with the service. The hotel was busy but didn't give an overcrowded feeling, which I liked.",Bangkok,"AnakinVan</div><div class=""userLoc""><strong>Bangkok</strong>",152,3.0
730745411,https://www.tripadvisor.com/Hotel_Review-g14129573-d526766-Reviews-Hotel_Monteray_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Monteray Ginza,"December 4, 2019","This must have been a great hotel when it would've opened and the place to be. But now it isn't as well maintained as it ought to be. If you can look past the little niggles, then it's a okay place to be. The location is to die for though.It's a shame because this place could really be top of the pops in Ginza.","National Capital Territory of Delhi, India","karanpandit</div><div class=""userLoc""><strong>National Capital Territory of Delhi, India</strong>",4,3.0
729574615,https://www.tripadvisor.com/Hotel_Review-g14129573-d526766-Reviews-Hotel_Monteray_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Monteray Ginza,"November 29, 2019","The hotel is about 10 minutes walk from the central station.The room was comfortable, and larger than other hotel rooms we had elsewhere.We particularly liked the mobile phone available, so we could use it as sat nav, or to ring family who had another room.There was a good selection at breakfast.","Sittingbourne, United Kingdom","deekay99</div><div class=""userLoc""><strong>Sittingbourne, United Kingdom</strong>",24,4.0
724689978,https://www.tripadvisor.com/Hotel_Review-g14129573-d526766-Reviews-Hotel_Monteray_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Monteray Ginza,"November 7, 2019","It takes just one individual to ruin what could have been a good experience in a hotel. The individual in this case was a racist woman working the front desk at about 15:15 pm on Thursday, Nov. 7. My wife and I asked for information on how to get to Narita Airport using the Limousine Bus. The way she brusquely answered my questions and her haughty remark: “Why don’t you and your wife just walk 10 minutes to the bus stop to get the bus to the airport instead of taking a cab?” To which I replied, “I wish we could, unfortunately my wife could barely walk because of a badly sprained ankle.” Her response was to simply give me a bus schedule...She seemed to just want me and my wife to go away - and it occurred to me that she wanted to me move on so she can help a local Japanese guest. I wonder if she would have been more courteous and helpful if my skin color was WHITE??? It was disappointing that the great experience we’ve had thus far in Tokyo would be ruined by this ignorant person! Let me describe her for the readers of this review: she is Japanese, a woman with long black hair tied neatly and is about 5’ 6”. And as I mentioned she was on duty at the front desk at 5:15 pm on Nov. 7, 2019.","Brea, California","Sonnymao</div><div class=""userLoc""><strong>Brea, California</strong>",58,1.0
723375790,https://www.tripadvisor.com/Hotel_Review-g14129573-d526766-Reviews-Hotel_Monteray_Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Monteray Ginza,"November 2, 2019","Blimey! Booked very last minute and as this hotel was ‘advertised’ as a ‘boutique hotel’ we went for it! Boutique in this sense means no facilities at all! No lobby area, no bar, no concierge, no room service! To be fair the room wasn’t too bad - toiletries etc provided with reasonable towels and slippers. No gown, no safe, very basic tea / coffee making facilities, one uncomfortable pillow and an ok ish mattress. Room was exceptionally clean and a reasonable size (a corner room with 4 windows and a view, the rest look tiny if the fire plan on the back of the door is anything to go by) with minimal storage space. It looks as if the rooms and corridors have been refurbished. Breakfast was ok with an omelette station, yogurt, tinned fruit (what’s that all about! Think 1970’s!) and good bakery items. The hotel is in a great position slap bang in the middle of Ginza. The metro station is only about 30 metres from the front door and about 20 mins walk to Tokyo station. We were only here for 4 nights with hand luggage, and this was not our first trip to Tokyo, so for us this wasn’t a problem. If you are a tourist and needing help and advice (in other words a concierge service) and room for luggage this would be hopeless in all honesty! ","Barlaston, United Kingdom","CazRob</div><div class=""userLoc""><strong>Barlaston, United Kingdom</strong>",88,2.0
