review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
755368180,https://www.tripadvisor.com/Hotel_Review-g1066454-d6894889-Reviews-Hotel_Mystays_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Mystays Haneda,"May 24, 2020","If you are looking for a Hotel that provides airport-hotel service, is less than three minutes from the Inari subways station then this is the Hotel to stay in. I stayed for a total of fifteen days and found it the most value for money place. My double room had a decent size bed and work place, excellent bath/toilet facilities all separate, a good sized TV and excellent lighting the last being very important as it allows you to relax and work without strain. Best of all it has a small kitchenette and the entire staff is friendly, helpful and willing to assist. It has a decent Restaurant serving good steaks and large burgers. Highly recommended.!!!","Melbourne, Australia","Kamal D</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",18,5.0
748939149,https://www.tripadvisor.com/Hotel_Review-g1066454-d6894889-Reviews-Hotel_Mystays_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Mystays Haneda,"March 3, 2020","Decent hotel very near Haneda airport. Provides a free shuttle both ways. But frequency is Long, free wifi is decent in the hotel. There are convenient stores nearby for the mid night snack. Else nothing much in the surrounding area. Good for a one night stay near the airport.","Singapore, Singapore","DanChoo</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",83,5.0
743937063,https://www.tripadvisor.com/Hotel_Review-g1066454-d6894889-Reviews-Hotel_Mystays_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Mystays Haneda,"February 9, 2020",Stayed here for one night while going through Japan and booked family room. The staff was very friendly and rooms was very nice. Th hotel offers free shuttle to and from HND which is a big plus. Downtown is little far but plenty of option to go back and forth. I would highly recommend this place for short stays.,"Washington DC, District of Columbia","Baba898</div><div class=""userLoc""><strong>Washington DC, District of Columbia</strong>",33,5.0
743712109,https://www.tripadvisor.com/Hotel_Review-g1066454-d6894889-Reviews-Hotel_Mystays_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Mystays Haneda,"February 8, 2020","We were only here for a night as it was close to the airport for our early morning flight. We booked a large family room for 4 - the room was great. Beds were comfortable and nice having a choice of pillows and provision of pyjamas was an added bonus - that was a nice touch. Just enough room for our 4 large suitcases after a long trip. The bathroom was small but adequate. Not a lot of choice for dinner nearby, but we managed to stumble upon a local yakitori-style Izakaya at the end of one of the side streets. Excellent choice of convenience stores nearby. Very glad to have the free shuttle bus to Haneda but it only operates during certain hours. But taxi to the airport wouldn't cost too much. Staff were helpful and facilities were fine. Would happily stay here again in the future.","Toorak Gardens, Australia","botak67</div><div class=""userLoc""><strong>Toorak Gardens, Australia</strong>",39,4.0
742730929,https://www.tripadvisor.com/Hotel_Review-g1066454-d6894889-Reviews-Hotel_Mystays_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel Mystays Haneda,"February 2, 2020",A very good hotel close to the International terminal of Haneda Airport. They provide regular transportation from and to the Airport. They are very accommodating for odd hours check in. However the standard check out time is at 10:30 am. You have to add on an extra day if your flight in the afternoon or evening.,"Cheras, Malaysia","shahrulakmals</div><div class=""userLoc""><strong>Cheras, Malaysia</strong>",5,5.0
739340476,https://www.tripadvisor.com/Hotel_Review-g1066454-d6894889-Reviews-Hotel_Mystays_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Mystays Haneda,"January 15, 2020","We had the last night of our trip here before leaving Tokyo. We had booked dinner near Shibuya and easily managed to get to central Tokyo on the trains so that was super. As a family of 4, we had booked 2 twin rooms. When we went to our rooms we realised they had an interconnecting door. I went to reception to request the opening of the door as a special handle was needed. My initial request was met with ‘no we are sorry we cannot do this’. When I asked why I was told because we hadn’t booked interconnected rooms?! I then politely engaged in further conversation explaining that this would be extremely convenient for our family and they did end up doing so but told me next time I must request it in our booking. I found this a little odd - but was delighted that it was eventually done as this made our stay much more comfortable.","Adelaide, Australia","JoInSing</div><div class=""userLoc""><strong>Adelaide, Australia</strong>",38,5.0
735723921,https://www.tripadvisor.com/Hotel_Review-g1066454-d6894889-Reviews-Hotel_Mystays_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Mystays Haneda,"December 30, 2019","Stayed as a family of four for a total of five nights in two separate segments thos trip. The property is a five minute walk from the Anamori-Inari station and very close to Haneda Airport The hotel has a complimentary shuttle bus service that runs between the hotel, domestic and international terminals of Haneda airport – but it only runs during specific hours. The other options are to hail a cab (should cost around 1,100 yen) or take the subway.Our double room was small, and decor and styling again was bland. But the room was clean and looked modern. The hotel is located in a quiet area, and there are at least a dozen small diners and restaurants sprinkled around the hotel. And that’s not also counting the ubiquitous convenience stores too, of which there are three you'd walk past to/fro subway stop and hotel: a 7-11, a Family Mart, and a Lawson.There are in-house laundry facilities – washer and dryer – and are free to use.Beware: this is an ‘eco’ hotel i.e. there is no daily house-keeping. You’d need to pay extra if you want that.In-room Internet access was reliable and speedy; no issues at all in this regard.In all, this was a satisfactory stay and we had no issues with recommending this property to visitors who need to stay near the airport.","Singapore, Singapore","DelonixR</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",61,4.0
733293485,https://www.tripadvisor.com/Hotel_Review-g1066454-d6894889-Reviews-Hotel_Mystays_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Mystays Haneda,"December 17, 2019","Is near to Haneda Airport and the train station, so it's very convenient to access to many places. The level of cleanliness in this hotel is really great and full of great hospitalities. The receptionists are very kind and helpful in all aspects, and they are able to communicate in English.",,Wanyi P,0,5.0
729115557,https://www.tripadvisor.com/Hotel_Review-g1066454-d6894889-Reviews-Hotel_Mystays_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Mystays Haneda,"November 26, 2019",I like the fact that it was only 10 minutes from airport. Breakfast was so so. Room was clean and they provide pajamas and toothbrush and toothpaste so that was cool. Toilet seat was heated and that was different but appreciated.,"Pequea, Pennsylvania","Travelingourworldwck</div><div class=""userLoc""><strong>Pequea, Pennsylvania</strong>",47,4.0
727938606,https://www.tripadvisor.com/Hotel_Review-g1066454-d6894889-Reviews-Hotel_Mystays_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel Mystays Haneda,"November 21, 2019",Pros:- Very close to Haneda airport- Free shuttle between hotel and airport provided- Room is not too small- Conveniently located near a train stationCons:- The toilet had a smell which probably came from the pipes,"Kajang, Malaysia","thamko</div><div class=""userLoc""><strong>Kajang, Malaysia</strong>",1,4.0
