review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752585703,https://www.tripadvisor.com/Hotel_Review-g1066443-d301279-Reviews-Hotel_New_Otani_Tokyo_The_Main-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel New Otani Tokyo The Main,"April 13, 2020","There are newer hotels. The New Otani was famous years past for hosting the NKK studio dancers for musicals/shows like 42nd street in the 1980s. In the 1990s there was even an attempted assassination of the PM Hosokawa in the business Tower section. The Gardens which were once legendary have been pared down. They are still iconic and in a much smaller scale you can angle shots of the red arched bridge and zen rock display. The garden view cafe used to host breathless fans waiting for the likes of such guests as Rod Stewart, Michael Jackson and Pe Yon Jun. The once vast lobby has been chopped up quite a bit, it once rivaled the Imperial in Hibiya and the Okura in Kamiyachoo. They have a few concept restaurants and still maintain one of the few once glitzy revolving restaurants in Tokyo (can be seen in the photo provided). It's a good hotel if you can find a rate which is discounted.",,Me_in_Tokyo,1,3.0
751988146,https://www.tripadvisor.com/Hotel_Review-g1066443-d301279-Reviews-Hotel_New_Otani_Tokyo_The_Main-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel New Otani Tokyo The Main,"March 29, 2020",Great place to stay in Tokyo. Apparently most of the Presidents and senior government officials stay there. One of the best breakfast buffet spreads. Some rooms have been renovated. The decor of new rooms is excellent. Request for the newly renovated rooms. One of the most beautiful views of the Tokyo CBD.,"Singapore, Singapore","LarisaNagra</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",9,5.0
750505678,https://www.tripadvisor.com/Hotel_Review-g1066443-d301279-Reviews-Hotel_New_Otani_Tokyo_The_Main-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel New Otani Tokyo The Main,"March 11, 2020","To be honest, I only booked here to be able to say I'd stayed in the office block from You Only Live Twice! I'm sure this is a lovely hotel for those with the money, but it all seemed a bit out of our world. Not a patch on the Nogha Hotel in Ueno. Nice big rooms, but the Sky Bar - you are going to need to remortgage your house for a round of drinks. I can't rate more than average - sorry.","Manchester, United Kingdom","tminnikin</div><div class=""userLoc""><strong>Manchester, United Kingdom</strong>",19,3.0
744716696,https://www.tripadvisor.com/Hotel_Review-g1066443-d301279-Reviews-Hotel_New_Otani_Tokyo_The_Main-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel New Otani Tokyo The Main,"February 12, 2020","I feel bad to write any bad review in Tokyo as we only came to eat on our way to india and had great service experience all the way from airport bus to checking in at hotel new Otani. We ate at L’effervescence and Narisawa and both great places. I worked out at New Otani fitness center by paying and was treated wellThe only bad experience I had was during breakfast where I was embarrassed by [--] who continued to remind me that I needed to pay for breakfast from the minute I walked in. He embarrassed me and interrupted me during my meal that I erred to pay before I left. I finally asked him if he was suspicious that I would walk out without paying and asked him to bring the bill so I could pay before I finished my meal so he stopped embarrassing me. I have never had such experience in my entire lifeTo make matters worse, his breath stinks. He should not be in a customer service business. He is completely not suitable for his job",,traveller96112,2,1.0
742149800,https://www.tripadvisor.com/Hotel_Review-g1066443-d301279-Reviews-Hotel_New_Otani_Tokyo_The_Main-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Hotel New Otani Tokyo The Main,"January 30, 2020","This was my second stay at the Hotel New Otani in Tokyo. Last time we stayed in the tower; this time in the main building. The hotel is a large complex with three sections (buildings), a beautiful Japanese garden, and many western style luxury goods shops in several layers of shopping arcades.Our room had a traditional wooden tub and a place to wash next to it before climbing in for a soak. The tower building has a rotating restaurant with views of all of Tokyo. On a clear day you can see Mt. Fuji.Most of the people coming and going are business people, in suits and ties or heels, with smart briefcases. We were decidedly not that. But we enjoyed our stay immensely and find the location very convenient to the subway and to points of interest.","Cambridge, Massachusetts","d0rrie13</div><div class=""userLoc""><strong>Cambridge, Massachusetts</strong>",5,5.0
737954520,https://www.tripadvisor.com/Hotel_Review-g1066443-d301279-Reviews-Hotel_New_Otani_Tokyo_The_Main-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel New Otani Tokyo The Main,"January 8, 2020","My husband and I stayed in this hotel for Christmas in 2019. I found that I lost my “Louis Vuitton” bag strap in the room after 5 hours of checking out. I am 100% sure that the bag strap was left at the sofa, because we checked out early in the morning and didn't go to any place else. In that checkout morning, the strap was first attached to my bag and then I released it and put it on the sofa, just to take off my coat easily. However, some other issues came up later and disturbed me and then I forgot to attach it back. It is a bright pink, quite wide, cross body leather bag strap, in other words, it's something not tiny but instead could easily get attention. And it is a gift from my husband for our anniversary. We then called the hotel immediately, however, they said the housekeeper didn't report anything and they would call us back if they find it later. We were positive but we never heard anything from the hotel, so we had to come to terms with the fact that nobody actually did anything. It's so hard to believe that the housekeeper didn't see it (such a long, wide, bright pink, cross body “Louis Vuitton” strap), and we are really disappointed. We will never come back and won't recommend the hotel to our friends.",,tianxuc2020,0,1.0
736541682,https://www.tripadvisor.com/Hotel_Review-g1066443-d301279-Reviews-Hotel_New_Otani_Tokyo_The_Main-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel New Otani Tokyo The Main,"January 3, 2020",We had a really lovely room. The hotel was close to lots of restaurants most of which you could reach whilst staying undercover. We also walked to a beach on the Bay from which you could see Tokyo. We also walked to a very good Japanese garden not too far away. Had dinner out but the breakfast was very good. There was lots of choice and the food was tasty.,"Brentwood, United Kingdom","Jeff B</div><div class=""userLoc""><strong>Brentwood, United Kingdom</strong>",212,4.0
736129545,https://www.tripadvisor.com/Hotel_Review-g1066443-d301279-Reviews-Hotel_New_Otani_Tokyo_The_Main-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel New Otani Tokyo The Main,"January 1, 2020","I highly recommend you stay at this hotel, everything about it was excellent. The staff were the best, they were so helpful, anytime I look lost someone would ask me if I need help.I wanted them to do something they would do so.Hotel has shuttle bus from hotel so easy to get from airport and if going to another city have service to send your bags to next hotel, supper easy.Hotel quick walk to the trains, they take a day to workout how to use but are cheaper than using taxis, get IC card.Rooms are very big and modern as well clean.Breakfast at the tower was awesome experience and the staff were great.","Auckland, New Zealand","toby051</div><div class=""userLoc""><strong>Auckland, New Zealand</strong>",6,5.0
734491993,https://www.tripadvisor.com/Hotel_Review-g1066443-d301279-Reviews-Hotel_New_Otani_Tokyo_The_Main-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel New Otani Tokyo The Main,"December 24, 2019","On the map, the hotel appears to be isolated from local cuisine, when in fact, great food and bars are only a 5 to 10 min walk from the lobby. We had a bit of communication issue / language barrier when we checked in, and were frustrated that we couldn't get any recommendations for a late night snack. By morning and when the sun came out, all the stores were visible from our hotel room, which made exploring the nearby area easier. There is a beautiful garden on the grounds, would highly recommend taking full advantage even if its cold outside.",,MaggieA522,15,4.0
733263412,https://www.tripadvisor.com/Hotel_Review-g1066443-d301279-Reviews-Hotel_New_Otani_Tokyo_The_Main-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Hotel New Otani Tokyo The Main,"December 17, 2019","What a fabulous hotel. Customer service unsurpassed. Extremely helpful staff and room was immaculate, well supplied with toiletries and the Toto toilet is indeed a game changer that I will install in my retirement home. Concierge very helpful for directions and all. Next time will bring family. Upon departure staff precisely made sure all in order to make teip to airport. Great job. Cheers, Jack","San Antonio, Texas","24hrtrippers</div><div class=""userLoc""><strong>San Antonio, Texas</strong>",10,5.0
