review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
755445093,https://www.tripadvisor.com/Hotel_Review-g60763-d214197-Reviews-Hotel_Pennsylvania-New_York_City_New_York-or0.html?filterLang=en,Hotel Pennsylvania,"May 26, 2020","I booked a free cancellation room via Booking.com in January 16, 2020 for a 2-night stay in June 2020. However, after some research and seeing bad reviews, I decided to cancel the reservation on January 22. While the cancellation was free, I realized that the hotel already charged my credit card a total of $321.48, or 80% of the room charges as early as January 17. :(I have been following up via email almost every week since January when they would refund the payment that was charged to me, and until now, they have not confirmed when it will be done. I got an email reply twice from Kye Cabalfin (Data Department), but all he said is “Please be advised we have sent an urgent follow up email to our accounting department to assist you further.”I don’t know how much longer it will take them to refund my $321.48! It has been 5 months, and still nothing from them! This is very frustrating!!! What kind of customer service is this? :(",,JoieAura,16,1.0
707969066,https://www.tripadvisor.com/Hotel_Review-g60763-d214197-Reviews-Hotel_Pennsylvania-New_York_City_New_York-or0.html?filterLang=en,Hotel Pennsylvania,"September 8, 2019","Really enjoyed out stay here, even booked our last two nights there in NY after traveling around for a week. Decent size room and bathroom with a very comfortable bed and very clean. A very busy hotel with very help staff. The location is perfect, just across the road from Penn station subway and train station. We will use the Pennsylvania again when ever we visit NY again.","Carlow, Ireland","Physio71</div><div class=""userLoc""><strong>Carlow, Ireland</strong>",16,5.0
755354618,https://www.tripadvisor.com/Hotel_Review-g60763-d214197-Reviews-Hotel_Pennsylvania-New_York_City_New_York-or0.html?filterLang=en,Hotel Pennsylvania,"May 23, 2020","The only people who stay here are those that don't know anything about NYC, or because it's the first hotel they see coming out of Penn Station. This place is a run down dump with horrible management. By far the worst hotel I ever stayed in (late night emergency) in Manhattan",,198randallf,0,1.0
755263836,https://www.tripadvisor.com/Hotel_Review-g60763-d214197-Reviews-Hotel_Pennsylvania-New_York_City_New_York-or0.html?filterLang=en,Hotel Pennsylvania,"May 20, 2020","I had to cancel my travel plans, booked through Booking.com for February. After more than 3 months, no refund yet of my pre-booking deposit. I sent numerous emails. Really? Won't ever consider staying here. I see other people have the same problem. ",,FarAway53263679552,1,1.0
753419572,https://www.tripadvisor.com/Hotel_Review-g60763-d214197-Reviews-Hotel_Pennsylvania-New_York_City_New_York-or0.html?filterLang=en,Hotel Pennsylvania,"May 10, 2020","After more than two months I'm still waiting for the deposit refund. Speechless.... For the rest the position is great and the rooms are comfortable. But please if someone of the Hotel read this, check my booking and give me my money back. I sent emails but no-one answer...","Rome, Italy","saran947</div><div class=""userLoc""><strong>Rome, Italy</strong>",6,1.0
753150285,https://www.tripadvisor.com/Hotel_Review-g60763-d214197-Reviews-Hotel_Pennsylvania-New_York_City_New_York-or5.html?filterLang=en,Hotel Pennsylvania,"May 5, 2020","Maybe this is the last chance to ask you a reply for my issue...I succesfully cancelled my reservation at your hotel on booking.com (confirm number 2967.635.500) on Monday, March 16th. I'd like to know how many days -more or less- will it take to get the refund of the first night fare, paid on November 1st 2019. I sent a couple of e-mail but no reply was forwarded.I understand the hard times you're living but almost two months are passed by and I think I deserve at least a reply.",,GypsyGio80,6,1.0
752718737,https://www.tripadvisor.com/Hotel_Review-g60763-d214197-Reviews-Hotel_Pennsylvania-New_York_City_New_York-or5.html?filterLang=en,Hotel Pennsylvania,"April 17, 2020","I stayed at this hotel with a number of my friends and would genuinely not advise anyone to book it. Worst place I have ever stayed in my life. We booked a total of two double rooms. I will not be booking this hotel again in my lifetime or next.PROS: Centrally located in NYCONS: Old outdated hotel with dirty linen, musky smell in the rooms, dirty floors, disgusting showers, poor overall ldecorations and finishing and finally its not cheap!My opinion is that the hotel needs knocking down and re-building! Get the plans drawn up asap!",,Anil J,3,1.0
752688843,https://www.tripadvisor.com/Hotel_Review-g60763-d214197-Reviews-Hotel_Pennsylvania-New_York_City_New_York-or5.html?filterLang=en,Hotel Pennsylvania,"April 16, 2020","I went on a trip to New York with college on February March, the state of the room was horrific, WiFi was terrible, it barely reached the room on 2nd floor. I can not believe how messy the beds were and how much filth and dirt was left on the pillows of the bed, let alone the sheets. The showers often leaked or dropped through the night. When opening the window I was left with grease all over my hands, just from touching the side and opening the window. The lobby floors were often messy aswell and sometimes had a smell to the furniture. I can overall say that the 4 days I stayed there it was not as nice as cracked up to be.",,E9802LCcaitlinc,1,1.0
752678719,https://www.tripadvisor.com/Hotel_Review-g60763-d214197-Reviews-Hotel_Pennsylvania-New_York_City_New_York-or5.html?filterLang=en,Hotel Pennsylvania,"April 16, 2020","There weren't a lot of people at the hotel when I stayed there, but everyone from the front desk to the engineers and the security people were very professional and courteous. When there was a problem with heat, I was supplied extra blankets and an engineer went up to make sure the heat was working. There was an issue with the water volume in my bathroom sink that was rectified very quickly. I was really impressed with the front desk people who were so courteous and only too happy to listen to my concerns and provide quick solutions. The room was spacious and clean, the wide-screen TV had excellent reception.",,time-traveller-201,0,5.0
752622917,https://www.tripadvisor.com/Hotel_Review-g60763-d214197-Reviews-Hotel_Pennsylvania-New_York_City_New_York-or5.html?filterLang=en,Hotel Pennsylvania,"April 14, 2020","I stayed at Hotel Pennsylvania from 16-20 October 2019.First night in, long queue at reception desk, had to wait 1 hour+ for check-in. Terrible. Not only that, but also they gave me a room which I didn't pay for. In fact, it was a lower one to the upgraded one I paid for. It was dirty, old and noisy. The bed sheets where so dirty that I had to sleep on top of the duvet cover because I didn't wanna get in bed and catch something. I even had to place a towel on the bathtub floor to get a shower because it was very dirty. I complained the next morning on front desk. They changed my room that afternoon to the one I actually paid for and said they were gonna give me a refund for the first night.It's been 7 months since I came back from that trip and still haven't received a single refund. I emailed them and last time I heard from them regarding this issue was back in January and they keep saying the refund is processing and is gonna take up to 21 days for the bank to process payment.I requested a refund receipt from them. Never got a reply back. I sent more than 50 emails ever since I came back from my trip.I got a photo of the room I got on my first night and the one I should have gotten. Plus, I got the invoice that they gave me with the annotations saying what the refund was gonna be.I'm still emailing them about it every single day, and haven't heard back from them yet.This hotel should definitely close its doors since they cannot keep up to the basic hygienic and customer expectations.I even read reviews people saw rats on their rooms. It's legally impossible to allow this hotel to stay opened when there're rats in the room.",Sydney,"mariaflorenciac326</div><div class=""userLoc""><strong>Sydney</strong>",3,1.0
